,state,city,cctv_cnt,sclight_cnt,smalight_cnt,strlamp_cnt,crime_rate,avg_pop_density,new_state
0,강원도,강릉시,1699,12301,64,99994,0.0271,90.36,강원도 강릉시
1,강원도,고성군,422,99992,94,99994,0.0271,90.36,강원도 고성군
2,강원도,동해시,330,4555,184,99994,0.0271,90.36,강원도 동해시
3,강원도,삼척시,932,7813,46,99994,0.0271,90.36,강원도 삼척시
4,강원도,속초시,441,3118,99993,99994,0.0271,90.36,강원도 속초시
5,강원도,양구군,296,190,22,99994,0.0271,90.36,강원도 양구군
6,강원도,양양군,347,4391,40,99994,0.0271,90.36,강원도 양양군
7,강원도,영월군,281,2,99993,99994,0.0271,90.36,강원도 영월군
8,강원도,원주시,2820,10937,986,99994,0.0271,90.36,강원도 원주시
9,강원도,인제군,280,2034,99993,99994,0.0271,90.36,강원도 인제군
10,강원도,정선군,515,99992,13,99994,0.0271,90.36,강원도 정선군
11,강원도,철원군,684,3776,99993,99994,0.0271,90.36,강원도 철원군
12,강원도,춘천시,955,11336,27,12850,0.0271,90.36,강원도 춘천시
13,강원도,태백시,216,3077,56,99994,0.0271,90.36,강원도 태백시
14,강원도,평창군,190,6747,99993,99994,0.0271,90.36,강원도 평창군
15,강원도,홍천군,428,1191,37,99994,0.0271,90.36,강원도 홍천군
16,강원도,화천군,239,99992,99993,99994,0.0271,90.36,강원도 화천군
17,강원도,횡성군,779,8165,99993,99994,0.0271,90.36,강원도 횡성군
18,강원도,근남면,99991,1,99993,99994,0.0271,90.36,강원도 근남면
19,강원도,철원읍,99991,10,99993,99994,0.0271,90.36,강원도 철원읍
20,경기도,고양시,1945,12095,165,42,0.2489,1303.4,경기도 고양시
21,경기도,과천시,346,1118,195,99994,0.2489,1303.4,경기도 과천시
22,경기도,광명시,781,2251,121,99994,0.2489,1303.4,경기도 광명시
23,경기도,광주시,2609,13306,6596,7529,0.2489,1303.4,경기도 광주시
24,경기도,구리시,608,3241,23,99994,0.2489,1303.4,경기도 구리시
25,경기도,군포시,826,2616,781,99994,0.2489,1303.4,경기도 군포시
26,경기도,김포시,1394,499,956,19499,0.2489,1303.4,경기도 김포시
27,경기도,남양주시,4769,14346,2895,99994,0.2489,1303.4,경기도 남양주시
28,경기도,동두천시,472,3161,434,99994,0.2489,1303.4,경기도 동두천시
29,경기도,부천시,2052,19365,50,99994,0.2489,1303.4,경기도 부천시
30,경기도,성남시,2958,10253,2652,99994,0.2489,1303.4,경기도 성남시
31,경기도,수원시,4358,15994,203,24704,0.2489,1303.4,경기도 수원시
32,경기도,시흥시,1760,10621,1538,99994,0.2489,1303.4,경기도 시흥시
33,경기도,안산시,2600,12933,2404,21173,0.2489,1303.4,경기도 안산시
34,경기도,안성시,1404,19944,12,99994,0.2489,1303.4,경기도 안성시
35,경기도,안양시,2371,99992,1425,99994,0.2489,1303.4,경기도 안양시
36,경기도,양주시,1299,9987,982,99994,0.2489,1303.4,경기도 양주시
37,경기도,양평군,2551,10000,321,1830,0.2489,1303.4,경기도 양평군
38,경기도,여주시,667,7984,42,99994,0.2489,1303.4,경기도 여주시
39,경기도,연천군,530,4675,147,99994,0.2489,1303.4,경기도 연천군
40,경기도,오산시,650,8091,17,99994,0.2489,1303.4,경기도 오산시
41,경기도,용인시,2173,19949,99993,99994,0.2489,1303.4,경기도 용인시
42,경기도,의왕시,1339,2221,55,10462,0.2489,1303.4,경기도 의왕시
43,경기도,의정부시,1723,4881,30,99994,0.2489,1303.4,경기도 의정부시
44,경기도,이천시,6423,11111,706,99994,0.2489,1303.4,경기도 이천시
45,경기도,파주시,3594,4604,6817,99994,0.2489,1303.4,경기도 파주시
46,경기도,평택시,2321,10561,1740,99994,0.2489,1303.4,경기도 평택시
