,Unnamed: 0,state,city,visit_cnt,cctv_cnt,sclight_cnt,smalight_cnt,strlamp_cnt,crime_rate,avg_pop_density,new_state
0,0,강원도,강릉시,26334028.0,1699.0,12301.0,64.0,99994.0,0.0271,90.36,강원도 강릉시
1,1,강원도,고성군,11612683.0,422.0,99992.0,94.0,99994.0,0.0271,90.36,강원도 고성군
2,2,강원도,동해시,6798468.0,330.0,4555.0,184.0,99994.0,0.0271,90.36,강원도 동해시
3,3,강원도,삼척시,8614642.0,932.0,7813.0,46.0,99994.0,0.0271,90.36,강원도 삼척시
4,4,강원도,속초시,19495563.0,441.0,3118.0,99993.0,99994.0,0.0271,90.36,강원도 속초시
5,5,강원도,양구군,1828609.0,296.0,190.0,22.0,99994.0,0.0271,90.36,강원도 양구군
6,6,강원도,양양군,12223645.0,347.0,4391.0,40.0,99994.0,0.0271,90.36,강원도 양양군
7,7,강원도,영월군,6076641.0,281.0,2.0,99993.0,99994.0,0.0271,90.36,강원도 영월군
8,8,강원도,원주시,18754440.0,2820.0,10937.0,986.0,99994.0,0.0271,90.36,강원도 원주시
9,9,강원도,인제군,4844677.0,280.0,2034.0,99993.0,99994.0,0.0271,90.36,강원도 인제군
10,10,강원도,정선군,8151609.0,515.0,99992.0,13.0,99994.0,0.0271,90.36,강원도 정선군
11,11,강원도,철원군,4682440.0,684.0,3798.0,99993.0,99994.0,0.0271,90.36,강원도 철원군
12,12,강원도,춘천시,20571796.0,955.0,11336.0,27.0,12850.0,0.0271,90.36,강원도 춘천시
13,13,강원도,태백시,3006113.0,216.0,3077.0,56.0,99994.0,0.0271,90.36,강원도 태백시
14,14,강원도,평창군,13399820.0,190.0,6747.0,99993.0,99994.0,0.0271,90.36,강원도 평창군
15,15,강원도,홍천군,15125927.0,428.0,1191.0,37.0,99994.0,0.0271,90.36,강원도 홍천군
16,16,강원도,화천군,2436790.0,239.0,99992.0,99993.0,99994.0,0.0271,90.36,강원도 화천군
17,17,강원도,횡성군,8203706.0,779.0,8165.0,99993.0,99994.0,0.0271,90.36,강원도 횡성군
18,18,경기도,가평군,22165414.0,99991.0,9119.0,206.0,99994.0,0.2489,1303.4,경기도 가평군
19,19,경기도,고양시,75590328.0,1945.0,12095.0,165.0,42.0,0.2489,1303.4,경기도 고양시
20,20,경기도,과천시,11689863.0,346.0,1118.0,195.0,99994.0,0.2489,1303.4,경기도 과천시
21,21,경기도,광명시,19988936.0,781.0,2251.0,121.0,99994.0,0.2489,1303.4,경기도 광명시
22,22,경기도,광주시,24572754.0,2609.0,13306.0,6596.0,7529.0,0.2489,1303.4,경기도 광주시
23,23,경기도,구리시,14650351.0,608.0,3241.0,23.0,99994.0,0.2489,1303.4,경기도 구리시
24,24,경기도,군포시,12981628.0,826.0,2616.0,781.0,99994.0,0.2489,1303.4,경기도 군포시
25,25,경기도,김포시,27252137.0,1394.0,499.0,956.0,19499.0,0.2489,1303.4,경기도 김포시
26,26,경기도,남양주시,32359722.0,4769.0,14346.0,2895.0,99994.0,0.2489,1303.4,경기도 남양주시
27,27,경기도,동두천시,5186687.0,472.0,3161.0,434.0,99994.0,0.2489,1303.4,경기도 동두천시
28,28,경기도,부천시,35880751.0,2052.0,19365.0,50.0,99994.0,0.2489,1303.4,경기도 부천시
29,29,경기도,성남시,72943910.0,2958.0,10253.0,2652.0,99994.0,0.2489,1303.4,경기도 성남시
30,30,경기도,수원시,89140646.0,4358.0,15994.0,203.0,24704.0,0.2489,1303.4,경기도 수원시
31,31,경기도,시흥시,29339680.0,1760.0,10621.0,1538.0,99994.0,0.2489,1303.4,경기도 시흥시
32,32,경기도,안산시,40341932.0,2600.0,12933.0,2404.0,21173.0,0.2489,1303.4,경기도 안산시
33,33,경기도,안성시,16722693.0,1404.0,19944.0,12.0,99994.0,0.2489,1303.4,경기도 안성시
34,34,경기도,안양시,37310529.0,2371.0,99992.0,1425.0,99994.0,0.2489,1303.4,경기도 안양시
35,35,경기도,양주시,18266354.0,1299.0,9987.0,982.0,99994.0,0.2489,1303.4,경기도 양주시
36,36,경기도,양평군,17775311.0,2551.0,10000.0,321.0,1830.0,0.2489,1303.4,경기도 양평군
37,37,경기도,여주시,15958339.0,667.0,7984.0,42.0,99994.0,0.2489,1303.4,경기도 여주시
38,38,경기도,연천군,5752900.0,530.0,4675.0,147.0,99994.0,0.2489,1303.4,경기도 연천군
39,39,경기도,오산시,12377728.0,650.0,8091.0,17.0,99994.0,0.2489,1303.4,경기도 오산시
40,40,경기도,용인시,77271845.0,2173.0,19949.0,99993.0,99994.0,0.2489,1303.4,경기도 용인시
41,41,경기도,의왕시,13791999.0,1339.0,2221.0,55.0,10462.0,0.2489,1303.4,경기도 의왕시
42,42,경기도,의정부시,21491635.0,1723.0,4881.0,30.0,99994.0,0.2489,1303.4,경기도 의정부시
43,43,경기도,이천시,18611759.0,6423.0,11111.0,706.0,99994.0,0.2489,1303.4,경기도 이천시
44,44,경기도,파주시,33382554.0,3594.0,4604.0,6817.0,99994.0,0.2489,1303.4,경기도 파주시
45,45,경기도,평택시,24993680.0,2321.0,10561.0,1740.0,99994.0,0.2489,1303.4,경기도 평택시
46,46,경기도,포천시,21473221.0,1400.0,10000.0,34.0,99994.0,0.2489,1303.4,경기도 포천시
47,47,경기도,하남시,26398271.0,1867.0,3448.0,633.0,99994.0,0.2489,1303.4,경기도 하남시
48,48,경기도,화성시,52221879.0,11327.0,17499.0,99993.0,43553.0,0.2489,1303.4,경기도 화성시
49,49,경상남도,거제시,17161520.0,695.0,8562.0,75.0,99994.0,0.0722,316.54,경상남도 거제시
50,50,경상남도,거창군,4982448.0,1975.0,6994.0,76.0,99994.0,0.0722,316.54,경상남도 거창군
51,51,경상남도,고성군,6947294.0,383.0,5092.0,16.0,99994.0,0.0722,316.54,경상남도 고성군
52,52,경상남도,김해시,25778962.0,4329.0,10963.0,333.0,99994.0,0.0722,316.54,경상남도 김해시
53,53,경상남도,남해군,8308463.0,840.0,6154.0,56.0,99994.0,0.0722,316.54,경상남도 남해군
54,54,경상남도,밀양시,11592518.0,809.0,10158.0,65.0,99994.0,0.0722,316.54,경상남도 밀양시
55,55,경상남도,사천시,10782048.0,2392.0,99992.0,59.0,99994.0,0.0722,316.54,경상남도 사천시
56,56,경상남도,산청군,6766942.0,952.0,7611.0,18.0,99994.0,0.0722,316.54,경상남도 산청군
57,57,경상남도,양산시,21190391.0,1464.0,6918.0,456.0,99994.0,0.0722,316.54,경상남도 양산시
58,58,경상남도,의령군,3148850.0,759.0,5273.0,41.0,99994.0,0.0722,316.54,경상남도 의령군
59,59,경상남도,진주시,15446016.0,1497.0,15284.0,929.0,99994.0,0.0722,316.54,경상남도 진주시
60,60,경상남도,창녕군,7475572.0,722.0,5354.0,51.0,99994.0,0.0722,316.54,경상남도 창녕군
61,61,경상남도,창원시,70350393.0,2772.0,25215.0,214.0,99994.0,0.0722,316.54,경상남도 창원시
62,62,경상남도,통영시,12995256.0,2030.0,6150.0,77.0,99994.0,0.0722,316.54,경상남도 통영시
63,63,경상남도,하동군,5929506.0,1598.0,7043.0,1.0,99994.0,0.0722,316.54,경상남도 하동군
64,64,경상남도,함안군,6369946.0,1196.0,7043.0,71.0,99994.0,0.0722,316.54,경상남도 함안군
65,65,경상남도,함양군,4254845.0,584.0,5037.0,49.0,99994.0,0.0722,316.54,경상남도 함양군
66,66,경상남도,합천군,6182340.0,667.0,6901.0,17.0,99994.0,0.0722,316.54,경상남도 합천군
67,67,경상북도,경산시,16998140.0,894.0,13735.0,173.0,6008.0,0.0451,139.72,경상북도 경산시
68,68,경상북도,경주시,38655235.0,2385.0,9870.0,67.0,5905.0,0.0451,139.72,경상북도 경주시
69,69,경상북도,고령군,4130449.0,1054.0,99992.0,18.0,880.0,0.0451,139.72,경상북도 고령군
70,70,경상북도,구미시,14423885.0,3771.0,15830.0,47.0,11181.0,0.0451,139.72,경상북도 구미시
71,71,경상북도,군위군,4507241.0,6.0,131.0,99993.0,3446.0,0.0451,139.72,경상북도 군위군
72,72,경상북도,김천시,9252574.0,2288.0,10000.0,20.0,6006.0,0.0451,139.72,경상북도 김천시
73,73,경상북도,문경시,7170584.0,1942.0,763.0,99993.0,10596.0,0.0451,139.72,경상북도 문경시
74,74,경상북도,봉화군,3340126.0,843.0,6137.0,11.0,4830.0,0.0451,139.72,경상북도 봉화군
75,75,경상북도,상주시,7985361.0,661.0,10000.0,82.0,2138.0,0.0451,139.72,경상북도 상주시
76,76,경상북도,성주군,5609808.0,476.0,7507.0,6.0,5843.0,0.0451,139.72,경상북도 성주군
77,77,경상북도,안동시,10848781.0,858.0,13310.0,6.0,13433.0,0.0451,139.72,경상북도 안동시
78,78,경상북도,영덕군,7662591.0,2.0,5700.0,99993.0,5736.0,0.0451,139.72,경상북도 영덕군
79,79,경상북도,영양군,1383464.0,361.0,3649.0,99993.0,2455.0,0.0451,139.72,경상북도 영양군
80,80,경상북도,영주시,6101190.0,770.0,99992.0,99993.0,9211.0,0.0451,139.72,경상북도 영주시
81,81,경상북도,영천시,9153044.0,1677.0,8229.0,42.0,2889.0,0.0451,139.72,경상북도 영천시
