state,city,visit_cnt,cctv_cnt,sclight_cnt,smalight_cnt,strlamp_cnt,crime_rate,avg_pop_density,mean_hours,mean_days,new_state
강원도,강릉시,26334028.0,1699.0,12301.0,64.0,,0.0271,90.36,324.4,1.62,강원도 강릉시
강원도,고성군,11612683.0,422.0,,94.0,,0.0271,90.36,375.2,1.56,강원도 고성군
강원도,동해시,6798468.0,330.0,4555.0,184.0,,0.0271,90.36,287.0,1.7,강원도 동해시
강원도,삼척시,8614642.0,932.0,7813.0,46.0,,0.0271,90.36,318.6,1.6800000000000002,강원도 삼척시
강원도,속초시,19495563.0,441.0,3118.0,,,0.0271,90.36,280.2,1.4,강원도 속초시
강원도,양구군,1828609.0,296.0,190.0,22.0,,0.0271,90.36,387.2,1.8,강원도 양구군
강원도,양양군,12223645.0,347.0,4391.0,40.0,,0.0271,90.36,291.4,1.42,강원도 양양군
강원도,영월군,6076641.0,281.0,2.0,,,0.0271,90.36,364.0,1.56,강원도 영월군
강원도,원주시,18754440.0,2820.0,10937.0,986.0,,0.0271,90.36,313.4,1.8,강원도 원주시
강원도,인제군,4844677.0,280.0,2034.0,,,0.0271,90.36,276.8,1.7,강원도 인제군
강원도,정선군,8151609.0,515.0,,13.0,,0.0271,90.36,427.8,1.62,강원도 정선군
강원도,철원군,4682440.0,684.0,3798.0,,,0.0271,90.36,339.4,1.64,강원도 철원군
강원도,춘천시,20571796.0,955.0,11336.0,27.0,12850.0,0.0271,90.36,279.6,1.7,강원도 춘천시
강원도,태백시,3006113.0,216.0,3077.0,56.0,,0.0271,90.36,310.0,1.9,강원도 태백시
강원도,평창군,13399820.0,190.0,6747.0,,,0.0271,90.36,395.8,1.62,강원도 평창군
강원도,홍천군,15125927.0,428.0,1191.0,37.0,,0.0271,90.36,388.8,1.54,강원도 홍천군
강원도,화천군,2436790.0,239.0,,,,0.0271,90.36,357.6,1.66,강원도 화천군
강원도,횡성군,8203706.0,779.0,8165.0,,,0.0271,90.36,241.0,1.56,강원도 횡성군
경기도,가평군,22165414.0,,9119.0,206.0,,0.2489,1303.4,316.6,1.36,경기도 가평군
경기도,고양시,75590328.0,1945.0,12095.0,165.0,42.0,0.2489,1303.4,156.66666666666666,1.9066666666666665,경기도 고양시
경기도,과천시,11689863.0,346.0,1118.0,195.0,,0.2489,1303.4,144.0,1.98,경기도 과천시
경기도,광명시,19988936.0,781.0,2251.0,121.0,,0.2489,1303.4,158.8,1.86,경기도 광명시
경기도,광주시,24572754.0,2609.0,13306.0,6596.0,7529.0,0.2489,1303.4,210.0,1.78,경기도 광주시
경기도,구리시,14650351.0,608.0,3241.0,23.0,,0.2489,1303.4,138.6,1.88,경기도 구리시
경기도,군포시,12981628.0,826.0,2616.0,781.0,,0.2489,1303.4,198.0,1.88,경기도 군포시
경기도,김포시,27252137.0,1394.0,499.0,956.0,19499.0,0.2489,1303.4,204.6,1.86,경기도 김포시
경기도,남양주시,32359722.0,4769.0,14346.0,2895.0,,0.2489,1303.4,212.6,1.88,경기도 남양주시
