state,city,visit_cnt,cctv_cnt,sclight_cnt,smalight_cnt,crime_rate,avg_pop_density,mean_hours,mean_days,new_state
강원도,정선군,8151609,515.0,4391.0,13.0,0.0271,90.36,427.8,1.62,강원도 정선군
강원도,평창군,13399820,190.0,6747.0,46.0,0.0271,90.36,395.8,1.62,강원도 평창군
강원도,홍천군,15125927,428.0,1191.0,37.0,0.0271,90.36,388.8,1.54,강원도 홍천군
강원도,양구군,1828609,296.0,190.0,22.0,0.0271,90.36,387.2,1.8,강원도 양구군
강원도,고성군,11612683,422.0,4391.0,94.0,0.0271,90.36,375.2,1.56,강원도 고성군
경기도,가평군,22165414,425.0,9119.0,206.0,0.2489,1303.4,316.6,1.36,경기도 가평군
경기도,연천군,5752900,530.0,4675.0,147.0,0.2489,1303.4,284.8,1.52,경기도 연천군
경기도,평택시,24993680,2321.0,10561.0,1740.0,0.2489,1303.4,283.4,1.88,경기도 평택시
경기도,포천시,21473221,1400.0,10000.0,34.0,0.2489,1303.4,263.4,1.58,경기도 포천시
경기도,화성시,52221879,11327.0,17499.0,46.0,0.2489,1303.4,232.6,1.84,경기도 화성시
경상남도,거제시,17161520,695.0,8562.0,75.0,0.0722,316.54,335.8,1.76,경상남도 거제시
경상남도,남해군,8308463,840.0,6154.0,56.0,0.0722,316.54,326.2,1.46,경상남도 남해군
경상남도,함양군,4254845,584.0,5037.0,49.0,0.0722,316.54,323.2,1.62,경상남도 함양군
경상남도,산청군,6766942,952.0,7611.0,18.0,0.0722,316.54,299.0,1.48,경상남도 산청군
경상남도,통영시,12995256,2030.0,6150.0,77.0,0.0722,316.54,291.8,1.46,경상남도 통영시
경상북도,울릉군,1550183,103.0,4391.0,46.0,0.0451,139.72,594.8,2.38,경상북도 울릉군
경상북도,영양군,1383464,361.0,3649.0,46.0,0.0451,139.72,421.2,1.76,경상북도 영양군
경상북도,울진군,6649839,446.0,12020.0,77.0,0.0451,139.72,380.6,1.62,경상북도 울진군
경상북도,영주시,6101190,770.0,4391.0,46.0,0.0451,139.72,333.8,1.7,경상북도 영주시
경상북도,봉화군,3340126,843.0,6137.0,11.0,0.0451,139.72,332.2,1.68,경상북도 봉화군
광주광역시,남구,11754137,49.0,10854.0,16.0,0.0283,2964.74,232.6,1.88,광주광역시 남구
광주광역시,광산구,23058395,726.0,10272.0,101.0,0.0283,2964.74,230.0,1.84,광주광역시 광산구
광주광역시,북구,21537937,813.0,9913.0,48.0,0.0283,2964.74,226.0,1.86,광주광역시 북구
광주광역시,서구,25262298,51.0,7199.0,62.0,0.0283,2964.74,192.6,1.76,광주광역시 서구
광주광역시,동구,17787826,81.0,3958.0,28.0,0.0283,2964.74,159.8,1.86,광주광역시 동구
대구광역시,달서구,30276440,1837.0,10047.0,63.0,0.0494,2744.8,223.6,1.86,대구광역시 달서구
대구광역시,북구,24537397,1943.0,10873.0,34.0,0.0494,2744.8,213.8,1.86,대구광역시 북구
대구광역시,달성군,17945462,1583.0,9905.0,9.0,0.0494,2744.8,210.4,1.86,대구광역시 달성군
대구광역시,수성구,27523974,2471.0,11617.0,62.0,0.0494,2744.8,198.2,1.86,대구광역시 수성구
대구광역시,동구,31917750,1294.0,14576.0,69.0,0.0494,2744.8,180.4,1.76,대구광역시 동구
대전광역시,유성구,27320667,581.0,8595.0,72.0,0.0307,2781.58,219.6,1.86,대전광역시 유성구
대전광역시,서구,28856747,757.0,15407.0,67.0,0.0307,2781.58,219.0,1.84,대전광역시 서구
대전광역시,대덕구,10395456,893.0,8295.0,66.0,0.0307,2781.58,203.0,1.76,대전광역시 대덕구
대전광역시,동구,14914106,581.0,15122.0,66.5,0.0307,2781.58,189.2,1.74,대전광역시 동구
대전광역시,중구,20269458,738.0,12589.0,35.0,0.0307,2781.58,185.4,1.74,대전광역시 중구
부산광역시,사하구,13128200,517.0,5549.0,25.0,0.0767,4378.44,218.0,1.94,부산광역시 사하구
부산광역시,북구,12227947,746.0,3803.0,70.0,0.0767,4378.44,196.4,1.9,부산광역시 북구
부산광역시,해운대구,41781617,899.0,3640.0,11.0,0.0767,4378.44,195.0,1.84,부산광역시 해운대구
부산광역시,남구,15577364,1.0,4516.0,76.0,0.0767,4378.44,191.4,1.88,부산광역시 남구
부산광역시,금정구,16931732,35.0,4775.0,9.0,0.0767,4378.44,189.2,1.84,부산광역시 금정구
서울특별시,관악구,28871647,1662.0,12401.0,988.0,0.1929,15899.1,243.2,1.9,서울특별시 관악구
서울특별시,은평구,18163752,2804.0,8646.0,1067.0,0.1929,15899.1,230.8,1.96,서울특별시 은평구
서울특별시,금천구,17887377,778.0,6301.0,709.0,0.1929,15899.1,227.6,1.86,서울특별시 금천구
서울특별시,강북구,18389096,2300.0,9777.0,22.0,0.1929,15899.1,215.8,1.82,서울특별시 강북구
서울특별시,성북구,23093998,1682.0,10000.0,1040.0,0.1929,15899.1,213.2,1.88,서울특별시 성북구
세종특별자치시,세종특별자치시,18211355,1218.0,8029.0,23.0,0.0041,708.64,290.4,1.8,세종특별자치시 세종특별자치시
울산광역시,동구,8656125,1376.0,2504.0,454.0,0.0136,1074.94,235.8,1.88,울산광역시 동구
