state,city,visit_cnt
강원도,강릉시,26334028
강원도,고성군,11612683
강원도,동해시,6798468
강원도,삼척시,8614642
강원도,속초시,19495563
강원도,양구군,1828609
강원도,양양군,12223645
강원도,영월군,6076641
강원도,원주시,18754440
강원도,인제군,4844677
강원도,정선군,8151609
강원도,철원군,4682440
강원도,춘천시,20571796
강원도,태백시,3006113
강원도,평창군,13399820
강원도,홍천군,15125927
강원도,화천군,2436790
강원도,횡성군,8203706
경기도,가평군,22165414
경기도,고양시,75590328
경기도,과천시,11689863
경기도,광명시,19988936
경기도,광주시,24572754
경기도,구리시,14650351
경기도,군포시,12981628
경기도,김포시,27252137
경기도,남양주시,32359722
경기도,동두천시,5186687
경기도,부천시,35880751
경기도,성남시,72943910
경기도,수원시,89140646
경기도,시흥시,29339680
경기도,안산시,40341932
경기도,안성시,16722693
경기도,안양시,37310529
경기도,양주시,18266354
경기도,양평군,17775311
경기도,여주시,15958339
경기도,연천군,5752900
경기도,오산시,12377728
경기도,용인시,77271845
경기도,의왕시,13791999
경기도,의정부시,21491635
경기도,이천시,18611759
경기도,파주시,33382554
경기도,평택시,24993680
경기도,포천시,21473221
경기도,하남시,26398271
경기도,화성시,52221879
경상남도,거제시,17161520
경상남도,거창군,4982448
경상남도,고성군,6947294
경상남도,김해시,25778962
경상남도,남해군,8308463
경상남도,밀양시,11592518
경상남도,사천시,10782048
경상남도,산청군,6766942
경상남도,양산시,21190391
경상남도,의령군,3148850
경상남도,진주시,15446016
경상남도,창녕군,7475572
경상남도,창원시,70350393
경상남도,통영시,12995256
경상남도,하동군,5929506
경상남도,함안군,6369946
경상남도,함양군,4254845
경상남도,합천군,6182340
경상북도,경산시,16998140
경상북도,경주시,38655235
경상북도,고령군,4130449
경상북도,구미시,14423885
경상북도,군위군,4507241
경상북도,김천시,9252574
경상북도,문경시,7170584
경상북도,봉화군,3340126
경상북도,상주시,7985361
경상북도,성주군,5609808
경상북도,안동시,10848781
경상북도,영덕군,7662591
경상북도,영양군,1383464
경상북도,영주시,6101190
경상북도,영천시,9153044
경상북도,예천군,4498955
경상북도,울릉군,1550183
경상북도,울진군,6649839
경상북도,의성군,5062927
경상북도,청도군,9108502
경상북도,청송군,3577423
경상북도,칠곡군,11755220
경상북도,포항시,35744059
광주광역시,광산구,23058395
광주광역시,남구,11754137
광주광역시,동구,17787826
광주광역시,북구,21537937
광주광역시,서구,25262298
대구광역시,남구,12824887
대구광역시,달서구,30276440
대구광역시,달성군,17945462
대구광역시,동구,31917750
대구광역시,북구,24537397
대구광역시,서구,11138468
대구광역시,수성구,27523974
대구광역시,중구,33277757
대전광역시,대덕구,10395456
대전광역시,동구,14914106
대전광역시,서구,28856747
대전광역시,유성구,27320667
대전광역시,중구,20269458
부산광역시,강서구,19444382
부산광역시,금정구,16931732
부산광역시,기장군,29660105
부산광역시,남구,15577364
부산광역시,동구,11561944
부산광역시,동래구,20855490
부산광역시,부산진구,40807634
부산광역시,북구,12227947
부산광역시,사상구,14960253
부산광역시,사하구,13128200
부산광역시,서구,10770669
부산광역시,수영구,21710532
부산광역시,연제구,16127086
부산광역시,영도구,7845749
부산광역시,중구,16500983
부산광역시,해운대구,41781617
서울특별시,강남구,104234311
서울특별시,강동구,23811589
서울특별시,강북구,18389096
서울특별시,강서구,44623950
서울특별시,관악구,28871647
서울특별시,광진구,30162718
서울특별시,구로구,29354234
서울특별시,금천구,17887377
서울특별시,노원구,27025796
서울특별시,도봉구,13500031
서울특별시,동대문구,25212154
서울특별시,동작구,24449832
서울특별시,마포구,57629525
서울특별시,서대문구,29049617
서울특별시,서초구,66065788
서울특별시,성동구,32246871
서울특별시,성북구,23093998
서울특별시,송파구,67132498
서울특별시,양천구,21226066
서울특별시,영등포구,59398308
서울특별시,용산구,40898683
서울특별시,은평구,18163752
서울특별시,종로구,62277137
서울특별시,중구,58305758
서울특별시,중랑구,17451091
세종특별자치시,세종특별자치시,18211355
울산광역시,남구,23391189
울산광역시,동구,8656125
울산광역시,북구,13739394
울산광역시,울주군,20883111
울산광역시,중구,11762026
인천광역시,강화군,14278033
인천광역시,계양구,14553275
인천광역시,남동구,31589189
인천광역시,동구,4142727
인천광역시,미추홀구,22630637
인천광역시,부평구,26921360
인천광역시,서구,26448716
인천광역시,연수구,27682375
인천광역시,옹진군,5335076
인천광역시,중구,33713028
전라남도,강진군,3740185
전라남도,고흥군,6272801
전라남도,곡성군,4226304
전라남도,광양시,8771935
전라남도,구례군,4508394
전라남도,나주시,9991461
전라남도,담양군,9896824
전라남도,목포시,13322553
전라남도,무안군,7905238
전라남도,보성군,5021637
전라남도,순천시,15604612
전라남도,신안군,5041641
전라남도,여수시,22749986
전라남도,영광군,5336313
전라남도,영암군,5679392
전라남도,완도군,4462985
전라남도,장성군,6298224
전라남도,장흥군,3497919
전라남도,진도군,3988482
전라남도,함평군,4155929
전라남도,해남군,5926721
전라남도,화순군,7974709
전라북도,고창군,6594234
전라북도,군산시,14570140
전라북도,김제시,6939151
전라북도,남원시,7050244
전라북도,무주군,5540989
전라북도,부안군,8348346
전라북도,순창군,3490554
전라북도,완주군,12077380
전라북도,익산시,11833840
전라북도,임실군,3962770
전라북도,장수군,2188173
전라북도,전주시,39869993
전라북도,정읍시,7356258
전라북도,진안군,3642548
제주특별자치도,서귀포시,39656928
제주특별자치도,제주시,51413358
충청남도,계룡시,2659639
충청남도,공주시,14043498
충청남도,금산군,6287439
충청남도,논산시,9658307
충청남도,당진시,12448236
충청남도,보령시,14844914
충청남도,부여군,6693349
충청남도,서산시,10572464
충청남도,서천군,6124687
충청남도,아산시,21636895
충청남도,예산군,9170315
충청남도,천안시,44388410
충청남도,청양군,3481715
충청남도,태안군,16666400
충청남도,홍성군,7132408
충청북도,괴산군,6815705
충청북도,단양군,6679972
충청북도,보은군,4737641
충청북도,영동군,4133509
충청북도,옥천군,5458308
충청북도,음성군,9368860
충청북도,제천시,12125010
충청북도,증평군,2848031
충청북도,진천군,8030068
충청북도,청주시,62425138
충청북도,충주시,14797862
