,Unnamed: 0.1,Unnamed: 0,address,state,city,lat,long,install_cnt,date,new_address
49,444,444,춘천시 동면 감정리 268-1,춘천시,동면,37.902117,127.795698,,2020-07-11,
992,1678,1678,영월군 중동면 녹전리  775,영월군,중동면,37.14463293,128.680464,,2020-12-28,
1162,1848,1848,조양동 1544-2,조양동,1544-2,38.192278,128.587601,,2021-07-27,
1163,1849,1849,조양동 1544-2,조양동,1544-2,38.192278,128.587601,,2021-07-27,
1164,1850,1850,조양동 1544-2,조양동,1544-2,38.192278,128.587601,,2021-07-27,
1233,1919,1919,대포동 421-47,대포동,421-47,38.173686,128.6070709,,2021-07-27,
1340,2026,2026,조양동 1544-3,조양동,1544-3,38.192154,128.585301,,2021-07-27,
1341,2027,2027,조양동 1544-3,조양동,1544-3,38.192154,128.585301,,2021-07-27,
1342,2028,2028,조양동 1544-3,조양동,1544-3,38.192154,128.585301,,2021-07-27,
1393,2079,2079,중앙동 중앙로 158,중앙동,중앙로,38.382044,128.592078,,2021-07-27,
2127,3249,3249,화천읍하리59-24,화천읍하리59-24,,38.075414,127.4904,,2021-12-13,
2482,5594,5594,남면 문곡리 590-15천,남면,문곡리,37.266385,128.739516,,2022-05-31,
2540,5652,5652,임계면 송계리 702-2,임계면,송계리,37.495915,128.851255,,2022-05-31,
2846,18125,18125,오산동 388-7,오산동,388-7,37.154722,127.069247,,2020-12-07,
2947,22833,22833,안양5동 449-28,안양5동,449-28,37.392213,126.922504,,2020-12-21,
3562,23448,23448,호계2동 170-8,호계2동,170-8,37.37534,126.94703,,2020-12-21,
4067,23971,23971,왕곡동 260,왕곡동,260,37.20530736,126.5914208,,2020-12-18,
4072,23976,23976,고천동 309-2,고천동,309-2,37.2057894,126.5824445,,2020-12-18,
4073,23977,23977,왕곡동 573,왕곡동,573,37.2037482,126.597568,,2020-12-18,
4074,23978,23978,왕곡동 565-70,왕곡동,565-70,37.20444419,126.593261,,2020-12-18,
4075,23979,23979,왕곡동 457-11,왕곡동,457-11,37.20202488,126.5847762,,2020-12-18,
4093,23997,23997,부곡동 258-2,부곡동,258-2,37.19165,126.572687,,2020-12-18,
4203,24107,24107,오전동 231-1,오전동,231-1,37.213349,126.5896132,,2020-12-18,
4204,24108,24108,오전동 104-37,오전동,104-37,37.213242,126.587932,,2020-12-18,
4244,24148,24148,삼동 192-280,삼동,192-280,37.19155676,126.5718468,,2020-12-18,
4250,24154,24154,삼동 256-12,삼동,256-12,37.19145956,126.5728548,,2020-12-18,
4251,24155,24155,삼동 125-1,삼동,125-1,37.1957108,126.5724451,,2020-12-18,
4252,24156,24156,삼동 104,삼동,104,37.1929604,126.5729506,,2020-12-18,
4253,24157,24157,삼동 138,삼동,138,37.1943464,126.5729632,,2020-12-18,
4254,24158,24158,삼동 71,삼동,71,37.19100272,126.5738358,,2020-12-18,
4255,24159,24159,삼동 69,삼동,69,37.1994296,126.57405,,2020-12-18,
4256,24160,24160,삼동 46-4,삼동,46-4,37.19145416,126.5754241,,2020-12-18,
4257,24161,24161,삼동 248-8,삼동,248-8,37.19134544,126.572759,,2020-12-18,
4258,24162,24162,삼동 249-1,삼동,249-1,37.19123096,126.5732418,,2020-12-18,
4259,24163,24163,삼동 99,삼동,99,37.1994872,126.5728904,,2020-12-18,
4260,24164,24164,삼동 83-3,삼동,83-3,37.1965316,126.5732105,,2020-12-18,
4261,24165,24165,삼동 산 62-6,삼동,산,37.19126876,126.5741663,,2020-12-18,
4262,24166,24166,삼동 20,삼동,20,37.19168744,126.5750577,,2020-12-18,
4263,24167,24167,삼동 11,삼동,11,37.19121548,126.5755022,,2020-12-18,
4264,24168,24168,삼동 2-8,삼동,2-8,37.1969204,126.572788,,2020-12-18,
4265,24169,24169,월암동 145-1,월암동,145-1,37.18117936,126.5737973,,2020-12-18,
4434,24338,24338,오전동 324-10,오전동,324-10,37.2137872,126.5834229,,2020-12-18,
4435,24339,24339,오전동 324-10,오전동,324-10,37.2137872,126.5834229,,2020-12-18,
4609,24513,24513,오전동 150-13,오전동,150-13,37.21249804,126.5739791,,2020-12-18,
4947,26952,26952,백암면 근삼리 산61-2(백암면),백암면,근삼리,37.146583,127.358858,,2021-08-03,
6095,28226,28226,오산리 149-4,오산리,149-4,37.7739037,129.8305134,,2021-07-28,
7961,30166,30166,중대동 211-63답 근처,중대동,211-63답,37.40694831,127.2145502,,2021-08-24,
9070,31311,31311,안양시 만안구 안양5동 449-28,안양시,만안구,37.392213,126.922504,,2021-08-23,
9453,31694,31694,안양시 동안구 호계2동 170-8,안양시,동안구,37.37534,126.94703,,2021-08-23,
11173,38403,38403,정왕동 2732,정왕동,2732,37.32094,126.68937,,2022-04-30,
11176,38406,38406,정왕동 2732,정왕동,2732,37.32163,126.6882,,2022-04-30,
11347,38596,38596,정왕동 2552-1,정왕동,2552-1,37.36346,126.70916,,2022-04-30,
11423,38672,38672,정왕동 1775-1,정왕동,1775-1,37.38423,126.73789,,2022-04-30,
11430,38679,38679,정왕동 1775-1,정왕동,1775-1,37.3846,126.72901,,2022-04-30,
11891,39861,39861,안중리 233-29,안중리,233-29,39.989,126.931,,2022-05-24,
11949,39999,39999,당거리 564,당거리,564,36.989,127.007,,2022-05-24,
12136,40342,40342,삼계리 529,삼계리,529,37.04,136.912,,2022-05-24,
12437,40879,40879,현화리 823-1,현화리,823-1,39.986,126.92,,2022-05-24,
13194,42501,42501,정왕동 2737-1,정왕동,2737-1,37.3211,126.69319,,2022-04-30,
13196,42503,42503,정왕동 2713-5,정왕동,2713-5,37.32222,126.68718,,2022-04-30,
13198,42505,42505,정왕동 2713,정왕동,2713,37.32539,126.69029,,2022-04-30,
13211,42518,42518,SCT-011,SCT-011,,37.32986,126.68318,,2022-04-30,
13214,42521,42521,정왕동 2682-4,정왕동,2682-4,37.33149,126.68059,,2022-04-30,
13276,42583,42583,정왕동 2703-6,정왕동,2703-6,37.32536,126.67833,,2022-04-30,
13279,42586,42586,정왕동 2684,정왕동,2684,37.32962,126.67809,,2022-04-30,
13338,42645,42645,도곡리 1108,도곡리,1108,37.592,126.503,,2022-05-24,
13578,42885,42885,율북리 865-20,율북리,865-20,37.0342,126.5809,,2022-05-24,
13579,42886,42886,율북리 865-3,율북리,865-3,37.0343,126.58106,,2022-05-24,
13580,42887,42887,율북리 867,율북리,867,37.0343,126.58122,,2022-05-24,
13581,42888,42888,율북리 866-2,율북리,866-2,37.0344,126.58133,,2022-05-24,
13582,42889,42889,율북리 879,율북리,879,37.0327,126.58421,,2022-05-24,
13583,42890,42890,율북리 886,율북리,886,37.0326,126.58451,,2022-05-24,
13584,42891,42891,율북리 916-10,율북리,916-10,37.0327,126.58457,,2022-05-24,
13585,42892,42892,율북리 1004,율북리,1004,37.0326,126.58464,,2022-05-24,
13586,42893,42893,율북리 889,율북리,889,37.0326,126.58478,,2022-05-24,
13587,42894,42894,율북리 813,율북리,813,37.0326,126.5825,,2022-05-24,
13588,42895,42895,율북리 822-1,율북리,822-1,37.033,126.58271,,2022-05-24,
13589,42896,42896,율북리 860,율북리,860,37.0325,126.58319,,2022-05-24,
13590,42897,42897,율북리 605,율북리,605,37.0342,126.5809,,2022-05-24,
13754,43071,43071,신천동 586-72,신천동,586-72,37.43999,126.77541,,2022-04-30,
14328,43835,43835,정왕동 2160,정왕동,2160,37.33697,126.75454,,2022-04-30,
14718,44330,44330,권관리 564-23,권관리,564-23,36.914,126.906,,2022-05-24,
15076,44860,44860,원정리 438,원정리,438,36.951,136.842,,2022-05-24,
15175,45002,45002,오전동 150-13,오전동,150-13,37.212498,126.5739791,,2022-06-09,
15291,45118,45118,오전동 104-37,오전동,104-37,37.213242,126.587932,,2020-12-18,
15292,45119,45119,오전동 231-1,오전동,231-1,37.213349,126.5896132,,2020-12-18,
15427,45254,45254,오전동 324-10,오전동,324-10,37.2137872,126.5834229,,2022-06-09,
15428,45255,45255,오전동 324-10,오전동,324-10,37.2137872,126.5834229,,2022-06-09,
15508,45335,45335,삼동 192-280,삼동,192-280,37.1915568,126.5718468,,2022-06-09,
15529,45356,45356,월암동 145-1,월암동,145-1,37.1811794,126.5737973,,2022-06-09,
15552,45379,45379,왕곡동 260,왕곡동,260,37.2053074,126.5914208,,2022-06-09,
15585,45412,45412,부곡동 258-2,부곡동,258-2,37.19165,126.572687,,2022-06-09,
17013,58851,58851,하남시 신장동 231,하남시,신장동,37.5142,127.1924,,2022-11-23,
17461,82118,82118,생초면 신연리 569-1,생초면,신연리,35.483282,127.853299,,2020-09-17,
18038,82890,82890,산청읍 내리 산191-36,산청읍,내리,35.400241,127.886983,,2020-09-17,
18349,86055,86055,서금동 147,서금동,147,34.92382,128.07495,,2022-05-26,
18363,86069,86069,송포동 1526-15,송포동,1526-15,34.96198,128.03842,,2022-05-26,
18364,86070,86070,송포동 1526-15,송포동,1526-15,34.96198,128.03842,,2022-05-26,
18570,86276,86276,정동면 화암리 778,정동면,화암리,35.07785,128.10087,,2022-05-26,
18571,86277,86277,정동면 화암리 778,정동면,화암리,35.07785,128.10087,,2022-05-26,
18592,86298,86298,대포동 438-6,대포동,438-6,34.99002,128.04032,,2022-05-26,
18593,86299,86299,대포동 438-6,대포동,438-6,34.99002,128.04032,,2022-05-26,
18596,86302,86302,향촌동 708-8,향촌동,708-8,34.92694,128.09644,,2022-05-26,
18597,86303,86303,향촌동 708-8,향촌동,708-8,34.92694,128.09644,,2022-05-26,
18598,86304,86304,향촌동 708-8,향촌동,708-8,34.92694,128.09644,,2022-05-26,
18882,86588,86588,이홀동 319-7,이홀동,319-7,34.95086,128.12521,,2022-05-26,
19214,86920,86920,용현면 신촌리 413-4,용현면,신촌리,35.02452,128.04413,,2022-05-26,
19215,86921,86921,용현면 신촌리 413-4,용현면,신촌리,35.02452,128.04413,,2022-05-26,
19283,86989,86989,구평리 산73-9,구평리,산73-9,35.01635,127.96239,,2022-05-26,
19284,86990,86990,구평리 산73-9,구평리,산73-9,35.01635,127.96239,,2022-05-26,
19285,86991,86991,구평리 산73-9,구평리,산73-9,35.01635,127.96239,,2022-05-26,
19286,86992,86992,구평리 산73-9,구평리,산73-9,35.01635,127.96239,,2022-05-26,
19555,87261,87261,동금동 579-2,동금동,579-2,34.92703,128.07736,,2022-05-26,
19556,87262,87262,향촌동 709-11,향촌동,709-11,34.92584,128.09699,,2022-05-26,
19562,87268,87268,향촌동 678-1,향촌동,678-1,34.92368,128.09377,,2022-05-26,
19563,87269,87269,향촌동 678-1,향촌동,678-1,34.92368,128.09377,,2022-05-26,
19564,87270,87270,향촌동 678-1,향촌동,678-1,34.92368,128.09377,,2022-05-26,
19569,87275,87275,향촌동 678-1,향촌동,678-1,34.92368,128.09377,,2022-05-26,
19570,87276,87276,향촌동 678-1,향촌동,678-1,34.92368,128.09377,,2022-05-26,
19653,87359,87359,곤양면 중항리 214-8,곤양면,중항리,35.032,128.0236,,2022-05-26,
19654,87360,87360,곤양면 중항리 214-8,곤양면,중항리,35.032,128.0236,,2022-05-26,
19655,87361,87361,곤양면 중항리 214-8,곤양면,중항리,35.032,128.0236,,2022-05-26,
