state,city,cctv_cnt,sclight_cnt,smalight_cnt,strlamp_cnt,crime_rate,avg_pop_density
강원도,강릉시,1699,12301,64,-4,0.0271,90.36
강원도,고성군,422,-2,94,-4,0.0271,90.36
강원도,동해시,330,4555,184,-4,0.0271,90.36
강원도,삼척시,932,7813,46,-4,0.0271,90.36
강원도,속초시,441,3118,-3,-4,0.0271,90.36
강원도,양구군,296,190,22,-4,0.0271,90.36
강원도,양양군,347,4391,40,-4,0.0271,90.36
강원도,영월군,281,2,-3,-4,0.0271,90.36
강원도,원주시,2820,10937,986,-4,0.0271,90.36
강원도,인제군,280,2034,-3,-4,0.0271,90.36
강원도,정선군,515,-2,13,-4,0.0271,90.36
강원도,철원군,684,3776,-3,-4,0.0271,90.36
강원도,춘천시,955,11336,27,12850,0.0271,90.36
강원도,태백시,216,3077,56,-4,0.0271,90.36
강원도,평창군,190,6747,-3,-4,0.0271,90.36
강원도,홍천군,428,1191,37,-4,0.0271,90.36
강원도,화천군,239,-2,-3,-4,0.0271,90.36
강원도,횡성군,779,8165,-3,-4,0.0271,90.36
강원도,근남면,-1,1,-3,-4,0.0271,90.36
강원도,철원읍,-1,10,-3,-4,0.0271,90.36
경기도,고양시,1945,12095,165,42,0.2489,1303.4
경기도,과천시,346,1118,195,-4,0.2489,1303.4
경기도,광명시,781,2251,121,-4,0.2489,1303.4
경기도,광주시,2609,13306,6596,7529,0.2489,1303.4
경기도,구리시,608,3241,23,-4,0.2489,1303.4
경기도,군포시,826,2616,781,-4,0.2489,1303.4
경기도,김포시,1394,499,956,19499,0.2489,1303.4
경기도,남양주시,4769,14346,2895,-4,0.2489,1303.4
경기도,동두천시,472,3161,434,-4,0.2489,1303.4
경기도,부천시,2052,19365,50,-4,0.2489,1303.4
경기도,성남시,2958,10253,2652,-4,0.2489,1303.4
경기도,수원시,4358,15994,203,24704,0.2489,1303.4
경기도,시흥시,1760,10621,1538,-4,0.2489,1303.4
경기도,안산시,2600,12933,2404,21173,0.2489,1303.4
경기도,안성시,1404,19944,12,-4,0.2489,1303.4
경기도,안양시,2371,-2,1425,-4,0.2489,1303.4
경기도,양주시,1299,9987,982,-4,0.2489,1303.4
