"범죄별(1)",범죄별(2),범죄별(3),2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
"범죄별(1)",범죄별(2),범죄별(3),계,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주
"범죄발생총건수(A) (건)",소계,소계,1531705,274830,113558,72339,85432,44610,41921,23463,6147,388004,45398,47020,63290,52587,60205,75300,111102,26499
"인구(B) (명)",소계,소계,51638809,9509458,3350380,2385412,2948375,1441611,1452251,1121592,371895,13565450,1538492,1597427,2119257,1786855,1832803,2626609,3314183,676759
"A/Bⅹ100,000 (건/10만명)",소계,소계,2966.2,2890.1,3389.4,3032.6,2897.6,3094.5,2886.6,2091.9,1652.9,2860.2,2950.8,2943.5,2986.4,2943,3284.9,2866.8,3352.3,3915.6
"형법범 (건)",소계,소계,917787,179429,71623,44696,52815,25950,27519,12267,3924,226885,24878,27335,34050,30084,31332,41387,66377,17236
"형법범 (건)",재산범죄,소계,575332,110514,46816,29797,30638,16131,17404,7639,2618,142066,14683,17757,21943,19080,18665,26781,42805,9995
"형법범 (건)",재산범죄,절도,166782,33639,12748,9309,8183,4945,5081,2103,1043,37403,4202,5270,7149,5612,5786,8616,12638,3055
"형법범 (건)",재산범죄,장물,302,39,74,7,20,6,6,5,1,66,10,11,14,5,8,7,14,9
"형법범 (건)",재산범죄,사기,297981,52627,26364,15393,15390,7943,9321,4288,1119,75380,7745,9433,10731,10524,9374,13688,23892,4769
"형법범 (건)",재산범죄,횡령,51588,13728,3560,2352,3710,1606,1295,466,185,13914,918,1111,1563,1109,1309,1506,2400,856
"형법범 (건)",재산범죄,배임,4282,1068,545,149,203,133,131,63,24,899,90,82,150,121,139,150,276,59
"형법범 (건)",재산범죄,손괴,54397,9413,3525,2587,3132,1498,1570,714,246,14404,1718,1850,2336,1709,2049,2814,3585,1247
"형법범 (건)",강력범죄(흉악),소계,35126,8901,2336,1396,2347,909,1089,399,146,8317,847,894,1302,1009,1163,1444,2014,613
"형법범 (건)",강력범죄(흉악),살인,692,130,48,27,46,13,19,8,4,159,15,19,34,27,37,32,55,19
"형법범 (건)",강력범죄(흉악),강도,511,125,51,23,34,16,10,5,1,90,11,12,25,21,12,22,40,13
"형법범 (건)",강력범죄(흉악),방화,1025,187,52,55,54,21,40,20,2,242,38,32,65,35,47,44,76,15
"형법범 (건)",강력범죄(흉악),성폭력,32898,8459,2185,1291,2213,859,1020,366,139,7826,783,831,1178,926,1067,1346,1843,566
"형법범 (건)",강력범죄(폭력),소계,180460,32900,12793,8518,11977,5293,5667,2608,620,45904,5427,5283,6296,5754,6770,7869,12898,3883
"형법범 (건)",강력범죄(폭력),폭행,119515,24030,7972,5492,8085,3714,3895,1636,320,31916,3294,3163,3508,3792,4003,4422,7775,2498
"형법범 (건)",강력범죄(폭력),상해,30862,3413,2855,1797,1828,843,885,608,147,5738,1232,1292,1546,1070,1630,2174,3091,713
"형법범 (건)",강력범죄(폭력),협박,21502,3889,1414,933,1321,489,642,267,110,6093,671,546,844,605,854,847,1451,526
"형법범 (건)",강력범죄(폭력),공갈,5587,1015,373,188,521,128,170,51,31,1434,147,158,267,169,175,270,393,97
"형법범 (건)",강력범죄(폭력),약취와 유인,251,56,12,6,18,9,9,3,3,70,5,8,10,3,5,20,10,4
"형법범 (건)",강력범죄(폭력),체포와 감금,1401,276,90,54,114,65,39,15,5,317,47,42,54,57,48,60,101,17
"형법범 (건)",강력범죄(폭력),폭력행위등(손괴강요주거침입등),1209,210,73,44,85,39,26,27,4,309,30,46,49,45,50,69,75,28
"형법범 (건)",강력범죄(폭력),폭력행위등(단체등의구성 활동),133,11,4,4,5,6,1,1,-,27,1,28,18,13,5,7,2,-
"형법범 (건)",위조범죄,소계,13518,2732,995,625,650,422,349,290,43,3050,343,415,507,682,471,624,1133,187
"형법범 (건)",위조범죄,통화,379,130,22,9,17,7,7,-,-,77,11,19,23,5,11,19,18,4
"형법범 (건)",위조범죄,유가증권·인지·우표,82,32,5,1,5,-,1,1,-,16,-,6,1,8,1,-,5,-
"형법범 (건)",위조범죄,문서,12425,2492,937,590,589,397,329,278,42,2847,325,378,461,507,428,590,1057,178
"형법범 (건)",위조범죄,인장,632,78,31,25,39,18,12,11,1,110,7,12,22,162,31,15,53,5
"형법범 (건)",공무원범죄,소계,3717,799,357,116,364,221,110,74,37,579,96,96,92,132,194,177,242,31
"형법범 (건)",공무원범죄,직무유기,1423,294,152,52,82,73,38,26,21,194,40,46,39,51,89,92,123,11
"형법범 (건)",공무원범죄,직권남용,1588,364,158,57,89,96,57,38,14,264,45,40,37,66,82,68,98,15
"형법범 (건)",공무원범죄,수뢰,586,106,37,6,182,39,10,9,2,92,11,8,13,12,20,15,19,5
"형법범 (건)",공무원범죄,증뢰,120,35,10,1,11,13,5,1,-,29,-,2,3,3,3,2,2,-
"형법범 (건)",풍속범죄,소계,9135,1599,674,311,451,184,284,68,28,3144,317,218,299,249,357,305,521,126
"형법범 (건)",풍속범죄,도박과 복표,6321,995,487,189,265,105,172,37,12,2397,262,157,197,163,242,213,348,80
"형법범 (건)",풍속범죄,신앙,252,17,5,1,3,9,2,2,2,47,12,9,19,23,51,18,25,7
"형법범 (건)",풍속범죄,기타음란행위,2562,587,182,121,183,70,110,29,14,700,43,52,83,63,64,74,148,39
"형법범 (건)",과실범죄,소계,8179,1406,592,301,436,174,170,97,42,2174,295,279,348,283,390,420,556,216
"형법범 (건)",과실범죄,과실치사상,2557,493,188,111,140,35,66,19,9,708,114,77,82,83,81,115,159,77
"형법범 (건)",과실범죄,업무상 과실치사상,3339,520,290,121,181,88,64,44,20,863,100,99,130,104,201,163,276,75
"형법범 (건)",과실범죄,실화,2283,393,114,69,115,51,40,34,13,603,81,103,136,96,108,142,121,64
"형법범 (건)",기타형법범죄,소계,92320,20578,7060,3632,5952,2616,2446,1092,390,21651,2870,2393,3263,2895,3322,3767,6208,2185
"형법범 (건)",기타형법범죄,명예,31409,7853,2794,1124,1925,915,860,373,144,7592,773,719,952,930,1019,1098,1880,458
"형법범 (건)",기타형법범죄,권리행사방해,6318,854,447,264,379,217,205,103,43,1510,175,241,344,253,273,365,526,119
"형법범 (건)",기타형법범죄,신용업무경매,17574,3866,1330,648,1167,611,436,219,46,4345,594,416,546,403,677,653,1159,458
"형법범 (건)",기타형법범죄,주거침입,18535,4036,1155,744,1451,338,421,175,80,4404,602,524,622,653,614,786,1185,745
"형법범 (건)",기타형법범죄,비밀침해,122,29,5,2,9,2,4,-,2,27,1,5,2,5,6,10,13,-
"형법범 (건)",기타형법범죄,유기,273,121,15,13,19,7,7,4,2,41,5,2,6,4,8,13,2,4
"형법범 (건)",기타형법범죄,교통방해,1449,67,29,34,53,30,13,23,11,345,119,85,126,111,108,143,124,28
"형법범 (건)",기타형법범죄,공무방해,9640,1981,744,470,610,246,294,157,41,1889,377,259,410,262,334,455,848,263
"형법범 (건)",기타형법범죄,도주와범인은닉,237,38,10,17,20,8,17,3,-,38,7,5,13,11,11,10,22,7
"형법범 (건)",기타형법범죄,위증과 증거인멸,1933,503,134,123,91,89,60,7,2,399,63,33,58,84,82,60,122,23
"형법범 (건)",기타형법범죄,무고,4551,1128,376,181,214,146,120,28,19,1013,144,103,168,173,177,167,315,79
"형법범 (건)",기타형법범죄,공안을 해하는죄,204,78,18,11,13,5,5,-,-,41,6,-,9,3,3,3,8,1
"형법범 (건)",기타형법범죄,내란의죄,17,12,-,-,-,-,2,-,-,1,-,-,2,-,-,-,-,-
"형법범 (건)",기타형법범죄,음용수에 관한죄,27,3,-,-,1,1,-,-,-,4,3,1,3,-,8,-,3,-
"형법범 (건)",기타형법범죄,일수와 수리에 관한죄,15,-,3,-,-,1,1,-,-,-,1,-,1,2,2,3,1,-
"형법범 (건)",기타형법범죄,기타,16,9,-,1,-,-,1,-,-,2,-,-,1,1,-,1,-,-
"특별법범 (건)",소계,소계,613918,95401,41935,27643,32617,18660,14402,11196,2223,161119,20520,19685,29240,22503,28873,33913,44725,9263
"특별법범 (건)",가정폭력 범죄의 처벌등에 관한 특례법,소계,1088,224,42,58,62,26,60,9,10,306,20,25,44,18,42,47,62,33
"특별법범 (건)",가축분뇨의 관리 및 이용에 관한법률,소계,835,-,2,6,5,-,2,3,4,171,28,51,122,158,69,118,96,-
"특별법범 (건)",감염병의 예방 및 관리에 관한법률,소계,7458,1840,769,535,548,125,87,71,24,1757,173,178,305,107,203,162,470,104
"특별법범 (건)",개발제한구역의 지정 및 관리에 관한 특별조치법,소계,492,34,51,11,55,1,6,7,-,268,-,-,3,-,16,1,39,-
"특별법범 (건)",개인정보보호법,소계,2209,553,209,63,133,84,58,19,18,444,47,35,97,65,75,132,151,26
"특별법범 (건)",건강기능식품에 관한법률,소계,183,45,7,6,16,3,2,-,-,63,7,2,4,1,4,5,18,-
"특별법범 (건)",건설기계관리법,소계,285,15,7,3,19,3,2,4,1,104,16,16,18,10,17,19,26,5
"특별법범 (건)",건설산업기본법,소계,645,120,49,17,23,10,10,12,4,198,25,23,23,20,15,15,63,18
"특별법범 (건)",건축법,소계,2360,243,114,12,116,10,53,7,14,790,131,152,287,102,54,137,73,65
"특별법범 (건)",게임산업진흥에 관한법률,소계,2775,252,176,153,111,124,77,53,13,682,122,172,136,112,148,192,215,37
"특별법범 (건)",결혼중개업의 관리에 관한법률,소계,39,12,4,1,3,-,-,-,-,8,1,6,1,1,-,1,1,-
"특별법범 (건)",경범죄처벌법,소계,7100,1896,473,312,566,149,176,67,14,2011,199,99,128,133,207,200,340,130
