"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"강남동1",1,,강원도 강릉시 장현동 463-1,37.7285803045,128.8874867155,,한전주,033-660-3926,강원도 강릉시 강남동주민센터,2022-07-20
"강남동2",1,,강원도 강릉시 장현동 40-1,37.732262,128.9005753055,,한전주,033-660-3926,강원도 강릉시 강남동주민센터,2022-07-20
"강남동3",1,,강원도 강릉시 장현동 97-2,37.7301257718,128.9007605843,,한전주,033-660-3926,강원도 강릉시 강남동주민센터,2022-07-20
"강남동4",1,,강원도 강릉시 담산동 55-1,37.7178217691,128.9044060336,,한전주,033-660-3926,강원도 강릉시 강남동주민센터,2022-07-20
"강남동5",1,,강원도 강릉시 담산동 55-1,37.7178217691,128.9044060336,,한전주,033-660-3926,강원도 강릉시 강남동주민센터,2022-07-20
"강남동6",1,,강원도 강릉시 담산동 322-3,,,,한전주,033-660-3926,강원도 강릉시 강남동주민센터,2022-07-20
"강남동7",1,,강원도 강릉시 박월동 370,,,,한전주,033-660-3926,강원도 강릉시 강남동주민센터,2022-07-20
"강남동8",1,,강원도 강릉시 박월동 200,37.7169672269,128.9106226657,,한전주,033-660-3926,강원도 강릉시 강남동주민센터,2022-07-20
"강남동9",1,,강원도 강릉시 노암동 80,37.7408516392,128.910394849,,한전주,033-660-3926,강원도 강릉시 강남동주민센터,2022-07-20
"강남동10",1,,강원도 강릉시 노암동 415-2,37.74082297,128.901541,,한전주,033-660-3926,강원도 강릉시 강남동주민센터,2022-07-20
"강남동11",1,,강원도 강릉시 노암동 378-9,37.743559,128.901099,,한전주,033-660-3926,강원도 강릉시 강남동주민센터,2022-07-20
"강남동12",1,,강원도 강릉시 유산동 5662-2,37.732538,128.909807,,한전주,033-660-3926,강원도 강릉시 강남동주민센터,2022-07-20
"강남동13",1,,강원도 강릉시 노암동 254,37.746605,128.905421,,한전주,033-660-3926,강원도 강릉시 강남동주민센터,2022-07-20
"강남동14",1,,강원도 강릉시 노암동 217-1,,,,한전주,033-660-3926,강원도 강릉시 강남동주민센터,2022-07-20
"강남동15",1,,강원도 강릉시 장현동 18-1,37.7330171796,128.8991488351,,한전주,033-660-3926,강원도 강릉시 강남동주민센터,2022-07-20
"강남동16",1,,강원도 강릉시 장현동 27,37.728661,128.909429,,한전주,033-660-3926,강원도 강릉시 강남동주민센터,2022-07-20
"강남동17",1,,강원도 강릉시 장현동 526,37.720054,128.913284,,한전주,033-660-3926,강원도 강릉시 강남동주민센터,2022-07-20
"강남동18",1,,강원도 강릉시 장현동 431-2,37.721458,128.913146,,한전주,033-660-3926,강원도 강릉시 강남동주민센터,2022-07-20
"강남동19",1,,강원도 강릉시 장현동 148,37.731832,128.906731,,한전주,033-660-3926,강원도 강릉시 강남동주민센터,2022-07-20
"강남동20",1,,강원도 강릉시 장현동 162,37.731632,128.904799,,한전주,033-660-3926,강원도 강릉시 강남동주민센터,2022-07-20
"강남동21",1,,강원도 강릉시 장현동 199,37.722049,128.8930369268,,한전주,033-660-3926,강원도 강릉시 강남동주민센터,2022-07-20
"강남동22",1,,강원도 강릉시 장현동 224,,,,한전주,033-660-3926,강원도 강릉시 강남동주민센터,2022-07-20
"강남동23",1,,강원도 강릉시 장현동 282,,,,한전주,033-660-3926,강원도 강릉시 강남동주민센터,2022-07-20
"강남동24",1,,강원도 강릉시 장현동 1,,,,한전주,033-660-3926,강원도 강릉시 강남동주민센터,2022-07-20
"강남동25",1,,강원도 강릉시 장현동 126,,,,한전주,033-660-3926,강원도 강릉시 강남동주민센터,2022-07-20
"강남동26",1,,강원도 강릉시 장현동 116,37.728658,128.901932,,한전주,033-660-3926,강원도 강릉시 강남동주민센터,2022-07-20
"강남동27",1,,강원도 강릉시 장현동 6,37.718459,128.911316,,한전주,033-660-3926,강원도 강릉시 강남동주민센터,2022-07-20
"강남동28",1,,강원도 강릉시 장현동 313,37.7324106604,128.8934014291,,한전주,033-660-3926,강원도 강릉시 강남동주민센터,2022-07-20
"강남동29",1,,강원도 강릉시 장현동 605-3,37.721199,128.910802,,한전주,033-660-3926,강원도 강릉시 강남동주민센터,2022-07-20
"강남동30",1,,강원도 강릉시 장현동 607,37.728723,128.921281,,한전주,033-660-3926,강원도 강릉시 강남동주민센터,2022-07-20
"강남동31",1,,강원도 강릉시 장현동 622,37.720529,128.903513,,한전주,033-660-3926,강원도 강릉시 강남동주민센터,2022-07-20
"강남동32",1,,강원도 강릉시 장현동 376,37.729349,128.889271,,한전주,033-660-3926,강원도 강릉시 강남동주민센터,2022-07-20
"강남동33",1,,강원도 강릉시 장현동 372,37.7290076561,128.8915193477,,한전주,033-660-3926,강원도 강릉시 강남동주민센터,2022-07-20
"강남동34",1,,강원도 강릉시 장현동 376,,,,한전주,033-660-3926,강원도 강릉시 강남동주민센터,2022-07-20
"강남동35",1,,강원도 강릉시 장현동 379,37.727246,128.909509,,한전주,033-660-3926,강원도 강릉시 강남동주민센터,2022-07-20
"강남동36",1,,강원도 강릉시 장현동 288,37.729081,128.908088,,한전주,033-660-3926,강원도 강릉시 강남동주민센터,2022-07-20
"강남동37",1,,강원도 강릉시 장현동 364,37.731424,128.895843,,한전주,033-660-3926,강원도 강릉시 강남동주민센터,2022-07-20
"강남동38",1,,강원도 강릉시 장현동 202,37.7227049265,128.8930821283,,한전주,033-660-3926,강원도 강릉시 강남동주민센터,2022-07-20
"강남동39",1,,강원도 강릉시 장현동 604,37.718819,128.910886,,한전주,033-660-3926,강원도 강릉시 강남동주민센터,2022-07-20
"강남동40",1,,강원도 강릉시 장현동 1,37.727484,128.902484,,한전주,033-660-3926,강원도 강릉시 강남동주민센터,2022-07-20
"강남동41",1,,강원도 강릉시 장현동 429,37.721996,128.914197,,한전주,033-660-3926,강원도 강릉시 강남동주민센터,2022-07-20
"강남동42",1,,강원도 강릉시 장현동 320,37.732322,128.907716,,한전주,033-660-3926,강원도 강릉시 강남동주민센터,2022-07-20
"강남동43",1,,강원도 강릉시 장현동 363,37.7317576942,128.8898944228,,한전주,033-660-3926,강원도 강릉시 강남동주민센터,2022-07-20
"강남동44",1,,강원도 강릉시 장현동 531,,,,한전주,033-660-3926,강원도 강릉시 강남동주민센터,2022-07-20
