"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"천곡동793",1,,강원도 동해시 천곡동 793,37.525567,129.108342,,한전주,033-539-8489,강원도 동해시청,2022-06-15
"천곡동793",1,,강원도 동해시 천곡동 793,37.525323,129.108202,,한전주,033-539-8489,강원도 동해시청,2022-06-15
"천곡동787",1,,강원도 동해시 천곡동 787,37.527349,129.105841,,한전주,033-539-8489,강원도 동해시청,2022-06-15
"천곡동1090-5",1,,강원도 동해시 천곡동 1090-5,37.527211,129.105988,,한전주,033-539-8489,강원도 동해시청,2022-06-15
"천곡동1090-41",1,,강원도 동해시 천곡동 1090-41,37.521709,129.111507,,한전주,033-539-8489,강원도 동해시청,2022-06-15
"천곡동1090-20",1,,강원도 동해시 천곡동 1090-20,37.519604,129.118122,,한전주,033-539-8489,강원도 동해시청,2022-06-15
"천곡동1090-20",1,,강원도 동해시 천곡동 1090-20,37.519881,129.117974,,한전주,033-539-8489,강원도 동해시청,2022-06-15
"천곡동1090-34",1,,강원도 동해시 천곡동 1090-34,37.519641,129.111849,,한전주,033-539-8489,강원도 동해시청,2022-06-15
"천곡동1038-5",1,,강원도 동해시 천곡동 1038-5,37.519629,129.112555,,한전주,033-539-8489,강원도 동해시청,2022-06-15
"천곡동1038-20",1,,강원도 동해시 천곡동 1038-20,37.519206,129.111841,,한전주,033-539-8489,강원도 동해시청,2022-06-15
"천곡동1090-37",1,,강원도 동해시 천곡동 1090-37,37.518281,129.114665,,한전주,033-539-8489,강원도 동해시청,2022-06-15
"천곡동970-48",1,,강원도 동해시 천곡동 970-48,37.517599,129.120438,,한전주,033-539-8489,강원도 동해시청,2022-06-15
"천곡동970-48",1,,강원도 동해시 천곡동 970-48,37.517806,129.121086,,한전주,033-539-8489,강원도 동해시청,2022-06-15
"천곡동1090-32",1,,강원도 동해시 천곡동 1090-32,37.517644,129.114625,,한전주,033-539-8489,강원도 동해시청,2022-06-15
"천곡동1090-25",1,,강원도 동해시 천곡동 1090-25,37.517492,129.120187,,한전주,033-539-8489,강원도 동해시청,2022-06-15
"천곡동1090-25",1,,강원도 동해시 천곡동 1090-25,37.517257,129.119634,,한전주,033-539-8489,강원도 동해시청,2022-06-15
"천곡동1090-25",1,,강원도 동해시 천곡동 1090-25,37.517008,129.119152,,한전주,033-539-8489,강원도 동해시청,2022-06-15
"천곡동1090-29",1,,강원도 동해시 천곡동 1090-29,37.515446,129.123227,,한전주,033-539-8489,강원도 동해시청,2022-06-15
"천곡동84-14",1,,강원도 동해시 천곡동 84-14,37.515303,129.122899,,한전주,033-539-8489,강원도 동해시청,2022-06-15
"천곡동1090-31",1,,강원도 동해시 천곡동 1090-31,37.515383,129.117123,,한전주,033-539-8489,강원도 동해시청,2022-06-15
"묵호진동1-66",1,,강원도 동해시 묵호진동 1-66,37.556421,129.113168,,한전주,033-539-8489,강원도 동해시청,2022-06-15
"효가동176-12",1,,강원도 동해시 효가동 176-12,37.494579,129.109921,,한전주,033-539-8489,강원도 동해시청,2022-06-15
"부곡동5-131",1,,강원도 동해시 부곡동 5-131,37.540531,129.108701,,한전주,033-539-8489,강원도 동해시청,2022-06-15
"부곡동4-54",1,,강원도 동해시 부곡동 4-54,37.540016,129.110562,,한전주,033-539-8489,강원도 동해시청,2022-06-15
"부곡동12-21",1,,강원도 동해시 부곡동 12-21,37.538231,129.110824,,한전주,033-539-8489,강원도 동해시청,2022-06-15
"부곡동12-21",1,,강원도 동해시 부곡동 12-21,37.538598,129.110586,,한전주,033-539-8489,강원도 동해시청,2022-06-15
