"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"가곡면001",1,강원도 삼척시 가곡면 가곡천로 149-3,강원도 삼척시 가곡면 동활리 286-3,37.17403876,129.140054,,한전주,033-570-3944,강원도 삼척시청 도시과,2022-07-07
"가곡면002",1,강원도 삼척시 가곡면 가곡천로 249,강원도 삼척시 가곡면 동활리 산3,37.16848662,129.1461524,,한전주,033-570-3944,강원도 삼척시청 도시과,2022-07-07
"가곡면003",1,,강원도 삼척시 가곡면 동활리 산55-15,,,,한전주,033-570-3944,강원도 삼척시청 도시과,2022-07-07
"가곡면004",1,,강원도 삼척시 가곡면 동활리 296,37.14642226,129.1491066,,한전주,033-570-3944,강원도 삼척시청 도시과,2022-07-07
"가곡면005",1,강원도 삼척시 가곡면 동활길 34,강원도 삼척시 가곡면 동활리 296,37.1524488,129.1424487,,한전주,033-570-3944,강원도 삼척시청 도시과,2022-07-07
"가곡면006",1,강원도 삼척시 가곡면 동활길 80,강원도 삼척시 가곡면 동활리 80,37.15263266,129.140401,,한전주,033-570-3944,강원도 삼척시청 도시과,2022-07-07
"가곡면007",1,,강원도 삼척시 가곡면 동활리 181,,,,한전주,033-570-3944,강원도 삼척시청 도시과,2022-07-07
"가곡면008",1,,강원도 삼척시 가곡면 동활리 296,37.14642226,129.1491066,,한전주,033-570-3944,강원도 삼척시청 도시과,2022-07-07
"가곡면009",1,,강원도 삼척시 가곡면 동활리 산7,,,,한전주,033-570-3944,강원도 삼척시청 도시과,2022-07-07
"가곡면010",1,,강원도 삼척시 가곡면 동활리 198,,,,한전주,033-570-3944,강원도 삼척시청 도시과,2022-07-07
"가곡면011",1,,강원도 삼척시 가곡면 동활리 296,37.14642226,129.1491066,,한전주,033-570-3944,강원도 삼척시청 도시과,2022-07-07
"가곡면012",1,강원도 삼척시 가곡면 가곡천로 534,강원도 삼척시 가곡면 동활리 162-4,37.1493991,129.1454118,,한전주,033-570-3944,강원도 삼척시청 도시과,2022-07-07
"가곡면013",1,강원도 삼척시 가곡면 가곡천로 550,강원도 삼척시 가곡면 동활리 152-1,37.14808386,129.1458609,,한전주,033-570-3944,강원도 삼척시청 도시과,2022-07-07
"가곡면014",1,,강원도 삼척시 가곡면 동활리 161,37.14807875,129.1454669,,한전주,033-570-3944,강원도 삼척시청 도시과,2022-07-07
"가곡면015",1,강원도 삼척시 가곡면 가곡천로 551-17,강원도 삼척시 가곡면 동활리 153,37.14766142,129.1442547,,한전주,033-570-3944,강원도 삼척시청 도시과,2022-07-07
"가곡면016",1,강원도 삼척시 가곡면 가곡천로 554-25,강원도 삼척시 가곡면 동활리 151,37.14774702,129.143308,,한전주,033-570-3944,강원도 삼척시청 도시과,2022-07-07
"가곡면017",1,,강원도 삼척시 가곡면 동활리 296,37.14642226,129.1491066,,한전주,033-570-3944,강원도 삼척시청 도시과,2022-07-07
"가곡면018",1,강원도 삼척시 가곡면 가곡천로 561-5,강원도 삼척시 가곡면 동활리 136-6,37.14747094,129.1469827,,한전주,033-570-3944,강원도 삼척시청 도시과,2022-07-07
"가곡면019",1,강원도 삼척시 가곡면 가곡천로 568-17,강원도 삼척시 가곡면 동활리 149,37.14726884,129.1448552,,한전주,033-570-3944,강원도 삼척시청 도시과,2022-07-07
"가곡면020",1,강원도 삼척시 가곡면 가곡천로 572-3,강원도 삼척시 가곡면 동활리 산22-18,,,,전용주,033-570-3944,강원도 삼척시청 도시과,2022-07-07
"가곡면021",1,강원도 삼척시 가곡면 가곡천로 561-12,강원도 삼척시 가곡면 동활리 137-3,37.1468571,129.1476822,,한전주,033-570-3944,강원도 삼척시청 도시과,2022-07-07
"가곡면022",1,강원도 삼척시 가곡면 가곡천로 595,강원도 삼척시 가곡면 동활리 133-3,37.14642226,129.1491066,,한전주,033-570-3944,강원도 삼척시청 도시과,2022-07-07
"가곡면023",1,강원도 삼척시 가곡면 가곡천로 645,강원도 삼척시 가곡면 동활리 125-5,37.14237727,129.1489981,,한전주,033-570-3944,강원도 삼척시청 도시과,2022-07-07
"가곡면024",1,,강원도 삼척시 가곡면 동활리 121,37.14188398,129.1473911,,한전주,033-570-3944,강원도 삼척시청 도시과,2022-07-07
"가곡면025",1,,강원도 삼척시 가곡면 동활리 81-2,,,,한전주,033-570-3944,강원도 삼척시청 도시과,2022-07-07
"가곡면026",1,,강원도 삼척시 가곡면 동활리 76-2,,,,한전주,033-570-3944,강원도 삼척시청 도시과,2022-07-07
"가곡면027",1,,강원도 삼척시 가곡면 동활리 산24-3,,,,한전주,033-570-3944,강원도 삼척시청 도시과,2022-07-07
"가곡면028",1,,강원도 삼척시 가곡면 동활리 산28,,,,한전주,033-570-3944,강원도 삼척시청 도시과,2022-07-07
"가곡면029",1,,강원도 삼척시 가곡면 동활리 296,37.14642226,129.1491066,,한전주,033-570-3944,강원도 삼척시청 도시과,2022-07-07
"가곡면030",1,강원도 삼척시 가곡면 가곡천로 797-4,강원도 삼척시 가곡면 동활리 36-1,37.13415978,129.156349,,한전주,033-570-3944,강원도 삼척시청 도시과,2022-07-07
"가곡면034",0,,강원도 삼척시 가곡면 동활리 125-1,37.14237727,129.1489981,2016,,033-570-3944,강원도 삼척시청 도시과,2022-07-07
"가곡면035",1,,강원도 삼척시 가곡면 351-2,,,,한전주,033-570-3944,강원도 삼척시청 도시과,2022-07-07
"가곡면036",1,,강원도 삼척시 가곡면 600,,,,한전주,033-570-3944,강원도 삼척시청 도시과,2022-07-07
"가곡면037",1,,강원도 삼척시 가곡면 탕곡리 97-1,37.14865027,129.2273799,2017,한전주,033-570-3944,강원도 삼척시청 도시과,2022-07-07
"가곡면038",1,,강원도 삼척시 가곡면 151-4,,,,한전주,033-570-3944,강원도 삼척시청 도시과,2022-07-07
"가곡면039",1,,강원도 삼척시 가곡면 153-4,,,,한전주,033-570-3944,강원도 삼척시청 도시과,2022-07-07
"가곡면040",1,,강원도 삼척시 가곡면 오저리 65,37.1530418,129.2012219,2017,한전주,033-570-3944,강원도 삼척시청 도시과,2022-07-07
"가곡면041",1,,강원도 삼척시 도계읍 도계리 125-5,,,2017,한전주,033-570-3944,강원도 삼척시청 도시과,2022-07-07
"가곡면042",1,,강원도 삼척시 가곡면 탕곡리 산 40-1,,,2018,한전주,033-570-3944,강원도 삼척시청 도시과,2022-07-07
"가곡면043",1,,강원도 삼척시 가곡면 탕곡리 산 40-1,,,2018,한전주,033-570-3944,강원도 삼척시청 도시과,2022-07-07
"가곡면044",1,,강원도 삼척시 가곡면 탕곡리 190-1,37.15027143,129.2238347,2018,한전주,033-570-3944,강원도 삼척시청 도시과,2022-07-07
"가곡면045",0,,강원도 삼척시 가곡면 동활리 25-4,,,2019,,033-570-3944,강원도 삼척시청 도시과,2022-07-07
"가곡면046",0,,강원도 삼척시 가곡면 동활리 54-7,,,2019,,033-570-3944,강원도 삼척시청 도시과,2022-07-07
"가곡면047",0,,강원도 삼척시 가곡면 동활리 68-1,,,2019,,033-570-3944,강원도 삼척시청 도시과,2022-07-07
"가곡면048",0,,강원도 삼척시 산 17,,,2019,,033-570-3944,강원도 삼척시청 도시과,2022-07-07
"가곡면049",1,,강원도 삼척시 가곡면 동활리 157,,,2021,한전주,033-570-3944,강원도 삼척시청 도시과,2022-07-07
"가곡면050",1,,강원도 삼척시 가곡면 동활리 134-3,,,2021,한전주,033-570-3944,강원도 삼척시청 도시과,2022-07-07
