"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"교동001",1,,강원도 속초시 교동 1002,38.1943248826,128.5731659,1990,한전주,033-639-2481,강원도 속초시청,2022-07-06
"교동002",1,,강원도 속초시 교동 969-5,38.1941537753,128.5730844,1990,전용주,033-639-2481,강원도 속초시청,2022-07-06
"교동003",1,,강원도 속초시 교동 969-2,38.1945246,128.5729866109,1990,한전주,033-639-2481,강원도 속초시청,2022-07-06
"교동004",1,,강원도 속초시 교동 969,38.1947910483,128.5729421452,1990,한전주,033-639-2481,강원도 속초시청,2022-07-06
"교동005",1,,강원도 속초시 교동 995,38.1955287785,128.5730572,1990,한전주,033-639-2481,강원도 속초시청,2022-07-06
"교동006",1,,강원도 속초시 교동 995,38.1955287785,128.5730866168,1990,전용주,033-639-2481,강원도 속초시청,2022-07-06
"교동007",1,,강원도 속초시 교동 964-14,38.1956058,128.5732000857,1990,한전주,033-639-2481,강원도 속초시청,2022-07-06
"교동008",1,,강원도 속초시 교동 964-15,38.1957766170,128.5732123052,1990,전용주,033-639-2481,강원도 속초시청,2022-07-06
"교동009",1,,강원도 속초시 교동 995,38.1955287785,128.5730866168,1990,한전주,033-639-2481,강원도 속초시청,2022-07-06
"교동010",1,,강원도 속초시 교동 962-8,38.1960217,128.5734505048,1990,전용주,033-639-2481,강원도 속초시청,2022-07-06
"교동011",1,,강원도 속초시 교동 996,38.1954687100,128.5734997872,1990,한전주,033-639-2481,강원도 속초시청,2022-07-06
"교동012",1,,강원도 속초시 교동 996,38.1954687100,128.5734997872,1990,전용주,033-639-2481,강원도 속초시청,2022-07-06
"교동013",1,,강원도 속초시 교동 971,38.1948349,128.5736446115,1990,한전주,033-639-2481,강원도 속초시청,2022-07-06
"교동014",1,,강원도 속초시 교동 971-12,38.1945881421,128.5736576933,1990,한전주,033-639-2481,강원도 속초시청,2022-07-06
"교동015",1,,강원도 속초시 교동 1007,38.1940045,128.5739684352,1990,한전주,033-639-2481,강원도 속초시청,2022-07-06
