"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치년도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"파로호인공습지 자전거길 보안등",2,,강원도 양구군 양구읍 하리 126-5,,,,,033-480-2237,강원도 양구군청,2017-11-16
"파로호인공습지 자전거길 보안등",2,,강원도 양구군 양구읍 하리 229,,,,,033-480-2237,강원도 양구군청,2017-11-16
"파로호인공습지 자전거길 보안등",1,,강원도 양구군 양구읍 하리 609-1,,,,,033-480-2237,강원도 양구군청,2017-11-16
"파로호인공습지 자전거길 보안등",2,,강원도 양구군 양구읍 하리 627-2,,,,,033-480-2237,강원도 양구군청,2017-11-16
"파로호인공습지 자전거길 보안등",1,,강원도 양구군 양구읍 하리 625-10,,,,,033-480-2237,강원도 양구군청,2017-11-16
"파로호인공습지 자전거길 보안등",6,,강원도 양구군 양구읍 하리 625-1,,,,,033-480-2237,강원도 양구군청,2017-11-16
"파로호인공습지 자전거길 보안등",8,,강원도 양구군 양구읍 하리 481-3,,,,,033-480-2237,강원도 양구군청,2017-11-16
"파로호인공습지 자전거길 보안등",10,,강원도 양구군 양구읍 하리 570-1,,,,,033-480-2237,강원도 양구군청,2017-11-16
"파로호인공습지 자전거길 보안등",2,,강원도 양구군 양구읍 하리 128-4,,,,,033-480-2237,강원도 양구군청,2017-11-16
"파로호인공습지 자전거길 보안등",3,,강원도 양구군 양구읍 하리 492-6,,,,,033-480-2237,강원도 양구군청,2017-11-16
"파로호인공습지 자전거길 보안등",2,,강원도 양구군 양구읍 하리 496-22,,,,,033-480-2237,강원도 양구군청,2017-11-16
"파로호인공습지 자전거길 보안등",5,,강원도 양구군 양구읍 하리 497-1,,,,,033-480-2237,강원도 양구군청,2017-11-16
"파로호인공습지 자전거길 보안등",2,,강원도 양구군 양구읍 하리 517-15,,,,,033-480-2237,강원도 양구군청,2017-11-16
"파로호인공습지 자전거길 보안등",2,,강원도 양구군 양구읍 하리 532-22,,,,,033-480-2237,강원도 양구군청,2017-11-16
"파로호인공습지 자전거길 보안등",2,,강원도 양구군 양구읍 하리 530-19,,,,,033-480-2237,강원도 양구군청,2017-11-16
