"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"강현면 물갑리 254-11",1,,강원도 양양군 강현면 물갑리 254-11,38.11887347,128.5711576,,,033-670-2237,강원도 양양군청,2023-01-10
"강현면 물갑리 254-3",1,,강원도 양양군 강현면 물갑리 254-3,38.118676,128.571993,,,033-670-2237,강원도 양양군청,2023-01-10
"강현면 물갑리 451",1,,강원도 양양군 강현면 물갑리 451,38.11661053,128.5748278,,,033-670-2237,강원도 양양군청,2023-01-10
"강현면 물갑리 56-1",1,,강원도 양양군 강현면 물갑리 56-1,38.115714,128.5748465,,,033-670-2237,강원도 양양군청,2023-01-10
"강현면 물갑리 56-1",1,,강원도 양양군 강현면 물갑리 56-1,38.115714,128.574855,,,033-670-2237,강원도 양양군청,2023-01-10
"강현면 물갑리 81-1",1,,강원도 양양군 강현면 물갑리 81-1,38.11495137,128.5737811,,,033-670-2237,강원도 양양군청,2023-01-10
"강현면 물갑리 산 81",1,,강원도 양양군 강현면 물갑리 산 81,38.11607362,128.5738879,,,033-670-2237,강원도 양양군청,2023-01-10
"강현면 물갑리 452",1,,강원도 양양군 강현면 물갑리 452,38.11493437,128.572968,,,033-670-2237,강원도 양양군청,2023-01-10
"강현면 물갑리 231-2",1,,강원도 양양군 강현면 물갑리 231-2,38.11403842,128.5725985,,,033-670-2237,강원도 양양군청,2023-01-10
"강현면 물갑리 454",1,,강원도 양양군 강현면 물갑리 454,38.11424657,128.571056,,,033-670-2237,강원도 양양군청,2023-01-10
"강현면 물갑리 140-3",1,,강원도 양양군 강현면 물갑리 140-3,38.1138025,128.570687,,,033-670-2237,강원도 양양군청,2023-01-10
"강현면 물갑리 산 23",1,,강원도 양양군 강현면 물갑리 산 23,38.11412246,128.5688532,,,033-670-2237,강원도 양양군청,2023-01-10
"강현면 물갑리 199-1",1,,강원도 양양군 강현면 물갑리 199-1,,,,,033-670-2237,강원도 양양군청,2023-01-10
"강현면 물갑리 187",1,,강원도 양양군 강현면 물갑리 187,38.11565124,128.5666827,,,033-670-2237,강원도 양양군청,2023-01-10
"강현면 물갑리 139",1,,강원도 양양군 강현면 물갑리 139,38.11342625,128.5716075,,,033-670-2237,강원도 양양군청,2023-01-10
"강현면 물갑리 산 14",1,,강원도 양양군 강현면 물갑리 산 14,,,,,033-670-2237,강원도 양양군청,2023-01-10
"강현면 물갑리 135-2",1,,강원도 양양군 강현면 물갑리 135-2,38.11216736,128.5714739,,,033-670-2237,강원도 양양군청,2023-01-10
"강현면 물갑리 113-2",1,,강원도 양양군 강현면 물갑리 113-2,,,,,033-670-2237,강원도 양양군청,2023-01-10
"강현면 물갑리 124-1",1,,강원도 양양군 강현면 물갑리 124-1,38.11015374,128.575123,,,033-670-2237,강원도 양양군청,2023-01-10
"강현면 물갑리 96-2",1,,강원도 양양군 강현면 물갑리 96-2,,,,,033-670-2237,강원도 양양군청,2023-01-10
"강현면 물갑리 453",1,,강원도 양양군 강현면 물갑리 453,38.11419424,128.5718275,,,033-670-2237,강원도 양양군청,2023-01-10
"강현면 물갑리 86-2",1,,강원도 양양군 강현면 물갑리 86-2,38.11465274,128.5753252,,,033-670-2237,강원도 양양군청,2023-01-10
"강현면 물갑리 94-1",1,,강원도 양양군 강현면 물갑리 94-1,38.114252,128.5774546,,,033-670-2237,강원도 양양군청,2023-01-10
"강현면 사교리 204-1",1,,강원도 양양군 강현면 사교리 204-1,38.11471577,128.5806454,,,033-670-2237,강원도 양양군청,2023-01-10
"강현면 사교리 산 88",1,,강원도 양양군 강현면 사교리 산 88,38.11655214,128.5799014,,,033-670-2237,강원도 양양군청,2023-01-10
"강현면 사교리 209-5",1,,강원도 양양군 강현면 사교리 209-5,38.11470744,128.5827544,,,033-670-2237,강원도 양양군청,2023-01-10
"강현면 사교리 194-1",1,,강원도 양양군 강현면 사교리 194-1,38.114334,128.584238,,,033-670-2237,강원도 양양군청,2023-01-10
