"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"가현동001",1,강원도 원주시 가현로 10-1,강원도 원주시 가현동 64-41,37.386400340,127.946840815,2014,전용주,033-737-5995,강원도 원주시청,2022-11-02
"가현동003",1,강원도 원주시 가현로 16-8,강원도 원주시 가현동 64-48,37.386408646,127.946077983,2014,한전주,033-737-5995,강원도 원주시청,2022-11-02
"가현동004",1,강원도 원주시 가현로 16-14,강원도 원주시 가현동 64-45,37.386762520,127.946030723,2014,한전주,033-737-5995,강원도 원주시청,2022-11-02
"가현동005",1,강원도 원주시 가현로 26-6,강원도 원주시 가현동 64-16,37.386509981,127.944782905,2014,한전주,033-737-5995,강원도 원주시청,2022-11-02
"가현동006",1,강원도 원주시 가현로 26-16,강원도 원주시 가현동 64-39,37.386616665,127.944533449,2014,한전주,033-737-5995,강원도 원주시청,2022-11-02
"가현동007",1,강원도 원주시 가현로 26-22,강원도 원주시 가현동 64-74,37.386804526,127.944375476,2014,한전주,033-737-5995,강원도 원주시청,2022-11-02
"가현동008",1,강원도 원주시 가현로 26-28,강원도 원주시 가현동 64-72,37.387060467,127.944413126,2014,한전주,033-737-5995,강원도 원주시청,2022-11-02
"가현동009",1,강원도 원주시 가현로 52-17,강원도 원주시 가현동 62-8,37.386649075,127.943962749,2014,전용주,033-737-5995,강원도 원주시청,2022-11-02
"가현동010",1,,강원도 원주시 가현동   62-18,37.386417775,127.943916148,2014,전용주,033-737-5995,강원도 원주시청,2022-11-02
"가현동012",1,강원도 원주시 가현로 54-1,강원도 원주시 가현동 132-6,37.387203126,127.943133433,2014,한전주,033-737-5995,강원도 원주시청,2022-11-02
"가현동013",1,강원도 원주시 가현로 46-11,강원도 원주시 가현동 63,37.386344710,127.943739736,2014,전용주,033-737-5995,강원도 원주시청,2022-11-02
"가현동014",1,강원도 원주시 가현로 46-5,강원도 원주시 가현동 62-19,37.386473666,127.943406808,2014,전용주,033-737-5995,강원도 원주시청,2022-11-02
"가현동018",1,강원도 원주시 가현로 43-3,강원도 원주시 가현동 126-1,37.386153846,127.942600657,2014,전용주,033-737-5995,강원도 원주시청,2022-11-02
"가현동021",1,강원도 원주시 가현로 39-4,강원도 원주시 가현동 125-3,37.385947953,127.942873928,2014,한전주,033-737-5995,강원도 원주시청,2022-11-02
"가현동022",1,강원도 원주시 가현로 39-14,강원도 원주시 가현동 125-14,37.385919167,127.942189986,2014,전용주,033-737-5995,강원도 원주시청,2022-11-02
"가현동029",1,강원도 원주시 청룡마을길 65,강원도 원주시 가현동 101-8,37.383677762,127.941897050,2016,전용주,033-737-5995,강원도 원주시청,2022-11-02
"가현동030",1,강원도 원주시 청룡마을길 65,강원도 원주시 가현동 101-8,37.383677762,127.941897050,2014,한전주,033-737-5995,강원도 원주시청,2022-11-02
"가현동031",1,강원도 원주시 청룡마을길 55,강원도 원주시 가현동 101-42,37.383636610,127.942674264,2014,한전주,033-737-5995,강원도 원주시청,2022-11-02
"가현동032",1,,강원도 원주시 가현동   101-59,37.383741799,127.943375185,2014,한전주,033-737-5995,강원도 원주시청,2022-11-02
"가현동033",1,,강원도 원주시 가현동   99-1,37.383922307,127.945011453,2014,한전주,033-737-5995,강원도 원주시청,2022-11-02
"가현동034",1,강원도 원주시 청룡마을길 31,강원도 원주시 가현동 101,37.383758664,127.944800433,2014,한전주,033-737-5995,강원도 원주시청,2022-11-02
"가현동035",1,강원도 원주시 청룡마을길 31,강원도 원주시 가현동 101,37.383758664,127.944800433,2014,한전주,033-737-5995,강원도 원주시청,2022-11-02
"가현동036",1,강원도 원주시 청룡마을길 23,강원도 원주시 가현동 101-31,37.383865201,127.945633230,2014,한전주,033-737-5995,강원도 원주시청,2022-11-02
"가현동037",1,강원도 원주시 청룡마을길 21,강원도 원주시 가현동 101-29,37.383875413,127.945727090,2014,한전주,033-737-5995,강원도 원주시청,2022-11-02
"가현동038",1,강원도 원주시 청룡마을길 21,강원도 원주시 가현동 101-29,37.383875413,127.945727090,2014,한전주,033-737-5995,강원도 원주시청,2022-11-02
"가현동039",1,강원도 원주시 청룡마을길 5,강원도 원주시 가현동 101-22,37.383826977,127.946593557,2014,한전주,033-737-5995,강원도 원주시청,2022-11-02
"가현동041",1,강원도 원주시 자은향길 96,강원도 원주시 가현동 632-2,37.381436801,127.927111464,2014,한전주,033-737-5995,강원도 원주시청,2022-11-02
"가현동043",1,강원도 원주시 우두산길 168,강원도 원주시 가현동 548-2,37.386589013,127.931894193,2014,전용주,033-737-5995,강원도 원주시청,2022-11-02
"가현동045",1,강원도 원주시 저금어지길 397,강원도 원주시 가현동 487,37.389514341,127.930325409,2014,한전주,033-737-5995,강원도 원주시청,2022-11-02
"가현동046",1,강원도 원주시 점실길 31,강원도 원주시 가현동 456-3,37.390176651,127.930065817,2014,한전주,033-737-5995,강원도 원주시청,2022-11-02
"가현동047",1,,강원도 원주시 가현동   495-2,37.389133132,127.928121056,2014,한전주,033-737-5995,강원도 원주시청,2022-11-02
"가현동048",1,강원도 원주시 점실길 12,강원도 원주시 가현동 454-1,37.391681647,127.931332520,2014,한전주,033-737-5995,강원도 원주시청,2022-11-02
"가현동049",1,,강원도 원주시 가현동   460,37.391563424,127.930762013,2014,한전주,033-737-5995,강원도 원주시청,2022-11-02
"가현동050",1,강원도 원주시 점실길 14,강원도 원주시 가현동 454-2,37.391789799,127.930979985,2014,한전주,033-737-5995,강원도 원주시청,2022-11-02
"가현동051",1,,강원도 원주시 가현동   426,37.391530359,127.932305266,2014,전용주,033-737-5995,강원도 원주시청,2022-11-02
"가현동054",1,,강원도 원주시 가현동   433-10,37.391996116,127.933683783,2014,한전주,033-737-5995,강원도 원주시청,2022-11-02
"가현동056",1,강원도 원주시 점실길 59,강원도 원주시 가현동 477-2,37.390395472,127.928166143,2014,한전주,033-737-5995,강원도 원주시청,2022-11-02
"가현동057",1,강원도 원주시 점실길 64,강원도 원주시 가현동 497-12,37.390166372,127.927623671,2014,한전주,033-737-5995,강원도 원주시청,2022-11-02
"가현동058",1,,강원도 원주시 가현동   502,37.388269550,127.926608730,2014,한전주,033-737-5995,강원도 원주시청,2022-11-02
"가현동059",1,,강원도 원주시 가현동   679,37.387800560,127.925930521,2014,한전주,033-737-5995,강원도 원주시청,2022-11-02
"가현동060",1,강원도 원주시 저금어지길 347,강원도 원주시 가현동 685,37.388046354,127.924930215,2014,한전주,033-737-5995,강원도 원주시청,2022-11-02
"가현동061",1,,강원도 원주시 가현동   704,37.387610118,127.920868309,2014,한전주,033-737-5995,강원도 원주시청,2022-11-02
"가현동062",1,,강원도 원주시 가현동   476,37.390613393,127.927900040,2014,한전주,033-737-5995,강원도 원주시청,2022-11-02
"가현동063",1,,강원도 원주시 가현동   산 48-6,37.385304671,127.929169760,2014,한전주,033-737-5995,강원도 원주시청,2022-11-02
"가현동064",1,강원도 원주시 저금어지길 311-16,강원도 원주시 가현동 694,37.388695245,127.920381255,2014,한전주,033-737-5995,강원도 원주시청,2022-11-02
"가현동065",1,강원도 원주시 저금어지길 311-18,강원도 원주시 가현동 694-1,37.388628696,127.920280221,2014,한전주,033-737-5995,강원도 원주시청,2022-11-02
"가현동066",1,,강원도 원주시 가현동   661,37.386921831,127.921643399,2014,한전주,033-737-5995,강원도 원주시청,2022-11-02
"가현동067",1,,강원도 원주시 가현동   657,37.386020425,127.921757957,2014,한전주,033-737-5995,강원도 원주시청,2022-11-02
"가현동068",1,,강원도 원주시 가현동   산 77,37.385431745,127.920755108,2014,한전주,033-737-5995,강원도 원주시청,2022-11-02
"가현동069",1,,강원도 원주시 가현동   651,37.384581032,127.921455158,2014,한전주,033-737-5995,강원도 원주시청,2022-11-02
"가현동070",1,,강원도 원주시 가현동   641-2,37.383161382,127.922056712,2014,한전주,033-737-5995,강원도 원주시청,2022-11-02
"가현동071",1,,강원도 원주시 가현동   637,37.382721079,127.922850314,2014,한전주,033-737-5995,강원도 원주시청,2022-11-02
"가현동073",1,강원도 원주시 봉장길 29,강원도 원주시 가현동 346-8,37.396521511,127.933530991,2014,한전주,033-737-5995,강원도 원주시청,2022-11-02
"가현동074",1,,강원도 원주시 가현동   346-20,37.396803167,127.933100601,2014,한전주,033-737-5995,강원도 원주시청,2022-11-02
"가현동075",1,강원도 원주시 봉장길 42,강원도 원주시 가현동 319-6,37.397069989,127.932486182,2014,한전주,033-737-5995,강원도 원주시청,2022-11-02
"가현동076",1,강원도 원주시 봉장길 50,강원도 원주시 가현동 327-3,37.396831063,127.931558208,2014,한전주,033-737-5995,강원도 원주시청,2022-11-02
"가현동077",1,강원도 원주시 봉장길 53-2,강원도 원주시 가현동 343-4,37.396197561,127.931700162,2014,한전주,033-737-5995,강원도 원주시청,2022-11-02
"가현동078",1,강원도 원주시 봉장길 64,강원도 원주시 가현동 333,37.395630366,127.931322405,2014,한전주,033-737-5995,강원도 원주시청,2022-11-02
