"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"북-가상분전반03",15,,강원도 인제군 북면 원통리 730-6,,,,,033-460-2122,강원도 인제군청,2022-06-07
"북-단방향6(미수전)",0,,강원도 인제군 북면 원통리 383-7,,,,,033-460-2122,강원도 인제군청,2022-06-07
"북-단방향4",9,,강원도 인제군 북면 원통리 661-21,38.12524111,128.2061525,,,033-460-2122,강원도 인제군청,2022-06-07
"북-가상분전반04",15,,강원도 인제군 북면 원통리 766-3,38.1162632,128.1985748,,,033-460-2122,강원도 인제군청,2022-06-07
"북-단방향7(미수전)",0,,강원도 인제군 북면 원통리 556-24,,,,,033-460-2122,강원도 인제군청,2022-06-07
"북-단방향5",2,,강원도 인제군 북면 원통리 666-5,,,,,033-460-2122,강원도 인제군청,2022-06-07
"북-타사",24,,강원도 인제군 북면 원통리 900-11,,,,,033-460-2122,강원도 인제군청,2022-06-07
"북-임시01",37,,강원도 인제군 북면 원통리 1708,38.11688967,128.2018007,,,033-460-2122,강원도 인제군청,2022-06-07
"북-임시02(북면-4)",7,,강원도 인제군 북면 원통리 739-1,,,,,033-460-2122,강원도 인제군청,2022-06-07
"북-가상분전반02",13,,강원도 인제군 북면 원통리 1260-1,,,,,033-460-2122,강원도 인제군청,2022-06-07
"북-가상분전반01",12,,강원도 인제군 북면 원통리 620-5,,,,,033-460-2122,강원도 인제군청,2022-06-07
"기린-05/99",1,,강원도 인제군 기린면 현리 833-3,,,,,033-460-2122,강원도 인제군청,2022-06-07
"기린-04/98",1,,강원도 인제군 기린면 현리 312,,,,,033-460-2122,강원도 인제군청,2022-06-07
"남-10/97",1,,강원도 인제군 남면 신남리 305-1,37.96637447,128.0811819,,,033-460-2122,강원도 인제군청,2022-06-07
"기린-06/100",1,,강원도 인제군 기린면 현리 639-2,37.95455637,128.3178009,,,033-460-2122,강원도 인제군청,2022-06-07
"기린-11/105",1,,강원도 인제군 기린면 현리 425-29,37.95750716,128.3188094,,,033-460-2122,강원도 인제군청,2022-06-07
"기린-10/104",1,,강원도 인제군 기린면 현리 416-5,37.95681843,128.3185286,,,033-460-2122,강원도 인제군청,2022-06-07
