"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"(구)갈말읍764",1,,강원도 철원군 갈말읍 상사리 608-3,,,,,033-450-5200,강원도 철원군청,2021-10-21
"갈말01 0549",1,,강원도 철원군 갈말읍 군탄리 1312-20,,,,,033-450-5200,강원도 철원군청,2021-10-21
"갈말01 0550",1,,강원도 철원군 갈말읍 내대리 615-1,,,,,033-450-5200,강원도 철원군청,2021-10-21
"갈말01 0551",1,,강원도 철원군 갈말읍 군탄리 1508,,,,,033-450-5200,강원도 철원군청,2021-10-21
"갈말01 0552",1,,강원도 철원군 갈말읍 군탄리 1493-1,,,,,033-450-5200,강원도 철원군청,2021-10-21
"갈말01 0553",1,,강원도 철원군 갈말읍 신철원리 616-1,,,,,033-450-5200,강원도 철원군청,2021-10-21
"갈말01 0554",1,,강원도 철원군 갈말읍 내대리 615-1,,,,,033-450-5200,강원도 철원군청,2021-10-21
"갈말01 0555",1,,강원도 철원군 갈말읍 신철원리 649-4,,,,,033-450-5200,강원도 철원군청,2021-10-21
"갈말01 0556",1,,강원도 철원군 갈말읍 군탄리 1275-40,,,,,033-450-5200,강원도 철원군청,2021-10-21
"갈말01 0557",1,,강원도 철원군 갈말읍 내대리 615-1,,,,,033-450-5200,강원도 철원군청,2021-10-21
"갈말01 0558",1,,강원도 철원군 갈말읍 신철원리 649-4,,,,,033-450-5200,강원도 철원군청,2021-10-21
"갈말읍0001",1,,강원도 철원군 갈말읍 군탄리 754-2,,,,,033-450-5200,강원도 철원군청,2021-10-21
"갈말읍0002",1,,강원도 철원군 갈말읍 군탄리 673-10,,,,,033-450-5200,강원도 철원군청,2021-10-21
"갈말읍0003",1,,강원도 철원군 갈말읍 군탄리 715-3,,,,,033-450-5200,강원도 철원군청,2021-10-21
"갈말읍0004",1,,강원도 철원군 갈말읍 군탄리 713-1,,,,,033-450-5200,강원도 철원군청,2021-10-21
"갈말읍0005",1,,강원도 철원군 갈말읍 군탄리 713-1,,,,,033-450-5200,강원도 철원군청,2021-10-21
"갈말읍0006",1,,강원도 철원군 갈말읍 군탄리 산68-4,,,,,033-450-5200,강원도 철원군청,2021-10-21
"갈말읍0007",1,,강원도 철원군 갈말읍 군탄리 산68-3,,,,,033-450-5200,강원도 철원군청,2021-10-21
"갈말읍0008",1,,강원도 철원군 갈말읍 군탄리 707-26,,,,,033-450-5200,강원도 철원군청,2021-10-21
"갈말읍0009",1,,강원도 철원군 갈말읍 군탄리 산66-2,,,,,033-450-5200,강원도 철원군청,2021-10-21
"갈말읍0010",1,,강원도 철원군 갈말읍 군탄리 산66-2,,,,,033-450-5200,강원도 철원군청,2021-10-21
"갈말읍0011",1,,강원도 철원군 갈말읍 군탄리 707-29,,,,,033-450-5200,강원도 철원군청,2021-10-21
"갈말읍0012",1,,강원도 철원군 갈말읍 군탄리 산65-4,,,,,033-450-5200,강원도 철원군청,2021-10-21
