"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
01-001,1,,강원도 춘천시 신북읍 발산리 30-5,37.955566,127.769302,,,033-250-3441,강원도 춘천시청,2023-01-03
01-002,1,,강원도 춘천시 신북읍 발산리 20-16,37.958485,127.769875,,,033-250-3441,강원도 춘천시청,2023-01-03
01-003,1,,강원도 춘천시 신북읍 발산리 161-5,37.961662,127.765991,,,033-250-3441,강원도 춘천시청,2023-01-03
01-004,1,,강원도 춘천시 신북읍 발산리 180-5,37.963448,127.766739,,,033-250-3441,강원도 춘천시청,2023-01-03
01-005,1,,강원도 춘천시 신북읍 발산리 473-10,37.952503,127.759316,,,033-250-3441,강원도 춘천시청,2023-01-03
01-006,1,,강원도 춘천시 신북읍 산천리 308-3,37.950764,127.757187,,,033-250-3441,강원도 춘천시청,2023-01-03
01-007,1,,강원도 춘천시 신북읍 발산리 470-46,37.950935,127.759201,,,033-250-3441,강원도 춘천시청,2023-01-03
01-008,1,,강원도 춘천시 신북읍 산천리 300-16,37.950047,127.755165,,,033-250-3441,강원도 춘천시청,2023-01-03
01-009,1,,강원도 춘천시 신북읍 발산리 671-4,37.962086,127.754303,,,033-250-3441,강원도 춘천시청,2023-01-03
01-010,1,,강원도 춘천시 신북읍 발산리 671-1,37.962269,127.754684,,,033-250-3441,강원도 춘천시청,2023-01-03
01-011,1,,강원도 춘천시 신북읍 발산리 671-8,37.962585,127.755081,,,033-250-3441,강원도 춘천시청,2023-01-03
01-012,1,,강원도 춘천시 신북읍 발산리 725-7,37.968254,127.757256,,,033-250-3441,강원도 춘천시청,2023-01-03
01-013,1,,강원도 춘천시 신북읍 발산리 725,37.968555,127.757729,,,033-250-3441,강원도 춘천시청,2023-01-03
01-014,1,,강원도 춘천시 신북읍 발산리 678-1,37.961384,127.753937,,,033-250-3441,강원도 춘천시청,2023-01-03
01-015,1,,강원도 춘천시 신북읍 발산리 678-1,37.962425,127.752579,,,033-250-3441,강원도 춘천시청,2023-01-03
01-016,1,,강원도 춘천시 신북읍 발산리 993-10,37.949287,127.748474,,,033-250-3441,강원도 춘천시청,2023-01-03
01-017,1,,강원도 춘천시 신북읍 발산리 991-6,37.949688,127.748055,,,033-250-3441,강원도 춘천시청,2023-01-03
01-018,1,,강원도 춘천시 신북읍 산천리 324-3,37.950432,127.747635,,,033-250-3441,강원도 춘천시청,2023-01-03
01-019,1,,강원도 춘천시 신북읍 산천리 1196-1,37.952087,127.747170,,,033-250-3441,강원도 춘천시청,2023-01-03
01-020,1,,강원도 춘천시 신북읍 산천리 320-7,37.952862,127.746735,,,033-250-3441,강원도 춘천시청,2023-01-03
01-021,1,,강원도 춘천시 신북읍 산천리 315-7,37.953899,127.746376,,,033-250-3441,강원도 춘천시청,2023-01-03
01-022,1,,강원도 춘천시 신북읍 산천리 635-13,37.955322,127.745606,,,033-250-3441,강원도 춘천시청,2023-01-03
01-023,1,,강원도 춘천시 신북읍 산천리 1195,37.955769,127.745285,,,033-250-3441,강원도 춘천시청,2023-01-03
01-024,1,,강원도 춘천시 신북읍 발산리 47,37.956711,127.763191,,,033-250-3441,강원도 춘천시청,2023-01-03
01-025,1,,강원도 춘천시 신북읍 산천리 1202,37.956474,127.744682,,,033-250-3441,강원도 춘천시청,2023-01-03
01-026,1,,강원도 춘천시 신북읍 천전리 516-4,37.941811,127.779305,,,033-250-3441,강원도 춘천시청,2023-01-03
01-027,1,,강원도 춘천시 신북읍 천전리 526-4,37.940105,127.779312,,,033-250-3441,강원도 춘천시청,2023-01-03
01-028,1,,강원도 춘천시 신북읍 천전리 321-4,37.940334,127.780342,,,033-250-3441,강원도 춘천시청,2023-01-03
01-029,1,,강원도 춘천시 신북읍 천전리 528-4,37.939262,127.779350,,,033-250-3441,강원도 춘천시청,2023-01-03
01-030,1,,강원도 춘천시 신북읍 산천리 727,37.957584,127.744011,,,033-250-3441,강원도 춘천시청,2023-01-03
01-031,1,,강원도 춘천시 신북읍 천전리 300,37.938862,127.780647,,,033-250-3441,강원도 춘천시청,2023-01-03
01-032,1,,강원도 춘천시 신북읍 천전리 468-5,37.938644,127.777748,,,033-250-3441,강원도 춘천시청,2023-01-03
01-033,1,,강원도 춘천시 신북읍 천전리 541-2,37.937832,127.778183,,,033-250-3441,강원도 춘천시청,2023-01-03
01-034,1,,강원도 춘천시 신북읍 천전리 544-1,37.937580,127.777657,,,033-250-3441,강원도 춘천시청,2023-01-03
01-035,1,,강원도 춘천시 신북읍 천전리 280-3,37.937145,127.779350,,,033-250-3441,강원도 춘천시청,2023-01-03
01-036,1,,강원도 춘천시 신북읍 천전리 277-1,37.936947,127.780197,,,033-250-3441,강원도 춘천시청,2023-01-03
01-037,1,,강원도 춘천시 신북읍 천전리 552-4,37.936459,127.778748,,,033-250-3441,강원도 춘천시청,2023-01-03
01-038,1,,강원도 춘천시 신북읍 천전리 545-1,37.937481,127.777100,,,033-250-3441,강원도 춘천시청,2023-01-03
01-039,1,,강원도 춘천시 신북읍 천전리 1347,37.937336,127.775551,,,033-250-3441,강원도 춘천시청,2023-01-03
01-040,1,,강원도 춘천시 신북읍 천전리 603-8,37.937374,127.775398,,,033-250-3441,강원도 춘천시청,2023-01-03
01-041,1,,강원도 춘천시 신북읍 발산리 813,37.959167,127.745323,,,033-250-3441,강원도 춘천시청,2023-01-03
01-042,1,강원도 춘천시 신북읍 맥국길79-72,강원도 춘천시 신북읍 천전리 456-15,37.938976,127.774757,,,033-250-3441,강원도 춘천시청,2023-01-03
01-043,1,,강원도 춘천시 신북읍 천전리 1156-1,37.940025,127.774933,,,033-250-3441,강원도 춘천시청,2023-01-03
01-044,1,,강원도 춘천시 신북읍 천전리 1345,37.938259,127.775772,,,033-250-3441,강원도 춘천시청,2023-01-03
01-045,1,,강원도 춘천시 신북읍 천전리 456-5,37.939228,127.775955,,,033-250-3441,강원도 춘천시청,2023-01-03
01-046,1,,강원도 춘천시 신북읍 천전리 1289,37.940365,127.776093,,,033-250-3441,강원도 춘천시청,2023-01-03
01-047,1,,강원도 춘천시 신북읍 천전리 156-4,37.934715,127.781860,,,033-250-3441,강원도 춘천시청,2023-01-03
01-048,1,,강원도 춘천시 신북읍 천전리 157-14,37.933739,127.782921,,,033-250-3441,강원도 춘천시청,2023-01-03
01-049,1,,강원도 춘천시 신북읍 천전리 1233-10,37.933533,127.783279,,,033-250-3441,강원도 춘천시청,2023-01-03
01-050,1,,강원도 춘천시 신북읍 천전리 195-36,37.932194,127.784958,,,033-250-3441,강원도 춘천시청,2023-01-03
01-051,1,,강원도 춘천시 신북읍 천전리 161-7,37.934769,127.783890,,,033-250-3441,강원도 춘천시청,2023-01-03
01-052,1,,강원도 춘천시 신북읍 천전리 163,37.934597,127.784279,,,033-250-3441,강원도 춘천시청,2023-01-03
01-053,1,,강원도 춘천시 신북읍 천전리 162-11,37.934422,127.784706,,,033-250-3441,강원도 춘천시청,2023-01-03
01-054,1,,강원도 춘천시 신북읍 천전리 161-8,37.934536,127.784157,,,033-250-3441,강원도 춘천시청,2023-01-03
01-055,1,,강원도 춘천시 신북읍 천전리 172-17,37.934105,127.784645,,,033-250-3441,강원도 춘천시청,2023-01-03
01-056,1,,강원도 춘천시 신북읍 천전리 172-17,37.933815,127.784447,,,033-250-3441,강원도 춘천시청,2023-01-03
01-057,1,,강원도 춘천시 신북읍 천전리 172-14,37.934303,127.784042,,,033-250-3441,강원도 춘천시청,2023-01-03
01-058,1,,강원도 춘천시 신북읍 천전리 227-8,37.934887,127.786278,,,033-250-3441,강원도 춘천시청,2023-01-03
01-059,1,,강원도 춘천시 신북읍 천전리 227-5,37.934498,127.786812,,,033-250-3441,강원도 춘천시청,2023-01-03
01-060,1,,강원도 춘천시 신북읍 천전리 229-1,37.934090,127.787354,,,033-250-3441,강원도 춘천시청,2023-01-03
01-061,1,,강원도 춘천시 신북읍 천전리 228-15,37.933956,127.786873,,,033-250-3441,강원도 춘천시청,2023-01-03
01-062,1,,강원도 춘천시 신북읍 천전리 229-1,37.933674,127.788162,,,033-250-3441,강원도 춘천시청,2023-01-03
01-063,1,,강원도 춘천시 신북읍 천전리 229-10,37.933453,127.788940,,,033-250-3441,강원도 춘천시청,2023-01-03
01-064,1,,강원도 춘천시 신북읍 천전리 214-9,37.933029,127.789833,,,033-250-3441,강원도 춘천시청,2023-01-03
01-065,1,,강원도 춘천시 신북읍 천전리 70-6,37.932869,127.789650,,,033-250-3441,강원도 춘천시청,2023-01-03
01-066,1,,강원도 춘천시 신북읍 천전리 214-2,37.933147,127.789452,,,033-250-3441,강원도 춘천시청,2023-01-03
01-067,1,,강원도 춘천시 신북읍 발산리 860,37.960407,127.749390,,,033-250-3441,강원도 춘천시청,2023-01-03
01-068,1,,강원도 춘천시 신북읍 발산리 781-1,37.961510,127.747818,,,033-250-3441,강원도 춘천시청,2023-01-03
01-069,1,,강원도 춘천시 신북읍 발산리 737-7,37.968056,127.750931,,,033-250-3441,강원도 춘천시청,2023-01-03
01-070,1,,강원도 춘천시 신북읍 발산리 737-7,37.968311,127.751068,,,033-250-3441,강원도 춘천시청,2023-01-03
01-071,1,,강원도 춘천시 신북읍 천전리 39-9,37.932755,127.792687,,,033-250-3441,강원도 춘천시청,2023-01-03
01-072,1,,강원도 춘천시 신북읍 천전리 37-6,37.932835,127.793198,,,033-250-3441,강원도 춘천시청,2023-01-03
01-073,1,,강원도 춘천시 신북읍 발산리 730,37.968803,127.750382,,,033-250-3441,강원도 춘천시청,2023-01-03
01-074,1,,강원도 춘천시 신북읍 발산리 738-3,37.969353,127.748390,,,033-250-3441,강원도 춘천시청,2023-01-03
01-075,1,,강원도 춘천시 신북읍 천전리 40-9,37.932344,127.792333,,,033-250-3441,강원도 춘천시청,2023-01-03
01-076,1,,강원도 춘천시 신북읍 천전리 45-5,37.932205,127.791885,,,033-250-3441,강원도 춘천시청,2023-01-03
01-077,1,,강원도 춘천시 신북읍 천전리 1228-2,37.931732,127.791191,,,033-250-3441,강원도 춘천시청,2023-01-03
01-078,1,,강원도 춘천시 신북읍 천전리 66-4,37.930950,127.790131,,,033-250-3441,강원도 춘천시청,2023-01-03
01-079,1,,강원도 춘천시 신북읍 발산리 산30-12,37.971367,127.746834,,,033-250-3441,강원도 춘천시청,2023-01-03
01-080,1,,강원도 춘천시 신북읍 천전리 61-5,37.930206,127.789475,,,033-250-3441,강원도 춘천시청,2023-01-03
01-081,1,,강원도 춘천시 신북읍 발산리 738-41,37.972294,127.746521,,,033-250-3441,강원도 춘천시청,2023-01-03
01-082,1,,강원도 춘천시 신북읍 천전리 61-7,37.929996,127.789566,,,033-250-3441,강원도 춘천시청,2023-01-03
01-083,1,,강원도 춘천시 신북읍 천전리 64-3,37.930241,127.789139,,,033-250-3441,강원도 춘천시청,2023-01-03
01-084,1,,강원도 춘천시 신북읍 천전리 64-6,37.930233,127.788147,,,033-250-3441,강원도 춘천시청,2023-01-03
01-085,1,,강원도 춘천시 신북읍 천전리 64-8,37.930954,127.787872,,,033-250-3441,강원도 춘천시청,2023-01-03
01-086,1,,강원도 춘천시 신북읍 천전리 75-11,37.931259,127.786842,,,033-250-3441,강원도 춘천시청,2023-01-03
01-087,1,,강원도 춘천시 신북읍 천전리 76,37.930786,127.786194,,,033-250-3441,강원도 춘천시청,2023-01-03
01-088,1,,강원도 춘천시 신북읍 천전리 77-11,37.930397,127.786224,,,033-250-3441,강원도 춘천시청,2023-01-03
01-089,1,,강원도 춘천시 신북읍 천전리 81-3,37.929909,127.786804,,,033-250-3441,강원도 춘천시청,2023-01-03
01-090,1,,강원도 춘천시 신북읍 천전리 77-24,37.930504,127.787056,,,033-250-3441,강원도 춘천시청,2023-01-03
01-091,1,,강원도 춘천시 신북읍 발산리 738-54,37.972866,127.747841,,,033-250-3441,강원도 춘천시청,2023-01-03
01-092,1,,강원도 춘천시 신북읍 산천리 740-2,37.959373,127.743630,,,033-250-3441,강원도 춘천시청,2023-01-03
01-093,1,,강원도 춘천시 신북읍 천전리 105-3,37.931129,127.784882,,,033-250-3441,강원도 춘천시청,2023-01-03
01-094,1,,강원도 춘천시 신북읍 산천리 806-7,37.961330,127.744392,,,033-250-3441,강원도 춘천시청,2023-01-03
01-095,1,,강원도 춘천시 신북읍 산천리 807-20,37.961182,127.745262,,,033-250-3441,강원도 춘천시청,2023-01-03
01-096,1,,강원도 춘천시 신북읍 산천리 793-3,37.962788,127.743279,,,033-250-3441,강원도 춘천시청,2023-01-03
01-097,1,,강원도 춘천시 신북읍 산천리 835-2,37.965473,127.740616,,,033-250-3441,강원도 춘천시청,2023-01-03
01-098,1,,강원도 춘천시 신북읍 산천리 857,37.964081,127.739983,,,033-250-3441,강원도 춘천시청,2023-01-03
01-099,1,,강원도 춘천시 신북읍 산천리 774-6,37.964401,127.739441,,,033-250-3441,강원도 춘천시청,2023-01-03
01-100,1,,강원도 춘천시 신북읍 천전리 129-1,37.930271,127.780876,,,033-250-3441,강원도 춘천시청,2023-01-03
01-101,1,,강원도 춘천시 신북읍 천전리 111-16,37.931366,127.781387,,,033-250-3441,강원도 춘천시청,2023-01-03
01-102,1,,강원도 춘천시 신북읍 천전리 118-4,37.929546,127.780579,,,033-250-3441,강원도 춘천시청,2023-01-03
01-103,1,,강원도 춘천시 신북읍 천전리 1233-17,37.929256,127.780556,,,033-250-3441,강원도 춘천시청,2023-01-03
01-104,1,,강원도 춘천시 신북읍 천전리 121-19,37.929197,127.780742,,,033-250-3441,강원도 춘천시청,2023-01-03
01-105,1,,강원도 춘천시 신북읍 산천리 863-4,37.965385,127.738396,,,033-250-3441,강원도 춘천시청,2023-01-03
01-106,1,,강원도 춘천시 신북읍 산천리 785-2,37.960876,127.741074,,,033-250-3441,강원도 춘천시청,2023-01-03
01-107,1,,강원도 춘천시 신북읍 천전리 708-2,37.931755,127.773422,,,033-250-3441,강원도 춘천시청,2023-01-03
01-108,1,,강원도 춘천시 신북읍 천전리 718-8,37.930237,127.773941,,,033-250-3441,강원도 춘천시청,2023-01-03
01-109,1,,강원도 춘천시 신북읍 천전리 721-2,37.931164,127.773438,,,033-250-3441,강원도 춘천시청,2023-01-03
01-110,1,,강원도 춘천시 신북읍 천전리 630-4,37.932285,127.773483,,,033-250-3441,강원도 춘천시청,2023-01-03
01-111,1,강원도 춘천시 신북읍 맥국길 28,강원도 춘천시 신북읍 천전리 966,37.932667,127.773621,,,033-250-3441,강원도 춘천시청,2023-01-03
01-112,1,,강원도 춘천시 신북읍 천전리 705-1,37.932602,127.772568,,,033-250-3441,강원도 춘천시청,2023-01-03
01-113,1,,강원도 춘천시 신북읍 천전리 730-2,37.932587,127.771988,,,033-250-3441,강원도 춘천시청,2023-01-03
01-114,1,,강원도 춘천시 신북읍 천전리 705,37.932579,127.771423,,,033-250-3441,강원도 춘천시청,2023-01-03
01-115,1,,강원도 춘천시 신북읍 천전리 705,37.932571,127.770927,,,033-250-3441,강원도 춘천시청,2023-01-03
01-116,1,,강원도 춘천시 신북읍 천전리 719-4,37.930828,127.773308,,,033-250-3441,강원도 춘천시청,2023-01-03
01-117,1,,강원도 춘천시 신북읍 천전리 718-11,37.930382,127.773277,,,033-250-3441,강원도 춘천시청,2023-01-03
01-118,1,,강원도 춘천시 신북읍 천전리 712-3,37.930080,127.773285,,,033-250-3441,강원도 춘천시청,2023-01-03
01-119,1,,강원도 춘천시 신북읍 천전리 716-1,37.929733,127.773377,,,033-250-3441,강원도 춘천시청,2023-01-03
