"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"강원도 태백시 구문소동001",1,강원도 태백시 협심길 26-7,강원도 태백시 장성동 산 31-1,37.104765610,129.011768100,2018,전용주,033-550-2128,강원도 태백시청,2022-08-03
"강원도 태백시 구문소동002",1,강원도 태백시 범바위3길 3,강원도 태백시 장성동 산 31-4,37.105112550,129.012479700,2018,전용주,033-550-2128,강원도 태백시청,2022-08-03
"강원도 태백시 구문소동003",1,강원도 태백시 범바위2길 3-1,강원도 태백시 장성동 54-147,37.105048240,129.012722500,2018,전용주,033-550-2128,강원도 태백시청,2022-08-03
"강원도 태백시 구문소동004",1,강원도 태백시 범바위1길 8,강원도 태백시 장성동 54-150,37.104785540,129.012796800,2015,한전주,033-550-2128,강원도 태백시청,2022-08-03
"강원도 태백시 구문소동005",1,강원도 태백시 범바위길 6-6,강원도 태백시 장성동 54-153,37.104481210,129.012648200,2018,전용주,033-550-2128,강원도 태백시청,2022-08-03
"강원도 태백시 구문소동006",1,강원도 태백시 범바위1길 18,강원도 태백시 장성동 54-137,37.105040250,129.013177300,2018,전용주,033-550-2128,강원도 태백시청,2022-08-03
"강원도 태백시 구문소동007",1,강원도 태백시 범바위3길 11,강원도 태백시 장성동 산 31-4,37.105398450,129.012801100,2018,한전주,033-550-2128,강원도 태백시청,2022-08-03
"강원도 태백시 구문소동008",1,강원도 태백시 범바위2길 17,강원도 태백시 장성동 54-124,37.105368250,129.013215400,2018,전용주,033-550-2128,강원도 태백시청,2022-08-03
"강원도 태백시 구문소동009",1,강원도 태백시 범바위3길 7,강원도 태백시 장성동 산 31-4,37.105251440,129.012730800,2018,전용주,033-550-2128,강원도 태백시청,2022-08-03
"강원도 태백시 구문소동010",1,강원도 태백시 범바위3길 13,강원도 태백시 장성동 54-129,37.105437040,129.012894500,2018,전용주,033-550-2128,강원도 태백시청,2022-08-03
"강원도 태백시 구문소동011",1,강원도 태백시 범바위길 16,강원도 태백시 장성동 산 31-4,37.105411200,129.012511600,2018,전용주,033-550-2128,강원도 태백시청,2022-08-03
"강원도 태백시 구문소동012",1,강원도 태백시 범바위길 22-1,강원도 태백시 장성동 산 31-4,37.105722120,129.012701800,2018,전용주,033-550-2128,강원도 태백시청,2022-08-03
"강원도 태백시 구문소동013",1,강원도 태백시 범바위4길 15,강원도 태백시 장성동 산 31-4,37.105585770,129.012826400,2018,전용주,033-550-2128,강원도 태백시청,2022-08-03
"강원도 태백시 구문소동014",1,강원도 태백시 범바위길 28,강원도 태백시 장성동 54-117,37.105758740,129.013213500,2018,전용주,033-550-2128,강원도 태백시청,2022-08-03
"강원도 태백시 구문소동015",1,강원도 태백시 범바위길 32,강원도 태백시 장성동 54-96,37.105819560,129.013812700,2018,전용주,033-550-2128,강원도 태백시청,2022-08-03
"강원도 태백시 구문소동016",1,강원도 태백시 범바위3길 30,강원도 태백시 장성동 54-114,37.105682570,129.013635300,2018,전용주,033-550-2128,강원도 태백시청,2022-08-03
"강원도 태백시 구문소동017",1,강원도 태백시 범바위길 32,강원도 태백시 장성동 54-96,37.105819560,129.013812700,2018,전용주,033-550-2128,강원도 태백시청,2022-08-03
"강원도 태백시 구문소동018",1,강원도 태백시 범바위길 34,강원도 태백시 장성동 54-100,37.105777400,129.013960500,2016,한전주,033-550-2128,강원도 태백시청,2022-08-03
"강원도 태백시 구문소동019",1,강원도 태백시 범바위1길 36,강원도 태백시 장성동 54-107,37.105506610,129.013911600,2013,전용주,033-550-2128,강원도 태백시청,2022-08-03
"강원도 태백시 구문소동020",2,강원도 태백시 범바위1길 25,강원도 태백시 장성동 54-130,37.105346790,129.013482200,2011,한전주,033-550-2128,강원도 태백시청,2022-08-03
"강원도 태백시 구문소동021",1,강원도 태백시 범바위3길 23,강원도 태백시 장성동 54-118,37.105680820,129.013383000,2017,전용주,033-550-2128,강원도 태백시청,2022-08-03
"강원도 태백시 구문소동022",1,강원도 태백시 범바위3길 30,강원도 태백시 장성동 54-114,37.105682570,129.013635300,2011,전용주,033-550-2128,강원도 태백시청,2022-08-03
"강원도 태백시 구문소동023",1,강원도 태백시 범바위3길 21,강원도 태백시 장성동 54-118,37.105634110,129.013322000,2018,한전주,033-550-2128,강원도 태백시청,2022-08-03
