"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"대관령001",1,강원도 평창군 대관령면 올림픽로 798-12,강원도 평창군 대관령면 용산리 498,37.64464761,128.6691179,,한전주,033-330-2394,강원도 평창군청,2022-09-29
"대관령002",1,,강원도 평창군 대관령면 용산리 510-1,37.6418363,128.6669698,,,033-330-2394,강원도 평창군청,2022-09-29
"대관령003",1,강원도 평창군 대관령면 올림픽로 827-16,강원도 평창군 대관령면 용산리 508-1,37.64196918,128.668679,,,033-330-2394,강원도 평창군청,2022-09-29
"대관령004",1,강원도 평창군 대관령면 올림픽로 880-2,강원도 평창군 대관령면 용산리 543,37.6387399961,128.6634714,,,033-330-2394,강원도 평창군청,2022-09-29
"대관령005",1,강원도 평창군 대관령면 올림픽로 926-2,강원도 평창군 대관령면 용산리 551-4,37.63596833,128.6600629,,한전주,033-330-2394,강원도 평창군청,2022-09-29
"대관령006",1,강원도 평창군 대관령면 올림픽로 968-2,강원도 평창군 대관령면 용산리 610,37.63308306,128.6574101,,한전주,033-330-2394,강원도 평창군청,2022-09-29
"대관령007",1,,강원도 평창군 대관령면 용산리 593-2,37.63205887,128.6551164,,,033-330-2394,강원도 평창군청,2022-09-29
"대관령008",1,강원도 평창군 대관령면 올림픽로 1006,강원도 평창군 대관령면 용산리 622,37.63081286,128.6537035,,한전주,033-330-2394,강원도 평창군청,2022-09-29
"대관령009",1,강원도 평창군 대관령면 올림픽로 1006,강원도 평창군 대관령면 용산리 622,37.63081286,128.6537435,,전용주,033-330-2394,강원도 평창군청,2022-09-29
"대관령010",1,강원도 평창군 대관령면 올림픽로 1013-19,강원도 평창군 대관령면 용산리 618,37.62904527,128.6552804,,전용주,033-330-2394,강원도 평창군청,2022-09-29
"대관령011",1,강원도 평창군 대관령면 올림픽로 1013-19,강원도 평창군 대관령면 용산리 618,37.62904527,128.6552804,,전용주,033-330-2394,강원도 평창군청,2022-09-29
"대관령012",1,,강원도 평창군 대관령면 용산리 2-1,37.63726148,128.6620711,,전용주,033-330-2394,강원도 평창군청,2022-09-29
"대관령013",1,,강원도 평창군 대관령면 용산리 625-4,37.6290742,128.6522886,,전용주,033-330-2394,강원도 평창군청,2022-09-29
"대관령014",1,,강원도 평창군 대관령면 용산리 628,37.62726911,128.6512565,,한전주,033-330-2394,강원도 평창군청,2022-09-29
