"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"내면 자운리 1485-9",1,,강원도 홍천군 내면 자운리 1485-9,,,,한전주,033-430-2952,강원도 홍천군청,2023-02-07
"내면 자운리 1075",1,,강원도 홍천군 내면 자운리 1075,,,,한전주,033-430-2952,강원도 홍천군청,2023-02-07
"내면 자운리 1091-5",1,,강원도 홍천군 내면 자운리 1091-5,,,,한전주,033-430-2952,강원도 홍천군청,2023-02-07
"내면 자운리 1083-2",1,,강원도 홍천군 내면 자운리 1083-2,,,,한전주,033-430-2952,강원도 홍천군청,2023-02-07
"내면 자운리 산20-12",1,,강원도 홍천군 내면 자운리 산20-12,,,,한전주,033-430-2952,강원도 홍천군청,2023-02-07
"내면 자운리 산28-5",1,,강원도 홍천군 내면 자운리 산28-5,,,,한전주,033-430-2952,강원도 홍천군청,2023-02-07
"내면 자운리 1128-3",1,,강원도 홍천군 내면 자운리 1128-3,,,,한전주,033-430-2952,강원도 홍천군청,2023-02-07
"내면 자운리 1473",1,,강원도 홍천군 내면 자운리 1473,,,,한전주,033-430-2952,강원도 홍천군청,2023-02-07
"내면 자운리 1012-27",1,,강원도 홍천군 내면 자운리 1012-27,,,,한전주,033-430-2952,강원도 홍천군청,2023-02-07
"내면 자운리 1012-31",1,,강원도 홍천군 내면 자운리 1012-31,,,,한전주,033-430-2952,강원도 홍천군청,2023-02-07
"내면 자운리 산151-4",1,,강원도 홍천군 내면 자운리 산151-4,,,,한전주,033-430-2952,강원도 홍천군청,2023-02-07
"내면 자운리 산156",1,,강원도 홍천군 내면 자운리 산156,,,,한전주,033-430-2952,강원도 홍천군청,2023-02-07
"내면 자운리 995",1,,강원도 홍천군 내면 자운리 995,,,,한전주,033-430-2952,강원도 홍천군청,2023-02-07
"내면 자운리 981",1,,강원도 홍천군 내면 자운리 981,,,,한전주,033-430-2952,강원도 홍천군청,2023-02-07
"내면 자운2리 1123-1(2반) 경로당 앞",1,,강원도 홍천군 내면 자운리 1123-1,,,,한전주,033-430-2952,강원도 홍천군청,2023-02-07
"내면 자운2리 산47-1(3반)",1,,강원도 홍천군 내면 자운리 산47-1,,,,한전주,033-430-2952,강원도 홍천군청,2023-02-07
"내면 자운리 973(3반)",1,,강원도 홍천군 내면 자운리 973,,,,한전주,033-430-2952,강원도 홍천군청,2023-02-07
"내면 경천길 327 주택 좌측",1,강원도 홍천군 내면 경천길 327,,,,,한전주,033-430-2952,강원도 홍천군청,2023-02-07
"내면 경천길 303 주택 입구",1,강원도 홍천군 내면 경천길 303,,,,,한전주,033-430-2952,강원도 홍천군청,2023-02-07
"내면 경천길 290-20 주택 앞",1,강원도 홍천군 내면 경천길 290-20,,,,,한전주,033-430-2952,강원도 홍천군청,2023-02-07
"내면 경천길 287 주택 좌측",1,강원도 홍천군 내면 경천길 287,,,,,한전주,033-430-2952,강원도 홍천군청,2023-02-07
"내면 경천길 265 주택 뒤",1,강원도 홍천군 내면 경천길 265,,,,,한전주,033-430-2952,강원도 홍천군청,2023-02-07
"내면 좌운리 1085-215 경천마을저장고 좌측",1,,강원도 홍천군 내면 자운리 1085-215,,,,한전주,033-430-2952,강원도 홍천군청,2023-02-07
"내면 경천길 268-5 주택 앞",1,강원도 홍천군 내면 경천길 268-5,,,,,한전주,033-430-2952,강원도 홍천군청,2023-02-07
"내면 경천길 261 주택 위",1,강원도 홍천군 내면 경천길 261,,,,,한전주,033-430-2952,강원도 홍천군청,2023-02-07
"내면 경천길 249 주택 앞",1,강원도 홍천군 내면 경천길 249,,,,,한전주,033-430-2952,강원도 홍천군청,2023-02-07
"내면 경천길 245-24 주택 앞",1,강원도 홍천군 내면 경천길 245-24,,,,,한전주,033-430-2952,강원도 홍천군청,2023-02-07
"내면 경천길 245-9 주택 뒤",1,강원도 홍천군 내면 경천길 245-9,,,,,한전주,033-430-2952,강원도 홍천군청,2023-02-07
"내면 경천길 245-7 주택 위",1,강원도 홍천군 내면 경천길 245-7,,,,,한전주,033-430-2952,강원도 홍천군청,2023-02-07
"내면 경천길 246 주택 위",1,강원도 홍천군 내면 경천길 246,,,,,한전주,033-430-2952,강원도 홍천군청,2023-02-07
"내면 경천길 233 주택 뒤",1,강원도 홍천군 내면 경천길 233,,,,,한전주,033-430-2952,강원도 홍천군청,2023-02-07
