"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"갑천면001",1,강원도 횡성군 갑천면 청정로포동1길 8,강원도 횡성군 갑천면 포동리 541-1,37.550255,128.0921066,,한전주,033-340-2630,강원도 횡성군청,2021-12-22
"갑천면002",1,,강원도 횡성군 갑천면 포동리 677-3,37.55047936,128.0921379,,한전주,033-340-2630,강원도 횡성군청,2021-12-22
"갑천면003",1,강원도 횡성군 갑천면 청정로포동1길 30,강원도 횡성군 갑천면 포동리 534-2,37.551595,128.0915647,,한전주,033-340-2630,강원도 횡성군청,2021-12-22
"갑천면004",1,강원도 횡성군 갑천면 청정로 111-9,강원도 횡성군 갑천면 포동리 533-1,37.55204479,128.0920556,,한전주,033-340-2630,강원도 횡성군청,2021-12-22
"갑천면005",1,강원도 횡성군 갑천면 청정로 111-12,강원도 횡성군 갑천면 포동리 503-3,37.55291119,128.0932286,,한전주,033-340-2630,강원도 횡성군청,2021-12-22
"갑천면006",1,강원도 횡성군 갑천면 청정로 111-22,강원도 횡성군 갑천면 포동리 506,37.55341485,128.0928234,,한전주,033-340-2630,강원도 횡성군청,2021-12-22
"갑천면007",1,,강원도 횡성군 갑천면 포동리 471,37.55325148,128.0953348,,한전주,033-340-2630,강원도 횡성군청,2021-12-22
"갑천면008",1,강원도 횡성군 갑천면 청정로 156,강원도 횡성군 갑천면 포동리 495,37.55371493,128.0974239,,한전주,033-340-2630,강원도 횡성군청,2021-12-22
"갑천면009",1,강원도 횡성군 갑천면 청정로 153,강원도 횡성군 갑천면 포동리 499-12,37.55395982,128.0967736,,한전주,033-340-2630,강원도 횡성군청,2021-12-22
"갑천면010",1,강원도 횡성군 갑천면 청정로 157,강원도 횡성군 갑천면 포동리 499-12,37.55390015,128.0969904,,한전주,033-340-2630,강원도 횡성군청,2021-12-22
"갑천면011",1,강원도 횡성군 갑천면 청정로 161,강원도 횡성군 갑천면 포동리 490,37.5541279,128.0977137,,한전주,033-340-2630,강원도 횡성군청,2021-12-22
"갑천면012",1,강원도 횡성군 갑천면 청정로 156,강원도 횡성군 갑천면 포동리 495,37.55371493,128.0974239,,한전주,033-340-2630,강원도 횡성군청,2021-12-22
"갑천면013",1,,강원도 횡성군 갑천면 포동리 산9,37.55132343,128.0985291,,한전주,033-340-2630,강원도 횡성군청,2021-12-22
"갑천면014",1,강원도 횡성군 갑천면 청정로포동2길 35,강원도 횡성군 갑천면 포동리 176-2,37.55132343,128.0985475,,한전주,033-340-2630,강원도 횡성군청,2021-12-22
"갑천면015",1,,강원도 횡성군 갑천면 포동리 176-3,37.55132343,128.0985291,,한전주,033-340-2630,강원도 횡성군청,2021-12-22
"갑천면016",1,강원도 횡성군 갑천면 청정로포동2길 48,강원도 횡성군 갑천면 포동리 179-2,37.55063098,128.0988408,,한전주,033-340-2630,강원도 횡성군청,2021-12-22
"갑천면017",1,강원도 횡성군 갑천면 청정로포동2길 55,강원도 횡성군 갑천면 포동리 190,37.55030853,128.0996689,,한전주,033-340-2630,강원도 횡성군청,2021-12-22
"갑천면018",1,,강원도 횡성군 갑천면 포동리 512-2,37.55453575,128.0978844,,한전주,033-340-2630,강원도 횡성군청,2021-12-22
"갑천면019",1,,강원도 횡성군 갑천면 포동리 산165-22,37.554907,128.0992032,,한전주,033-340-2630,강원도 횡성군청,2021-12-22
"갑천면020",1,강원도 횡성군 갑천면 청정로포동3길 8,강원도 횡성군 갑천면 포동리 137,37.55533165,128.0990678,,한전주,033-340-2630,강원도 횡성군청,2021-12-22
"갑천면021",1,강원도 횡성군 갑천면 청정로포동3길 8-6,강원도 횡성군 갑천면 매일리 137-20,37.55548925,128.0995445,,한전주,033-340-2630,강원도 횡성군청,2021-12-22
"갑천면022",1,강원도 횡성군 갑천면 청정로포동3길 15,강원도 횡성군 갑천면 포동리 513-20,37.55583185,128.098249,,한전주,033-340-2630,강원도 횡성군청,2021-12-22
"갑천면023",1,강원도 횡성군 갑천면 청정로포동3길 14,강원도 횡성군 갑천면 포동리 138-7,37.55571623,128.0987152,,한전주,033-340-2630,강원도 횡성군청,2021-12-22
"갑천면024",1,강원도 횡성군 갑천면 청정로 221,강원도 횡성군 갑천면 매일리 758-2,37.55707441,128.1033201,,한전주,033-340-2630,강원도 횡성군청,2021-12-22
"갑천면025",1,,강원도 횡성군 갑천면 매일리 761-1,37.55700909,128.1018251,,한전주,033-340-2630,강원도 횡성군청,2021-12-22
"갑천면026",1,,강원도 횡성군 갑천면 매일리 773-9,37.55724763,128.1035243,,한전주,033-340-2630,강원도 횡성군청,2021-12-22
"갑천면027",1,강원도 횡성군 갑천면 청정로 225,강원도 횡성군 갑천면 매일리 772,37.557563,128.103356,,한전주,033-340-2630,강원도 횡성군청,2021-12-22
"갑천면028",1,강원도 횡성군 갑천면 청정로 248,강원도 횡성군 갑천면 매일리 690-8,37.55751331,128.1061268,,한전주,033-340-2630,강원도 횡성군청,2021-12-22
"갑천면029",1,강원도 횡성군 갑천면 청정로 247,강원도 횡성군 갑천면 매일리 690-1,37.55779452,128.1062396,,한전주,033-340-2630,강원도 횡성군청,2021-12-22
"갑천면030",1,강원도 횡성군 갑천면 청정로 260,강원도 횡성군 갑천면 매일리 657-1,37.55794377,128.107398,,한전주,033-340-2630,강원도 횡성군청,2021-12-22
"갑천면031",1,강원도 횡성군 갑천면 청정로 260,강원도 횡성군 갑천면 매일리 657-1,37.55794377,128.1073977,,한전주,033-340-2630,강원도 횡성군청,2021-12-22
"갑천면032",1,강원도 횡성군 갑천면 청정로 264,강원도 횡성군 갑천면 매일리 707-6,37.5579197,128.1078942,,한전주,033-340-2630,강원도 횡성군청,2021-12-22
"갑천면033",1,강원도 횡성군 갑천면 청정로 265,강원도 횡성군 갑천면 매일리 654-1,37.55852807,128.1081141,,한전주,033-340-2630,강원도 횡성군청,2021-12-22
"갑천면034",1,강원도 횡성군 갑천면 청정로매일1길 10,강원도 횡성군 갑천면 매일리 659,37.558788,128.107405,,한전주,033-340-2630,강원도 횡성군청,2021-12-22
"갑천면035",1,강원도 횡성군 갑천면 청정로매일3길 15,강원도 횡성군 갑천면 매일리 666,37.559188,128.1077829,,한전주,033-340-2630,강원도 횡성군청,2021-12-22
"갑천면036",1,강원도 횡성군 갑천면 청정로 271-5,강원도 횡성군 갑천면 매일리 663,37.5587872,128.1082276,,한전주,033-340-2630,강원도 횡성군청,2021-12-22
"갑천면037",1,,강원도 횡성군 갑천면 매일리 667,37.5594055,128.1080186,,한전주,033-340-2630,강원도 횡성군청,2021-12-22
"갑천면038",1,강원도 횡성군 갑천면 청정로매일3길 4,강원도 횡성군 갑천면 매일리 670-2,37.55911086,128.1090008,,한전주,033-340-2630,강원도 횡성군청,2021-12-22
"갑천면039",1,강원도 횡성군 갑천면 청정로매일5길 6,강원도 횡성군 갑천면 매일리 670-4,37.55951011,128.109246,,한전주,033-340-2630,강원도 횡성군청,2021-12-22
"갑천면040",1,,강원도 횡성군 갑천면 매일리 641,37.55983096,128.1094845,,한전주,033-340-2630,강원도 횡성군청,2021-12-22
"갑천면041",1,,강원도 횡성군 갑천면 매일리 670-3,37.5597497,128.1089925,,한전주,033-340-2630,강원도 횡성군청,2021-12-22
"갑천면042",1,강원도 횡성군 갑천면 청정로매일7길 9,강원도 횡성군 갑천면 매일리 670-3,37.559735,128.1089925,,한전주,033-340-2630,강원도 횡성군청,2021-12-22
"갑천면043",1,강원도 횡성군 갑천면 청정로매일7길 16,강원도 횡성군 갑천면 매일리 675,37.5603076,128.1088575,,한전주,033-340-2630,강원도 횡성군청,2021-12-22
"갑천면044",1,강원도 횡성군 갑천면 청정로매일7길 24,강원도 횡성군 갑천면 매일리 629-5,37.56103552,128.1088236,,한전주,033-340-2630,강원도 횡성군청,2021-12-22
"갑천면045",1,,강원도 횡성군 갑천면 매일리 641-2,37.560106,128.1096941,,한전주,033-340-2630,강원도 횡성군청,2021-12-22
"갑천면046",1,강원도 횡성군 갑천면 청정로 293,강원도 횡성군 갑천면 매일리 627-5,37.56039488,128.1101915,,한전주,033-340-2630,강원도 횡성군청,2021-12-22
"갑천면047",1,강원도 횡성군 갑천면 청정로매일2길 17,강원도 횡성군 갑천면 매일리 901-1,37.5580339,128.1091643,,한전주,033-340-2630,강원도 횡성군청,2021-12-22
"갑천면048",1,,강원도 횡성군 갑천면 매일리 592-15,37.56054901,128.1122342,,한전주,033-340-2630,강원도 횡성군청,2021-12-22
"갑천면049",1,강원도 횡성군 갑천면 갑천로10번길 15,강원도 횡성군 갑천면 매일리 621-2,37.55894512,128.1118165,,한전주,033-340-2630,강원도 횡성군청,2021-12-22
"갑천면050",1,강원도 횡성군 갑천면 갑천로10번길 27-5,강원도 횡성군 갑천면 매일리 623,37.55820843,128.1113173,,한전주,033-340-2630,강원도 횡성군청,2021-12-22
"갑천면051",1,강원도 횡성군 갑천면 갑천로10번길 27-5,강원도 횡성군 갑천면 매일리 623,37.55820843,128.1113173,,한전주,033-340-2630,강원도 횡성군청,2021-12-22
"갑천면052",1,강원도 횡성군 갑천면 갑천로10번길 51,강원도 횡성군 갑천면 매일리 315,37.5567199,128.1103463,,한전주,033-340-2630,강원도 횡성군청,2021-12-22
"갑천면053",1,강원도 횡성군 갑천면 갑천로10번길 46-3,강원도 횡성군 갑천면 매일리 714-2,37.5564181,128.1094489,,한전주,033-340-2630,강원도 횡성군청,2021-12-22
"갑천면054",1,강원도 횡성군 갑천면 갑천로10번길 46-21,강원도 횡성군 갑천면 매일리 716,37.5550592,128.1074589,,한전주,033-340-2630,강원도 횡성군청,2021-12-22
"갑천면055",1,강원도 횡성군 갑천면 갑천로10번길 69,강원도 횡성군 갑천면 매일리 860-5,37.5555897,128.1117232,,한전주,033-340-2630,강원도 횡성군청,2021-12-22
"갑천면056",1,강원도 횡성군 갑천면 갑천로10번길 69,강원도 횡성군 갑천면 매일리 860-5,37.5555897,128.1117232,,한전주,033-340-2630,강원도 횡성군청,2021-12-22
"갑천면057",1,강원도 횡성군 갑천면 갑천로10번길 73,강원도 횡성군 갑천면 매일리 327,37.55550395,128.112232,,한전주,033-340-2630,강원도 횡성군청,2021-12-22
"갑천면058",1,,강원도 횡성군 갑천면 매일리 287,37.55407596,128.111972,,한전주,033-340-2630,강원도 횡성군청,2021-12-22
"갑천면059",1,강원도 횡성군 갑천면 갑천로10번길 78-26,강원도 횡성군 갑천면 매일리 292,37.5533921,128.1134238,,한전주,033-340-2630,강원도 횡성군청,2021-12-22
"갑천면060",1,강원도 횡성군 갑천면 갑천로10번길 78-24,강원도 횡성군 갑천면 매일리 288,37.5530881,128.1128397,,한전주,033-340-2630,강원도 횡성군청,2021-12-22
"갑천면061",1,강원도 횡성군 갑천면 갑천로10번길 78-24,강원도 횡성군 갑천면 매일리 288,37.5530881,128.1128397,,한전주,033-340-2630,강원도 횡성군청,2021-12-22
"갑천면062",1,강원도 횡성군 갑천면 갑천로10번길 78-29,강원도 횡성군 갑천면 매일리 296-3,37.5537041,128.1136949,,한전주,033-340-2630,강원도 횡성군청,2021-12-22
"갑천면063",1,강원도 횡성군 갑천면 갑천로10번길 78-1,강원도 횡성군 갑천면 매일리 305,37.55492141,128.1123402,,한전주,033-340-2630,강원도 횡성군청,2021-12-22
"갑천면064",1,강원도 횡성군 갑천면 갑천로10번길 90,강원도 횡성군 갑천면 매일리 298-1,37.55453658,128.1134849,,한전주,033-340-2630,강원도 횡성군청,2021-12-22
"갑천면065",1,강원도 횡성군 갑천면 갑천로10번길 103,강원도 횡성군 갑천면 매일리 300-2,37.55420237,128.1150467,,한전주,033-340-2630,강원도 횡성군청,2021-12-22
"갑천면066",1,강원도 횡성군 갑천면 갑천로10번길 103,강원도 횡성군 갑천면 매일리 300-2,37.55420237,128.1150467,,한전주,033-340-2630,강원도 횡성군청,2021-12-22
"갑천면067",1,강원도 횡성군 갑천면 갑천로10번길 121,강원도 횡성군 갑천면 매일리 226,37.5527469,128.1162492,,한전주,033-340-2630,강원도 횡성군청,2021-12-22
"갑천면068",1,,강원도 횡성군 갑천면 매일리 224,37.55263401,128.1167495,,한전주,033-340-2630,강원도 횡성군청,2021-12-22
"갑천면069",1,강원도 횡성군 갑천면 갑천로10번길 129,강원도 횡성군 갑천면 매일리 211,37.55254275,128.118548,,한전주,033-340-2630,강원도 횡성군청,2021-12-22
"갑천면070",1,강원도 횡성군 갑천면 갑천로10번길 129,강원도 횡성군 갑천면 매일리 211,37.55254275,128.118548,,한전주,033-340-2630,강원도 횡성군청,2021-12-22
"갑천면071",1,강원도 횡성군 갑천면 갑천로10번길 146-13,강원도 횡성군 갑천면 매일리 241-2,37.5505185,128.115411,,한전주,033-340-2630,강원도 횡성군청,2021-12-22
"갑천면072",1,강원도 횡성군 갑천면 갑천로10번길 146-22,강원도 횡성군 갑천면 매일리 273,37.55065043,128.1146017,,한전주,033-340-2630,강원도 횡성군청,2021-12-22
"갑천면073",1,강원도 횡성군 갑천면 갑천로10번길 146-22,강원도 횡성군 갑천면 매일리 273,37.55065043,128.1146017,,한전주,033-340-2630,강원도 횡성군청,2021-12-22
"갑천면074",1,강원도 횡성군 갑천면 갑천로10번길 160-12,강원도 횡성군 갑천면 매일리 244,37.54962935,128.1155856,,한전주,033-340-2630,강원도 횡성군청,2021-12-22
"갑천면075",1,강원도 횡성군 갑천면 갑천로10번길 160-12,강원도 횡성군 갑천면 매일리 244,37.54962935,128.1155856,,한전주,033-340-2630,강원도 횡성군청,2021-12-22
