"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"가로등조종5-5",1,,경기도 가평군 조종면 현리 491-2,37.8079589,127.3534117,,전용주,031-580-2104,가평군청,2021-08-24
"가로등조종5-7",1,,경기도 가평군 조종면 현리 483-11,37.8086866,127.3530193,,전용주,031-580-2104,가평군청,2021-08-24
"가로등조종5-9",1,경기도 가평군 조종면 연등길 1-8,경기도 가평군 조종면 현리 477-35,37.8092296,127.3523985,,전용주,031-580-2104,가평군청,2021-08-24
"가평1",1,,경기도 가평군 가평읍 읍내리 496-12,37.830829,127.5112553,2007,한전주,031-580-2104,가평군청,2021-08-24
"가평10",1,경기도 가평군 가평읍 연인길 13,경기도 가평군 가평읍 읍내리 337-1,37.8281708,127.5128897,1997,전용주,031-580-2104,가평군청,2021-08-24
"가평100",1,,경기도 가평군 가평읍 읍내리 635-8,37.8340768,127.5100638,2003,전용주,031-580-2104,가평군청,2021-08-24
"가평1000",1,,경기도 가평군 가평읍 하색리 288-4,37.8127579,127.4992103,2006,전용주,031-580-2104,가평군청,2021-08-24
"가평1001",1,,경기도 가평군 가평읍 하색리 287-4,37.813428,127.4999781,2006,전용주,031-580-2104,가평군청,2021-08-24
"가평1002",1,,경기도 가평군 가평읍 하색리 76-4,37.8138626,127.5004749,2006,전용주,031-580-2104,가평군청,2021-08-24
"가평1003",1,,경기도 가평군 가평읍 하색리 50-1,37.8151845,127.501988,2006,전용주,031-580-2104,가평군청,2021-08-24
"가평1004",1,,경기도 가평군 가평읍 하색리 40-2,37.81557127,127.502609,2006,전용주,031-580-2104,가평군청,2021-08-24
"가평1005",1,,경기도 가평군 가평읍 경반리 709,37.8306745,127.4896379,2015,전용주,031-580-2104,가평군청,2021-08-24
"가평1006",1,,경기도 가평군 가평읍 대곡리 409-5,37.8180614,127.5112484,2006,전용주,031-580-2104,가평군청,2021-08-24
"가평1007",1,,경기도 가평군 가평읍 읍내리 산152,37.8312642,127.5229308,2006,전용주,031-580-2104,가평군청,2021-08-24
"가평1008",1,,경기도 가평군 가평읍 읍내리 산152,37.8318965,127.5233244,2006,전용주,031-580-2104,가평군청,2021-08-24
"가평1009",1,,경기도 가평군 가평읍 읍내리 산93-2,37.8326726,127.5236148,2006,전용주,031-580-2104,가평군청,2021-08-24
"가평101",1,,경기도 가평군 가평읍 읍내리 624-11,37.833744,127.5102023,1992,전용주,031-580-2104,가평군청,2021-08-24
"가평1010",1,,경기도 가평군 가평읍 읍내리 산86-2,37.8342869,127.5239907,2006,전용주,031-580-2104,가평군청,2021-08-24
"가평1011",1,,경기도 가평군 가평읍 읍내리 산86-2,37.8349917,127.5244861,2006,전용주,031-580-2104,가평군청,2021-08-24
"가평1012",1,,경기도 가평군 가평읍 읍내리 산86-2,37.8356424,127.5249704,2006,전용주,031-580-2104,가평군청,2021-08-24
"가평1013",1,,경기도 가평군 가평읍 읍내리 산86-2,37.8367168,127.5255089,2006,전용주,031-580-2104,가평군청,2021-08-24
"가평1014",1,,경기도 가평군 가평읍 읍내리 산86-2,37.837493,127.5258448,2006,전용주,031-580-2104,가평군청,2021-08-24
"가평1015",1,,경기도 가평군 가평읍 읍내리 산86-2,37.8386669,127.5264849,2006,전용주,031-580-2104,가평군청,2021-08-24
"가평1016",1,,경기도 가평군 가평읍 읍내리 산18-3,37.8394169,127.5270027,2006,전용주,031-580-2104,가평군청,2021-08-24
"가평1017",1,,경기도 가평군 가평읍 읍내리 산152,37.8400407,127.5275214,2006,전용주,031-580-2104,가평군청,2021-08-24
"가평1018",1,,경기도 가평군 가평읍 읍내리 산18-3,37.8406543,127.5277561,2006,전용주,031-580-2104,가평군청,2021-08-24
"가평1019",1,,경기도 가평군 가평읍 읍내리 962,37.8412974,127.5285928,2006,전용주,031-580-2104,가평군청,2021-08-24
"가평102",1,,경기도 가평군 가평읍 읍내리 624-11,37.8333932,127.510341,1997,전용주,031-580-2104,가평군청,2021-08-24
