"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"강매동 189-2",1,,경기도 고양시 덕양구 강매동 189-2,37.60714288,126.8463765,,,031-8075-5335,경기도 고양시 덕양구청 안전건설과,2021-09-27
"노인정앞 통신주",1,,경기도 고양시 덕양구 강매동 267-3,37.59909541,126.8437613,,,031-8075-5335,경기도 고양시 덕양구청 안전건설과,2021-09-27
"강매동 44-5",1,,경기도 고양시 덕양구 강매동 44-5,37.61006111,126.845632,,,031-8075-5335,경기도 고양시 덕양구청 안전건설과,2021-09-27
"강매동 45-9",1,,경기도 고양시 덕양구 강매동 45-9,,,,,031-8075-5335,경기도 고양시 덕양구청 안전건설과,2021-09-27
"강매2교안쪽비닐하우스",1,,경기도 고양시 덕양구 강매동 487-2,,,,,031-8075-5335,경기도 고양시 덕양구청 안전건설과,2021-09-27
"강매2교안쪽비닐하우스끝",1,,경기도 고양시 덕양구 강매동 596-1,,,,,031-8075-5335,경기도 고양시 덕양구청 안전건설과,2021-09-27
WOOD BEAN 앞,1,,경기도 고양시 덕양구 강매동 94-2,37.60881731,126.8452994,,,031-8075-5335,경기도 고양시 덕양구청 안전건설과,2021-09-27
"해달별어린이유치원앞",1,,경기도 고양시 덕양구 강매동 104,,,,,031-8075-5335,경기도 고양시 덕양구청 안전건설과,2021-09-27
"해달별어린이집앞우측",1,,경기도 고양시 덕양구 강매동 105-1,,,,,031-8075-5335,경기도 고양시 덕양구청 안전건설과,2021-09-27
"전진F앤B앞",1,,경기도 고양시 덕양구 강매동 106-2,,,,,031-8075-5335,경기도 고양시 덕양구청 안전건설과,2021-09-27
"강매동길120앞",1,,경기도 고양시 덕양구 강매동 108-1,,,,,031-8075-5335,경기도 고양시 덕양구청 안전건설과,2021-09-27
"해달별아링이집앞",1,,경기도 고양시 덕양구 강매동 113,37.60784915,126.8435482,,,031-8075-5335,경기도 고양시 덕양구청 안전건설과,2021-09-27
"강매3교앞",1,,경기도 고양시 덕양구 강매동 131,37.60666276,126.8430343,,,031-8075-5335,경기도 고양시 덕양구청 안전건설과,2021-09-27
