"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"갈1",1,,경기도 과천시 갈현동   4-3,37.4183016915,126.9852610777,,한전주,02-3677-2468,경기도 과천시청,2022-07-18
"갈10(연접)",2,경기도 과천시 찬우물로 21-5,경기도 과천시 갈현동 15-1,37.4166609676,126.9851602328,,한전주,02-3677-2468,경기도 과천시청,2022-07-18
"갈100",1,,경기도 과천시 갈현동   226-7,37.4088964217,126.9833838604,,한전주,02-3677-2468,경기도 과천시청,2022-07-18
"갈101",1,,경기도 과천시 갈현동   228-1,37.4084655027,126.9836465229,,한전주,02-3677-2468,경기도 과천시청,2022-07-18
"갈102",1,,경기도 과천시 갈현동   229-7,37.4081741696,126.9836821629,,한전주,02-3677-2468,경기도 과천시청,2022-07-18
"갈103",1,경기도 과천시 옥탑로 39,경기도 과천시 갈현동 233-2,37.4078290419,126.9841416892,,한전주,02-3677-2468,경기도 과천시청,2022-07-18
"갈104",1,,경기도 과천시 갈현동   245-12,37.4075474797,126.9838033329,,한전주,02-3677-2468,경기도 과천시청,2022-07-18
"갈105",1,경기도 과천시 옥탑로 46,경기도 과천시 갈현동 240-7,37.4073815308,126.9836681831,,한전주,02-3677-2468,경기도 과천시청,2022-07-18
"갈106",1,,경기도 과천시 갈현동   237,37.4067521021,126.9842114483,,한전주,02-3677-2468,경기도 과천시청,2022-07-18
"갈107",1,,경기도 과천시 갈현동   162,37.4103517356,126.9910415902,,한전주,02-3677-2468,경기도 과천시청,2022-07-18
"갈108",1,,경기도 과천시 갈현동   165-4,37.4097781119,126.9915026102,,한전주,02-3677-2468,경기도 과천시청,2022-07-18
"갈109",1,,경기도 과천시 갈현동   172,37.4097940528,126.9925033929,,한전주,02-3677-2468,경기도 과천시청,2022-07-18
"갈11",1,경기도 과천시 과천대로 161,경기도 과천시 갈현동 13-8,37.4162368416,126.9843344399,,한전주,02-3677-2468,경기도 과천시청,2022-07-18
"갈110",1,,경기도 과천시 갈현동   168-3,37.4092809138,126.9924727316,,한전주,02-3677-2468,경기도 과천시청,2022-07-18
"갈12",1,경기도 과천시 찬우물로 36,경기도 과천시 갈현동 13-9,37.4163078060,126.9840663623,,한전주,02-3677-2468,경기도 과천시청,2022-07-18
"갈13",1,경기도 과천시 가일로 16,경기도 과천시 갈현동 357-3,37.4162753935,126.9829476906,,한전주,02-3677-2468,경기도 과천시청,2022-07-18
"갈14",1,,경기도 과천시 갈현동   산 20-10,37.4167435928,126.9831097875,,한전주,02-3677-2468,경기도 과천시청,2022-07-18
"갈15",1,경기도 과천시 가일로 14-27,경기도 과천시 갈현동 357-2,37.4172696640,126.9823085345,,한전주,02-3677-2468,경기도 과천시청,2022-07-18
"갈16",1,,경기도 과천시 갈현동   375-3,37.4172749881,126.9816728651,,한전주,02-3677-2468,경기도 과천시청,2022-07-18
"갈17",1,,경기도 과천시 갈현동   358-4,37.4175337620,126.9819268594,,한전주,02-3677-2468,경기도 과천시청,2022-07-18
"갈18",1,경기도 과천시 김영철길 50,경기도 과천시 갈현동 361-2,37.4191485066,126.9819676072,,한전주,02-3677-2468,경기도 과천시청,2022-07-18
"갈19",1,경기도 과천시 김영철길 36,경기도 과천시 갈현동 360,37.4183295239,126.9822527056,,한전주,02-3677-2468,경기도 과천시청,2022-07-18
