"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"목감로 382",1,경기도 광명시 목감로 382,경기도 광명시 광명동 4-1,37.4919896,126.8665387,,,02-2680-5033,경기도 광명시 광명1동주민센터,2022-10-31
"목감로 376",1,경기도 광명시 목감로 376,경기도 광명시 광명동 4-5,37.49162867,126.8659933,,,02-2680-5033,경기도 광명시 광명1동주민센터,2022-10-31
"목감로 370",1,경기도 광명시 목감로 370,경기도 광명시 광명동 4-9,37.49130286,126.8655093,,,02-2680-5033,경기도 광명시 광명1동주민센터,2022-10-31
"목감로 362",1,경기도 광명시 목감로 362,경기도 광명시 광명동 5-4,37.49085751,126.8648215,,,02-2680-5033,경기도 광명시 광명1동주민센터,2022-10-31
"목감로 358",1,경기도 광명시 목감로 358,경기도 광명시 광명동 5-7,37.49064415,126.8643492,,,02-2680-5033,경기도 광명시 광명1동주민센터,2022-10-31
"목감로 354",1,경기도 광명시 목감로 354,경기도 광명시 광명동 6-58,37.49053726,126.8638528,,,02-2680-5033,경기도 광명시 광명1동주민센터,2022-10-31
"목감로 348",1,경기도 광명시 목감로 348,경기도 광명시 광명동 6-62,37.49048609,126.8632312,,,02-2680-5033,경기도 광명시 광명1동주민센터,2022-10-31
"목감로 346",1,경기도 광명시 목감로 346,경기도 광명시 광명동 7-1,37.49042995,126.8629942,,,02-2680-5033,경기도 광명시 광명1동주민센터,2022-10-31
"목감로 338-1",1,경기도 광명시 목감로 338-1,경기도 광명시 광명동 7-9,37.49016459,126.8623586,,,02-2680-5033,경기도 광명시 광명1동주민센터,2022-10-31
"목감로 336",1,경기도 광명시 목감로 336,경기도 광명시 광명동 7-13,37.4899931,126.8621015,,,02-2680-5033,경기도 광명시 광명1동주민센터,2022-10-31
"목감로 332",1,경기도 광명시 목감로 332,경기도 광명시 광명동 7-16,37.48981391,126.8618121,,,02-2680-5033,경기도 광명시 광명1동주민센터,2022-10-31
"목감로 324",1,경기도 광명시 목감로 324,경기도 광명시 광명동 7-25,37.48913663,126.8612769,,,02-2680-5033,경기도 광명시 광명1동주민센터,2022-10-31
"목감로 320",1,경기도 광명시 목감로 320,경기도 광명시 광명동 7-29,37.48885414,126.8610321,,,02-2680-5033,경기도 광명시 광명1동주민센터,2022-10-31
"목감로 344",1,경기도 광명시 목감로 344,경기도 광명시 광명동 7-4,37.49037876,126.8628224,,,02-2680-5033,경기도 광명시 광명1동주민센터,2022-10-31
"목감로 336-1",1,경기도 광명시 목감로 336-1,경기도 광명시 광명동 7-145,37.49005724,126.8621751,,,02-2680-5033,경기도 광명시 광명1동주민센터,2022-10-31
"목감로 320",1,경기도 광명시 목감로 320,경기도 광명시 광명동 7-29,37.48885414,126.8610321,,,02-2680-5033,경기도 광명시 광명1동주민센터,2022-10-31
"목감로 320",1,경기도 광명시 목감로 320,경기도 광명시 광명동 7-29,37.48885414,126.8610321,,,02-2680-5033,경기도 광명시 광명1동주민센터,2022-10-31
"목감로 332",1,경기도 광명시 목감로 332,경기도 광명시 광명동 7-16,37.48981391,126.8618121,,,02-2680-5033,경기도 광명시 광명1동주민센터,2022-10-31
"광명동,철산교하부",1,경기도 광명시 목감로 346,경기도 광명시 광명동 7-1,37.49042995,126.8629942,,,02-2680-5033,경기도 광명시 광명1동주민센터,2022-10-31
"광명동,4-5번지앞 1-3번",1,경기도 광명시 목감로 376,경기도 광명시 광명동 4-5,37.49162867,126.8659933,,,02-2680-5033,경기도 광명시 광명1동주민센터,2022-10-31
