"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"수택동",1,"경기도 구리시 검배로72번길86, (수택동)",경기도 구리시 수택동 456-11,37.594284,127.142662,2011,전용주,031-550-2436,경기도 구리시청,2022-06-14
"갈매동",1,,경기도 구리시 갈매동 504-1,37.642662,127.113792,2011,한전주,031-550-2436,경기도 구리시청,2022-06-14
"갈매동",1,"경기도 구리시 담터길21-12, (갈매동)",경기도 구리시 갈매동 164,37.641781,127.114807,2011,한전주,031-550-2436,경기도 구리시청,2022-06-14
"갈매동",1,"경기도 구리시 담터길21-12, (갈매동)",경기도 구리시 갈매동 164,37.641445,127.114891,2011,한전주,031-550-2436,경기도 구리시청,2022-06-14
"갈매동",1,,경기도 구리시 갈매동 166-9,37.641052,127.115097,2011,한전주,031-550-2436,경기도 구리시청,2022-06-14
"갈매동",1,,경기도 구리시 갈매동 163-96,37.641247,127.114151,2011,전용주,031-550-2436,경기도 구리시청,2022-06-14
"갈매동",1,,경기도 구리시 갈매동 163-166,37.641468,127.114128,2011,전용주,031-550-2436,경기도 구리시청,2022-06-14
"갈매동",1,"경기도 구리시 금강로6번길3, (갈매동)",경기도 구리시 갈매동 163-34,37.640896,127.112557,2011,한전주,031-550-2436,경기도 구리시청,2022-06-14
"갈매동",1,"경기도 구리시 금강로6번길14, (갈매동)",경기도 구리시 갈매동 163-151,37.640610,127.112732,2011,한전주,031-550-2436,경기도 구리시청,2022-06-14
"갈매동",1,"경기도 구리시 금강로6번길20, (갈매동)",경기도 구리시 갈매동 215-47,37.640606,127.111702,2011,한전주,031-550-2436,경기도 구리시청,2022-06-14
"갈매동",1,,경기도 구리시 갈매동 163-62,37.640469,127.111778,2011,한전주,031-550-2436,경기도 구리시청,2022-06-14
"갈매동",1,,경기도 구리시 갈매동 163-148,37.640568,127.112175,2011,한전주,031-550-2436,경기도 구리시청,2022-06-14
"갈매동",1,,경기도 구리시 갈매동 163-148,37.640568,127.112198,2011,한전주,031-550-2436,경기도 구리시청,2022-06-14
"갈매동",1,,경기도 구리시 갈매동 163-94,37.640873,127.114471,2011,한전주,031-550-2436,경기도 구리시청,2022-06-14
"갈매동",1,"경기도 구리시 담터길18-9, (갈매동)",경기도 구리시 갈매동 213-7,37.640743,127.114487,2011,전용주,031-550-2436,경기도 구리시청,2022-06-14
"갈매동",1,,경기도 구리시 갈매동 213-31,37.640507,127.114349,2011,한전주,031-550-2436,경기도 구리시청,2022-06-14
"갈매동",1,,경기도 구리시 갈매동 215-109,37.640240,127.114105,2011,한전주,031-550-2436,경기도 구리시청,2022-06-14
"갈매동",1,"경기도 구리시 담터길21번길5, (갈매동)",경기도 구리시 갈매동 166,37.641094,127.115410,2011,한전주,031-550-2436,경기도 구리시청,2022-06-14
"갈매동",1,"경기도 구리시 담터길29-13, (갈매동)",경기도 구리시 갈매동 207-2,37.640907,127.115730,2011,전용주,031-550-2436,경기도 구리시청,2022-06-14
"갈매동",1,"경기도 구리시 담터길29-14, (갈매동)",경기도 구리시 갈매동 207-1,37.640823,127.115982,2011,전용주,031-550-2436,경기도 구리시청,2022-06-14
"갈매동",1,"경기도 구리시 담터길51번길39, (갈매동)",경기도 구리시 갈매동 202,37.640778,127.116348,2011,전용주,031-550-2436,경기도 구리시청,2022-06-14
"갈매동",1,"경기도 구리시 담터길29-13, (갈매동)",경기도 구리시 갈매동 207-2,37.640759,127.115814,2011,한전주,031-550-2436,경기도 구리시청,2022-06-14
"갈매동",1,,경기도 구리시 갈매동 212-8,37.640434,127.115860,2011,한전주,031-550-2436,경기도 구리시청,2022-06-14
"갈매동",1,"경기도 구리시 담터길21번길15, (갈매동)",경기도 구리시 갈매동 168-3,37.641155,127.115822,2011,한전주,031-550-2436,경기도 구리시청,2022-06-14
"갈매동",1,"경기도 구리시 담터길21번길23, (갈매동)",경기도 구리시 갈매동 173-3,37.640995,127.116310,2011,한전주,031-550-2436,경기도 구리시청,2022-06-14
"갈매동",1,"경기도 구리시 담터길51번길53, (갈매동)",경기도 구리시 갈매동 198-2,37.641117,127.116699,2011,전용주,031-550-2436,경기도 구리시청,2022-06-14
"갈매동",1,,경기도 구리시 갈매동 195,37.641052,127.116974,2011,한전주,031-550-2436,경기도 구리시청,2022-06-14
"갈매동",1,,경기도 구리시 갈매동 197-8,37.640759,127.116776,2011,전용주,031-550-2436,경기도 구리시청,2022-06-14
"갈매동",1,,경기도 구리시 갈매동 194-3,37.640610,127.116715,2011,한전주,031-550-2436,경기도 구리시청,2022-06-14
"갈매동",1,,경기도 구리시 갈매동 193,37.640289,127.116852,2011,한전주,031-550-2436,경기도 구리시청,2022-06-14
"갈매동",1,,경기도 구리시 갈매동 192-5,37.640102,127.116852,2011,한전주,031-550-2436,경기도 구리시청,2022-06-14
"갈매동",1,,경기도 구리시 갈매동 221-15,37.639793,127.117020,2011,한전주,031-550-2436,경기도 구리시청,2022-06-14
"갈매동",1,"경기도 구리시 담터길51번길22, (갈매동)",경기도 구리시 갈매동 222-7,37.639790,127.117088,2011,한전주,031-550-2436,경기도 구리시청,2022-06-14
"갈매동",1,,경기도 구리시 갈매동 221-13,37.639530,127.116989,2011,한전주,031-550-2436,경기도 구리시청,2022-06-14
