"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"금정동001",1,경기도 군포시 번영로 557번길 26-11,경기도 군포시 금정동 715-5,37.36152724,126.9370839,2019,한전주,031-390-3643,경기도 군포시청,2022-12-30
"금정동002",1,경기도 군포시 번영로 587번안길 84,경기도 군포시 금정동 715-7,37.36180957,126.9369076,2019,한전주,031-390-3643,경기도 군포시청,2022-12-30
"금정동003",1,경기도 군포시 번영로 587번안길 84,경기도 군포시 금정동 715-7,37.36183365,126.9369803,2019,한전주,031-390-3643,경기도 군포시청,2022-12-30
"금정동004",1,경기도 군포시 번영로 557번길 46-12,경기도 군포시 금정동 715-10,37.36219182,126.9367037,2019,한전주,031-390-3643,경기도 군포시청,2022-12-30
"금정동005",1,경기도 군포시 번영로 557번길 32,경기도 군포시 금정동 718-9,37.36155911,126.9365177,2019,한전주,031-390-3643,경기도 군포시청,2022-12-30
"금정동006",1,경기도 군포시 번영로 557번길 38,경기도 군포시 금정동 718-12,37.36183402,126.9363665,2019,한전주,031-390-3643,경기도 군포시청,2022-12-30
"금정동007",1,경기도 군포시 번영로 557번길 42,경기도 군포시 금정동 718-13,37.36196184,126.9362952,2019,한전주,031-390-3643,경기도 군포시청,2022-12-30
"금정동008",1,경기도 군포시 번영로 557번길 44,경기도 군포시 금정동 718,37.36208542,126.9362195,2019,한전주,031-390-3643,경기도 군포시청,2022-12-30
"금정동009",1,경기도 군포시 번영로 557번길 52,경기도 군포시 금정동 717,37.36232412,126.9360073,2019,한전주,031-390-3643,경기도 군포시청,2022-12-30
"금정동010",1,경기도 군포시 번영로 557번길 52,경기도 군포시 금정동 817,37.36236372,126.9360073,2019,한전주,031-390-3643,경기도 군포시청,2022-12-30
"금정동011",1,경기도 군포시 번영로 557번길 52,경기도 군포시 금정동 817,37.36236372,126.9360073,2019,한전주,031-390-3643,경기도 군포시청,2022-12-30
"금정동012",1,경기도 군포시 번영로 561번길 69,경기도 군포시 금정동 717-5,37.36269162,126.9365708,2019,한전주,031-390-3643,경기도 군포시청,2022-12-30
"금정동013",1,경기도 군포시 번영로 561번안길 10,경기도 군포시 금정동 717-3,37.36254978,126.9368515,2019,한전주,031-390-3643,경기도 군포시청,2022-12-30
"금정동014",1,경기도 군포시 번영로 557번길 46-11,경기도 군포시 금정동 717-4,37.36241133,126.9365704,2019,한전주,031-390-3643,경기도 군포시청,2022-12-30
"금정동015",1,경기도 군포시 번영로 557번길 46-11,경기도 군포시 금정동 717-4,37.36241133,126.9365704,2019,한전주,031-390-3643,경기도 군포시청,2022-12-30
"금정동016",1,경기도 군포시 번영로 561번안길 14,경기도 군포시 금정동 715-12,37.36227076,126.9369766,2019,한전주,031-390-3643,경기도 군포시청,2022-12-30
"금정동017",1,경기도 군포시 번영로 561번안길 22,경기도 군포시 금정동 715-15,37.36201404,126.9371254,2019,한전주,031-390-3643,경기도 군포시청,2022-12-30
"금정동018",1,경기도 군포시 번영로 561번안길 29,경기도 군포시 금정동 716-21,37.36170457,126.9376106,2019,한전주,031-390-3643,경기도 군포시청,2022-12-30
"금정동019",1,경기도 군포시 번영로 561번길 59,경기도 군포시 금정동 716,37.36277396,126.9370174,2019,한전주,031-390-3643,경기도 군포시청,2022-12-30
"금정동019-1",1,경기도 군포시 번영로 557번길 52,경기도 군포시 금정동 817,37.36236372,126.9360073,2020,한전주,031-390-3643,경기도 군포시청,2022-12-30
