"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"고촌읍0093",1,경기도 김포시 고촌읍 은행영사정로51번길 18-6,,37.60386252,126.7763414,2018,한전주,031-5186-4584,경기도 김포시청 도로관리과,2023-02-07
"고촌읍0094",1,경기도 김포시 고촌읍 은행영사정로51번길 19,,37.60382815,126.7759373,2018,전용주,031-5186-4584,경기도 김포시청 도로관리과,2023-02-07
"고촌읍0095",1,,경기도 김포시 고촌읍 402-8,37.60424829,126.776133,2018,한전주,031-5186-4584,경기도 김포시청 도로관리과,2023-02-07
"고촌읍0096",1,경기도 김포시 고촌읍 은행영사정로51번길 11,,37.60347369,126.7758378,2018,한전주,031-5186-4584,경기도 김포시청 도로관리과,2023-02-07
"고촌읍0097",1,경기도 김포시 고촌읍 은행영사정로51번길 19,,37.60382815,126.7759373,2018,전용주,031-5186-4584,경기도 김포시청 도로관리과,2023-02-07
"고촌읍0098",1,경기도 김포시 고촌읍 은행영사정로51번길 33,,37.60444526,126.7759057,2018,전용주,031-5186-4584,경기도 김포시청 도로관리과,2023-02-07
"고촌읍0099",1,경기도 김포시 고촌읍 은행영사정로51번길 33,,37.60444526,126.7759057,2018,한전주,031-5186-4584,경기도 김포시청 도로관리과,2023-02-07
"고촌읍0100",1,경기도 김포시 고촌읍 은행영사정로51번길 37,,37.60473121,126.7760313,2018,한전주,031-5186-4584,경기도 김포시청 도로관리과,2023-02-07
"고촌읍0101",1,경기도 김포시 고촌읍 은행영사정로51번길 56,,37.60518118,126.7768534,2018,한전주,031-5186-4584,경기도 김포시청 도로관리과,2023-02-07
"고촌읍0102",1,경기도 김포시 고촌읍 은행영사정로51번길 59,,37.6055418,126.7768256,2018,한전주,031-5186-4584,경기도 김포시청 도로관리과,2023-02-07
"고촌읍0103",1,경기도 김포시 고촌읍 은행영사정로71번길 102,,37.60558408,126.7774588,2018,한전주,031-5186-4584,경기도 김포시청 도로관리과,2023-02-07
"고촌읍0104",1,경기도 김포시 고촌읍 은행영사정로71번길 96,,37.60574517,126.7777886,2018,한전주,031-5186-4584,경기도 김포시청 도로관리과,2023-02-07
"고촌읍0105",1,경기도 김포시 고촌읍 은행영사정로51번길 88,,37.60598908,126.7781818,2018,한전주,031-5186-4584,경기도 김포시청 도로관리과,2023-02-07
"고촌읍0106",1,,경기도 김포시 고촌읍 366-1,37.60623566,126.7788903,2018,한전주,031-5186-4584,경기도 김포시청 도로관리과,2023-02-07
"고촌읍0107",1,경기도 김포시 고촌읍 은행영사정로51번길 104,,37.60636163,126.7790379,2018,한전주,031-5186-4584,경기도 김포시청 도로관리과,2023-02-07
"고촌읍0108",1,경기도 김포시 고촌읍 은행영사정로51번길 116,,37.60657184,126.7794776,2018,한전주,031-5186-4584,경기도 김포시청 도로관리과,2023-02-07
"고촌읍0109",1,경기도 김포시 고촌읍 은행영사정로51번길 115,,37.60700262,126.7795371,2018,전용주,031-5186-4584,경기도 김포시청 도로관리과,2023-02-07
"고촌읍0110",1,경기도 김포시 고촌읍 신곡로 30-16,,37.6054969,126.7762855,2018,한전주,031-5186-4584,경기도 김포시청 도로관리과,2023-02-07
