"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
11-0001,1,,경기도 남양주시 와부읍 팔당리 87-3,37.5412953843,127.2546795,,,031-590-4223,경기도 남양주시청,2022-03-31
11-0002,1,,경기도 남양주시 와부읍 팔당리 20-6,37.5415264041,127.2559467648,,,031-590-4223,경기도 남양주시청,2022-03-31
11-0003,1,,경기도 남양주시 와부읍 팔당리 24-6,37.54169433,127.2563082605,,,031-590-4223,경기도 남양주시청,2022-03-31
11-0004,1,,경기도 남양주시 와부읍 팔당리 23,37.5420255232,127.2562884,,,031-590-4223,경기도 남양주시청,2022-03-31
11-0005,1,,경기도 남양주시 와부읍 팔당리 24-2,37.54205376,127.2564952667,,,031-590-4223,경기도 남양주시청,2022-03-31
11-0006,1,,경기도 남양주시 와부읍 팔당리 24-13,37.5424609878,127.2569815820,,,031-590-4223,경기도 남양주시청,2022-03-31
11-0007,1,,경기도 남양주시 와부읍 팔당리 12-1,37.5427009398,127.2560362293,,,031-590-4223,경기도 남양주시청,2022-03-31
11-0008,1,,경기도 남양주시 와부읍 팔당리 12-1,37.5427009398,127.2560362293,,,031-590-4223,경기도 남양주시청,2022-03-31
11-0009,1,,경기도 남양주시 와부읍 팔당리 336-2,37.54436075,127.2479565,,,031-590-4223,경기도 남양주시청,2022-03-31
11-0010,1,,경기도 남양주시 와부읍 팔당리 339-5,37.5443885914,127.2485816238,,,031-590-4223,경기도 남양주시청,2022-03-31
11-0011,1,,경기도 남양주시 와부읍 팔당리 332-5,37.5449674922,127.2474665,,,031-590-4223,경기도 남양주시청,2022-03-31
11-0012,1,,경기도 남양주시 와부읍 팔당리 321-5,37.5450047,127.2480667,,,031-590-4223,경기도 남양주시청,2022-03-31
11-0013,1,,경기도 남양주시 와부읍 팔당리 322-3,37.5452509573,127.2480168,,,031-590-4223,경기도 남양주시청,2022-03-31
11-0014,1,,경기도 남양주시 와부읍 팔당리 317,37.5453931030,127.2489712802,,,031-590-4223,경기도 남양주시청,2022-03-31
11-0015,1,,경기도 남양주시 와부읍 팔당리 321-1,37.54568928,127.2480896033,,,031-590-4223,경기도 남양주시청,2022-03-31
11-0016,1,,경기도 남양주시 와부읍 팔당리 199-1,37.5459437705,127.2482969883,,,031-590-4223,경기도 남양주시청,2022-03-31
11-0017,1,,경기도 남양주시 와부읍 팔당리 199-1,37.5459437705,127.2482969883,,,031-590-4223,경기도 남양주시청,2022-03-31
11-0018,1,,경기도 남양주시 와부읍 팔당리 125-1,37.5471854023,127.2512310979,,,031-590-4223,경기도 남양주시청,2022-03-31
11-0019,1,,경기도 남양주시 와부읍 팔당리 125-1,37.5471854023,127.2512310979,,,031-590-4223,경기도 남양주시청,2022-03-31
11-0020,1,,경기도 남양주시 와부읍 팔당리 115-1,37.5466563244,127.2505786162,,,031-590-4223,경기도 남양주시청,2022-03-31
11-0021,1,,경기도 남양주시 와부읍 팔당리 115-7,37.54758906,127.2530204,,,031-590-4223,경기도 남양주시청,2022-03-31
11-0022,1,,경기도 남양주시 와부읍 팔당리 115-1,37.5466563244,127.2505786162,,,031-590-4223,경기도 남양주시청,2022-03-31
11-0023,1,,경기도 남양주시 와부읍 팔당리 151-1,37.54787828,127.2546961,,,031-590-4223,경기도 남양주시청,2022-03-31
11-0024,1,,경기도 남양주시 와부읍 팔당리 116-1,37.54802173,127.2550248,,,031-590-4223,경기도 남양주시청,2022-03-31
11-0025,1,,경기도 남양주시 와부읍 팔당리 6-5,37.54807483,127.2553454148,,,031-590-4223,경기도 남양주시청,2022-03-31
11-0026,1,,경기도 남양주시 와부읍 팔당리 133-12,37.54693723,127.2503086599,,,031-590-4223,경기도 남양주시청,2022-03-31
11-0027,1,,경기도 남양주시 와부읍 팔당리 313,37.5467232409,127.2494677620,,,031-590-4223,경기도 남양주시청,2022-03-31
11-0028,1,,경기도 남양주시 와부읍 팔당리 313,37.54678122,127.2494644,,,031-590-4223,경기도 남양주시청,2022-03-31
11-0029,1,,경기도 남양주시 와부읍 팔당리 300-1,37.5464261958,127.2489789387,,,031-590-4223,경기도 남양주시청,2022-03-31
11-0030,1,,경기도 남양주시 와부읍 팔당리 306,37.5463717346,127.2487617,,,031-590-4223,경기도 남양주시청,2022-03-31
11-0031,1,,경기도 남양주시 와부읍 팔당리 199-1,37.5459437705,127.2482969883,,,031-590-4223,경기도 남양주시청,2022-03-31
11-0032,1,,경기도 남양주시 와부읍 팔당리 300-1,37.5464261958,127.2489789387,,,031-590-4223,경기도 남양주시청,2022-03-31
11-0033,1,,경기도 남양주시 와부읍 팔당리 199-1,37.54591892,127.2482055,,,031-590-4223,경기도 남양주시청,2022-03-31
11-0034,1,,경기도 남양주시 와부읍 팔당리 309,37.5459437705,127.2482685,,,031-590-4223,경기도 남양주시청,2022-03-31
11-0035,1,,경기도 남양주시 와부읍 팔당리 283-3,37.5464152143,127.2479634,,,031-590-4223,경기도 남양주시청,2022-03-31
11-0036,1,,경기도 남양주시 와부읍 팔당리 304-1,37.54650013,127.2483575398,,,031-590-4223,경기도 남양주시청,2022-03-31
11-0037,1,,경기도 남양주시 와부읍 팔당리 287-1,37.54741438,127.2483601732,,,031-590-4223,경기도 남양주시청,2022-03-31
11-0038,1,,경기도 남양주시 와부읍 팔당리 301-2,37.5471097481,127.2483395,,,031-590-4223,경기도 남양주시청,2022-03-31
11-0039,1,,경기도 남양주시 와부읍 팔당리 288-1,37.5475353856,127.2486090389,,,031-590-4223,경기도 남양주시청,2022-03-31
11-0041,1,,경기도 남양주시 와부읍 팔당리 285-1,37.5473170015,127.2480609314,,,031-590-4223,경기도 남양주시청,2022-03-31
11-0042,1,,경기도 남양주시 와부읍 팔당리 199-1,37.5459437705,127.2482969883,,,031-590-4223,경기도 남양주시청,2022-03-31
11-0043,1,,경기도 남양주시 와부읍 팔당리 285-2,37.5471470089,127.2481030615,,,031-590-4223,경기도 남양주시청,2022-03-31
11-0044,1,,경기도 남양주시 와부읍 팔당리 195-2,37.5466863725,127.2476227,,,031-590-4223,경기도 남양주시청,2022-03-31
11-0045,1,,경기도 남양주시 와부읍 팔당리 195-2,37.5466863725,127.2476057,,,031-590-4223,경기도 남양주시청,2022-03-31
11-0046,1,,경기도 남양주시 와부읍 팔당리 199-1,37.5459437705,127.2482969883,,,031-590-4223,경기도 남양주시청,2022-03-31
11-0047,1,,경기도 남양주시 와부읍 팔당리 199-1,37.5459437705,127.2482969883,,,031-590-4223,경기도 남양주시청,2022-03-31
