"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"걸산동001",1,,경기도 동두천시 걸산동 93-4,37.92110663,127.1030660742,,한전주,031-860-2296,경기도 동두천시청 도로과,2022-09-01
"걸산동002",1,,경기도 동두천시 걸산동 97-1,37.92134419,127.0999445258,,한전주,031-860-2296,경기도 동두천시청 도로과,2022-09-01
"걸산동003",1,,경기도 동두천시 걸산동 86,37.9213923326,127.0987831482,,한전주,031-860-2296,경기도 동두천시청 도로과,2022-09-01
"걸산동004",1,,경기도 동두천시 걸산동 190,37.9215473377,127.0966044628,,한전주,031-860-2296,경기도 동두천시청 도로과,2022-09-01
"걸산동006",1,,경기도 동두천시 걸산동 189,37.9215895,127.0966044628,,한전주,031-860-2296,경기도 동두천시청 도로과,2022-09-01
"걸산동007",1,,경기도 동두천시 걸산동 185-3,37.9223594867,127.0973205663,,한전주,031-860-2296,경기도 동두천시청 도로과,2022-09-01
"걸산동008",1,,경기도 동두천시 걸산동 185-4,37.9224308818,127.0974592508,,한전주,031-860-2296,경기도 동두천시청 도로과,2022-09-01
"걸산동009",1,,경기도 동두천시 걸산동 185,37.9230627483,127.0972918,,한전주,031-860-2296,경기도 동두천시청 도로과,2022-09-01
"걸산동010",1,,경기도 동두천시 걸산동 산 105,37.9232583718,127.0988924720,,한전주,031-860-2296,경기도 동두천시청 도로과,2022-09-01
"걸산동011",1,,경기도 동두천시 걸산동 산 105,37.9232583718,127.0988924720,,한전주,031-860-2296,경기도 동두천시청 도로과,2022-09-01
"걸산동012",1,,경기도 동두천시 걸산동 104,37.9242124173,127.0995166371,,한전주,031-860-2296,경기도 동두천시청 도로과,2022-09-01
"걸산동013",1,,경기도 동두천시 걸산동 107-1,37.92497429,127.1006086812,,한전주,031-860-2296,경기도 동두천시청 도로과,2022-09-01
"걸산동014",1,,경기도 동두천시 걸산동 107,37.92556391,127.1015635032,,한전주,031-860-2296,경기도 동두천시청 도로과,2022-09-01
"걸산동015",1,,경기도 동두천시 걸산동 68-2,37.9255709516,127.1025531175,,한전주,031-860-2296,경기도 동두천시청 도로과,2022-09-01
"걸산동015(연접)",1,,경기도 동두천시 걸산동 68-2,37.9255709516,127.1025531175,,한전주,031-860-2296,경기도 동두천시청 도로과,2022-09-01
"걸산동016",1,,경기도 동두천시 걸산동 68-2,37.925516,127.1025531175,,한전주,031-860-2296,경기도 동두천시청 도로과,2022-09-01
"걸산동017",1,,경기도 동두천시 걸산동 73-2,37.9249354579,127.1049823317,,한전주,031-860-2296,경기도 동두천시청 도로과,2022-09-01
"걸산동018",1,,경기도 동두천시 걸산동 74,37.9252550892,127.1065444452,,한전주,031-860-2296,경기도 동두천시청 도로과,2022-09-01
"걸산동019",1,,경기도 동두천시 걸산동 63-1,37.9265504192,127.1077348675,,한전주,031-860-2296,경기도 동두천시청 도로과,2022-09-01
"걸산동020",1,,경기도 동두천시 걸산동 50-14,37.9263005444,127.1059243057,,한전주,031-860-2296,경기도 동두천시청 도로과,2022-09-01
"걸산동021",1,,경기도 동두천시 걸산동 58,37.9263556455,127.1080364175,,한전주,031-860-2296,경기도 동두천시청 도로과,2022-09-01
"걸산동024",1,,경기도 동두천시 걸산동 산 79,37.9276697441,127.1078368206,,한전주,031-860-2296,경기도 동두천시청 도로과,2022-09-01
"걸산동025",1,,경기도 동두천시 걸산동 50-11,37.9278999454,127.1069360943,,한전주,031-860-2296,경기도 동두천시청 도로과,2022-09-01
"걸산동026",1,,경기도 동두천시 걸산동 산 101,37.9241751551,127.1063643626,,한전주,031-860-2296,경기도 동두천시청 도로과,2022-09-01
"걸산동027(분전함)",1,,경기도 동두천시 걸산동 산 113-9,37.9217638780,127.0961103515,,한전주,031-860-2296,경기도 동두천시청 도로과,2022-09-01
"걸산동029",1,,경기도 동두천시 걸산동 183-3,37.9237713657,127.0946519185,,한전주,031-860-2296,경기도 동두천시청 도로과,2022-09-01
"걸산동030",1,,경기도 동두천시 걸산동 183-3,37.9237713657,127.0946519185,,한전주,031-860-2296,경기도 동두천시청 도로과,2022-09-01
"걸산동031",1,,경기도 동두천시 걸산동 181-2,37.9243431007,127.0936635927,,한전주,031-860-2296,경기도 동두천시청 도로과,2022-09-01
"걸산동032",1,,경기도 동두천시 걸산동 180-1,37.9235624,127.0932532,,한전주,031-860-2296,경기도 동두천시청 도로과,2022-09-01
"걸산동033",1,,경기도 동두천시 걸산동 산 113-9,37.9217638780,127.0961103515,,한전주,031-860-2296,경기도 동두천시청 도로과,2022-09-01
