"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"심곡동",1,경기도 성남시 수정구 심곡로45번길 17-1,경기도 성남시 수정구 심곡동 363-3,37.4498741,127.0989234,,,031-729-5461,경기도 경기도 성남시 수정구청,2022-08-31
"심곡동",1,경기도 성남시 수정구 심곡로45번길 19,경기도 성남시 수정구 심곡동 363-4,37.4499010430,127.0987422,,,031-729-5461,경기도 성남시 수정구청,2022-08-31
"성남여중앞",1,,경기도 성남시 수정구 신흥동 81-3,37.44980022,127.1423469,,,031-729-5461,경기도 성남시 수정구청,2022-08-31
"복정동,703-1 앞 도로담장",1,경기도 성남시 수정구 성남대로1390번길 40,경기도 성남시 수정구 복정동 703-1,37.45357372,127.130956,,,031-729-5461,경기도 성남시 수정구청,2022-08-31
"금현마을25 우3번",1,,경기도 성남시 수정구 금토동 64,37.41934607,127.0790436,,,031-729-5461,경기도 성남시 수정구청,2022-08-31
"금현마을24 중간2번",1,,경기도 성남시 수정구 금토동 64,37.41934607,127.0790436,,,031-729-5461,경기도 성남시 수정구청,2022-08-31
"금현마을23 좌1번",1,,경기도 성남시 수정구 금토동 64,37.41934607,127.0790436,,,031-729-5461,경기도 성남시 수정구청,2022-08-31
"금토동,금현마을22 우3번",1,경기도 성남시 수정구 달래내로207번길 44-3,경기도 성남시 수정구 금토동 63,37.41897895,127.0793418,,,031-729-5461,경기도 성남시 수정구청,2022-08-31
"금토동,금현마을21 중간2번",1,경기도 성남시 수정구 달래내로207번길 44-3,경기도 성남시 수정구 금토동 63,37.41897895,127.0793418,,,031-729-5461,경기도 성남시 수정구청,2022-08-31
"금토동,금현마을20 좌1번",1,경기도 성남시 수정구 달래내로207번길 44-3,경기도 성남시 수정구 금토동 63,37.41897895,127.0793418,,,031-729-5461,경기도 성남시 수정구청,2022-08-31
