"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"장안구 송죽동 503-16",1,경기도 수원시 장안구 송원로 39 월드타워,경기도 수원시 장안구 송죽동 503-16,37.2991743431,127.0067711298,,,031-228-5486,경기도 수원시 장안구,2022-05-27
"장안구 송죽동 499-3",1,경기도 수원시 장안구 경수대로 935 동양파라곤,경기도 수원시 장안구 송죽동 499-3,37.3020449739,127.0079262699,,한전주,031-228-5486,경기도 수원시 장안구,2022-05-27
"장안구 송죽동 502-1",1,경기도 수원시 장안구 송원로41번길16-21 송죽동주민센터,경기도 수원시 장안구 송죽동 502-1,37.3005394877,127.0070464605,,,031-228-5486,경기도 수원시 장안구,2022-05-27
"장안구 송죽동 502-1",1,경기도 수원시 장안구 송원로41번길16-21 송죽동주민센터,경기도 수원시 장안구 송죽동 502-1,37.3005779,127.0070464605,,,031-228-5486,경기도 수원시 장안구,2022-05-27
"장안구 송죽동 502-1",1,경기도 수원시 장안구 송원로41번길16-21 송죽동주민센터,경기도 수원시 장안구 송죽동 502-1,37.3005394877,127.0070464605,,,031-228-5486,경기도 수원시 장안구,2022-05-27
"장안구 송죽동 502-2",1,경기도 수원시 장안구 송원로41번길16-21 송죽동주민센터,경기도 수원시 장안구 송죽동 502-2,37.3005394877,127.0070464605,,,031-228-5486,경기도 수원시 장안구,2022-05-27
"장안구 송죽동 507",1,경기도 수원시 장안구 송원로41번길16-21 송죽동주민센터,경기도 수원시 장안구 송죽동 507,37.3008139551,127.0077742333,,,031-228-5486,경기도 수원시 장안구,2022-05-27
"장안구 송죽동 502-2",1,경기도 수원시 장안구 송원로41번길16-21 송죽동주민센터,경기도 수원시 장안구 송죽동 502-2,37.3005394877,127.0070946,,,031-228-5486,경기도 수원시 장안구,2022-05-27
"장안구 송죽동 502-2",1,경기도 수원시 장안구 송원로41번길16-21 송죽동주민센터,경기도 수원시 장안구 송죽동 502-2,37.3005072,127.0070054,,,031-228-5486,경기도 수원시 장안구,2022-05-27
"장안구 송죽동 461-9",1,경기도 수원시 장안구 정조로1060번길21-9,경기도 수원시 장안구 송죽동 461-9,37.3015331378,127.0056041720,,,031-228-5486,경기도 수원시 장안구,2022-05-27
"장안구 송죽동 464",1,경기도 수원시 장안구 정조로1088번길6-6 만석공원경로당,경기도 수원시 장안구 송죽동 464,37.3020961061,127.0048301625,,한전주,031-228-5486,경기도 수원시 장안구,2022-05-27
"장안구 송죽동 464",1,경기도 수원시 장안구 정조로1088번길 18-25 현대마트,경기도 수원시 장안구 송죽동 464,37.3020961061,127.0048301625,,한전주,031-228-5486,경기도 수원시 장안구,2022-05-27
"장안구 송죽동 496-18",1,경기도 수원시 장안구 경수대로973번길 13-16 수도누수탐지,경기도 수원시 장안구 송죽동 496-18,37.3032721694,127.0048691,,,031-228-5486,경기도 수원시 장안구,2022-05-27
"장안구 송죽동 454-3",1,경기도 수원시 장안구 정조로1102번길 18 컴퓨터세탁,경기도 수원시 장안구 송죽동 454-3,37.3035674210,127.0026180803,,한전주,031-228-5486,경기도 수원시 장안구,2022-05-27
"장안구 송죽동 448-18",1,경기도 수원시 장안구 정조로1110번길 6-14,경기도 수원시 장안구 송죽동 448-18,37.3033964181,127.0018891,,,031-228-5486,경기도 수원시 장안구,2022-05-27
"장안구 송죽동 468-1",1,경기도 수원시 장안구 만석로 212 월드넷 투어,경기도 수원시 장안구 송죽동 468-1,37.3048389746,127.001476,,,031-228-5486,경기도 수원시 장안구,2022-05-27
"장안구 송죽동 272-79",1,경기도 수원시 장안구 파장로15-1,경기도 수원시 장안구 송죽동 272-79,37.3041279751,126.9985074,,한전주,031-228-5486,경기도 수원시 장안구,2022-05-27
"장안구 송죽동 474",1,경기도 수원시 장안구 파장로14,경기도 수원시 장안구 송죽동 474,37.3043123,126.9988570389,,,031-228-5486,경기도 수원시 장안구,2022-05-27
"장안구 송죽동 277-26",1,경기도 수원시 장안구 파장로19 이병국한의원,경기도 수원시 장안구 송죽동 277-26,37.3042754683,126.9980416,,한전주,031-228-5486,경기도 수원시 장안구,2022-05-27
"장안구 송죽동 277-74",1,경기도 수원시 장안구 파장로21번길 7 황제만두,경기도 수원시 장안구 송죽동 277-74,37.3040885,126.9977474938,,한전주,031-228-5486,경기도 수원시 장안구,2022-05-27
"장안구 송죽동 272-64",1,경기도 수원시 장안구 파장로21번길11-23 대승홈타운,경기도 수원시 장안구 송죽동 272-64,37.3028452039,126.9993022085,,한전주,031-228-5486,경기도 수원시 장안구,2022-05-27
"장안구 송죽동 277-104",1,경기도 수원시 장안구 만석로177번길 27 기린빌라,경기도 수원시 장안구 송죽동 277-104,37.3033245123,126.9979201831,,한전주,031-228-5486,경기도 수원시 장안구,2022-05-27
"장안구 송죽동 277-2",1,경기도 수원시 장안구 만석로159번길 38-15,경기도 수원시 장안구 송죽동 277-2,37.3029556289,126.9979641829,,,031-228-5486,경기도 수원시 장안구,2022-05-27
"장안구 송죽동 91-4",1,경기도 수원시 장안구 수일로107번길 20 성화빌라트,경기도 수원시 장안구 송죽동 91-4,37.3092992511,127.0021823225,,한전주,031-228-5486,경기도 수원시 장안구,2022-05-27
"장안구 송죽동 98-1",1,경기도 수원시 장안구 수일로113번길 8,경기도 수원시 장안구 송죽동 98-1,37.3091538242,127.0033417934,,한전주,031-228-5486,경기도 수원시 장안구,2022-05-27
"장안구 송죽동 127",1,경기도 수원시 장안구 수일로118번길 7-2 송죽빌라,경기도 수원시 장안구 송죽동 127,37.3083695668,127.0032802,,한전주,031-228-5486,경기도 수원시 장안구,2022-05-27
"장안구 송죽동 66",1,경기도 수원시 장안구 경수대로994번길 55 거산주택,경기도 수원시 장안구 송죽동 66,37.3078442246,127.0044048868,,한전주,031-228-5486,경기도 수원시 장안구,2022-05-27
"장안구 송죽동 107-3",1,경기도 수원시 장안구 파장천로66번길 106-10,경기도 수원시 장안구 송죽동 107-3,37.3084789727,127.0023414341,,한전주,031-228-5486,경기도 수원시 장안구,2022-05-27
"장안구 송죽동 122-5",1,경기도 수원시 장안구 파장천로66번길 108,경기도 수원시 장안구 송죽동 122-5,37.3082706451,127.0027264203,,,031-228-5486,경기도 수원시 장안구,2022-05-27
"장안구 송죽동 122-5",1,경기도 수원시 장안구 파장천로66번길 106-10,경기도 수원시 장안구 송죽동 122-5,37.3082474113,127.0026301842,,,031-228-5486,경기도 수원시 장안구,2022-05-27
"장안구 송죽동 117",1,경기도 수원시 장안구 수일로104번길 15-10,경기도 수원시 장안구 송죽동 117,37.3083799562,127.0019253,,,031-228-5486,경기도 수원시 장안구,2022-05-27
"장안구 송죽동 177-4",1,경기도 수원시 장안구 경수대로 1010,경기도 수원시 장안구 송죽동 177-4,37.3067291759,127.0014595131,,한전주,031-228-5486,경기도 수원시 장안구,2022-05-27
"장안구 송죽동 482",1,경기도 수원시 장안구 경수대로1020번길 20-6,경기도 수원시 장안구 송죽동 482,37.3074227980,127.0009820417,,한전주,031-228-5486,경기도 수원시 장안구,2022-05-27
"장안구 영화동 326-6",1,경기도 수원시 장안구 팔달로259번길 18 런던마치,경기도 수원시 장안구 영화동 326-6,37.2897787,127.0130163962,,한전주,031-228-5486,경기도 수원시 장안구,2022-05-27
"장안구 영화동 329-6",1,경기도 수원시 장안구 팔달로247번길 12-16,경기도 수원시 장안구 영화동 329-6,37.2891114071,127.0128934,,,031-228-5486,경기도 수원시 장안구,2022-05-27
"장안구 영화동 434-9",1,경기도 수원시 장안구 팔달로237번길 16,경기도 수원시 장안구 영화동 434-9,37.2884075294,127.0109747627,,,031-228-5486,경기도 수원시 장안구,2022-05-27
"장안구 영화동 341-14",1,경기도 수원시 장안구 수성로340번길 49-28,경기도 수원시 장안구 영화동 341-14,37.2909937163,127.0116736,,한전주,031-228-5486,경기도 수원시 장안구,2022-05-27
"장안구 영화동 306-1",1,경기도 수원시 장안구 정조로 947 KT수원지사,경기도 수원시 장안구 영화동 306-1,37.2920091156,127.0114349672,,한전주,031-228-5486,경기도 수원시 장안구,2022-05-27
"장안구 송죽동 16",1,경기도 수원시 장안구 수일로123번길 90-52,경기도 수원시 장안구 송죽동 16,37.3117534,127.0093589007,,한전주,031-228-5486,경기도 수원시 장안구,2022-05-27
"장안구 송죽동 16",1,경기도 수원시 장안구 수일로123번길 90-52,경기도 수원시 장안구 송죽동 16,37.3117313191,127.0093589007,,한전주,031-228-5486,경기도 수원시 장안구,2022-05-27
"장안구 영화동 304",1,경기도 수원시 장안구 수성로340번길 30 수원시노인회관,경기도 수원시 장안구 영화동 304,37.2914117650,127.0109970555,,한전주,031-228-5486,경기도 수원시 장안구,2022-05-27
"장안구 영화동 342-4",1,경기도 수원시 장안구 수성로340번길 49-9,경기도 수원시 장안구 영화동 342-4,37.2909334926,127.0110549750,,,031-228-5486,경기도 수원시 장안구,2022-05-27
"장안구 영화동 449-17",1,경기도 수원시 장안구 영화로50번길 17 현대아트빌라,경기도 수원시 장안구 영화동 449-17,37.2917436198,127.0088441,,,031-228-5486,경기도 수원시 장안구,2022-05-27
"장안구 영화동 379-3",1,경기도 수원시 장안구 수성로340번길 30 수원시노인회관,경기도 수원시 장안구 영화동 379-3,37.2906733789,127.0094331731,,한전주,031-228-5486,경기도 수원시 장안구,2022-05-27
"장안구 영화동 379-3",1,경기도 수원시 장안구 수성로340번길 30 수원시노인회관,경기도 수원시 장안구 영화동 379-3,37.2906733789,127.0094331731,,한전주,031-228-5486,경기도 수원시 장안구,2022-05-27
"장안구 영화동 431-4",1,경기도 수원시 장안구 팔달로237번길 33,경기도 수원시 장안구 영화동 431-4,37.2890059819,127.0101574704,,,031-228-5486,경기도 수원시 장안구,2022-05-27
"장안구 영화동 382-2",1,경기도 수원시 장안구 팔달로237번길 36-5,경기도 수원시 장안구 영화동 382-2,37.2893711468,127.0104556930,,,031-228-5486,경기도 수원시 장안구,2022-05-27
"장안구 율전동 388-26",1,경기도 수원시 장안구 율전로85번길 17-4,경기도 수원시 장안구 율전동 388-26,37.2975496064,126.9673424138,,한전주,031-228-5486,경기도 수원시 장안구,2022-05-27
"장안구 율전동 388-26",1,경기도 수원시 장안구 율전로85번길17-4,경기도 수원시 장안구 율전동 388-26,37.2975496064,126.9673424138,,한전주,031-228-5486,경기도 수원시 장안구,2022-05-27
"장안구 영화동 409-1",1,경기도 수원시 장안구 수성로316번길 23,경기도 수원시 장안구 영화동 409-1,37.2908733981,127.0075565463,,,031-228-5486,경기도 수원시 장안구,2022-05-27
"장안구 영화동 409-4",1,경기도 수원시 장안구 수성로316번길 25,경기도 수원시 장안구 영화동 409-4,37.2907740982,127.0076417948,,,031-228-5486,경기도 수원시 장안구,2022-05-27
"장안구 영화동 408-19",1,경기도 수원시 장안구 수성로316번길 28,경기도 수원시 장안구 영화동 408-19,37.2906385037,127.0074578443,,,031-228-5486,경기도 수원시 장안구,2022-05-27
"장안구 영화동 417-6",1,경기도 수원시 장안구 수성로304번길 51 재은빌라트,경기도 수원시 장안구 영화동 417-6,37.2894280717,127.0070886165,,한전주,031-228-5486,경기도 수원시 장안구,2022-05-27
"장안구 영화동 417-25",1,경기도 수원시 장안구 수성로304번길 59-29 대영맨션,경기도 수원시 장안구 영화동 417-25,37.2895064276,127.0076408772,,한전주,031-228-5486,경기도 수원시 장안구,2022-05-27
"장안구 영화동 442-29",1,경기도 수원시 장안구 장안로8번길 15,경기도 수원시 장안구 영화동 442-29,37.2864283,127.0075521609,,한전주,031-228-5486,경기도 수원시 장안구,2022-05-27
"장안구 영화동 442-3",1,경기도 수원시 장안구 장안로18번길 14 다솜주택,경기도 수원시 장안구 영화동 442-3,37.2869700331,127.0071024,,한전주,031-228-5486,경기도 수원시 장안구,2022-05-27
"장안구 영화동 419-3",1,경기도 수원시 장안구 수성로290번길 63-30,경기도 수원시 장안구 영화동 419-3,37.2887268992,127.0068226328,,,031-228-5486,경기도 수원시 장안구,2022-05-27
"장안구 영화동 420-5",1,경기도 수원시 장안구 장안로42번길 32-7,경기도 수원시 장안구 영화동 420-5,37.2890453275,127.0068003324,,한전주,031-228-5486,경기도 수원시 장안구,2022-05-27
"장안구 영화동 419-21",1,경기도 수원시 장안구 수성로290번길 63-12,경기도 수원시 장안구 영화동 419-21,37.2884594243,127.0062876700,,,031-228-5486,경기도 수원시 장안구,2022-05-27
"장안구 영화동 406-21",1,경기도 수원시 장안구 수성로290번길 39-6,경기도 수원시 장안구 영화동 406-21,37.2893353476,127.0055486,,,031-228-5486,경기도 수원시 장안구,2022-05-27
"장안구 영화동 391-45",1,경기도 수원시 장안구 장안로54번길 19 중앙상사,경기도 수원시 장안구 영화동 391-45,37.2899565405,127.0051549219,,,031-228-5486,경기도 수원시 장안구,2022-05-27
"장안구 영화동 370-1",1,경기도 수원시 장안구 장안로64번길 2,경기도 수원시 장안구 영화동 370-1,37.2902005883,127.0039409172,,,031-228-5486,경기도 수원시 장안구,2022-05-27
"장안구 영화동 370-1",1,경기도 수원시 장안구 장안로64번길 7,경기도 수원시 장안구 영화동 370-1,37.2904713,127.0040469,,,031-228-5486,경기도 수원시 장안구,2022-05-27
"장안구 영화동 400-26",1,경기도 수원시 장안구 수성로262번길 29,경기도 수원시 장안구 영화동 400-26,37.2890073873,127.0022941,,한전주,031-228-5486,경기도 수원시 장안구,2022-05-27
"장안구 영화동 369-1",1,경기도 수원시 장안구 수성로262번길 2 서인석치과의원,경기도 수원시 장안구 영화동 369-1,37.2897358928,127.0011518752,,한전주,031-228-5486,경기도 수원시 장안구,2022-05-27
"장안구 영화동 396-45",1,경기도 수원시 장안구 수성로276번길 26,경기도 수원시 장안구 영화동 396-45,37.2893019136,127.0032934,,한전주,031-228-5486,경기도 수원시 장안구,2022-05-27
"장안구 영화동 403-24",1,경기도 수원시 장안구 수성로276번길 39,경기도 수원시 장안구 영화동 403-24,37.2888962470,127.0038876204,,,031-228-5486,경기도 수원시 장안구,2022-05-27
"장안구 영화동 423-14",1,경기도 수원시 장안구 수성로262번길 78 황금방앗간,경기도 수원시 장안구 영화동 423-14,37.2874727646,127.0045017,,,031-228-5486,경기도 수원시 장안구,2022-05-27
"장안구 영화동 216-17",1,경기도 수원시 장안구 수성로394번길21 리베라빌,경기도 수원시 장안구 영화동 216-17,37.2936788231,127.0155076,,한전주,031-228-5486,경기도 수원시 장안구,2022-05-27
"장안구 영화동 76-16",1,경기도 수원시 장안구 수성로394번길 9,경기도 수원시 장안구 영화동 76-16,37.2941759543,127.0152290152,,,031-228-5486,경기도 수원시 장안구,2022-05-27
"장안구 영화동 218",1,경기도 수원시 장안구 경수대로811번길 36 석진미란다빌라,경기도 수원시 장안구 영화동 218,37.2935571995,127.0153239639,,,031-228-5486,경기도 수원시 장안구,2022-05-27
"장안구 영화동 223-1",1,경기도 수원시 장안구 경수대로811번길 33-4,경기도 수원시 장안구 영화동 223-1,37.2933314797,127.0153998188,,,031-228-5486,경기도 수원시 장안구,2022-05-27
"장안구 영화동 185-4",1,경기도 수원시 장안구 정조로934번길 62,경기도 수원시 장안구 영화동 185-4,37.2922914375,127.0158873715,,한전주,031-228-5486,경기도 수원시 장안구,2022-05-27
"장안구 영화동 185-2",1,경기도 수원시 장안구 정조로934번길 52-11,경기도 수원시 장안구 영화동 185-2,37.2919470632,127.0158698186,,한전주,031-228-5486,경기도 수원시 장안구,2022-05-27
"장안구 영화동 104-57",1,경기도 수원시 장안구 경수대로 791 SK장안주유소,경기도 수원시 장안구 영화동 104-57,37.2923306811,127.017938,,한전주,031-228-5486,경기도 수원시 장안구,2022-05-27
"장안구 영화동 296",1,경기도 수원시 장안구 정조로922번길 14 대학로호프,경기도 수원시 장안구 영화동 296,37.2905026278,127.0143626877,,한전주,031-228-5486,경기도 수원시 장안구,2022-05-27
"장안구 영화동 296",1,경기도 수원시 장안구 팔달로271번길 26,경기도 수원시 장안구 영화동 296,37.2905285,127.0143626877,,한전주,031-228-5486,경기도 수원시 장안구,2022-05-27
"장안구 영화동 160-1",1,경기도 수원시 장안구 팔달로291번길 21-1,경기도 수원시 장안구 영화동 160-1,37.2913157489,127.0155455663,,,031-228-5486,경기도 수원시 장안구,2022-05-27
"장안구 영화동 164-39",1,경기도 수원시 장안구 정조로922번길 32 행운식당,경기도 수원시 장안구 영화동 164-39,37.2907060837,127.0150246431,,,031-228-5486,경기도 수원시 장안구,2022-05-27
"장안구 영화동 381-1",1,경기도 수원시 장안구 팔달로279번길 8,경기도 수원시 장안구 영화동 381-1,37.2903378,127.0149870112,,,031-228-5486,경기도 수원시 장안구,2022-05-27
"장안구 영화동 166-12",1,경기도 수원시 장안구 팔달로291번길 13-11,경기도 수원시 장안구 영화동 166-12,37.2906797093,127.0155213015,,,031-228-5486,경기도 수원시 장안구,2022-05-27
"장안구 영화동 153-9",1,경기도 수원시 장안구 팔달로292번길 13,경기도 수원시 장안구 영화동 153-9,37.2901458,127.0168631,,한전주,031-228-5486,경기도 수원시 장안구,2022-05-27
"장안구 영화동 126-26",1,경기도 수원시 장안구 팔달로308번길 10-2,경기도 수원시 장안구 영화동 126-26,37.2910039721,127.0176618,,,031-228-5486,경기도 수원시 장안구,2022-05-27
"장안구 영화동 37-287",1,경기도 수원시 장안구 경수대로775번길 46 경기상사,경기도 수원시 장안구 영화동 37-287,37.2898379036,127.0185112,,한전주,031-228-5486,경기도 수원시 장안구,2022-05-27
"장안구 영화동 37-222",1,경기도 수원시 장안구 수원천로 415-1,경기도 수원시 장안구 영화동 37-222,37.2901210579,127.0189514779,,,031-228-5486,경기도 수원시 장안구,2022-05-27
"장안구 영화동 37-272",1,경기도 수원시 장안구 경수대로775번길 29-5,경기도 수원시 장안구 영화동 37-272,37.2903025792,127.0194860548,,,031-228-5486,경기도 수원시 장안구,2022-05-27
"장안구 영화동 37-195",1,경기도 수원시 장안구 경수대로775번길 37-1,경기도 수원시 장안구 영화동 37-195,37.2900900912,127.0190757257,,,031-228-5486,경기도 수원시 장안구,2022-05-27
"장안구 영화동 37-254",1,경기도 수원시 장안구 수원천로455번길 24,경기도 수원시 장안구 영화동 37-254,37.2935707817,127.0222786510,,한전주,031-228-5486,경기도 수원시 장안구,2022-05-27
"장안구 영화동 37-283",1,경기도 수원시 장안구 월드컵로453번길 34 건너,경기도 수원시 장안구 영화동 37-283,37.2936847,127.0221164977,,한전주,031-228-5486,경기도 수원시 장안구,2022-05-27
"장안구 영화동 125-10",1,경기도 수원시 장안구 수원천로407번길 28-21,경기도 수원시 장안구 영화동 125-10,37.2909705278,127.0183002747,,,031-228-5486,경기도 수원시 장안구,2022-05-27
"장안구 영화동 27-25",1,경기도 수원시 장안구 광교산로 36 삼원아파트,경기도 수원시 장안구 영화동 27-25,37.2936898159,127.0220048828,,한전주,031-228-5486,경기도 수원시 장안구,2022-05-27
"장안구 영화동 27-8",1,경기도 수원시 장안구 광교산로 40 동서식품,경기도 수원시 장안구 영화동 27-8,37.2945918327,127.0227768820,,한전주,031-228-5486,경기도 수원시 장안구,2022-05-27
"장안구 영화동 37-257",1,경기도 수원시 장안구 수원천로 467-10,경기도 수원시 장안구 영화동 37-257,37.2940144240,127.0229151,,,031-228-5486,경기도 수원시 장안구,2022-05-27
"장안구 영화동 37-41",1,경기도 수원시 장안구 수원천로455번길 7,경기도 수원시 장안구 영화동 37-41,37.2929807440,127.0220013790,,한전주,031-228-5486,경기도 수원시 장안구,2022-05-27
"장안구 조원1동 781-16",1,경기도 수원시 장안구 경수대로853번길 33 현대연립,경기도 수원시 장안구 조원1동 781-16,37.2964299,127.0129578,,한전주,031-228-5486,경기도 수원시 장안구,2022-05-27
"장안구 조원1동 783-9",1,경기도 수원시 장안구 경수대로853번길 61 동광빌라,경기도 수원시 장안구 조원1동 783-9,37.2956135,127.0112202,,,031-228-5486,경기도 수원시 장안구,2022-05-27
"장안구 조원1동 680-3",1,경기도 수원시 장안구 송정로 120,경기도 수원시 장안구 조원1동 680-3,37.2954653,127.0107372,,한전주,031-228-5486,경기도 수원시 장안구,2022-05-27
"장안구 조원1동 680-3",1,경기도 수원시 장안구 송정로 120,경기도 수원시 장안구 조원1동 680-3,37.295548,127.0109278,,한전주,031-228-5486,경기도 수원시 장안구,2022-05-27
"장안구 조원1동 783-8",1,경기도 수원시 장안구 경수대로853번길 63,경기도 수원시 장안구 조원1동 783-8,37.2954396588,127.0111307,,,031-228-5486,경기도 수원시 장안구,2022-05-27
"장안구 조원1동 668-4",1,경기도 수원시 장안구 정조로978번길 15 성신아파트,경기도 수원시 장안구 조원1동 668-4,37.2951857,127.010707,,한전주,031-228-5486,경기도 수원시 장안구,2022-05-27
"장안구 조원1동 675-6",1,경기도 수원시 장안구 정조로978번길 5 조원동주교좌천주교,경기도 수원시 장안구 조원1동 675-6,37.2950307,127.0104947,,,031-228-5486,경기도 수원시 장안구,2022-05-27
"장안구 조원1동 680-3",1,경기도 수원시 장안구 송정로 120,경기도 수원시 장안구 조원1동 680-3,37.2953095,127.0104234,,한전주,031-228-5486,경기도 수원시 장안구,2022-05-27
"장안구 조원1동 638-14",1,경기도 수원시 장안구 경수대로835번길 14-3,경기도 수원시 장안구 조원1동 638-14,37.295587,127.0145366,,,031-228-5486,경기도 수원시 장안구,2022-05-27
"장안구 조원1동 639-59",1,경기도 수원시 장안구 경수대로835번길 31-3,경기도 수원시 장안구 조원1동 639-59,37.2949459606,127.0139313887,,,031-228-5486,경기도 수원시 장안구,2022-05-27
"장안구 조원1동 639-100",1,경기도 수원시 장안구 경수대로835번길 31-9,경기도 수원시 장안구 조원1동 639-100,37.2950043420,127.0139105,,한전주,031-228-5486,경기도 수원시 장안구,2022-05-27
"장안구 조원1동 638-53",1,경기도 수원시 장안구 수성로 387-2,경기도 수원시 장안구 조원1동 638-53,37.2945612012,127.0140292,,한전주,031-228-5486,경기도 수원시 장안구,2022-05-27
"장안구 조원1동 694-13",1,경기도 수원시 장안구 수성로381번길 6,경기도 수원시 장안구 조원1동 694-13,37.2944975,127.013547,,한전주,031-228-5486,경기도 수원시 장안구,2022-05-27
"장안구 조원1동 676-8",1,경기도 수원시 장안구 정조로 970 포레스트빌,경기도 수원시 장안구 조원1동 676-8,37.2941173,127.0111721,,,031-228-5486,경기도 수원시 장안구,2022-05-27
"장안구 조원1동 676-8",1,경기도 수원시 장안구 정조로 970 포레스트빌,경기도 수원시 장안구 조원1동 676-8,37.2940098,127.0112525,,,031-228-5486,경기도 수원시 장안구,2022-05-27
"장안구 조원1동 636-21",1,경기도 수원시 장안구 조원1동 636-21,경기도 수원시 장안구 조원1동 636-21,37.2958213,127.0145335,,한전주,031-228-5486,경기도 수원시 장안구,2022-05-27
"장안구 조원1동 562",1,경기도 수원시 장안구 경수대로835번길 1 현대기업,경기도 수원시 장안구 조원1동 562,37.295675,127.0153588,,한전주,031-228-5486,경기도 수원시 장안구,2022-05-27
"장안구 조원1동 566-3",1,경기도 수원시 장안구 경수대로 831-11,경기도 수원시 장안구 조원1동 566-3,37.2952016014,127.0152585454,,,031-228-5486,경기도 수원시 장안구,2022-05-27
"장안구 조원1동 640-1",1,경기도 수원시 장안구 수성로 397-1,경기도 수원시 장안구 조원1동 640-1,37.2947876029,127.0150842,,한전주,031-228-5486,경기도 수원시 장안구,2022-05-27
"장안구 조원1동 645-61",1,경기도 수원시 장안구 경수대로847번길 39,경기도 수원시 장안구 조원1동 645-61,37.2955373368,127.0129129561,,한전주,031-228-5486,경기도 수원시 장안구,2022-05-27
"장안구 조원1동 811",1,경기도 수원시 장안구 경수대로847번길 32,경기도 수원시 장안구 조원1동 811,37.2958300635,127.0130981963,,,031-228-5486,경기도 수원시 장안구,2022-05-27
"장안구 조원1동 811",1,경기도 수원시 장안구 경수대로847번길 24,경기도 수원시 장안구 조원1동 811,37.2961899889,127.0134460839,,한전주,031-228-5486,경기도 수원시 장안구,2022-05-27
