"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"신천동19S376",1,,경기도 시흥시 신천동 693,,,2019,,031-310-3144,경기도 시흥시청,2022-12-09
"신천동19S113",1,,경기도 시흥시 신천동 609-7,,,2019,,031-310-3144,경기도 시흥시청,2022-12-09
"신천동19S112",1,,경기도 시흥시 신천동 609-3,,,2019,,031-310-3144,경기도 시흥시청,2022-12-09
"신천동19S110",1,,경기도 시흥시 신천동 600,,,2019,,031-310-3144,경기도 시흥시청,2022-12-09
"신천동19S109",1,,경기도 시흥시 신천동 599-2,,,2019,,031-310-3144,경기도 시흥시청,2022-12-09
"신천동19S001",1,,경기도 시흥시 신천동 700,,,2019,,031-310-3144,경기도 시흥시청,2022-12-09
"신천동19S118",1,,경기도 시흥시 신천동 615-1,,,2019,,031-310-3144,경기도 시흥시청,2022-12-09
"신천동19S119",1,,경기도 시흥시 신천동 615-7,,,2019,,031-310-3144,경기도 시흥시청,2022-12-09
"신천동19S116",1,,경기도 시흥시 신천동 614,,,2019,,031-310-3144,경기도 시흥시청,2022-12-09
"신천014",1,,경기도 시흥시 신천동 693,,,2011,,031-310-3144,경기도 시흥시청,2022-12-09
"신천동19S383",1,,경기도 시흥시 신천동 813,,,2019,,031-310-3144,경기도 시흥시청,2022-12-09
"신천동19S384",1,,경기도 시흥시 신천동 813,,,2019,,031-310-3144,경기도 시흥시청,2022-12-09
"신천동19S132",1,,경기도 시흥시 신천동 563-4,,,2019,,031-310-3144,경기도 시흥시청,2022-12-09
"신천동19S154",1,,경기도 시흥시 신천동 410-1,,,2019,,031-310-3144,경기도 시흥시청,2022-12-09
"신천동19S155",1,,경기도 시흥시 신천동 685-4,,,2019,,031-310-3144,경기도 시흥시청,2022-12-09
"신천동19S156",1,,경기도 시흥시 신천동 406,,,2012,,031-310-3144,경기도 시흥시청,2022-12-09
"신천동19S157",1,,경기도 시흥시 신천동 409-13,,,2019,,031-310-3144,경기도 시흥시청,2022-12-09
"신천동19S158",1,,경기도 시흥시 신천동 408-5,,,2019,,031-310-3144,경기도 시흥시청,2022-12-09
"신천동19S159",1,,경기도 시흥시 신천동 351-3,,,2019,,031-310-3144,경기도 시흥시청,2022-12-09
"신천동19S160",1,,경기도 시흥시 신천동 351-3,,,2019,,031-310-3144,경기도 시흥시청,2022-12-09
"신천동19S161",1,,경기도 시흥시 신천동 352-15,,,2019,,031-310-3144,경기도 시흥시청,2022-12-09
"신천동19S163",1,,경기도 시흥시 신천동 437-1,,,2019,,031-310-3144,경기도 시흥시청,2022-12-09
"신천동19S164",1,,경기도 시흥시 신천동 438-1,,,2019,,031-310-3144,경기도 시흥시청,2022-12-09
"신천동19S274",1,,경기도 시흥시 신천동 756-6,,,2019,,031-310-3144,경기도 시흥시청,2022-12-09
"신천동19S165",1,,경기도 시흥시 신천동 438-1,,,2019,,031-310-3144,경기도 시흥시청,2022-12-09
"신천동19S272",1,,경기도 시흥시 신천동 756-15,,,2019,,031-310-3144,경기도 시흥시청,2022-12-09
"신천동19S166",1,,경기도 시흥시 신천동 438-1,,,2019,,031-310-3144,경기도 시흥시청,2022-12-09
"신천동19S271",1,,경기도 시흥시 신천동 756-14,,,2019,,031-310-3144,경기도 시흥시청,2022-12-09
"신천동19S167",1,,경기도 시흥시 신천동 438-1,,,2019,,031-310-3144,경기도 시흥시청,2022-12-09
"신천동19S488",1,,경기도 시흥시 신천동 836-13,,,2012,,031-310-3144,경기도 시흥시청,2022-12-09
"신천동19S268",1,,경기도 시흥시 신천동 755-9,,,2019,,031-310-3144,경기도 시흥시청,2022-12-09
"신천동19S269",1,,경기도 시흥시 신천동 755-9,,,2019,,031-310-3144,경기도 시흥시청,2022-12-09
"신천동19S168",1,,경기도 시흥시 신천동 438-1,,,2019,,031-310-3144,경기도 시흥시청,2022-12-09
"신천동19S169",1,,경기도 시흥시 신천동 686,,,2019,,031-310-3144,경기도 시흥시청,2022-12-09
"신천동19S466",1,,경기도 시흥시 신천동 907,,,2012,,031-310-3144,경기도 시흥시청,2022-12-09
"신천동19S262",1,,경기도 시흥시 신천동 749-12,,,2019,,031-310-3144,경기도 시흥시청,2022-12-09
"신천동19S261",1,,경기도 시흥시 신천동 749-1,,,2019,,031-310-3144,경기도 시흥시청,2022-12-09
"신천동19S173",1,,경기도 시흥시 신천동 893,,,2012,,031-310-3144,경기도 시흥시청,2022-12-09
"신천동19S260",1,,경기도 시흥시 신천동 749-1,,,2019,,031-310-3144,경기도 시흥시청,2022-12-09
"신천동19S259",1,,경기도 시흥시 신천동 749-18,,,2019,,031-310-3144,경기도 시흥시청,2022-12-09
"신천동19S464",1,,경기도 시흥시 신천동 907,,,2019,,031-310-3144,경기도 시흥시청,2022-12-09
"신천동19S276-표찰무",1,,경기도 시흥시 신천동 817-3,,,2019,,031-310-3144,경기도 시흥시청,2022-12-09
"신천동19S141-표찰무",1,,경기도 시흥시 신천동 571-1,,,2019,,031-310-3144,경기도 시흥시청,2022-12-09
"신천동19S277",1,,경기도 시흥시 신천동 750-9,,,2019,,031-310-3144,경기도 시흥시청,2022-12-09
"신천동19S140-표찰무",1,,경기도 시흥시 신천동 570-19,,,2019,,031-310-3144,경기도 시흥시청,2022-12-09
"신천동19S279",1,,경기도 시흥시 신천동 753,,,2019,,031-310-3144,경기도 시흥시청,2022-12-09
"신천동 19S827",1,,경기도 시흥시 신천동 835-10,,,2011,,031-310-3144,경기도 시흥시청,2022-12-09
"신천동19S280",1,,경기도 시흥시 신천동 753,,,2019,,031-310-3144,경기도 시흥시청,2022-12-09
"신천동19S389",1,,경기도 시흥시 신천동 692,,,2019,,031-310-3144,경기도 시흥시청,2022-12-09
"표찰무 - 10",1,,경기도 시흥시 신천동 835-29,,,2012,,031-310-3144,경기도 시흥시청,2022-12-09
"신천동19S281",1,,경기도 시흥시 신천동 753-14,,,2019,,031-310-3144,경기도 시흥시청,2022-12-09
"신천동19S390",1,,경기도 시흥시 신천동 557-4,,,2019,,031-310-3144,경기도 시흥시청,2022-12-09
"신천동19S465",1,,경기도 시흥시 신천동 835-21,,,2012,,031-310-3144,경기도 시흥시청,2022-12-09
"신천동19S282",1,,경기도 시흥시 신천동 753-5,,,2019,,031-310-3144,경기도 시흥시청,2022-12-09
"신천동19S283",1,,경기도 시흥시 신천동 799,,,2019,,031-310-3144,경기도 시흥시청,2022-12-09
"신천동19S392",1,,경기도 시흥시 신천동 556-1,,,2019,,031-310-3144,경기도 시흥시청,2022-12-09
"신천동19S284",1,,경기도 시흥시 신천동 799,,,2019,,031-310-3144,경기도 시흥시청,2022-12-09
