"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
8-092 TS,1,경기도 안산시 상록구 각골로5안길 10-5,경기도 안산시 상록구 본오동 1138,37.30014193,126.8750127,2017,한전주,031-481-5433,경기도 안산시 상록구청,2022-12-20
"대부동3398[0935]",1,,경기도 안산시 단원구 대부북동 1735-37,37.2620047,126.5660445,2020,한전주,031-481-6445,경기도 안산시 단원구청,2022-12-20
"대부동1376[2010]단",1,,경기도 안산시 단원구 대부북동 1605-13,37.2550009,126.5650000266,2018,한전주,031-481-6445,경기도 안산시 단원구청,2022-12-20
1-392 TS,1,경기도 안산시 상록구 호동로 42,경기도 안산시 상록구 일동 562-7,37.3171018,126.8623999887,2017,한전주,031-481-5433,경기도 안산시 상록구청,2022-12-20
2-071 TS,1,경기도 안산시 상록구 매화로1길 28,경기도 안산시 상록구 이동 585-2,37.30644606,126.8588000289,2018,전용주,031-481-5433,경기도 안산시 상록구청,2022-12-20
7-068 TS,1,,경기도 안산시 상록구 본오2동 758-12,37.29851098,126.8733999695,,한전주,031-481-5433,경기도 안산시 상록구청,2022-12-20
"고잔동068(4217)",1,경기도 안산시 단원구 보배3길 32,경기도 안산시 단원구 고잔동 614-4,37.33067104,126.8304000156,2016,한전주,031-481-6445,경기도 안산시 단원구청,2022-12-20
"고잔동180(4401)",1,경기도 안산시 단원구 단원안길 25,경기도 안산시 단원구 고잔동 607,37.32838379,126.8265928,2019,한전주,031-481-6445,경기도 안산시 단원구청,2022-12-20
"대부동182[8130]",1,,경기도 안산시 단원구 대부동동 296,37.24912982,126.6131999559,2017,한전주,031-481-6445,경기도 안산시 단원구청,2022-12-20
"대부동13101(단)[1574]",1,,경기도 안산시 단원구 대부북동 산253-2,37.24556334,126.5715999775,2017,한전주,031-481-6445,경기도 안산시 단원구청,2022-12-20
12-0608 TS,1,경기도 안산시 상록구 충정공길 52,경기도 안산시 상록구 사사동 127,37.29955704,126.92683995,,,031-481-5433,경기도 안산시 상록구청,2022-12-20
5-025 TS,1,경기도 안산시 상록구 학사4길 3,경기도 안산시 상록구 사동 1154-14,37.29947611,126.8387299962,2016,한전주,031-481-5433,경기도 안산시 상록구청,2022-12-20
4-301 TS,1,,경기도 안산시 상록구 사이동 1480-5,37.27992779,126.850609976,2017,한전주,031-481-5433,경기도 안산시 상록구청,2022-12-20
9-458 TS,1,,경기도 안산시 상록구 부곡동 516,37.34022609,126.8567099767,2017,한전주,031-481-5433,경기도 안산시 상록구청,2022-12-20
1-040 TS,1,경기도 안산시 상록구 실록2길 3,경기도 안산시 상록구 일동 657-9,37.30599709,126.8641299695,2016,한전주,031-481-5433,경기도 안산시 상록구청,2022-12-20
1-080 TS,1,경기도 안산시 상록구 웃말6길 8,경기도 안산시 상록구 일동 625-13,37.30709198,126.8716699712,2017,한전주,031-481-5433,경기도 안산시 상록구청,2022-12-20
1-125 TS,1,경기도 안산시 상록구 웃말2안길 13,경기도 안산시 상록구 일동 611-19,37.30939603,126.8718200323,2017,한전주,031-481-5433,경기도 안산시 상록구청,2022-12-20
1-170 TS,1,경기도 안산시 상록구 성호로 30,경기도 안산시 상록구 일동 632-2,37.30914716,126.8682900443,2017,한전주,031-481-5433,경기도 안산시 상록구청,2022-12-20
1-437 TS,1,경기도 안산시 상록구 성호로6길 21,경기도 안산시 상록구 일동 572-4,37.31552049,126.8633500499,2017,한전주,031-481-5433,경기도 안산시 상록구청,2022-12-20
10-015 TS,1,경기도 안산시 상록구 월피로1길 11,경기도 안산시 상록구 월피동 468-16,37.33572465,126.8541599607,2017,한전주,031-481-5433,경기도 안산시 상록구청,2022-12-20
10-186 TS,1,경기도 안산시 상록구 광덕산1로 35-21,경기도 안산시 상록구 월피동 509-3,37.33462875,126.8466399504,2017,한전주,031-481-5433,경기도 안산시 상록구청,2022-12-20
12-0163 TS,1,경기도 안산시 상록구 건건2길 6,경기도 안산시 상록구 건건동 922-4,37.30391426,126.9020500306,2016,한전주,031-481-5433,경기도 안산시 상록구청,2022-12-20
12-0296 TS,1,경기도 안산시 상록구 남산평2길 3-6,경기도 안산시 상록구 팔곡일동 265-25,37.30451627,126.8998900254,,한전주,031-481-5433,경기도 안산시 상록구청,2022-12-20
12-0872 TS,1,경기도 안산시 상록구 담원1길 7,경기도 안산시 상록구 팔곡이동 473-9,37.29334428,126.8833599577,2016,한전주,031-481-5433,경기도 안산시 상록구청,2022-12-20
12-0948 TS,1,,경기도 안산시 상록구 사사동 산70-9,37.29198491,126.9142112082,,한전주,031-481-5433,경기도 안산시 상록구청,2022-12-20
13-202 TS,1,경기도 안산시 상록구 유남길 4,경기도 안산시 상록구 수암동 494-8,37.36176244,126.878687252,2016,,031-481-5433,경기도 안산시 상록구청,2022-12-20
13-214 TS,1,경기도 안산시 상록구 갯다리길 11,경기도 안산시 상록구 수암동 504-2,37.36257939,126.8748099686,2016,,031-481-5433,경기도 안산시 상록구청,2022-12-20
13-237 TS,1,경기도 안산시 상록구 안산벌말길 31,경기도 안산시 상록구 장하동 51-2,37.36084131,126.8683199747,2017,한전주,031-481-5433,경기도 안산시 상록구청,2022-12-20
13-252 TS,1,경기도 안산시 상록구 청룡3길 19,경기도 안산시 상록구 장상동 537-3,37.36058551,126.8727600102,2015,,031-481-5433,경기도 안산시 상록구청,2022-12-20
13-285 TS,1,경기도 안산시 상록구 청룡안길 30-10,경기도 안산시 상록구 장상동 35-81,37.35736511,126.8722899691,2017,한전주,031-481-5433,경기도 안산시 상록구청,2022-12-20
13-388 TS,1,경기도 안산시 상록구 동막2길 28-11,경기도 안산시 상록구 장상동 365-2,37.34810969,126.8777300091,2017,한전주,031-481-5433,경기도 안산시 상록구청,2022-12-20
13-494 연접 YS,1,경기도 안산시 상록구 원후길 21,경기도 안산시 상록구 장하동 250-8,37.34906799,126.8580199723,2019,,031-481-5433,경기도 안산시 상록구청,2022-12-20
3-244 TS,1,,경기도 안산시 상록구 사1동 1319-6,37.29405311,126.854019959,,한전주,031-481-5433,경기도 안산시 상록구청,2022-12-20
4-265 TS,1,,경기도 안산시 상록구 사이동 1469-1,37.28125574,126.8511400289,2017,한전주,031-481-5433,경기도 안산시 상록구청,2022-12-20
4-269 TS,1,,경기도 안산시 상록구 사이동 1483-5,37.28127795,126.8502599614,2017,한전주,031-481-5433,경기도 안산시 상록구청,2022-12-20
4-321 TS,1,,경기도 안산시 상록구 사이동 1477-7,37.27878358,126.8507100471,2017,한전주,031-481-5433,경기도 안산시 상록구청,2022-12-20
4-411 TS,1,,경기도 안산시 상록구 사이동 1483-2,37.28128455,126.8498199663,2017,한전주,031-481-5433,경기도 안산시 상록구청,2022-12-20
7-036 TS,1,,경기도 안산시 상록구 본오2동 749,37.2971546,126.8777099897,,한전주,031-481-5433,경기도 안산시 상록구청,2022-12-20
7-217 TS,1,,경기도 안산시 상록구 본오2동 747-8,37.29637014,126.8776600385,2017,한전주,031-481-5433,경기도 안산시 상록구청,2022-12-20
8-088 TS,1,,경기도 안산시 상록구 본오3동 1137-8,37.30042795,126.8762500359,2017,한전주,031-481-5433,경기도 안산시 상록구청,2022-12-20
9-237 LS,1,경기도 안산시 상록구 성호로22길 3,경기도 안산시 상록구 부곡동 656-12,37.33506125,126.8631400102,2022,한전주,031-481-5433,경기도 안산시 상록구청,2022-12-20
"연접(1-239) YS",1,경기도 안산시 상록구 구룡로5길 7-11,경기도 안산시 상록구 일동 108-4,37.31563442,126.8711700195,2018,한전주,031-481-5433,경기도 안산시 상록구청,2022-12-20
"연접(2-070) YS",1,경기도 안산시 상록구 충장로 278,경기도 안산시 상록구 이동 586-11,37.30610957,126.8582499611,,한전주,031-481-5433,경기도 안산시 상록구청,2022-12-20
"원곡본동057(0161)",1,경기도 안산시 단원구 관산1길 9-1,경기도 안산시 단원구 원곡동 775-7,37.33100774,126.7967675664,2018,한전주,031-481-6445,경기도 안산시 단원구청,2022-12-20
"와동145(0309)",1,경기도 안산시 단원구 화정천동로1길 13,경기도 안산시 단원구 와동 809-14,37.34245545,126.8199399652,2018,한전주,031-481-6445,경기도 안산시 단원구청,2022-12-20
"대부동457[7702][양]",1,,경기도 안산시 단원구 대부동동 1220-1,37.25036007,126.5949100109,2017,한전주,031-481-6445,경기도 안산시 단원구청,2022-12-20
