"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"고삼면0001",1,,경기도 안성시 고삼면 대갈리 517-2,37.064632,127.255929,,,031-678-2794,경기도 안성시,2021-03-15
"고삼면0002",1,,경기도 안성시 고삼면 대갈리 333-3,37.06483645,127.2558016,,,031-678-2794,경기도 안성시,2021-03-15
"고삼면0003",1,,경기도 안성시 고삼면 대갈리 336-1,37.064663,127.254876,,,031-678-2794,경기도 안성시,2021-03-15
"고삼면0004",1,,경기도 안성시 고삼면 대갈리 609-0,37.064694,127.253972,,,031-678-2794,경기도 안성시,2021-03-15
"고삼면0005",1,,경기도 안성시 고삼면 대갈리 511-2,37.064666,127.253077,,,031-678-2794,경기도 안성시,2021-03-15
"고삼면0006",1,,경기도 안성시 고삼면 대갈리 609-1,37.064693,127.252492,,,031-678-2794,경기도 안성시,2021-03-15
"고삼면0007",1,,경기도 안성시 고삼면 대갈리 608-0,37.064633,127.251226,,,031-678-2794,경기도 안성시,2021-03-15
"고삼면0008",1,,경기도 안성시 고삼면 대갈리 462-1,37.064691,127.250296,,,031-678-2794,경기도 안성시,2021-03-15
"고삼면0009",1,,경기도 안성시 고삼면 대갈리 476,37.064691,127.249349,,,031-678-2794,경기도 안성시,2021-03-15
"고삼면0010",1,,경기도 안성시 고삼면 대갈리 474-3,37.064828,127.248661,,,031-678-2794,경기도 안성시,2021-03-15
"고삼면0011",1,,경기도 안성시 고삼면 대갈리 435-0,37.064803,127.248063,,,031-678-2794,경기도 안성시,2021-03-15
"고삼면0012",1,경기도 안성시 고삼면 갈미길 7-6,경기도 안성시 고삼면 대갈리 434-0,37.064367,127.248321,,,031-678-2794,경기도 안성시,2021-03-15
"고삼면0013",1,경기도 안성시 고삼면 갈미길 10-6,경기도 안성시 고삼면 대갈리 424-6,37.064251,127.247776,,,031-678-2794,경기도 안성시,2021-03-15
"고삼면0014",1,경기도 안성시 고삼면 갈미길 10-10,경기도 안성시 고삼면 대갈리 426-0,37.064025,127.247247,,,031-678-2794,경기도 안성시,2021-03-15
"고삼면0015",1,경기도 안성시 고삼면 갈미길 10-14,경기도 안성시 고삼면 대갈리 429-0,37.063677,127.247135,,,031-678-2794,경기도 안성시,2021-03-15
