"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"광적면001",1,경기도 양주시 광적면 쇠장이길 656,경기도 양주시 광적면 비암리 618-1,37.7956298,126.922809,,한전주,031-8082-4003,경기도 양주시청,2022-06-20
"광적면002",1,경기도 양주시 광적면 쇠장이길 669,경기도 양주시 광적면 비암리 618-6,37.7957212,126.9221833,,한전주,031-8082-4003,경기도 양주시청,2022-06-20
"광적면003",1,경기도 양주시 광적면 쇠장이길 703,경기도 양주시 광적면 비암리 621-3,37.79693213,126.9212974,,한전주,031-8082-4003,경기도 양주시청,2022-06-20
"광적면004",1,경기도 양주시 광적면 쇠장이길 756-54,경기도 양주시 광적면 비암리 607-2,37.7982568,126.9226287,,한전주,031-8082-4003,경기도 양주시청,2022-06-20
"광적면005",1,경기도 양주시 광적면 쇠장이길 756-64,경기도 양주시 광적면 비암리 608,37.79845458,126.9232196,,한전주,031-8082-4003,경기도 양주시청,2022-06-20
"광적면006",1,경기도 양주시 광적면 쇠장이길 756-54,경기도 양주시 광적면 비암리 607-2,37.7982568,126.9226287,,한전주,031-8082-4003,경기도 양주시청,2022-06-20
"광적면007",1,경기도 양주시 광적면 쇠장이길 703,경기도 양주시 광적면 비암리 621-3,37.79693213,126.9212974,,한전주,031-8082-4003,경기도 양주시청,2022-06-20
"광적면008",1,경기도 양주시 광적면 쇠장이길 756-39,경기도 양주시 광적면 비암리 651,37.7989004,126.9210705,,한전주,031-8082-4003,경기도 양주시청,2022-06-20
"광적면009",1,경기도 양주시 광적면 쇠장이길 756-74,경기도 양주시 광적면 비암리 610-1,37.79902872,126.9232863,,한전주,031-8082-4003,경기도 양주시청,2022-06-20
"광적면010",1,경기도 양주시 광적면 쇠장이길 756-7,경기도 양주시 광적면 비암리 654-13,37.79966783,126.9198609,,한전주,031-8082-4003,경기도 양주시청,2022-06-20
"광적면011",1,경기도 양주시 광적면 쇠장이길 787,경기도 양주시 광적면 비암리 646-7,37.80049505,126.9188789,,한전주,031-8082-4003,경기도 양주시청,2022-06-20
"광적면012",1,경기도 양주시 광적면 쇠장이길 794-17,경기도 양주시 광적면 비암리 654-5,37.80127526,126.9194981,,한전주,031-8082-4003,경기도 양주시청,2022-06-20
"광적면013",1,경기도 양주시 광적면 쇠장이길 794-17,경기도 양주시 광적면 비암리 654-5,37.80127526,126.9194981,,한전주,031-8082-4003,경기도 양주시청,2022-06-20
