"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"공흥1리0",1,경기도 양평군 양평읍 시민로128번길 5,경기도 양평군 양평읍 공흥리 413,37.48979317,127.5060164,2017,한전주,031-770-2693,경기도 양평군청,2022-06-03
"공흥3리64-1",1,,경기도 양평군 양평읍 공흥리 720-7,37.49589737,127.496239,2019,전용주,031-770-2693,경기도 양평군청,2022-06-03
"공흥리20-1",1,,경기도 양평군 양평읍 공흥리 521-1,37.49251153,127.5010227,2020,한전주,031-770-2693,경기도 양평군청,2022-06-03
"공흥1리1",1,경기도 양평군 양평읍 시민로128번길 5,경기도 양평군 양평읍 공흥리 413,37.48979317,127.5060164,2011,한전주,031-770-2693,경기도 양평군청,2022-06-03
"공흥1리45-1",1,,경기도 양평군 양평읍 공흥리 산55-9,37.50488461,127.5121381,2019,한전주,031-770-2693,경기도 양평군청,2022-06-03
"공흥3리1",1,경기도 양평군 양평읍 흥청중앙길19번길 17,경기도 양평군 양평읍 공흥리 525-3,37.49184239,127.4983357,2011,전용주,031-770-2693,경기도 양평군청,2022-06-03
"공흥2리1",1,경기도 양평군 양평읍 공흥수청길 4-7,경기도 양평군 양평읍 공흥리 456-29,37.48983303,127.4983491,2011,한전주,031-770-2693,경기도 양평군청,2022-06-03
"공흥3리2",1,경기도 양평군 양평읍 흥청중앙길19번길 15,경기도 양평군 양평읍 공흥리 774-1,37.49205812,127.4982098,2011,전용주,031-770-2693,경기도 양평군청,2022-06-03
"공흥1리2",1,경기도 양평군 양평읍 시민로128번길 12,경기도 양평군 양평읍 공흥리 424-3,37.48935948,127.5057365,2011,한전주,031-770-2693,경기도 양평군청,2022-06-03
"공흥리21-2",1,,경기도 양평군 양평읍 공흥리 442-3,37.48940079,127.5005458,2021,전용주,031-770-2693,경기도 양평군청,2022-06-03
"공흥1리45-2",1,,경기도 양평군 양평읍 공흥리 산55-3,37.50424337,127.5118142628,2019,한전주,031-770-2693,경기도 양평군청,2022-06-03
"공흥리20-2",1,,경기도 양평군 양평읍 공흥리 383-1,37.49104733,127.5063958641,2020,전용주,031-770-2693,경기도 양평군청,2022-06-03
"공흥2리2",1,경기도 양평군 양평읍 공흥수청길 4-1,경기도 양평군 양평읍 공흥리 456-30,37.49024948,127.4988099,2011,,031-770-2693,경기도 양평군청,2022-06-03
"공흥1리3",1,경기도 양평군 양평읍 시민로128번길 14,경기도 양평군 양평읍 공흥리 424-4,37.48918837,127.5057603,2011,전용주,031-770-2693,경기도 양평군청,2022-06-03
"공흥리21-3",1,,경기도 양평군 양평읍 공흥리 441-40,37.48931344,127.5012022,2021,전용주,031-770-2693,경기도 양평군청,2022-06-03
"공흥2리3",1,경기도 양평군 양평읍 공흥수청길 4-1,경기도 양평군 양평읍 공흥리 456-30,37.49024948,127.4988099,2011,한전주,031-770-2693,경기도 양평군청,2022-06-03
"공흥3리3",1,경기도 양평군 양평읍 흥청중앙길19번길 9,경기도 양평군 양평읍 공흥리 773,37.49232676,127.4978122,2011,전용주,031-770-2693,경기도 양평군청,2022-06-03
"공흥1리4",1,경기도 양평군 양평읍 시민로128번길 13-7,경기도 양평군 양평읍 공흥리 424-20,37.48927371,127.5067775,2011,전용주,031-770-2693,경기도 양평군청,2022-06-03
"공흥2리4",1,경기도 양평군 양평읍 공흥수청길 7,경기도 양평군 양평읍 공흥리 452-1,37.49036863,127.4992841,2011,한전주,031-770-2693,경기도 양평군청,2022-06-03
"공흥리21-4",1,,경기도 양평군 양평읍 공흥리 441-40,37.48931344,127.5012022,2021,전용주,031-770-2693,경기도 양평군청,2022-06-03
"공흥3리4",1,경기도 양평군 양평읍 흥청중앙길19번길 7-1,경기도 양평군 양평읍 공흥리 773-1,37.49248899,127.4978225,2011,전용주,031-770-2693,경기도 양평군청,2022-06-03
"공흥리21-5",1,,경기도 양평군 양평읍 공흥리 441-40,37.48931344,127.5012022,2021,전용주,031-770-2693,경기도 양평군청,2022-06-03
