"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"가남읍건장리001",1,,경기도 여주시 가남읍 건장리 81-10,37.19014687,127.5470273,,한전주,031-887-2456,경기도 여주시청,2022-12-01
"가남읍건장리002",1,,경기도 여주시 가남읍 건장리 83-23,37.19000735,127.5474853,,전용주,031-887-2456,경기도 여주시청,2022-12-01
"가남읍건장리003",1,,경기도 여주시 가남읍 건장리 86-1,37.19030337,127.5482575,,한전주,031-887-2456,경기도 여주시청,2022-12-01
"가남읍건장리004",1,,경기도 여주시 가남읍 건장리 236,37.18971886,127.548249,,전용주,031-887-2456,경기도 여주시청,2022-12-01
"가남읍건장리005",1,,경기도 여주시 가남읍 건장리 83-10,37.18911926,127.5485797,,전용주,031-887-2456,경기도 여주시청,2022-12-01
"가남읍건장리006",1,,경기도 여주시 가남읍 건장리 76-3,37.18921529,127.5492449,,한전주,031-887-2456,경기도 여주시청,2022-12-01
"가남읍건장리007",1,,경기도 여주시 가남읍 건장리 77-1,37.18875229,127.5490219,,전용주,031-887-2456,경기도 여주시청,2022-12-01
"가남읍건장리008",1,,경기도 여주시 가남읍 건장리 76-11,37.18874876,127.5492978,,한전주,031-887-2456,경기도 여주시청,2022-12-01
"가남읍건장리009",1,,경기도 여주시 가남읍 건장리 74-6,37.18921236,127.5503627,,전용주,031-887-2456,경기도 여주시청,2022-12-01
"가남읍건장리010",1,,경기도 여주시 가남읍 건장리 74-4,37.18939852,127.5500515,,전용주,031-887-2456,경기도 여주시청,2022-12-01
"가남읍건장리011",1,,경기도 여주시 가남읍 건장리 236,37.18930765,127.5511855,,한전주,031-887-2456,경기도 여주시청,2022-12-01
"가남읍건장리012",1,,경기도 여주시 가남읍 건장리 54,37.18956733,127.5515337,,한전주,031-887-2456,경기도 여주시청,2022-12-01
"가남읍건장리013",1,,경기도 여주시 가남읍 건장리 50,37.18911169,127.5521498,,한전주,031-887-2456,경기도 여주시청,2022-12-01
"가남읍건장리014",1,,경기도 여주시 가남읍 건장리 229,37.18930657,127.5528664,,한전주,031-887-2456,경기도 여주시청,2022-12-01
"가남읍건장리015",1,,경기도 여주시 가남읍 건장리 산45,37.18913193,127.5545685,,한전주,031-887-2456,경기도 여주시청,2022-12-01
"가남읍건장리016",1,,경기도 여주시 가남읍 건장리 산45,37.19000793,127.5551043,,한전주,031-887-2456,경기도 여주시청,2022-12-01
"가남읍건장리017",1,,경기도 여주시 가남읍 건장리 66-2,37.18851587,127.5504562,,전용주,031-887-2456,경기도 여주시청,2022-12-01
"가남읍건장리018",1,,경기도 여주시 가남읍 건장리 65-5,37.18846374,127.5495548,,한전주,031-887-2456,경기도 여주시청,2022-12-01
"가남읍건장리019",1,,경기도 여주시 가남읍 건장리 219-10,37.18995613,127.5468683,,한전주,031-887-2456,경기도 여주시청,2022-12-01
"가남읍건장리020",1,,경기도 여주시 가남읍 건장리 218-1,37.18935926,127.5468527,,한전주,031-887-2456,경기도 여주시청,2022-12-01
"가남읍건장리021",1,,경기도 여주시 가남읍 건장리 81-2,37.18868825,127.5482585,,전용주,031-887-2456,경기도 여주시청,2022-12-01
"가남읍건장리022",1,,경기도 여주시 가남읍 건장리 217-1,37.1881148,127.5470746,,전용주,031-887-2456,경기도 여주시청,2022-12-01
"가남읍건장리023",1,,경기도 여주시 가남읍 건장리 115-2,37.1909066,127.5468976,,한전주,031-887-2456,경기도 여주시청,2022-12-01
"가남읍건장리024",1,,경기도 여주시 가남읍 건장리 217,37.19073463,127.5465754,,한전주,031-887-2456,경기도 여주시청,2022-12-01
"가남읍건장리025",1,,경기도 여주시 가남읍 건장리 210-2,37.19082699,127.5460862,,한전주,031-887-2456,경기도 여주시청,2022-12-01
"가남읍건장리026",1,,경기도 여주시 가남읍 건장리 190-7,37.1931543,127.5445374,,한전주,031-887-2456,경기도 여주시청,2022-12-01
