"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
1군도001,1,경기도 연천군 왕징면 군왕로242번길 5,경기도 연천군 왕징면 북삼리 384-5,38.0912671443,126.9935389031,2015,한전주,031-839-2797,경기도 연천군청,2022-08-05
1군도002,1,경기도 연천군 연천읍 청연로 396,경기도 연천군 연천읍 고문리 290,38.0605676499,127.1144039262,2015,한전주,031-839-2797,경기도 연천군청,2022-08-05
1군도003,1,경기도 연천군 전곡읍 청연로 287,경기도 연천군 전곡읍 신답리 148-1,38.0533027981,127.1078389285,2015,한전주,031-839-2797,경기도 연천군청,2022-08-05
1군도004,1,경기도 연천군 전곡읍 청연로279번길 2,경기도 연천군 전곡읍 신답리 98,38.0527203362,127.1083467923,2015,한전주,031-839-2797,경기도 연천군청,2022-08-05
1군도005,1,경기도 연천군 전곡읍 청연로 270,경기도 연천군 전곡읍 신답리 90-2,38.0521901453,127.1094155080,2015,한전주,031-839-2797,경기도 연천군청,2022-08-05
1군도006,1,경기도 연천군 전곡읍 청연로 266,경기도 연천군 전곡읍 신답리 90-7,38.0517954881,127.1093764111,2015,한전주,031-839-2797,경기도 연천군청,2022-08-05
1군도007,1,경기도 연천군 전곡읍 청연로 262,경기도 연천군 전곡읍 신답리 89-1,38.0510787212,127.1095634465,2015,한전주,031-839-2797,경기도 연천군청,2022-08-05
1군도008,1,경기도 연천군 전곡읍 청연로 262,경기도 연천군 전곡읍 신답리 89-1,38.0510787212,127.1095634465,2015,한전주,031-839-2797,경기도 연천군청,2022-08-05
1군도009,1,경기도 연천군 전곡읍 청연로 256,경기도 연천군 전곡읍 신답리 89-10,38.0508806494,127.1093261731,2015,한전주,031-839-2797,경기도 연천군청,2022-08-05
1군도010,1,경기도 연천군 전곡읍 청연로 162,경기도 연천군 전곡읍 신답리 17-17,38.0429970899,127.1132727012,2015,한전주,031-839-2797,경기도 연천군청,2022-08-05
1군도011,1,경기도 연천군 전곡읍 청연로 154,경기도 연천군 전곡읍 신답리 17-3,38.0425746553,127.1134513589,2015,한전주,031-839-2797,경기도 연천군청,2022-08-05
1군도026,1,경기도 연천군 청산면 청연로 34,경기도 연천군 청산면 궁평리 562-6,38.0352427316,127.1036288443,2015,한전주,031-839-2797,경기도 연천군청,2022-08-05
1군도027,1,경기도 연천군 청산면 청연로 30-4,경기도 연천군 청산면 궁평리 537-3,38.0349133630,127.1033113767,2015,한전주,031-839-2797,경기도 연천군청,2022-08-05
1군도028,1,경기도 연천군 청산면 청연로 25,경기도 연천군 청산면 궁평리 576-6,38.0349071054,127.1028445767,2015,한전주,031-839-2797,경기도 연천군청,2022-08-05
1군도029,1,경기도 연천군 청산면 청연로 8,경기도 연천군 청산면 궁평리 581-5,38.0331016193,127.1029870523,2015,한전주,031-839-2797,경기도 연천군청,2022-08-05
1군도030,1,경기도 연천군 전곡읍 청연로 292,경기도 연천군 전곡읍 신답리 154-5,38.0537992340,127.1082001515,2015,한전주,031-839-2797,경기도 연천군청,2022-08-05
1군도031,1,경기도 연천군 전곡읍 청연로 210-35,경기도 연천군 전곡읍 신답리 775,38.0478675513,127.1123479393,2015,한전주,031-839-2797,경기도 연천군청,2022-08-05
1군도032,1,경기도 연천군 전곡읍 청연로 200-40,경기도 연천군 전곡읍 신답리 791,38.0458936505,127.1130798473,2015,한전주,031-839-2797,경기도 연천군청,2022-08-05
368지방도029,1,경기도 연천군 청산면 청신로 179,경기도 연천군 청산면 초성리 96-2,37.9885588644,127.0770951597,2015,한전주,031-839-2797,경기도 연천군청,2022-08-05
368지방도030,1,경기도 연천군 청산면 청신로 192,경기도 연천군 청산면 초성리 83-2,37.9876785554,127.0777931796,2015,한전주,031-839-2797,경기도 연천군청,2022-08-05
368지방도031,1,경기도 연천군 청산면 청신로 202,경기도 연천군 청산면 초성리 83-5,37.9876277817,127.0790860523,2015,한전주,031-839-2797,경기도 연천군청,2022-08-05
368지방도032,1,경기도 연천군 청산면 청신로 212,경기도 연천군 청산면 초성리 83,37.9877146566,127.0801138399,2015,한전주,031-839-2797,경기도 연천군청,2022-08-05
368지방도033,1,경기도 연천군 청산면 청신로 222,경기도 연천군 청산면 초성리 70-2,37.9877310271,127.0812034780,2015,한전주,031-839-2797,경기도 연천군청,2022-08-05
368지방도034,1,경기도 연천군 청산면 청신로 228,경기도 연천군 청산면 초성리 62-1,37.9878142074,127.0819477042,2015,한전주,031-839-2797,경기도 연천군청,2022-08-05
368지방도035,1,경기도 연천군 청산면 청신로234번길 15,경기도 연천군 청산면 초성리 산 35-7,37.9877205903,127.0834996144,2015,한전주,031-839-2797,경기도 연천군청,2022-08-05
368지방도036,1,경기도 연천군 청산면 청신로 254,경기도 연천군 청산면 초성리 44-1,37.9882316691,127.0849109496,2015,한전주,031-839-2797,경기도 연천군청,2022-08-05
368지방도037,1,경기도 연천군 청산면 청신로 263,경기도 연천군 청산면 초성리 44,37.9889449539,127.0856321260,2015,한전주,031-839-2797,경기도 연천군청,2022-08-05
368지방도038,1,경기도 연천군 청산면 청신로 271,경기도 연천군 청산면 초성리 27-16,37.9891496943,127.0864276245,2015,한전주,031-839-2797,경기도 연천군청,2022-08-05
368지방도039,1,경기도 연천군 청산면 청신로 283,경기도 연천군 청산면 초성리 27-6,37.9894798741,127.0879017435,2015,한전주,031-839-2797,경기도 연천군청,2022-08-05
368지방도040,1,경기도 연천군 청산면 청신로 294,경기도 연천군 청산면 초성리 22-2,37.9894686471,127.0892909945,2015,한전주,031-839-2797,경기도 연천군청,2022-08-05
368지방도041,1,경기도 연천군 청산면 청신로 308,경기도 연천군 청산면 초성리 8-6,37.9893734907,127.0903763118,2015,한전주,031-839-2797,경기도 연천군청,2022-08-05
368지방도042,1,경기도 연천군 청산면 청신로 294,경기도 연천군 청산면 초성리 22-2,37.9894686471,127.0892909945,2015,한전주,031-839-2797,경기도 연천군청,2022-08-05
368지방도043,1,경기도 연천군 청산면 청신로 335,경기도 연천군 청산면 초성리 7-6,37.9881302734,127.0928346416,2015,한전주,031-839-2797,경기도 연천군청,2022-08-05
368지방도044,1,경기도 연천군 청산면 청신로 341,경기도 연천군 청산면 초성리 7-18,37.9880724385,127.0933974811,2015,한전주,031-839-2797,경기도 연천군청,2022-08-05
368지방도045,1,,경기도 연천군 청산면 초성리 7-42,37.9875051348,127.0939428235,2015,한전주,031-839-2797,경기도 연천군청,2022-08-05
368지방도046,1,경기도 연천군 청산면 청신로 355,경기도 연천군 청산면 초성리 산 19,37.9873959082,127.0949988315,2015,한전주,031-839-2797,경기도 연천군청,2022-08-05
368지방도047,1,경기도 연천군 청산면 청신로297번길 14,경기도 연천군 청산면 초성리 20,37.9904187458,127.0893211749,2015,한전주,031-839-2797,경기도 연천군청,2022-08-05
368지방도48,1,,경기도 연천군 청산면 초성리 9,37.9891846144,127.0919720412,2015,한전주,031-839-2797,경기도 연천군청,2022-08-05
371지방도001,1,경기도 연천군 백학면 백왕로 291,경기도 연천군 백학면 석장리 941-7,38.0569827220,126.9269721482,2015,한전주,031-839-2797,경기도 연천군청,2022-08-05
371지방도002,1,경기도 연천군 백학면 백왕로 280,경기도 연천군 백학면 석장리 356,38.0556118300,126.9285010932,2015,한전주,031-839-2797,경기도 연천군청,2022-08-05
371지방도003,1,경기도 연천군 백학면 백왕로257번길 15,경기도 연천군 백학면 석장리 345,38.0539053471,126.9285692922,2015,한전주,031-839-2797,경기도 연천군청,2022-08-05
371지방도004,1,경기도 연천군 백학면 백왕로 226,경기도 연천군 백학면 석장리 396-1,38.0517024301,126.9299425044,2015,한전주,031-839-2797,경기도 연천군청,2022-08-05
371지방도005,1,경기도 연천군 백학면 백왕로 194,경기도 연천군 백학면 석장리 469,38.0489748717,126.9299119506,2015,한전주,031-839-2797,경기도 연천군청,2022-08-05
371지방도006,1,경기도 연천군 백학면 백왕로 180,경기도 연천군 백학면 석장리 466,38.0479694678,126.9289032849,2015,한전주,031-839-2797,경기도 연천군청,2022-08-05
371지방도007,1,경기도 연천군 백학면 백왕로 148,경기도 연천군 백학면 석장리 463-5,38.0455147187,126.9274182730,2015,한전주,031-839-2797,경기도 연천군청,2022-08-05
371지방도008,1,,경기도 연천군 백학면 석장리 906-34,38.0438832676,126.9258563912,2015,한전주,031-839-2797,경기도 연천군청,2022-08-05
371지방도014,1,경기도 연천군 백학면 백두길 140-40,경기도 연천군 백학면 두일리 80,38.0396134723,126.9209572912,2015,한전주,031-839-2797,경기도 연천군청,2022-08-05
371지방도015,1,경기도 연천군 백학면 백왕로 36,경기도 연천군 백학면 두일리 48-9,38.0366146248,126.9221217104,2015,한전주,031-839-2797,경기도 연천군청,2022-08-05
371지방도016,1,경기도 연천군 백학면 백왕로 36,경기도 연천군 백학면 두일리 48-9,38.0366146248,126.9221217104,2015,한전주,031-839-2797,경기도 연천군청,2022-08-05
371지방도018,1,경기도 연천군 백학면 청정로 490,경기도 연천군 백학면 두일리 391-2,38.0263004953,126.9158652823,2015,한전주,031-839-2797,경기도 연천군청,2022-08-05
371지방도019,1,경기도 연천군 백학면 청정로 444,경기도 연천군 백학면 두일리 395-3,38.0224880091,126.9133298282,2015,한전주,031-839-2797,경기도 연천군청,2022-08-05
371지방도020,1,경기도 연천군 백학면 청정로 328,경기도 연천군 백학면 통구리 622-6,38.0123274120,126.9147577932,2015,한전주,031-839-2797,경기도 연천군청,2022-08-05
371지방도021,1,경기도 연천군 백학면 청정로 268,경기도 연천군 백학면 통구리 665-1,38.0077059969,126.9132570519,2015,한전주,031-839-2797,경기도 연천군청,2022-08-05
371지방도022,1,경기도 연천군 백학면 청정로 244,경기도 연천군 백학면 통구리 667-13,38.0058438023,126.9142727327,2015,한전주,031-839-2797,경기도 연천군청,2022-08-05
371지방도023,1,경기도 연천군 백학면 청정로 227,경기도 연천군 백학면 통구리 469-6,38.0043770730,126.9149928961,2015,한전주,031-839-2797,경기도 연천군청,2022-08-05
371지방도024,1,경기도 연천군 백학면 청정로 186,경기도 연천군 백학면 통구리 453-2,38.0020263256,126.9181049096,2015,한전주,031-839-2797,경기도 연천군청,2022-08-05
371지방도025,1,경기도 연천군 백학면 청정로 174,경기도 연천군 백학면 통구리 421-5,38.0013405033,126.9192265765,2015,한전주,031-839-2797,경기도 연천군청,2022-08-05
