"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"중로1류-27",1,,경기도 오산시 궐동 714,37.1620795753,127.0541081,2002,한전주,031-8036-7703,경기도 오산시,2022-08-10
"중로1류-27",1,,경기도 오산시 궐동 714,37.1620795753,127.0541621077,2002,한전주,031-8036-7703,경기도 오산시,2022-08-10
"중로1류-27",1,,경기도 오산시 궐동 714,37.1620795753,127.0541621077,2002,한전주,031-8036-7703,경기도 오산시,2022-08-10
"중로1류-27",1,,경기도 오산시 궐동 714,37.1620795753,127.0541621077,2002,한전주,031-8036-7703,경기도 오산시,2022-08-10
"중로1류-27",1,,경기도 오산시 궐동 714,37.1620795753,127.0541621077,2002,한전주,031-8036-7703,경기도 오산시,2022-08-10
"중로1류-27",1,,경기도 오산시 궐동 714,37.1620795753,127.0541621077,2002,한전주,031-8036-7703,경기도 오산시,2022-08-10
"중로1류-27",1,,경기도 오산시 궐동 714,37.1620795753,127.0541621077,2002,한전주,031-8036-7703,경기도 오산시,2022-08-10
"중로1류-27",1,,경기도 오산시 궐동 714,37.1620795753,127.0541621077,2002,한전주,031-8036-7703,경기도 오산시,2022-08-10
"중로1류-27",1,,경기도 오산시 궐동 714,37.1620795753,127.0541621077,2002,한전주,031-8036-7703,경기도 오산시,2022-08-10
"중로1류-27",1,,경기도 오산시 궐동 714,37.1620795753,127.0541621077,2002,한전주,031-8036-7703,경기도 오산시,2022-08-10
"중로1류-27",1,,경기도 오산시 궐동 714,37.1620795753,127.0541621077,2002,한전주,031-8036-7703,경기도 오산시,2022-08-10
"중로1류-27",1,,경기도 오산시 궐동 714,37.1620795753,127.0541621077,2002,한전주,031-8036-7703,경기도 오산시,2022-08-10
"중로1류-43",1,,경기도 오산시 궐동 715,37.1589566450,127.0595631790,1989,한전주,031-8036-7703,경기도 오산시,2022-08-10
"중로1류-43",1,,경기도 오산시 궐동 715,37.1589566450,127.0595631790,1989,한전주,031-8036-7703,경기도 오산시,2022-08-10
"중로1류-43",1,,경기도 오산시 궐동 715,37.1589566450,127.0595631790,1989,한전주,031-8036-7703,경기도 오산시,2022-08-10
"중로1류-43",1,,경기도 오산시 궐동 715,37.1589566450,127.0595631790,1989,한전주,031-8036-7703,경기도 오산시,2022-08-10
"중로1류-43",1,,경기도 오산시 궐동 715,37.1589566450,127.0595631790,1989,한전주,031-8036-7703,경기도 오산시,2022-08-10
"중로1류-43",1,,경기도 오산시 궐동 715,37.1589566450,127.0595631790,1989,한전주,031-8036-7703,경기도 오산시,2022-08-10
"중로1류-43",1,,경기도 오산시 궐동 715,37.1589566450,127.0595631790,1989,한전주,031-8036-7703,경기도 오산시,2022-08-10
"중로1류-43",1,,경기도 오산시 궐동 715,37.1589566450,127.0595631790,1989,한전주,031-8036-7703,경기도 오산시,2022-08-10
"중로1류-43",1,,경기도 오산시 궐동 715,37.1589566450,127.0595631790,1989,한전주,031-8036-7703,경기도 오산시,2022-08-10
"중로1류-43",1,,경기도 오산시 궐동 715,37.1589566450,127.0595631790,1989,한전주,031-8036-7703,경기도 오산시,2022-08-10
"중로1류-43",1,,경기도 오산시 궐동 715,37.1589566450,127.0595631790,1989,한전주,031-8036-7703,경기도 오산시,2022-08-10
"중로1류-43",1,,경기도 오산시 궐동 715,37.1589566450,127.0595631790,1989,한전주,031-8036-7703,경기도 오산시,2022-08-10
"중로1류-43",1,,경기도 오산시 궐동 715,37.1589566450,127.0595631790,2004,한전주,031-8036-7703,경기도 오산시,2022-08-10
"중로1류-43",1,,경기도 오산시 궐동 715,37.1589566450,127.0595631790,1989,한전주,031-8036-7703,경기도 오산시,2022-08-10
"중로1류-43",1,,경기도 오산시 궐동 715,37.1589566450,127.0595631790,1989,한전주,031-8036-7703,경기도 오산시,2022-08-10
"중로1류-43",1,,경기도 오산시 궐동 715,37.1589566450,127.0595631790,1989,한전주,031-8036-7703,경기도 오산시,2022-08-10
"중로1류-43",1,,경기도 오산시 궐동 715,37.1589566450,127.0595631790,1989,한전주,031-8036-7703,경기도 오산시,2022-08-10
"중로1류-43",1,,경기도 오산시 궐동 715,37.1589566450,127.0595631790,1989,한전주,031-8036-7703,경기도 오산시,2022-08-10
"중로1류-43",1,,경기도 오산시 궐동 715,37.1589566450,127.0595631790,1989,한전주,031-8036-7703,경기도 오산시,2022-08-10
"중로1류-43",1,,경기도 오산시 궐동 715,37.1589566450,127.0595631790,1989,한전주,031-8036-7703,경기도 오산시,2022-08-10
"중로1류-43",1,,경기도 오산시 궐동 715,37.1589566450,127.0595631790,1989,한전주,031-8036-7703,경기도 오산시,2022-08-10
"중로1류-43",1,,경기도 오산시 궐동 715,37.1589566450,127.0595631790,1989,한전주,031-8036-7703,경기도 오산시,2022-08-10
"중로1류-43",1,,경기도 오산시 궐동 715,37.1589566450,127.0595631790,1989,한전주,031-8036-7703,경기도 오산시,2022-08-10
"중로1류-43",1,,경기도 오산시 궐동 715,37.1589566450,127.0595631790,1989,한전주,031-8036-7703,경기도 오산시,2022-08-10
"중로1류-43",1,,경기도 오산시 궐동 715,37.1589566450,127.0595631790,1989,한전주,031-8036-7703,경기도 오산시,2022-08-10
"중로1류-43",1,,경기도 오산시 궐동 715,37.1589566450,127.0595631790,1989,한전주,031-8036-7703,경기도 오산시,2022-08-10
"중로1류-43",1,,경기도 오산시 궐동 715,37.1589566450,127.0595631790,1989,한전주,031-8036-7703,경기도 오산시,2022-08-10
"중로1류-43",1,,경기도 오산시 궐동 715,37.1589566450,127.0595631790,1989,한전주,031-8036-7703,경기도 오산시,2022-08-10
"중로1류-43",1,,경기도 오산시 궐동 715,37.1589566450,127.0595631790,1989,한전주,031-8036-7703,경기도 오산시,2022-08-10
"중로1류-43",1,,경기도 오산시 궐동 715,37.1589566450,127.0595631790,1989,한전주,031-8036-7703,경기도 오산시,2022-08-10
"중로1류-43",1,,경기도 오산시 궐동 715,37.1589566450,127.0595631790,1989,한전주,031-8036-7703,경기도 오산시,2022-08-10
"중로1류-43",1,,경기도 오산시 궐동 715,37.1589566450,127.0595631790,1989,한전주,031-8036-7703,경기도 오산시,2022-08-10
"중로1류-43",1,,경기도 오산시 궐동 715,37.1589566450,127.0595332,1989,한전주,031-8036-7703,경기도 오산시,2022-08-10
"중로1류-43",1,,경기도 오산시 궐동 715,37.1589566450,127.0595631790,1989,한전주,031-8036-7703,경기도 오산시,2022-08-10
"중로1류-43",1,,경기도 오산시 궐동 715,37.1589566450,127.0595631790,1989,한전주,031-8036-7703,경기도 오산시,2022-08-10
"중로1류-43",1,,경기도 오산시 궐동 715,37.1589566450,127.0595631790,1989,한전주,031-8036-7703,경기도 오산시,2022-08-10
"중로1류-43",1,,경기도 오산시 궐동 715,37.1589566450,127.0595631790,1989,한전주,031-8036-7703,경기도 오산시,2022-08-10
"대로3류-14",1,,경기도 오산시 내삼미동 251-2,37.1800160519,127.0621461197,2009,한전주,031-8036-7703,경기도 오산시,2022-08-10
"대로3류-14",1,,경기도 오산시 내삼미동 251-2,37.1800160519,127.0621461197,2009,한전주,031-8036-7703,경기도 오산시,2022-08-10
"대로3류-14",1,,경기도 오산시 내삼미동 251-2,37.1800160519,127.0621461197,2009,한전주,031-8036-7703,경기도 오산시,2022-08-10
"대로3류-14",1,,경기도 오산시 내삼미동 251-2,37.1800160519,127.0621461197,2009,한전주,031-8036-7703,경기도 오산시,2022-08-10
"대로3류-14",1,,경기도 오산시 내삼미동 251-2,37.1800160519,127.0621461197,2009,한전주,031-8036-7703,경기도 오산시,2022-08-10
"대로3류-14",1,,경기도 오산시 내삼미동 251-2,37.1800160519,127.0621461197,2009,한전주,031-8036-7703,경기도 오산시,2022-08-10
"대로3류-14",1,,경기도 오산시 내삼미동 251-2,37.1800160519,127.0621461197,2009,한전주,031-8036-7703,경기도 오산시,2022-08-10
"대로3류-14",1,,경기도 오산시 내삼미동 251-2,37.1800160519,127.0621461197,2009,한전주,031-8036-7703,경기도 오산시,2022-08-10
"대로3류-14",1,,경기도 오산시 내삼미동 251-2,37.1800160519,127.0621461197,2009,한전주,031-8036-7703,경기도 오산시,2022-08-10
"대로3류-14",1,,경기도 오산시 내삼미동 251-2,37.1800160519,127.0621461197,2009,한전주,031-8036-7703,경기도 오산시,2022-08-10
"대로3류-14",1,,경기도 오산시 내삼미동 251-2,37.1800160519,127.0621461197,2009,한전주,031-8036-7703,경기도 오산시,2022-08-10
"대로3류-14",1,,경기도 오산시 내삼미동 251-2,37.1800160519,127.0621461197,2009,한전주,031-8036-7703,경기도 오산시,2022-08-10
"대로3류-14",1,,경기도 오산시 내삼미동 251-2,37.1800160519,127.0621461197,2009,한전주,031-8036-7703,경기도 오산시,2022-08-10
"대로3류-14",1,,경기도 오산시 내삼미동 251-2,37.1800160519,127.0621461197,2009,한전주,031-8036-7703,경기도 오산시,2022-08-10
"대로3류-14",1,,경기도 오산시 내삼미동 251-2,37.1800160519,127.0621461197,2009,한전주,031-8036-7703,경기도 오산시,2022-08-10
"대로3류-14",1,,경기도 오산시 내삼미동 251-2,37.1800160519,127.0621461197,2009,한전주,031-8036-7703,경기도 오산시,2022-08-10
