"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치년도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"남사-1001",1,,경기도 용인시 처인구 남사면 창리 369-8,37.1417487,127.1892124,,,031-324-5433,경기도 용인시 처인구청,2019-07-11
"남사-1002",1,,경기도 용인시 처인구 남사면 창리 369-8,37.1418188,127.1889077,,,031-324-5433,경기도 용인시 처인구청,2019-07-11
"남사-1003",1,,경기도 용인시 처인구 남사면 창리 369-8,37.141932,127.1883437,,,031-324-5433,경기도 용인시 처인구청,2019-07-11
"남사-1004",1,,경기도 용인시 처인구 남사면 창리 366-2,37.142098,127.1875765,,,031-324-5433,경기도 용인시 처인구청,2019-07-11
"남사-1005",1,,경기도 용인시 처인구 남사면 창리 362-1,37.1422493,127.1872935,,,031-324-5433,경기도 용인시 처인구청,2019-07-11
"남사-1006",1,,경기도 용인시 처인구 남사면 창리 343-1,37.1425533,127.1856356,,,031-324-5433,경기도 용인시 처인구청,2019-07-11
"남사-1007",1,,경기도 용인시 처인구 남사면 창리 352-1,37.1424894,127.1855125,,,031-324-5433,경기도 용인시 처인구청,2019-07-11
"남사-1008",1,,경기도 용인시 처인구 남사면 창리 352-1,37.142305,127.1849066,,,031-324-5433,경기도 용인시 처인구청,2019-07-11
"남사-1009",1,,경기도 용인시 처인구 남사면 창리 348-7,37.1420044,127.1844371,,,031-324-5433,경기도 용인시 처인구청,2019-07-11
"남사-1010",1,,경기도 용인시 처인구 남사면 창리 산29-1,37.1418132,127.1841464,,,031-324-5433,경기도 용인시 처인구청,2019-07-11
"남사-1011",1,,경기도 용인시 처인구 남사면 창리 867,37.1401989,127.1800441,,,031-324-5433,경기도 용인시 처인구청,2019-07-11
"남사-1012",1,,경기도 용인시 처인구 남사면 창리 328-1,37.1402267,127.1801451,,,031-324-5433,경기도 용인시 처인구청,2019-07-11
"남사-1013",1,,경기도 용인시 처인구 남사면 창리 867,37.1405204,127.1809298,,,031-324-5433,경기도 용인시 처인구청,2019-07-11
"남사-1014",1,,경기도 용인시 처인구 남사면 창리 산29-4,37.1406752,127.1811533,,,031-324-5433,경기도 용인시 처인구청,2019-07-11
"남사-1015",1,,경기도 용인시 처인구 남사면 창리 산29-4,37.1408413,127.1817256,,,031-324-5433,경기도 용인시 처인구청,2019-07-11
"남사-1016",1,,경기도 용인시 처인구 남사면 창리 328-1,37.1402315,127.1795372,,,031-324-5433,경기도 용인시 처인구청,2019-07-11
"남사-1017",1,,경기도 용인시 처인구 남사면 창리 327-2,37.1398415,127.1791812,,,031-324-5433,경기도 용인시 처인구청,2019-07-11
"남사-1018",1,,경기도 용인시 처인구 남사면 창리 327-2,37.139696,127.1789802,,,031-324-5433,경기도 용인시 처인구청,2019-07-11
"남사-1019",1,,경기도 용인시 처인구 남사면 창리 504,37.1396304,127.1786207,,,031-324-5433,경기도 용인시 처인구청,2019-07-11
"남사-1020",1,,경기도 용인시 처인구 남사면 창리 504,37.1393463,127.1779259,,,031-324-5433,경기도 용인시 처인구청,2019-07-11
"남사-1021",1,,경기도 용인시 처인구 남사면 창리 504,37.1393278,127.1778586,,,031-324-5433,경기도 용인시 처인구청,2019-07-11
"남사-1022",1,,경기도 용인시 처인구 남사면 창리 504,37.139224,127.1771956,,,031-324-5433,경기도 용인시 처인구청,2019-07-11
"남사-1023",1,,경기도 용인시 처인구 남사면 창리 712,37.1388431,127.1755452,,,031-324-5433,경기도 용인시 처인구청,2019-07-11
"남사-1024",1,,경기도 용인시 처인구 남사면 창리 513-3,37.1388287,127.1747574,,,031-324-5433,경기도 용인시 처인구청,2019-07-11
"남사-1025",1,,경기도 용인시 처인구 남사면 창리 513-3,37.1387905,127.1744539,,,031-324-5433,경기도 용인시 처인구청,2019-07-11
