"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"당뿌리로1",1,경기도 의왕시 당뿌리로 16-10 (고천동),경기도 의왕시 고천동 494-9,37.3495495,126.9782145,2015,전용주,031-345-3393,경기도 의왕시청,2022-06-13
"당뿌리로11",1,경기도 의왕시 당뿌리로 16-6 (고천동),경기도 의왕시 고천동 495,37.3491193,126.9785504,2014,한전주,031-345-3393,경기도 의왕시청,2022-06-13
"당뿌리로13",1,"경기도 의왕시 당뿌리로 21-11 (고천동, 진주빌라)",경기도 의왕시 고천동 499,37.3487385,126.9781865,2014,한전주,031-345-3393,경기도 의왕시청,2022-06-13
"당뿌리로3",1,경기도 의왕시 오전공업길 33 (고천동),경기도 의왕시 고천동 469,37.3490292,126.9784404,2014,한전주,031-345-3393,경기도 의왕시청,2022-06-13
"당뿌리로5",1,"경기도 의왕시 당뿌리로 21-4 (고천동, 진주다세대)",경기도 의왕시 고천동 501,37.3490178,126.9778733,2014,한전주,031-345-3393,경기도 의왕시청,2022-06-13
"당뿌리로7",1,경기도 의왕시 당뿌리로 10 (고천동),경기도 의왕시 고천동 495-5,37.3493152,126.9783952,2014,전용주,031-345-3393,경기도 의왕시청,2022-06-13
"당뿌리로8",1,경기도 의왕시 당뿌리로 10 (고천동),경기도 의왕시 고천동 495-5,37.3492814,126.9784206,2014,한전주,031-345-3393,경기도 의왕시청,2022-06-13
"당뿌리로9",1,,경기도 의왕시 고천동 492-145,37.3495066,126.9778844,2014,한전주,031-345-3393,경기도 의왕시청,2022-06-13
"대안사길11",1,,경기도 의왕시 왕곡동 산 31-1,37.338569,126.9835017,2014,한전주,031-345-3393,경기도 의왕시청,2022-06-13
"대안사길13",1,,경기도 의왕시 왕곡동 433,37.338515,126.9838911,2015,한전주,031-345-3393,경기도 의왕시청,2022-06-13
"대안사길15",1,,경기도 의왕시 왕곡동 산 81-3,37.3384926,126.984523,2014,한전주,031-345-3393,경기도 의왕시청,2022-06-13
"대안사길17번",1,,경기도 의왕시 왕곡동 430-3,37.3384273,126.9850619,2014,한전주,031-345-3393,경기도 의왕시청,2022-06-13
"대안사길1번",1,,경기도 의왕시 왕곡동 449,37.3385755,126.9814282,2014,한전주,031-345-3393,경기도 의왕시청,2022-06-13
"대안사길21",1,,경기도 의왕시 왕곡동 429,37.3384183,126.9854174,2014,한전주,031-345-3393,경기도 의왕시청,2022-06-13
"대안사길23",1,,경기도 의왕시 왕곡동 429,37.3382449,126.985849,2014,한전주,031-345-3393,경기도 의왕시청,2022-06-13
"대안사길25",1,,경기도 의왕시 왕곡동 429,37.3381031,126.9860381,2014,한전주,031-345-3393,경기도 의왕시청,2022-06-13
"대안사길29",1,,경기도 의왕시 왕곡동 428-1,37.3380963,126.9863371,2014,한전주,031-345-3393,경기도 의왕시청,2022-06-13
"대안사길3",1,,경기도 의왕시 왕곡동 448,37.3384269,126.9818232,2014,한전주,031-345-3393,경기도 의왕시청,2022-06-13
"대안사길31번",1,,경기도 의왕시 왕곡동 426,37.3382135,126.9868675,2014,한전주,031-345-3393,경기도 의왕시청,2022-06-13
"대안사길32번",1,,경기도 의왕시 왕곡동 산 76-2,37.3383465,126.987395,2014,한전주,031-345-3393,경기도 의왕시청,2022-06-13
"대안사길33",1,,경기도 의왕시 왕곡동 451-2,37.3387173,126.9810191,2014,한전주,031-345-3393,경기도 의왕시청,2022-06-13
"대안사길35",1,,경기도 의왕시 왕곡동 457,37.3383163,126.9808104,2014,한전주,031-345-3393,경기도 의왕시청,2022-06-13
"대안사길37번",1,경기도 의왕시 대안사길 10 (왕곡동),경기도 의왕시 왕곡동 449-2,37.3380596,126.9810249,2014,건축물,031-345-3393,경기도 의왕시청,2022-06-13
"대안사길39",1,경기도 의왕시 대안사길 8-12 (왕곡동),경기도 의왕시 왕곡동 470-7,37.3375032,126.9809912,2014,한전주,031-345-3393,경기도 의왕시청,2022-06-13
"대안사길41번",1,,경기도 의왕시 왕곡동 457,37.338332,126.9802575,2014,한전주,031-345-3393,경기도 의왕시청,2022-06-13
"대안사길5",1,경기도 의왕시 대안사길 26 (왕곡동),경기도 의왕시 왕곡동 산 81,37.3384562,126.9821956,2014,한전주,031-345-3393,경기도 의왕시청,2022-06-13
"대안사길9",1,,경기도 의왕시 왕곡동 445,37.3384157,126.9827824,2014,한전주,031-345-3393,경기도 의왕시청,2022-06-13
"덕장로13",1,,경기도 의왕시 청계동 55-1,37.394614,126.9975296,2014,한전주,031-345-3393,경기도 의왕시청,2022-06-13
"덕장로17",1,"경기도 의왕시 덕장로 67-25 (청계동, 호원주택)",경기도 의왕시 청계동 858,37.3943797,126.9978854,2014,한전주,031-345-3393,경기도 의왕시청,2022-06-13
"도룡마을길1",1,,경기도 의왕시 월암동 99,37.3106691,126.9582451,2014,한전주,031-345-3393,경기도 의왕시청,2022-06-13
"도룡마을길11",1,,경기도 의왕시 월암동 187-1,37.308093,126.9609509,2014,전용주,031-345-3393,경기도 의왕시청,2022-06-13
"도룡마을길13",1,,경기도 의왕시 월암동 189-5,37.3078905,126.9616532,2014,한전주,031-345-3393,경기도 의왕시청,2022-06-13
"도룡마을길15",1,경기도 의왕시 도룡마을길 49-6 (월암동),경기도 의왕시 월암동 168-1,37.3077242,126.9626657,2014,한전주,031-345-3393,경기도 의왕시청,2022-06-13
"도룡마을길19",1,경기도 의왕시 도룡마을길 55 (월암동),경기도 의왕시 월암동 167,37.3075032,126.962021,2014,한전주,031-345-3393,경기도 의왕시청,2022-06-13
"도룡마을길21",1,경기도 의왕시 도룡마을길 55-3 (월암동),경기도 의왕시 월암동 168-2,37.3071227,126.962635,2014,한전주,031-345-3393,경기도 의왕시청,2022-06-13
"도룡마을길23",1,경기도 의왕시 도룡마을길 62 (월암동),경기도 의왕시 월암동 177-3,37.3073636,126.9623218,2014,한전주,031-345-3393,경기도 의왕시청,2022-06-13
"도룡마을길25",1,경기도 의왕시 도룡마을길 68 (월암동),경기도 의왕시 월암동 236,37.3063274,126.9620855,2014,한전주,031-345-3393,경기도 의왕시청,2022-06-13
"도룡마을길29",1,,경기도 의왕시 월암동 241,37.3057419,126.9627823,2014,한전주,031-345-3393,경기도 의왕시청,2022-06-13
"도룡마을길3",1,경기도 의왕시 도룡마을길 9 (월암동),경기도 의왕시 월암동 105-4,37.3103224,126.9587867,2014,한전주,031-345-3393,경기도 의왕시청,2022-06-13
"도룡마을길5",1,경기도 의왕시 도룡마을길 20-2 (월암동),경기도 의왕시 월암동 112,37.3096243,126.9594301,2014,한전주,031-345-3393,경기도 의왕시청,2022-06-13
"도룡마을길9",1,경기도 의왕시 도룡마을길 26 (월암동),경기도 의왕시 월암동 196-1,37.3091942,126.9599013,2014,한전주,031-345-3393,경기도 의왕시청,2022-06-13
"독정이길 9",1,,경기도 의왕시 청계동 544-2,37.3931247,127.0099631,2014,한전주,031-345-3393,경기도 의왕시청,2022-06-13
"청계로94",1,경기도 의왕시 청계로 151-11 (청계동),경기도 의왕시 청계동 629,37.4017905,127.0055257,2015,한전주,031-345-3393,경기도 의왕시청,2022-06-13
"청계로95",1,경기도 의왕시 청계로 167-12 (청계동),경기도 의왕시 청계동 632,37.4019301,127.0062316,2014,한전주,031-345-3393,경기도 의왕시청,2022-06-13
"청계로96",1,,경기도 의왕시 청계동 629-5,37.4019122,127.0053055,2014,한전주,031-345-3393,경기도 의왕시청,2022-06-13
"청계로97",1,,경기도 의왕시 청계동 629-5,37.4021126,127.0053224,2014,한전주,031-345-3393,경기도 의왕시청,2022-06-13
"청계로98",1,경기도 의왕시 청계로 149-22 (청계동),경기도 의왕시 청계동 446-1,37.402419,127.0052603,2014,한전주,031-345-3393,경기도 의왕시청,2022-06-13
"오매기백운산길9",1,경기도 의왕시 오매기백운산길 67 (오전동),경기도 의왕시 오전동 751,37.3568791,126.9993256,2014,한전주,031-345-3393,경기도 의왕시청,2022-06-13
"오매기중간길1",2,경기도 의왕시 오매기중간길 6 (오전동),경기도 의왕시 오전동 613-2,37.3578944,126.9885149,2014,한전주,031-345-3393,경기도 의왕시청,2022-06-13
"오매기중간길11",1,경기도 의왕시 오매기중간길 16-4 (오전동),경기도 의왕시 오전동 610-2,37.3588315,126.9884047,2014,한전주,031-345-3393,경기도 의왕시청,2022-06-13
"오매기중간길13",1,,경기도 의왕시 오전동 608-2,37.3591919,126.9882042,2016,한전주,031-345-3393,경기도 의왕시청,2022-06-13
"오매기중간길15",1,,경기도 의왕시 오전동 608-2,37.3594892,126.9879192,2014,한전주,031-345-3393,경기도 의왕시청,2022-06-13
"오매기중간길17",1,경기도 의왕시 오매기중간길 30-5 (오전동),경기도 의왕시 오전동 592-1,37.3599825,126.9880207,2014,전용주,031-345-3393,경기도 의왕시청,2022-06-13
"오매기중간길19",1,경기도 의왕시 오매기중간길 31 (오전동),경기도 의왕시 오전동 산 51-1,37.3599397,126.9874958,2014,한전주,031-345-3393,경기도 의왕시청,2022-06-13
"오매기중간길2",1,경기도 의왕시 오매기중간길 6 (오전동),경기도 의왕시 오전동 613-2,37.3577187,126.9885925,2014,한전주,031-345-3393,경기도 의왕시청,2022-06-13
"오매기중간길21",1,,경기도 의왕시 오전동 593,37.3602528,126.9878005,2014,한전주,031-345-3393,경기도 의왕시청,2022-06-13
"오매기중간길23",1,경기도 의왕시 오매기중간길 30-8 (오전동),경기도 의왕시 오전동 602-1,37.3601132,126.9881928,2014,한전주,031-345-3393,경기도 의왕시청,2022-06-13
"오매기중간길25",1,경기도 의왕시 오매기중간길 29-4 (오전동),경기도 의왕시 오전동 562-5,37.3596378,126.9874535,2014,전용주,031-345-3393,경기도 의왕시청,2022-06-13
"오매기중간길29",1,경기도 의왕시 오매기중간길 30-9 (오전동),경기도 의왕시 오전동 594,37.3602731,126.9882097,2014,한전주,031-345-3393,경기도 의왕시청,2022-06-13
"오매기중간길3",1,,경기도 의왕시 오전동 612,37.3584869,126.988574,2014,한전주,031-345-3393,경기도 의왕시청,2022-06-13
"오매기중간길4",1,,경기도 의왕시 오전동 612,37.3582346,126.988561,2014,한전주,031-345-3393,경기도 의왕시청,2022-06-13
"오매기중간길5",1,,경기도 의왕시 오전동 611-1,37.3586468,126.9884668,2014,한전주,031-345-3393,경기도 의왕시청,2022-06-13
"오매기중간길7",1,경기도 의왕시 오매기중간길 15-1 (오전동),경기도 의왕시 오전동 543,37.3588675,126.9881366,2014,전용주,031-345-3393,경기도 의왕시청,2022-06-13
"오매기중간길9",1,경기도 의왕시 오매기중간길 16-4 (오전동),경기도 의왕시 오전동 610-2,37.358818,126.9886332,2014,한전주,031-345-3393,경기도 의왕시청,2022-06-13
