"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"가능동 344-6",1,,경기도 의정부시 가능동 344-1,37.75073255,127.0334538,,,031-828-2964,경기도 의정부시청,2022-09-30
"가능동 344-3",1,,경기도 의정부시 가능동 344-3,37.75048821,127.0332126,,,031-828-2964,경기도 의정부시청,2022-09-30
"가능동 672-9",1,,경기도 의정부시 가능동 672-5,37.75035134,127.0336409,,,031-828-2964,경기도 의정부시청,2022-09-30
"가능동 294-7",1,,경기도 의정부시 가능동 294-7,37.75017357,127.0329954,,,031-828-2964,경기도 의정부시청,2022-09-30
"가능동 302-16",1,,경기도 의정부시 가능동 673,37.7497801,127.0327812,,,031-828-2964,경기도 의정부시청,2022-09-30
"가능동 672-29",1,,경기도 의정부시 가능동 672-29,37.74987068,127.0332746,,,031-828-2964,경기도 의정부시청,2022-09-30
"가능동 673-4",1,,경기도 의정부시 가능동 673-4,37.74960869,127.0325598,,,031-828-2964,경기도 의정부시청,2022-09-30
"가능동 673-8",1,,경기도 의정부시 가능동 673-8,37.74947101,127.0324529,,,031-828-2964,경기도 의정부시청,2022-09-30
"가능동 673-51",1,,경기도 의정부시 가능동 673-51,37.74919354,127.0322149,,,031-828-2964,경기도 의정부시청,2022-09-30
"가능동 673-11",1,,경기도 의정부시 가능동 673-11,37.74964875,127.0330279,,,031-828-2964,경기도 의정부시청,2022-09-30
"가능동 682-1",1,,경기도 의정부시 가능동 682-1,37.74892746,127.0323128,,,031-828-2964,경기도 의정부시청,2022-09-30
"가능동 673-36",1,,경기도 의정부시 가능동 673-38,37.74908329,127.0324461,,,031-828-2964,경기도 의정부시청,2022-09-30
"가능동 673-23",1,,경기도 의정부시 가능동 673-26,37.74939476,127.0327639,,,031-828-2964,경기도 의정부시청,2022-09-30
"가능동 673-28",1,,경기도 의정부시 가능동 673-30,37.74923664,127.0326931,,,031-828-2964,경기도 의정부시청,2022-09-30
"가능동 673-55",1,,경기도 의정부시 가능동 673-55,37.74900679,127.0331155,,,031-828-2964,경기도 의정부시청,2022-09-30
"가능동 673-18",1,,경기도 의정부시 가능동 673-18,37.74923361,127.0332914,,,031-828-2964,경기도 의정부시청,2022-09-30
"가능동 673-14",1,,경기도 의정부시 가능동 673-17,37.74934687,127.033249,,,031-828-2964,경기도 의정부시청,2022-09-30
"가능동 673-15",1,,경기도 의정부시 가능동 673-15,37.74938058,127.0334102,,,031-828-2964,경기도 의정부시청,2022-09-30
"가능동 672-60",1,,경기도 의정부시 가능동 672-60,37.74945939,127.0336802,,,031-828-2964,경기도 의정부시청,2022-09-30
"가능동 672-44",1,,경기도 의정부시 가능동 672-44,37.74960125,127.033811,,,031-828-2964,경기도 의정부시청,2022-09-30
"가능동 672-24",1,,경기도 의정부시 가능동 672-23,37.74990313,127.0336452,,,031-828-2964,경기도 의정부시청,2022-09-30
"가능동 672-23",1,,경기도 의정부시 가능동 672-23,37.74992283,127.0336452,,,031-828-2964,경기도 의정부시청,2022-09-30
"가능동 672-54",1,,경기도 의정부시 가능동 672-54,37.74930127,127.0339921,,,031-828-2964,경기도 의정부시청,2022-09-30
"가능동 672-64",1,,경기도 의정부시 가능동 672-50,37.74945025,127.0341033,,,031-828-2964,경기도 의정부시청,2022-09-30
"가능동 675-4",1,,경기도 의정부시 가능동 675-25,37.74889593,127.033887,,,031-828-2964,경기도 의정부시청,2022-09-30
"가능동 675-7",1,,경기도 의정부시 가능동 675-6,37.74875027,127.0337963,,,031-828-2964,경기도 의정부시청,2022-09-30
"가능동 674-9",1,,경기도 의정부시 가능동 674-13,37.74869262,127.0334756,,,031-828-2964,경기도 의정부시청,2022-09-30
"가능동 675-22",1,,경기도 의정부시 가능동 675-22,37.74841565,127.0335008,,,031-828-2964,경기도 의정부시청,2022-09-30
"가능동 680-10",1,,경기도 의정부시 가능동 680-10,37.7479757,127.0335097,,,031-828-2964,경기도 의정부시청,2022-09-30
"가능동 676-2",1,,경기도 의정부시 가능동 676-2,37.74828072,127.0342328,,,031-828-2964,경기도 의정부시청,2022-09-30
"가능동 676",1,,경기도 의정부시 가능동 783,37.74837814,127.0338578,,,031-828-2964,경기도 의정부시청,2022-09-30
"가능동 674-9",1,,경기도 의정부시 가능동 782,37.74848872,127.0331635,,,031-828-2964,경기도 의정부시청,2022-09-30
"가능동 673-43",1,,경기도 의정부시 가능동 673-43,37.74872983,127.0328062,,,031-828-2964,경기도 의정부시청,2022-09-30
"가능동 673-40",1,,경기도 의정부시 가능동 682-3,37.74887407,127.0324201,,,031-828-2964,경기도 의정부시청,2022-09-30
"가능동 302-2",1,,경기도 의정부시 가능동 302-13,37.74887878,127.0316542,,,031-828-2964,경기도 의정부시청,2022-09-30
"가능동 682-48",1,,경기도 의정부시 가능동 682-51,37.748676,127.0319636,,,031-828-2964,경기도 의정부시청,2022-09-30
"가능동 682-50",1,,경기도 의정부시 가능동 682-50,37.74859268,127.0319182,,,031-828-2964,경기도 의정부시청,2022-09-30
"가능동 311-61",1,,경기도 의정부시 가능동 311-59,37.74852923,127.0313537,,,031-828-2964,경기도 의정부시청,2022-09-30
"가능동 683-2",1,,경기도 의정부시 가능동 683-2,37.74817318,127.0315879,,,031-828-2964,경기도 의정부시청,2022-09-30
"가능동 683-41",1,,경기도 의정부시 가능동 683-41,37.74791265,127.0314947,,,031-828-2964,경기도 의정부시청,2022-09-30
"가능동 681-7",1,,경기도 의정부시 가능동 681-19,37.74817586,127.0323379,,,031-828-2964,경기도 의정부시청,2022-09-30
