"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"갈산동신87",1,,경기도 이천시 갈산동 116-3,37.28306474,127.4656578,2021,,031-644-8745,경기도 이천시청,2022-12-06
"갈산동신88",1,,경기도 이천시 갈산동 125-3,37.28157584,127.4656575,2021,,031-644-8745,경기도 이천시청,2022-12-06
"갈산동신72",1,,경기도 이천시 갈산동 156-3,37.28540478,127.4677349,2021,,031-644-8745,경기도 이천시청,2022-12-06
"갈산동신74",1,,경기도 이천시 갈산동 156-6,37.28617182,127.4676277,2021,,031-644-8745,경기도 이천시청,2022-12-06
"갈산동신71",1,,경기도 이천시 갈산동 160,37.28626833,127.4671307,2021,,031-644-8745,경기도 이천시청,2022-12-06
"갈산동신75",1,경기도 이천시 갈산로136번길 19,경기도 이천시 갈산동 167-1번지,37.2858524,127.4664291,2021,,031-644-8745,경기도 이천시청,2022-12-06
"갈산동신76",1,경기도 이천시 갈산로136번길 35,경기도 이천시 갈산동 167-3번지,37.28558601,127.4657107,2021,,031-644-8745,경기도 이천시청,2022-12-06
"갈산동신77",1,,경기도 이천시 갈산동 173-3,37.28521192,127.4648482,2021,,031-644-8745,경기도 이천시청,2022-12-06
"갈산동신52",1,경기도 이천시 갈산로136번길 85,경기도 이천시 갈산동 190번지,37.28520388,127.4632099,2021,,031-644-8745,경기도 이천시청,2022-12-06
"갈산동신54",1,,경기도 이천시 갈산동 194,37.28531171,127.4638569,2021,,031-644-8745,경기도 이천시청,2022-12-06
"갈산동신80",1,경기도 이천시 향교로238번길 67-12,경기도 이천시 갈산동 197-2번지,37.28576041,127.464152,2021,,031-644-8745,경기도 이천시청,2022-12-06
"갈산동신56",1,경기도 이천시 향교로238번길 59,경기도 이천시 갈산동 202번지,37.2862583,127.4638003,2021,,031-644-8745,경기도 이천시청,2022-12-06
"갈산동신57",1,,경기도 이천시 갈산동 205-3,37.28665768,127.4633171,2021,,031-644-8745,경기도 이천시청,2022-12-06
