"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"야당식자제마트 앞",1,경기도 파주시 송학1길 63,,37.7125495,126.7624439,,전용주,031-940-5933,경기도 파주시청 도시경관과,2022-04-29
"야당식자제마트 옆",1,경기도 파주시 송학1길 63,,37.7125495,126.7624439,,한전주,031-940-5933,경기도 파주시청 도시경관과,2022-04-29
"야당식자제마트 옆",1,경기도 파주시 송학1길 63,,37.7125495,126.7624439,,한전주,031-940-5933,경기도 파주시청 도시경관과,2022-04-29
"야당식자제마트 옆",1,경기도 파주시 송학1길 63,,37.7125495,126.7624439,,한전주,031-940-5933,경기도 파주시청 도시경관과,2022-04-29
"야당식자제마트 앞",1,경기도 파주시 송학1길 63,,37.7125495,126.7624439,,전용주,031-940-5933,경기도 파주시청 도시경관과,2022-04-29
"아동복창고매장앞",1,경기도 파주시 송학1길 67,,37.71237012,126.7616904,,한전주,031-940-5933,경기도 파주시청 도시경관과,2022-04-29
"캠핑인 앞",1,경기도 파주시 송학1길 45-3,,37.71209448,126.7616295,,한전주,031-940-5933,경기도 파주시청 도시경관과,2022-04-29
"랍다횟집 앞",1,경기도 파주시 송학1길 45-1,,37.7119932,126.7621588,,한전주,031-940-5933,경기도 파주시청 도시경관과,2022-04-29
"현대드림모터스 앞",1,경기도 파주시 송학1길 43,,37.711717,126.7620765,,한전주,031-940-5933,경기도 파주시청 도시경관과,2022-04-29
"아주보관물류 앞",1,경기도 파주시 송학1길 35,,37.71160379,126.7617043,,한전주,031-940-5933,경기도 파주시청 도시경관과,2022-04-29
"커맨커피 왼편",1,경기도 파주시 송학1길 11,,37.71049941,126.7624831,,한전주,031-940-5933,경기도 파주시청 도시경관과,2022-04-29
"커맨커피 앞",1,경기도 파주시 송학1길 11,,37.710481,126.7624831,,한전주,031-940-5933,경기도 파주시청 도시경관과,2022-04-29
"희망공인중개사 앞",1,경기도 파주시 송학1길 11,,37.710448,126.762449,,한전주,031-940-5933,경기도 파주시청 도시경관과,2022-04-29
"스페이스 103동 빌라 앞",1,경기도 파주시 송학1길 11-15,,37.710417,126.7617614,,한전주,031-940-5933,경기도 파주시청 도시경관과,2022-04-29
"선조백설렁탕 앞",1,경기도 파주시 송학1길 51,,37.71239822,126.7623973,,한전주,031-940-5933,경기도 파주시청 도시경관과,2022-04-29
"구해줘부동산 앞",1,경기도 파주시 송학1길 60,,37.71240603,126.762967,,한전주,031-940-5933,경기도 파주시청 도시경관과,2022-04-29
"로체빌라 앞",1,경기도 파주시 송학1길 62-22,,37.71178647,126.7641093,,한전주,031-940-5933,경기도 파주시청 도시경관과,2022-04-29
"순복음원당교회 앞",1,경기도 파주시 송학1길 62-32,,37.712437,126.7643081,,한전주,031-940-5933,경기도 파주시청 도시경관과,2022-04-29
"이레하이츠 앞",1,경기도 파주시 송학1길 62-35,,37.712753,126.7640622,,한전주,031-940-5933,경기도 파주시청 도시경관과,2022-04-29
"수아비스1차 앞",1,경기도 파주시 송학1길 62-51,,37.71327454,126.7647509,,한전주,031-940-5933,경기도 파주시청 도시경관과,2022-04-29
"동화애견용품할인마트 앞",1,경기도 파주시 운정1길 72,,37.72340238,126.7667607,,한전주,031-940-2400,경기도 파주시청 도시경관과,2022-04-29
CU 파주야당점 앞,1,경기도 파주시 운정1길 72,,37.72340238,126.7667607,,한전주,031-940-2400,경기도 파주시청 도시경관과,2022-04-29
"대박이네연탄갈비돼지부속 앞",1,경기도 파주시 운정1길 72,,37.72340238,126.7667607,,한전주,031-940-2400,경기도 파주시청 도시경관과,2022-04-29
"감자탕도맛있는고깃집 앞",1,경기도 파주시 운정1길 72,,37.72340238,126.7667607,,한전주,031-940-2400,경기도 파주시청 도시경관과,2022-04-29
"행운공인중개사무소 앞",1,경기도 파주시 운정1길 72,,37.72340238,126.7667607,,한전주,031-940-2400,경기도 파주시청 도시경관과,2022-04-29
"스파티움 앞",1,경기도 파주시 운정1길 72,,37.72340238,126.7667607,,한전주,031-940-2400,경기도 파주시청 도시경관과,2022-04-29
"황룡과 선교 앞",1,경기도 파주시 운정1길 105,,37.72193431,126.766109,,한전주,031-940-2400,경기도 파주시청 도시경관과,2022-04-29
"인테리어드림 앞",1,경기도 파주시 운정1길 60,,37.72360701,126.767361,,한전주,031-940-2400,경기도 파주시청 도시경관과,2022-04-29
"구이롭다 앞",1,경기도 파주시 운정1길 60,,37.72360701,126.767361,,한전주,031-940-2400,경기도 파주시청 도시경관과,2022-04-29
"오성부동산 전용주차장 앞",1,경기도 파주시 운정1길 60,,37.72360701,126.767361,,한전주,031-940-2400,경기도 파주시청 도시경관과,2022-04-29
"운정막창 앞",1,경기도 파주시 운정1길 60,,37.72360701,126.767361,,한전주,031-940-2400,경기도 파주시청 도시경관과,2022-04-29
"덴버 앞",1,경기도 파주시 운정1길 60,,37.72360701,126.767361,,한전주,031-940-2400,경기도 파주시청 도시경관과,2022-04-29
"운정역 공인중개사 앞",1,경기도 파주시 운정1길 60,,37.72360701,126.767361,,한전주,031-940-2400,경기도 파주시청 도시경관과,2022-04-29
THE YS 디자인 앞,1,경기도 파주시 가재울로 71번길 61,,37.73227729,126.7465096,,한전주,031-940-2400,경기도 파주시청 도시경관과,2022-04-29
"힐링홈스 앞",1,경기도 파주시 가재울로 71번길 61,,37.73227729,126.7465096,,한전주,031-940-2400,경기도 파주시청 도시경관과,2022-04-29
"힐링홈스 앞",1,경기도 파주시 가재울로 71번길 61,,37.73227729,126.7465096,,한전주,031-940-2400,경기도 파주시청 도시경관과,2022-04-29
THE YS 디자인 앞,1,경기도 파주시 가재울로 71번길 42,,37.73248802,126.745991,,한전주,031-940-2400,경기도 파주시청 도시경관과,2022-04-29
"럭키 앞",1,경기도 파주시 가재울로 71번길 36,,37.73242896,126.745721,,한전주,031-940-2400,경기도 파주시청 도시경관과,2022-04-29
"럭키 앞",1,경기도 파주시 가재울로 71번길 36,,37.732467,126.7457342,,한전주,031-940-2400,경기도 파주시청 도시경관과,2022-04-29
"베이커리 앞",1,경기도 파주시 가온로 104,,37.72056371,126.7440977,,한전주,031-940-2400,경기도 파주시청 도시경관과,2022-04-29
"크린토피아 앞",1,경기도 파주시 가온로 104,,37.72056371,126.7440977,,한전주,031-940-2400,경기도 파주시청 도시경관과,2022-04-29
"스크린골프 앞",1,경기도 파주시 가온로 106,,37.72050872,126.7443753,,한전주,031-940-2400,경기도 파주시청 도시경관과,2022-04-29
"횟집 앞",1,경기도 파주시 가온로 110,,37.72047345,126.7446893,,한전주,031-940-2400,경기도 파주시청 도시경관과,2022-04-29
"진로마트 뒤",1,경기도 파주시 가온로 112,,37.72048669,126.7449757,,한전주,031-940-2400,경기도 파주시청 도시경관과,2022-04-29
"카페 뒤",1,경기도 파주시 가온로 116,,37.72054862,126.7454075,,한전주,031-940-2400,경기도 파주시청 도시경관과,2022-04-29
