"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"비전1동19-019",1,,경기도 평택시 월곡동 417,37.025653,127.131217,,,031-8024-4775,경기도 평택시청,2022-06-13
"비전1동0339",1,,경기도 평택시 비전동 476-1,36.999284,127.093421,,,031-8024-4775,경기도 평택시청,2022-06-13
"비전1동0338",1,,경기도 평택시 비전동 477-10,36.999013,127.093456,,,031-8024-4775,경기도 평택시청,2022-06-13
"비전1동0329",1,,경기도 평택시 비전동 802,36.999021,127.098491,,,031-8024-4775,경기도 평택시청,2022-06-13
"비전1동0006",1,,경기도 평택시 죽백동 56-1,37.015871,127.136684,,,031-8024-4775,경기도 평택시청,2022-06-13
"비전1동20-007",1,,경기도 평택시 청룡동 43-1,37.033185,127.131238,,,031-8024-4775,경기도 평택시청,2022-06-13
"비전1동10-002",1,,경기도 평택시 죽백동 산209-13,37.009785,127.130806,,,031-8024-4775,경기도 평택시청,2022-06-13
"비전1동24",1,,경기도 평택시 죽백동 86-1,37.016020,127.134307,,,031-8024-4775,경기도 평택시청,2022-06-13
"비전1동10-001",1,,경기도 평택시 죽백동 660,37.015274,127.133818,,,031-8024-4775,경기도 평택시청,2022-06-13
"비전1동19-001",1,,경기도 평택시 비전동 1121-22,37.001299,127.111153,,,031-8024-4775,경기도 평택시청,2022-06-13
"비전1동20-006",1,,경기도 평택시 죽백동 678,37.014240,127.115359,,,031-8024-4775,경기도 평택시청,2022-06-13
"비전1동20-004",1,,경기도 평택시 월곡동 산 2-1,37.030226,127.143161,,,031-8024-4775,경기도 평택시청,2022-06-13
"비전1동20-003",1,,경기도 평택시 청룡동 산 2-2,37.030877,127.143980,,,031-8024-4775,경기도 평택시청,2022-06-13
"비전1동20-005",1,,경기도 평택시 청룡동 364-2,37.017839,127.123859,,,031-8024-4775,경기도 평택시청,2022-06-13
"비전1동19007",1,,경기도 평택시 청룡동 397-12,37.019723,127.121134,,,031-8024-4775,경기도 평택시청,2022-06-13
"비전1동0113",1,,경기도 평택시 죽백동 626-5,37.003488,127.128832,,,031-8024-4775,경기도 평택시청,2022-06-13
"비전1동0102",1,,경기도 평택시 죽백동 산178-1,37.006193,127.132356,,,031-8024-4775,경기도 평택시청,2022-06-13
"비전1동0047",1,,경기도 평택시 용이동 374-2,37.007471,127.139316,,,031-8024-4775,경기도 평택시청,2022-06-13
"비전1동0041",1,,경기도 평택시 죽백동 산9,37.011451,127.142214,,,031-8024-4775,경기도 평택시청,2022-06-13
"비전1동0036",1,,경기도 평택시 죽백동 26-1,37.012386,127.138726,,,031-8024-4775,경기도 평택시청,2022-06-13
"비전1동0032",1,,경기도 평택시 죽백동 32-1,37.012817,127.137951,,,031-8024-4775,경기도 평택시청,2022-06-13
"비전1동0035",1,,경기도 평택시 죽백동 산 3-1,37.012828,127.139347,,,031-8024-4775,경기도 평택시청,2022-06-13
"비전1동0056",1,,경기도 평택시 죽백동 134-7,37.011342,127.135301,,,031-8024-4775,경기도 평택시청,2022-06-13
"비전1동0063",1,,경기도 평택시 죽백동 660-7,37.011915,127.135165,,,031-8024-4775,경기도 평택시청,2022-06-13
"비전1동0064",1,,경기도 평택시 죽백동 112-3,37.013395,127.134329,,,031-8024-4775,경기도 평택시청,2022-06-13
"비전1동0066",1,,경기도 평택시 죽백동 660-4,37.013595,127.134071,,,031-8024-4775,경기도 평택시청,2022-06-13
"비전1동0077",1,,경기도 평택시 죽백동 100-1,37.013657,127.131357,,,031-8024-4775,경기도 평택시청,2022-06-13
"비전1동0088",1,,경기도 평택시 죽백동 168-11,37.010960,127.131018,,,031-8024-4775,경기도 평택시청,2022-06-13
"비전1동0137",1,,경기도 평택시 죽백동 264-5,37.009380,127.131221,,,031-8024-4775,경기도 평택시청,2022-06-13
"비전1동0093",1,,경기도 평택시 죽백동 산53-2,37.009814,127.130719,,,031-8024-4775,경기도 평택시청,2022-06-13
"비전1동0095",1,,경기도 평택시 죽백동 634-4,37.007925,127.128749,,,031-8024-4775,경기도 평택시청,2022-06-13
"비전1동0096",1,,경기도 평택시 죽백동 673,37.010066,127.124009,,,031-8024-4775,경기도 평택시청,2022-06-13
"비전1동0176",1,,경기도 평택시 죽백동 338-21,37.010703,127.122000,,,031-8024-4775,경기도 평택시청,2022-06-13
"비전1동0174",1,,경기도 평택시 죽백동 678-52,37.010870,127.120365,,,031-8024-4775,경기도 평택시청,2022-06-13
"비전1동0164",1,,경기도 평택시 죽백동 392-1,37.013324,127.116569,,,031-8024-4775,경기도 평택시청,2022-06-13
"비전1동0160",1,,경기도 평택시 죽백동 367-6,37.012033,127.117360,,,031-8024-4775,경기도 평택시청,2022-06-13
