"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"경기도 포천시",1,,경기도 포천시 군내면 좌의리 439,,,,,031-538-3327,경기도 포천시청,2022-05-23
"경기도 포천시",1,,경기도 포천시 설운동 72-5,,,,,031-538-3327,경기도 포천시청,2022-05-23
"경기도 포천시",1,,경기도 포천시 일동면 수입리 587-1,,,,,031-538-3327,경기도 포천시청,2022-05-23
"경기도 포천시",1,,경기도 포천시 신읍동 174-14,,,,전용주,031-538-3327,경기도 포천시청,2022-05-23
"경기도 포천시",1,,경기도 포천시 신읍동 125-3,,,,,031-538-3327,경기도 포천시청,2022-05-23
"경기도 포천시",1,,경기도 포천시 영북면 운천리 505-21,,,,,031-538-3327,경기도 포천시청,2022-05-23
"경기도 포천시",1,,경기도 포천시 신북면 가채리 713-4,,,,한전주,031-538-3327,경기도 포천시청,2022-05-23
"경기도 포천시",1,,경기도 포천시 일동면 수입리 583-1,,,,,031-538-3327,경기도 포천시청,2022-05-23
"경기도 포천시",1,,경기도 포천시 일동면 수입리 315-1,,,,,031-538-3327,경기도 포천시청,2022-05-23
"경기도 포천시",1,,경기도 포천시 일동면 기산리 90-193,,,,,031-538-3327,경기도 포천시청,2022-05-23
"경기도 포천시",1,,경기도 포천시 일동면 사직리 106-7,,,,,031-538-3327,경기도 포천시청,2022-05-23
"경기도 포천시",1,,경기도 포천시 일동면 기산리 85-86,,,,,031-538-3327,경기도 포천시청,2022-05-23
"경기도 포천시",1,,경기도 포천시 일동면 화대리 204,,,,,031-538-3327,경기도 포천시청,2022-05-23
"경기도 포천시",1,,경기도 포천시 일동면 사직리 777-2,,,,,031-538-3327,경기도 포천시청,2022-05-23
"경기도 포천시",1,,경기도 포천시 일동면 유동리 441-15,,,,한전주,031-538-3327,경기도 포천시청,2022-05-23
"경기도 포천시",1,,경기도 포천시 화현면 지현리 산45-19,,,,전용주,031-538-3327,경기도 포천시청,2022-05-23
"경기도 포천시",1,,경기도 포천시 이동면 광덕리 1138-10,,,,,031-538-3327,경기도 포천시청,2022-05-23
"경기도 포천시",1,,경기도 포천시 일동면 길명리 797-4,,,,,031-538-3327,경기도 포천시청,2022-05-23
"경기도 포천시",1,,경기도 포천시 일동면 길명리 48,,,,,031-538-3327,경기도 포천시청,2022-05-23
"경기도 포천시",1,,경기도 포천시 영북면 산정리 산11-1,,,,,031-538-3327,경기도 포천시청,2022-05-23
