"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"감북동 459-4",1,,경기도 하남시 감북동 459-4,,,,한전주,031-790-6155,경기도 하남시청 도로관리과,2023-01-01
"감북동 459-1",1,,경기도 하남시 감북동 459-1,,,,한전주,031-790-6155,경기도 하남시청 도로관리과,2023-01-01
"감북동 459-1",1,,경기도 하남시 감북동 459-1,,,,전용주,031-790-6155,경기도 하남시청 도로관리과,2023-01-01
"감북동 449-3",1,,경기도 하남시 감북동 449-3,,,,한전주,031-790-6155,경기도 하남시청 도로관리과,2023-01-01
"감북동 450-5",1,,경기도 하남시 감북동 450-5,,,,한전주,031-790-6155,경기도 하남시청 도로관리과,2023-01-01
"감북동 451-2",1,,경기도 하남시 감북동 451-2,,,,한전주,031-790-6155,경기도 하남시청 도로관리과,2023-01-01
"감북동 451-4",1,,경기도 하남시 감북동 451-4,,,,한전주,031-790-6155,경기도 하남시청 도로관리과,2023-01-01
"감북동 451-18",1,,경기도 하남시 감북동 451-18,,,,한전주,031-790-6155,경기도 하남시청 도로관리과,2023-01-01
"감북동 산 123-10",1,,경기도 하남시 감북동 산 123-10,,,,한전주,031-790-6155,경기도 하남시청 도로관리과,2023-01-01
"감북동 413-101",1,,경기도 하남시 감북동 413-101,,,,한전주,031-790-6155,경기도 하남시청 도로관리과,2023-01-01
"감북동 413-76",1,,경기도 하남시 감북동 413-76,,,,한전주,031-790-6155,경기도 하남시청 도로관리과,2023-01-01
"감북동 413-13",1,,경기도 하남시 감북동 413-13,,,,한전주,031-790-6155,경기도 하남시청 도로관리과,2023-01-01
"감북동 413-63",1,,경기도 하남시 감북동 413-63,,,,한전주,031-790-6155,경기도 하남시청 도로관리과,2023-01-01
"감북동 409-8",1,,경기도 하남시 감북동 409-8,,,,한전주,031-790-6155,경기도 하남시청 도로관리과,2023-01-01
"감북동 413-44",1,,경기도 하남시 감북동 413-44,,,,한전주,031-790-6155,경기도 하남시청 도로관리과,2023-01-01
"감북동 413-47",1,,경기도 하남시 감북동 413-47,,,,한전주,031-790-6155,경기도 하남시청 도로관리과,2023-01-01
"감북동 산 122-1",1,,경기도 하남시 감북동 산 122-1,,,,한전주,031-790-6155,경기도 하남시청 도로관리과,2023-01-01
"감북동 487",1,,경기도 하남시 감북동 487,,,,한전주,031-790-6155,경기도 하남시청 도로관리과,2023-01-01
"감북동 409-12",1,,경기도 하남시 감북동 409-12,,,,한전주,031-790-6155,경기도 하남시청 도로관리과,2023-01-01
"감북동 406-15",1,,경기도 하남시 감북동 406-15,,,,한전주,031-790-6155,경기도 하남시청 도로관리과,2023-01-01
"감북동 411-8",1,,경기도 하남시 감북동 411-8,,,,한전주,031-790-6155,경기도 하남시청 도로관리과,2023-01-01
"감북동 411-3",1,,경기도 하남시 감북동 411-3,,,,한전주,031-790-6155,경기도 하남시청 도로관리과,2023-01-01
"감북동 412-15",1,,경기도 하남시 감북동 412-15,,,,한전주,031-790-6155,경기도 하남시청 도로관리과,2023-01-01
"감북동 417-18",1,,경기도 하남시 감북동 417-18,,,,한전주,031-790-6155,경기도 하남시청 도로관리과,2023-01-01
"감북동 412-12",1,,경기도 하남시 감북동 412-12,,,,한전주,031-790-6155,경기도 하남시청 도로관리과,2023-01-01
"감북동 489",1,,경기도 하남시 감북동 489,,,,한전주,031-790-6155,경기도 하남시청 도로관리과,2023-01-01
"감북동 415-2",1,,경기도 하남시 감북동 415-2,,,,한전주,031-790-6155,경기도 하남시청 도로관리과,2023-01-01
"감북동 486",1,,경기도 하남시 감북동 486,,,,한전주,031-790-6155,경기도 하남시청 도로관리과,2023-01-01
"감북동 400-2",1,,경기도 하남시 감북동 400-2,,,,한전주,031-790-6155,경기도 하남시청 도로관리과,2023-01-01
"감북동 233-43",1,,경기도 하남시 감북동 233-43,,,,한전주,031-790-6155,경기도 하남시청 도로관리과,2023-01-01
"감북동 233-17",1,,경기도 하남시 감북동 233-17,,,,한전주,031-790-6155,경기도 하남시청 도로관리과,2023-01-01
"감북동 233-21",1,,경기도 하남시 감북동 233-21,,,,한전주,031-790-6155,경기도 하남시청 도로관리과,2023-01-01
"감북동 233-16",1,,경기도 하남시 감북동 233-16,,,,한전주,031-790-6155,경기도 하남시청 도로관리과,2023-01-01
"감북동 산 121-4",1,,경기도 하남시 감북동 산 121-4,,,,한전주,031-790-6155,경기도 하남시청 도로관리과,2023-01-01
"감북동 232-13",1,,경기도 하남시 감북동 232-13,,,,한전주,031-790-6155,경기도 하남시청 도로관리과,2023-01-01
"감북동 226-3",1,,경기도 하남시 감북동 226-3,,,,한전주,031-790-6155,경기도 하남시청 도로관리과,2023-01-01
"감북동 229-1",1,,경기도 하남시 감북동 229-1,,,,한전주,031-790-6155,경기도 하남시청 도로관리과,2023-01-01
"감북동 229-6",1,,경기도 하남시 감북동 229-6,,,,한전주,031-790-6155,경기도 하남시청 도로관리과,2023-01-01
"감북동 206-6",1,,경기도 하남시 감북동 206-6,,,,한전주,031-790-6155,경기도 하남시청 도로관리과,2023-01-01
"감북동 483",1,,경기도 하남시 감북동 483,,,,한전주,031-790-6155,경기도 하남시청 도로관리과,2023-01-01
"감북동 261-3",1,,경기도 하남시 감북동 261-3,,,,한전주,031-790-6155,경기도 하남시청 도로관리과,2023-01-01
