"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치년도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"양감면",209,경기도 화성시 양감면 솔미마을길 196-33,경기도 화성시 양감면 대양리 3 일원,37.0981159535,126.9520374410,,한전주,031-369-2826,양감면,2019-05-03
"양감면",211,경기도 화성시 양감면 초록로693번길 3-13,경기도 화성시 양감면 사창리 1-5 일원,37.1144235935,126.9748214816,,한전주,031-369-2826,양감면,2019-05-03
"양감면",163,경기도 화성시 양감면 발안로 850-7,경기도 화성시 양감면 송산리 1-1 일원,37.1226444189,126.9983135061,,한전주,031-369-2826,양감면,2019-05-03
"양감면",195,경기도 화성시 양감면 초록로166번길 122,경기도 화성시 양감면 신왕리 1-1 일원,37.0681506910,126.9621211607,,한전주,031-369-2826,양감면,2019-05-03
"양감면",167,경기도 화성시 양감면 은행나무로170번길 1,경기도 화성시 양감면 요당리 1-3 일원,37.0753403464,126.9397389090,,한전주,031-369-2826,양감면,2019-05-03
"양감면",153,경기도 화성시 양감면 용소금각로36번길 154-67,경기도 화성시 양감면 용소리 산4-2 일원,37.0716796375,126.9860146612,,한전주,031-369-2826,양감면,2019-05-03
"양감면",83,경기도 화성시 양감면 길목길 43-5,경기도 화성시 양감면 정문리 산 7 일원,37.0883663910,126.9809271586,,한전주,031-369-2826,양감면,2019-05-03
"우정읍",168,경기도 화성시 우정읍 기아자동차로299번길 68,경기도 화성시 우정읍 매향리 2-1 일원,37.0578743052,126.7751694371,,한전주,031-369-2807,우정읍,2019-05-03
"우정읍",120,경기도 화성시 우정읍 버들로 748,경기도 화성시 우정읍 멱우리 산6-9 일원,37.1099510329,126.8027799083,,한전주,031-369-2807,우정읍,2019-05-03
"우정읍",138,경기도 화성시 우정읍 포승향남로 1208,경기도 화성시 우정읍 석천리 1-2 일원,37.0545348953,126.7968096720,,한전주,031-369-2807,우정읍,2019-05-03
"우정읍",151,경기도 화성시 우정읍 버들로430번길 2-11,경기도 화성시 우정읍 운평리 2-11 일원,37.0909247019,126.7845636584,,한전주,031-369-2807,우정읍,2019-05-03
"우정읍",127,경기도 화성시 우정읍 버들로 589,경기도 화성시 우정읍 원안리 22-11 일원,37.1007527538,126.7931973160,,한전주,031-369-2807,우정읍,2019-05-03
"우정읍",185,경기도 화성시 우정읍 화곡로 111-57,경기도 화성시 우정읍 이화리 산1-1 일원,37.0489312674,126.8026366843,,한전주,031-369-2807,우정읍,2019-05-03
"우정읍",243,경기도 화성시 우정읍 수정고개길 86-39,경기도 화성시 우정읍 조암리 6 일원,37.0952026564,126.8266651932,,한전주,031-369-2807,우정읍,2019-05-03
"우정읍",206,경기도 화성시 우정읍 석포공단길 24-106,경기도 화성시 우정읍 주곡리 산1-9 일원,37.1376923358,126.8069723783,,한전주,031-369-2807,우정읍,2019-05-03
"우정읍",70,경기도 화성시 우정읍 한뿌리1길 39-28,경기도 화성시 우정읍 한각리산14-6 일원,37.0974237728,126.8012267936,,한전주,031-369-2807,우정읍,2019-05-03
"우정읍",144,경기도 화성시 우정읍 문화마을1길 24-13,경기도 화성시 우정읍 호곡리 1-1 일원,37.1251659420,126.7902267763,,한전주,031-369-2807,우정읍,2019-05-03
"우정읍",231,경기도 화성시 우정읍 기아자동차로 711-35,경기도 화성시 우정읍 화산리 3-4 일원,37.0717867555,126.8108865810,,한전주,031-369-2807,우정읍,2019-05-03
"우정읍",132,경기도 화성시 우정읍 굴원길 90-3,경기도 화성시 우정읍 화수리 산4 일원,37.1129745455,126.7803037634,,한전주,031-369-2807,우정읍,2019-05-03
"장안면",157,경기도 화성시 장안면 3.1만세로281번길 121,경기도 화성시 장안면 금의리 505-38 일원,37.1029178620,126.8281435062,,한전주,031-369-1990,장안면,2019-05-03
"장안면",161,경기도 화성시 장안면 화곡로 280-19,경기도 화성시 장안면 노진리 3 일원,37.0554780483,126.8226648276,,한전주,031-369-1990,장안면,2019-05-03
"장안면",82,경기도 화성시 장안면 포승장안로 1310-11,경기도 화성시 장안면 덕다리 1-1 일원,37.0679281477,126.8395805693,,한전주,031-369-1990,장안면,2019-05-03
"장안면",275,경기도 화성시 장안면 고해길 133-14,경기도 화성시 장안면 독정리 2-4 일원,37.0643477359,126.8734995364,,한전주,031-369-1990,장안면,2019-05-03
"장안면",20,경기도 화성시 장안면 기아자동차로 814,경기도 화성시 장안면 사곡리 1 일원,37.0776162817,126.8163373176,,한전주,031-369-1990,장안면,2019-05-03
"장안면",86,경기도 화성시 장안면 갱골길 49,경기도 화성시 장안면 사랑리 2-1 일원,37.0782296985,126.8348914539,,한전주,031-369-1990,장안면,2019-05-03
"장안면",352,경기도 화성시 장안면 산운내길 47-146,경기도 화성시 장안면 석포리 2 일원,37.1180058127,126.8509160829,,한전주,031-369-1990,장안면,2019-05-03
"장안면",307,경기도 화성시 장안면 황골길46번길 36-15,경기도 화성시 장안면 수촌리 2-33 일원,37.0928972399,126.8689968015,,한전주,031-369-1990,장안면,2019-05-03
"장안면",174,경기도 화성시 장안면 3.1만세로322번길 33,경기도 화성시 장안면 어은리 1-11 일원,37.0988386833,126.8427426832,,한전주,031-369-1990,장안면,2019-05-03
"장안면",265,경기도 화성시 장안면 삼수문길 150-16,경기도 화성시 장안면 장안리 산1-1 일원,37.0630934018,126.8638883770,,한전주,031-369-1990,장안면,2019-05-03
"팔탄면",151,경기도 화성시 팔탄면 신양1길 21,경기도 화성시 팔탄면 가재리 1-3 일원,37.1599447518,126.9320469752,,한전주,031-369-2788,팔탄면,2019-05-03
"팔탄면",81,경기도 화성시 팔탄면 고주골길 119-4,경기도 화성시 팔탄면 고주리 산35 일원,37.1328939033,126.8849969837,,한전주,031-369-2788,팔탄면,2019-05-03
"팔탄면",287,경기도 화성시 팔탄면 구장길 1-3,경기도 화성시 팔탄면 구장리 527-1 일원,37.1606636591,126.9041601088,,한전주,031-369-2788,팔탄면,2019-05-03
"팔탄면",192,경기도 화성시 팔탄면 건달산로 15-1,경기도 화성시 팔탄면 기천리 889-4 일원,37.1741899014,126.9060679827,,한전주,031-369-2788,팔탄면,2019-05-03
"팔탄면",167,경기도 화성시 팔탄면 노하길 281-8,경기도 화성시 팔탄면 노하리 219-3 일원,37.1583595819,126.8621380838,,한전주,031-369-2788,팔탄면,2019-05-03
"팔탄면",127,경기도 화성시 팔탄면 온천로137번길 91-112,경기도 화성시 팔탄면 덕우리 11-2 일원,37.1367535608,126.8556054859,,한전주,031-369-2788,팔탄면,2019-05-03
"팔탄면",82,경기도 화성시 팔탄면 구운말길 41,경기도 화성시 팔탄면 덕천리 398 일원,37.1384433938,126.8672396251,,한전주,031-369-2788,팔탄면,2019-05-03
"팔탄면",50,경기도 화성시 팔탄면 3.1만세로 769,경기도 화성시 팔탄면 매곡리 179-8 일원,37.1131664549,126.8815735104,,한전주,031-369-2788,팔탄면,2019-05-03
"팔탄면",97,경기도 화성시 팔탄면 대평안길 6,경기도 화성시 팔탄면 서근리 50-1 일원,37.1313585625,126.8434394359,,한전주,031-369-2788,팔탄면,2019-05-03
"팔탄면",68,경기도 화성시 팔탄면 버들로 1537,경기도 화성시 팔탄면 월문리 192 일원,37.1179775703,126.8726094616,,한전주,031-369-2788,팔탄면,2019-05-03
"팔탄면",290,경기도 화성시 팔탄면 새터말길 24,경기도 화성시 팔탄면 지월리 459 일원,37.1522211971,126.8942425888,,한전주,031-369-2788,팔탄면,2019-05-03
"팔탄면",188,,경기도 화성시 팔탄면 창곡리 896 일원,37.1781351196,126.8941266671,,한전주,031-369-2788,팔탄면,2019-05-03
"팔탄면",171,경기도 화성시 팔탄면 무하로 138,경기도 화성시 팔탄면 하저리 930-19 일원,37.1839716735,126.8583517548,,한전주,031-369-2788,팔탄면,2019-05-03
"팔탄면",93,,경기도 화성시 팔탄면 해창리 산1-6 일원,37.1084171665,126.8808498153,,한전주,031-369-2788,팔탄면,2019-05-03
"팔탄면",26,경기도 화성시 팔탄면 버들로 1388,경기도 화성시 팔탄면 화당리 39-2 일원,37.1254491584,126.8586656548,,한전주,031-369-2788,팔탄면,2019-05-03
"향남읍",46,경기도 화성시 향남읍 발안로 701-23,경기도 화성시 향남읍 갈천리 156-1 일원,37.1273098631,126.9806458366,,한전주,031-369-6474,향남읍,2019-05-03
"향남읍",64,경기도 화성시 향남읍 발안로 430-4,경기도 화성시 향남읍 관리 1 일원,37.1305005677,126.9539288906,,한전주,031-369-6474,향남읍,2019-05-03
"향남읍",243,경기도 화성시 향남읍 구문천1길 1-13,경기도 화성시 향남읍 구문천리 607-24 일원,37.0671496381,126.8908221111,,한전주,031-369-6474,향남읍,2019-05-03
"향남읍",44,경기도 화성시 향남읍 길성길 39,경기도 화성시 향남읍 길성리 277-1 일원,37.1208074479,126.9595387043,,한전주,031-369-6474,향남읍,2019-05-03
"향남읍",90,경기도 화성시 향남읍 도이1길 52,경기도 화성시 향남읍 도이리 197-45 일원,37.1344709038,126.9165737360,,한전주,031-369-6474,향남읍,2019-05-03
"향남읍",90,경기도 화성시 향남읍 동오1길 10,경기도 화성시 향남읍 동오리 499-1 일원,37.1314992006,126.9503495603,,한전주,031-369-6474,향남읍,2019-05-03
"향남읍",89,,경기도 화성시 향남읍 발안리 295 일원,37.1309982924,126.9007437865,,한전주,031-369-6474,향남읍,2019-05-03
"향남읍",28,경기도 화성시 향남읍 방죽로 53-13,경기도 화성시 향남읍 방축리 산45-1 일원,37.1156166399,126.9233234669,,한전주,031-369-6474,향남읍,2019-05-03
"향남읍",176,경기도 화성시 향남읍 백토관리길 5,경기도 화성시 향남읍 백토리 341-3 일원,37.1181161034,126.9449917236,,한전주,031-369-6474,향남읍,2019-05-03
"향남읍",61,경기도 화성시 향남읍 서봉로442번길 27-2,경기도 화성시 향남읍 상두리 1-1 일원,37.1143411927,126.9460184563,,한전주,031-369-6474,향남읍,2019-05-03
"향남읍",139,경기도 화성시 향남읍 서해로 430-11,경기도 화성시 향남읍 상신리 611-8 일원,37.0997603894,126.9025743337,,한전주,031-369-6474,향남읍,2019-05-03
"향남읍",65,경기도 화성시 향남읍 갈천웃말길 3-7,경기도 화성시 향남읍 송곡리 393-1 일원,37.1251464753,126.9764266722,,한전주,031-369-6474,향남읍,2019-05-03
"향남읍",71,경기도 화성시 향남읍 수직1길 5,경기도 화성시 향남읍 수직리 167-1 일원,37.1238063218,126.9915618790,,한전주,031-369-6474,향남읍,2019-05-03
"향남읍",47,경기도 화성시 향남읍 토성로 327,경기도 화성시 향남읍 요리 6 일원,37.1182841339,126.9585387348,,한전주,031-369-6474,향남읍,2019-05-03
"향남읍",114,경기도 화성시 향남읍 3.1만세로 1146,경기도 화성시 향남읍 장짐리 273-6 일원,37.1351153317,126.9108220742,,한전주,031-369-6474,향남읍,2019-05-03
"향남읍",56,경기도 화성시 향남읍 3.1만세로 887-34,경기도 화성시 향남읍 제암리 454-15 일원,37.1207258988,126.8903268609,,한전주,031-369-6474,향남읍,2019-05-03
"향남읍",57,경기도 화성시 향남읍 증거길 3-1,경기도 화성시 향남읍 증거리 131 일원,37.1385899016,126.9753978054,,한전주,031-369-6474,향남읍,2019-05-03
"향남읍",103,경기도 화성시 향남읍 3.1만세로 1126,경기도 화성시 향남읍 평리 30-4 일원,37.1335828385,126.9099123537,,한전주,031-369-6474,향남읍,2019-05-03
"향남읍",168,경기도 화성시 향남읍 상신하길로273번길 45,경기도 화성시 향남읍 하길리 1-9 일원,37.1160078377,126.9043193799,,한전주,031-369-6474,향남읍,2019-05-03
"향남읍",55,경기도 화성시 향남읍 발안로 89,경기도 화성시 향남읍 행정리 287-1 일원,37.1321128653,126.9203802060,,한전주,031-369-6474,향남읍,2019-05-03
"향남읍",83,경기도 화성시 향남읍 수리재길 11-1,경기도 화성시 향남읍 화리현리 197-9 일원,37.1135340055,126.9359606004,,한전주,031-369-6474,향남읍,2019-05-03
"봉담읍",155,경기도 화성시 봉담읍 상봉길 35-29,경기도 화성시 봉담읍 상리 11 일원,37.2180720640,126.9518443706,,한전주,031-369-3404,봉담읍,2019-05-03
"봉담읍",109,경기도 화성시 봉담읍 청궁안뜰길 95-51,경기도 화성시 봉담읍 내리 48-1 일원,37.2399303327,126.9326258427,,한전주,031-369-3404,봉담읍,2019-05-03
"봉담읍",89,경기도 화성시 봉담읍 효행로 154,경기도 화성시 봉담읍 수영리 1-3 일원,37.2331612259,126.9679035441,,한전주,031-369-3404,봉담읍,2019-05-03
"봉담읍",130,경기도 화성시 봉담읍 효행로 188,경기도 화성시 봉담읍 동화리 2-3 일원,37.2302422187,126.9690880737,,한전주,031-369-3404,봉담읍,2019-05-03
"봉담읍",121,경기도 화성시 봉담읍 와우안길 17,경기도 화성시 봉담읍 와우리 1-2 일원,37.2064114123,126.9752831054,,한전주,031-369-3404,봉담읍,2019-05-03
"봉담읍",170,경기도 화성시 봉담읍 오궁길 37,경기도 화성시 봉담읍 수기리 1-1 일원,37.2054932020,126.9792035591,,한전주,031-369-3404,봉담읍,2019-05-03
"봉담읍",168,경기도 화성시 봉담읍 최루백로 111-8,경기도 화성시 봉담읍 분천리 2 일원,37.2129648294,126.9558133799,,한전주,031-369-3404,봉담읍,2019-05-03
"봉담읍",205,경기도 화성시 봉담읍 삼천병마로 1093,경기도 화성시 봉담읍 왕림리 4-3 일원,37.2038849608,126.9417609606,,한전주,031-369-3404,봉담읍,2019-05-03
"봉담읍",66,경기도 화성시 봉담읍 노루고개길 7,경기도 화성시 봉담읍 세곡리 6-1 일원,37.1856107385,126.9396021722,,한전주,031-369-3404,봉담읍,2019-05-03
"봉담읍",172,경기도 화성시 봉담읍 노루고개길 96,경기도 화성시 봉담읍 당하리 2 일원,37.1899123542,126.9468515647,,한전주,031-369-3404,봉담읍,2019-05-03
"봉담읍",104,경기도 화성시 봉담읍 태봉길 115-9,경기도 화성시 봉담읍 마하리 1 일원,37.1866071698,126.9504240303,,한전주,031-369-3404,봉담읍,2019-05-03
"봉담읍",102,경기도 화성시 봉담읍 흰돌산길 97,경기도 화성시 봉담읍 유리 1 일원,37.1818823476,126.9274882299,,한전주,031-369-3404,봉담읍,2019-05-03
"봉담읍",104,경기도 화성시 봉담읍 서봉산길 8-32,경기도 화성시 봉담읍 덕리 2-1 일원,37.1734382418,126.9407045405,,한전주,031-369-3404,봉담읍,2019-05-03
"봉담읍",134,경기도 화성시 봉담읍 골말1길 25-16,경기도 화성시 봉담읍 덕우리 산21 일원,37.1665835136,126.9288770199,,한전주,031-369-3404,봉담읍,2019-05-03
"봉담읍",55,경기도 화성시 봉담읍 신양하가등길 32-12,경기도 화성시 봉담읍 하가등리 77-2 일원,37.1523060498,126.9357688502,,한전주,031-369-3404,봉담읍,2019-05-03
"봉담읍",189,경기도 화성시 봉담읍 호련2길 147-100,경기도 화성시 봉담읍 상기리 15-1 일원,37.2132156001,126.9081248548,,한전주,031-369-3404,봉담읍,2019-05-03
"송산면",103,경기도 화성시 송산면 공룡로 70-23,경기도 화성시 송산면 삼존리 1-2 일원,37.2234587924,126.7319805892,,한전주,031-369-2839,송산면,2019-05-03
"송산면",79,경기도 화성시 송산면 육교동길 81-11,경기도 화성시 송산면 육일리 1-1 일원,37.2117651724,126.7173996417,,한전주,031-369-2839,송산면,2019-05-03
