"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"거제면0001",1,,경상남도 거제시 거제면 동상리 96-1,34.84699307,128.6008217,1998,전용주,055-639-3120,경상남도 거제시청 도로과,2022-07-19
"거제면0002",1,,경상남도 거제시 거제면 동상리 95-4,34.8476043469,128.5992842226,1998,전용주,055-639-3120,경상남도 거제시청 도로과,2022-07-19
"거제면0003",1,,경상남도 거제시 거제면 동상리 203-5,34.84915972,128.6002256510,1998,전용주,055-639-3120,경상남도 거제시청 도로과,2022-07-19
"거제면0004",1,,경상남도 거제시 거제면 동상리 95-14,34.8478041971,128.5977103,1998,전용주,055-639-3120,경상남도 거제시청 도로과,2022-07-19
"거제면0005",1,,경상남도 거제시 거제면 동상리 717-9,34.84901714,128.5943629,1997,전용주,055-639-3120,경상남도 거제시청 도로과,2022-07-19
"거제면0006",1,,경상남도 거제시 거제면 동상리 717-3,34.84947714,128.5944383270,1997,한전주,055-639-3120,경상남도 거제시청 도로과,2022-07-19
"거제면0007",1,,경상남도 거제시 거제면 동상리 715-10,34.85071561,128.5954468,2004,한전주,055-639-3120,경상남도 거제시청 도로과,2022-07-19
"거제면0008",1,,경상남도 거제시 거제면 동상리 715-4,34.85143456,128.5959004,1997,전용주,055-639-3120,경상남도 거제시청 도로과,2022-07-19
"거제면0009",1,,경상남도 거제시 거제면 동상리 717-3,34.84947714,128.5944383270,1997,전용주,055-639-3120,경상남도 거제시청 도로과,2022-07-19
"거제면0010",1,,경상남도 거제시 거제면 동상리 725,34.849516,128.5918952,1998,한전주,055-639-3120,경상남도 거제시청 도로과,2022-07-19
"거제면0011",1,,경상남도 거제시 거제면 동상리 722-2,34.8505234950,128.5920865225,1997,한전주,055-639-3120,경상남도 거제시청 도로과,2022-07-19
"거제면0012",1,,경상남도 거제시 거제면 동상리 722-2,34.8505234950,128.5920865225,1997,전용주,055-639-3120,경상남도 거제시청 도로과,2022-07-19
"거제면0013",1,,경상남도 거제시 거제면 동상리 722-2,34.8505234950,128.5920865225,1995,전용주,055-639-3120,경상남도 거제시청 도로과,2022-07-19
"거제면0014",1,,경상남도 거제시 거제면 동상리 722-2,34.8505234950,128.5920865225,1997,전용주,055-639-3120,경상남도 거제시청 도로과,2022-07-19
"거제면0015",1,,경상남도 거제시 거제면 동상리 714-1,34.8516781906,128.5945647688,1998,전용주,055-639-3120,경상남도 거제시청 도로과,2022-07-19
"거제면0016",1,,경상남도 거제시 거제면 동상리 722-2,34.8505234950,128.5920865225,1997,전용주,055-639-3120,경상남도 거제시청 도로과,2022-07-19
"거제면0017",1,,경상남도 거제시 거제면 동상리 724,34.85075897,128.5920996765,1995,전용주,055-639-3120,경상남도 거제시청 도로과,2022-07-19
"거제면0018",1,,경상남도 거제시 거제면 동상리 723,34.8509295,128.5922662,1997,전용주,055-639-3120,경상남도 거제시청 도로과,2022-07-19
"거제면0019",1,,경상남도 거제시 거제면 명진리 565-4,34.84583377,128.6073413,1997,전용주,055-639-3120,경상남도 거제시청 도로과,2022-07-19
"거제면0020",1,,경상남도 거제시 거제면 서상리 186-5,34.85116131,128.5909447,1997,전용주,055-639-3120,경상남도 거제시청 도로과,2022-07-19
"거제면0021",1,,경상남도 거제시 거제면 법동리 1056-5,34.82174859,128.5194714,1997,전용주,055-639-3120,경상남도 거제시청 도로과,2022-07-19
"거제면0022",1,,경상남도 거제시 거제면 귀목정길 48,34.8634795,128.5845254,1997,전용주,055-639-3120,경상남도 거제시청 도로과,2022-07-19
"거제면0023",1,,경상남도 거제시 거제면 동상리 714-9,34.84981694,128.5911865,1997,전용주,055-639-3120,경상남도 거제시청 도로과,2022-07-19
"거제면0024",1,,경상남도 거제시 거제면 동상리 722-2,34.8505234950,128.5920865225,1997,전용주,055-639-3120,경상남도 거제시청 도로과,2022-07-19
"거제면0025",1,,경상남도 거제시 거제면 동상리 714-9,34.84981694,128.5911865,1995,전용주,055-639-3120,경상남도 거제시청 도로과,2022-07-19
"거제면0026",1,,경상남도 거제시 거제면 법동리 1073-6,34.81146617,128.5190046079,2018,한전주,055-639-3120,경상남도 거제시청 도로과,2022-07-19
"거제면0033",1,,경상남도 거제시 거제면 남동리 154-6,34.84929613,128.5907673,1995,전용주,055-639-3120,경상남도 거제시청 도로과,2022-07-19
"거제면0034",1,,경상남도 거제시 거제면 남동리 154-7,34.84891597,128.5911677134,1995,전용주,055-639-3120,경상남도 거제시청 도로과,2022-07-19
"거제면0035",1,,경상남도 거제시 거제면 동상리 466-1,34.84899636,128.5912353,1997,전용주,055-639-3120,경상남도 거제시청 도로과,2022-07-19
"거제면0036",1,,경상남도 거제시 거제면 동상리 673-1,34.8485162,128.591724,1997,전용주,055-639-3120,경상남도 거제시청 도로과,2022-07-19
"거제면0037",1,,경상남도 거제시 거제면 동상리 672-2,34.84776948,128.5932604,2004,한전주,055-639-3120,경상남도 거제시청 도로과,2022-07-19
"거제면0039",1,,경상남도 거제시 거제면 서정리 884-2,34.85804074,128.5850852821,2008,한전주,055-639-3120,경상남도 거제시청 도로과,2022-07-19
"거제면0040",1,,경상남도 거제시 거제면 옥산리 1224-1,34.8754986525,128.5661896132,2008,한전주,055-639-3120,경상남도 거제시청 도로과,2022-07-19
"거제면0041",1,,경상남도 거제시 거제면 법동리 1105-1,34.80670716,128.5390172513,2009,한전주,055-639-3120,경상남도 거제시청 도로과,2022-07-19
"거제면0042",1,,경상남도 거제시 거제면 소랑리 200-15,34.83161491,128.5392455243,2005,전용주,055-639-3120,경상남도 거제시청 도로과,2022-07-19
"거제면0043",1,,경상남도 거제시 거제면 소랑리 245-2,34.8349499,128.5393037002,2008,전용주,055-639-3120,경상남도 거제시청 도로과,2022-07-19
"거제면0044",1,,경상남도 거제시 거제면 내간리 923,34.84695365,128.5599999078,2006,전용주,055-639-3120,경상남도 거제시청 도로과,2022-07-19
"거제면0045",1,,경상남도 거제시 거제면 내간리 981-3,34.8411974,128.5630569,2006,전용주,055-639-3120,경상남도 거제시청 도로과,2022-07-19
"거제면0046",1,,경상남도 거제시 거제면 외간리 595-3,34.85687966,128.5734112,2009,전용주,055-639-3120,경상남도 거제시청 도로과,2022-07-19
"거제면0047",1,,경상남도 거제시 거제면 외간리 382,34.86272115,128.5714744829,2009,전용주,055-639-3120,경상남도 거제시청 도로과,2022-07-19
"거제면0048",1,,경상남도 거제시 거제면 옥산리 1266,34.87286961,128.5681299,2009,전용주,055-639-3120,경상남도 거제시청 도로과,2022-07-19
"거제면0049",1,,경상남도 거제시 거제면 서상리 183-1,34.85149421,128.5910783,1998,전용주,055-639-3120,경상남도 거제시청 도로과,2022-07-19
"거제면0050",1,,경상남도 거제시 거제면 서상리 196-1,34.8515843,128.5910898,1995,전용주,055-639-3120,경상남도 거제시청 도로과,2022-07-19
"거제면0051",1,,경상남도 거제시 거제면 서상리 202,34.85203316,128.5914758,2004,전용주,055-639-3120,경상남도 거제시청 도로과,2022-07-19
"거제면0052",1,,경상남도 거제시 거제면 서상리 286-1,34.85191122,128.5906001,1995,전용주,055-639-3120,경상남도 거제시청 도로과,2022-07-19
"거제면0053",1,,경상남도 거제시 거제면 서상리 202,34.85203316,128.5914758,1997,전용주,055-639-3120,경상남도 거제시청 도로과,2022-07-19
"거제면0054",1,,경상남도 거제시 거제면 서상리 286-1,34.85191122,128.5906001,1995,전용주,055-639-3120,경상남도 거제시청 도로과,2022-07-19
"거제면0055",1,,경상남도 거제시 거제면 서상리 286-1,34.85191122,128.5906001,1997,전용주,055-639-3120,경상남도 거제시청 도로과,2022-07-19
"거제면0056",1,,경상남도 거제시 거제면 서상리 295,34.8514862671,128.5900942,1998,전용주,055-639-3120,경상남도 거제시청 도로과,2022-07-19
"거제면0057",1,,경상남도 거제시 거제면 서상리 305,34.85139205,128.5898418,1997,전용주,055-639-3120,경상남도 거제시청 도로과,2022-07-19
"거제면0058",1,,경상남도 거제시 거제면 서상리 374-1,34.84995176,128.589416,1995,전용주,055-639-3120,경상남도 거제시청 도로과,2022-07-19
"거제면0059",1,,경상남도 거제시 거제면 서정리 659,34.8504869,128.5887418,1997,전용주,055-639-3120,경상남도 거제시청 도로과,2022-07-19
"거제면0060",1,,경상남도 거제시 거제면 남동리 101,34.85006168,128.5890559,1995,전용주,055-639-3120,경상남도 거제시청 도로과,2022-07-19
"거제면0061",1,,경상남도 거제시 거제면 소랑리 331-1,34.8381020317,128.5387519,1997,전용주,055-639-3120,경상남도 거제시청 도로과,2022-07-19
"거제면0062",1,,경상남도 거제면 옥산리 산26-18,35.237804,128.691944,2017,한전주,055-639-3120,경상남도 거제시청 도로과,2022-07-19
"거제면0063",1,,경상남도 거제면 옥산1길 10-3,35.237804,128.691944,2017,한전주,055-639-3120,경상남도 거제시청 도로과,2022-07-19
"거제면0064",1,,경상남도 거제면 옥산리 산29-9,35.237804,128.691944,2017,한전주,055-639-3120,경상남도 거제시청 도로과,2022-07-19
"거제면0065",1,,경상남도 거제면 옥산리 1295,35.237804,128.691944,2017,한전주,055-639-3120,경상남도 거제시청 도로과,2022-07-19
"거제면0066",1,,경상남도 거제면 내간리 602-2,35.237804,128.691944,2017,한전주,055-639-3120,경상남도 거제시청 도로과,2022-07-19
"거제면0067",1,,경상남도 거제시 거제면 옥산리 1369,34.8622074,128.5810635289,2017,한전주,055-639-3120,경상남도 거제시청 도로과,2022-07-19
"거제면0068",1,,경상남도 거제시 거제면 옥산리 1374-3,34.86188791,128.5798314787,2017,한전주,055-639-3120,경상남도 거제시청 도로과,2022-07-19
"거제면0069",1,,경상남도 거제시 거제면 소랑리 471,34.83902734,128.5396053046,2017,한전주,055-639-3120,경상남도 거제시청 도로과,2022-07-19
"거제면0070",1,,경상남도 거제시 거제면 법동리 472-2,34.81250424,128.5293590874,2017,한전주,055-639-3120,경상남도 거제시청 도로과,2022-07-19
"거제면0071",1,,경상남도 거제시 거제면 내간리 산985-2,34.85013375,128.5624728,2017,한전주,055-639-3120,경상남도 거제시청 도로과,2022-07-19
"거제면0072",1,,경상남도 거제시 거제면 서상리 산23,34.8547940310,128.5978139367,2017,한전주,055-639-3120,경상남도 거제시청 도로과,2022-07-19
"거제면0073",1,,경상남도 거제시 거제면 서상리 202,34.85203316,128.5914758,1998,전용주,055-639-3120,경상남도 거제시청 도로과,2022-07-19
"거제면0074",1,,경상남도 거제시 거제면 남동리 154-9,34.84884551,128.5907422,1995,전용주,055-639-3120,경상남도 거제시청 도로과,2022-07-19
"거제면0075",1,,경상남도 거제시 거제면 남동리 26-3,34.84852142,128.5906524,1997,전용주,055-639-3120,경상남도 거제시청 도로과,2022-07-19
"거제면0076",1,,경상남도 거제시 거제면 남동리 154-9,34.84884551,128.5907422,1998,전용주,055-639-3120,경상남도 거제시청 도로과,2022-07-19
"거제면0077",1,,경상남도 거제시 거제면 옥산리 1288,34.87156598,128.5654521,2009,전용주,055-639-3120,경상남도 거제시청 도로과,2022-07-19
"거제면0078",1,,경상남도 거제시 거제면 옥산리 산48-12,34.87406466,128.5651082,2009,한전주,055-639-3120,경상남도 거제시청 도로과,2022-07-19
"거제면0079",1,,경상남도 거제시 거제면 서상리 산22-1,34.85413716,128.6019955446,2017,한전주,055-639-3120,경상남도 거제시청 도로과,2022-07-19
"거제면0080",1,,경상남도 거제시 거제면 남동리 95-2,34.84966287,128.5895014,1995,전용주,055-639-3120,경상남도 거제시청 도로과,2022-07-19
"거제면0081",1,,경상남도 거제시 거제면 서정리 746-6,34.84973086,128.5884959,1997,전용주,055-639-3120,경상남도 거제시청 도로과,2022-07-19
"거제면0082",1,,경상남도 거제시 거제면 남동리 101-2,34.85008915,128.5888731528,2003,한전주,055-639-3120,경상남도 거제시청 도로과,2022-07-19
"거제면0083",1,,경상남도 거제시 거제면 서정리 767-11,34.84670943,128.5887733578,2004,전용주,055-639-3120,경상남도 거제시청 도로과,2022-07-19
"거제면0084",1,,경상남도 거제시 거제면 남동리 29-20,34.8471108,128.5915389,1997,전용주,055-639-3120,경상남도 거제시청 도로과,2022-07-19
"거제면0085",1,,경상남도 거제시 거제면 서정리 767-6,34.84786338,128.5886475963,2004,전용주,055-639-3120,경상남도 거제시청 도로과,2022-07-19
"거제면0086",1,,경상남도 거제시 거제면 남동리 29-378,34.84566184,128.5891885,1999,전용주,055-639-3120,경상남도 거제시청 도로과,2022-07-19
"거제면0087",1,,경상남도 거제시 거제면 남동리 29-378,34.84566184,128.5891885,1999,전용주,055-639-3120,경상남도 거제시청 도로과,2022-07-19
"거제면0088",1,,경상남도 거제시 거제면 남동리 29-25,34.8426422729,128.5879349819,1999,전용주,055-639-3120,경상남도 거제시청 도로과,2022-07-19
"거제면0089",1,,경상남도 거제시 거제면 서정리 991,34.8480451,128.5885245696,1998,전용주,055-639-3120,경상남도 거제시청 도로과,2022-07-19
"거제면0090",1,,경상남도 거제시 거제면 명진리 688-3,34.84297293,128.6061721,2007,전용주,055-639-3120,경상남도 거제시청 도로과,2022-07-19
