"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
515,1,경상남도 거창군 남하면 대야길 111,경상남도 거창군 남하면 대야리 1448-1,35.6349257,127.9644823,2015,전용주,055-940-8888,경상남도 거창군청 안전총괄과,2022-04-28
516,1,경상남도 거창군 남하면 영서로 481-3,경상남도 거창군 남하면 대야리 1447-2,35.6350611,127.9648797,2015,전용주,055-940-8888,경상남도 거창군청 안전총괄과,2022-04-28
607,1,경상남도 거창군 거창읍 하동5길 11,경상남도 거창군 거창읍 중앙리 314-33,35.6879546,127.9127964,2004,한전주,055-940-8888,경상남도 거창군청 안전총괄과,2022-04-28
718,1,경상남도 거창군 남상면 인평길 36,경상남도 거창군 남상면 무촌리 632-1,35.6428035,127.9106362,1990,전용주,055-940-8888,경상남도 거창군청 안전총괄과,2022-04-28
758,1,경상남도 거창군 거창읍 죽전길 51,경상남도 거창군 거창읍 상림리 14-4,35.68721272,127.9035834,,한전주,055-940-8888,경상남도 거창군청 안전총괄과,2022-04-28
771,1,경상남도 거창군 거창읍 거열로 81,경상남도 거창군 거창읍 상림리 865-6,35.689733,127.9043863,2007,한전주,055-940-8888,경상남도 거창군청 안전총괄과,2022-04-28
772,1,경상남도 거창군 거창읍 거열로 81,경상남도 거창군 거창읍 상림리 362,35.6900844,127.904187,2012,한전주,055-940-8888,경상남도 거창군청 안전총괄과,2022-04-28
799,1,,경상남도 거창군 거창읍 정장리 산 112-15,35.665311,127.9096727,2000,한전주,055-940-8888,경상남도 거창군청 안전총괄과,2022-04-28
800,1,,경상남도 거창군 거창읍 정장리 1194-8,35.6653823,127.9099708,2007,한전주,055-940-8888,경상남도 거창군청 안전총괄과,2022-04-28
801,1,,경상남도 거창군 거창읍 정장리 983-2,35.6653467,127.9105452,2005,한전주,055-940-8888,경상남도 거창군청 안전총괄과,2022-04-28
802,1,경상남도 거창군 거창읍 중산길 195-5,경상남도 거창군 거창읍 정장리 982,35.6652751,127.9112522,2000,한전주,055-940-8888,경상남도 거창군청 안전총괄과,2022-04-28
803,1,,경상남도 거창군 거창읍 정장리 981-22,35.6651943,127.9116941,2007,한전주,055-940-8888,경상남도 거창군청 안전총괄과,2022-04-28
804,1,,경상남도 거창군 거창읍 정장리 1052-5,35.6650325,127.9122576,2000,전용주,055-940-8888,경상남도 거창군청 안전총괄과,2022-04-28
805,1,,경상남도 거창군 거창읍 정장리 산 109-20,35.6649517,127.9127769,2012,한전주,055-940-8888,경상남도 거창군청 안전총괄과,2022-04-28
5001,1,,경상남도 거창군 웅양면 군암리 153-3,35.8363507,127.9089953,2008,전용주,055-940-8888,경상남도 거창군청 안전총괄과,2022-04-28
5002,1,,경상남도 거창군 웅양면 군암리 145-6,35.8343332,127.911001,2010,한전주,055-940-8888,경상남도 거창군청 안전총괄과,2022-04-28
5003,1,경상남도 거창군 웅양면 웅양로 1841-13,경상남도 거창군 웅양면 군암리 150,35.8338014,127.9110458,2007,한전주,055-940-8888,경상남도 거창군청 안전총괄과,2022-04-28
5005,1,경상남도 거창군 웅양면 용전길 113-3,경상남도 거창군 웅양면 군암리 745-1,35.8320342,127.9102619,1992,전용주,055-940-8888,경상남도 거창군청 안전총괄과,2022-04-28
5006,1,,경상남도 거창군 웅양면 군암리 695-1,35.8338813,127.9092969,2009,전용주,055-940-8888,경상남도 거창군청 안전총괄과,2022-04-28
5007,1,경상남도 거창군 웅양면 용전길 134,경상남도 거창군 웅양면 군암리 755-2,35.8314388,127.9095542,2007,전용주,055-940-8888,경상남도 거창군청 안전총괄과,2022-04-28
5008,1,경상남도 거창군 웅양면 용전길 139,경상남도 거창군 웅양면 군암리 760-1,35.8312853,127.9091338,1992,한전주,055-940-8888,경상남도 거창군청 안전총괄과,2022-04-28
5009,1,,경상남도 거창군 웅양면 군암리 124-1,35.831674,127.9106608,2004,한전주,055-940-8888,경상남도 거창군청 안전총괄과,2022-04-28
5010,1,,경상남도 거창군 웅양면 군암리 산 210-1,35.83450854,127.914551,2012,전용주,055-940-8888,경상남도 거창군청 안전총괄과,2022-04-28
5011,1,,경상남도 거창군 웅양면 군암리 30,35.8348143,127.9158487,2004,한전주,055-940-8888,경상남도 거창군청 안전총괄과,2022-04-28
5013,1,,경상남도 거창군 웅양면 군암리 산 220-2,35.8353483,127.9189806,2011,한전주,055-940-8888,경상남도 거창군청 안전총괄과,2022-04-28
5014,1,경상남도 거창군 웅양면 구수길 213,경상남도 거창군 웅양면 군암리 25-3,35.8364203,127.9181383,2007,한전주,055-940-8888,경상남도 거창군청 안전총괄과,2022-04-28
5015,1,,경상남도 거창군 웅양면 산포리 892,35.8524032,127.937021,2006,한전주,055-940-8888,경상남도 거창군청 안전총괄과,2022-04-28
5016,1,,경상남도 거창군 웅양면 산포리 876,35.8524389,127.9362792,2010,한전주,055-940-8888,경상남도 거창군청 안전총괄과,2022-04-28
5017,1,경상남도 거창군 웅양면 우두령로 439-29,경상남도 거창군 웅양면 산포리 845,35.8526367,127.9353048,1991,전용주,055-940-8888,경상남도 거창군청 안전총괄과,2022-04-28
5018,1,경상남도 거창군 웅양면 우두령로 439-34,경상남도 거창군 웅양면 산포리 846,35.8528619,127.9350721,2009,한전주,055-940-8888,경상남도 거창군청 안전총괄과,2022-04-28
5019,1,,경상남도 거창군 웅양면 산포리 890-2,35.8517365,127.9374976,2012,한전주,055-940-8888,경상남도 거창군청 안전총괄과,2022-04-28
5020,1,경상남도 거창군 웅양면 어인안길 56-8,경상남도 거창군 웅양면 산포리 729-1,35.8522241,127.9393572,2003,한전주,055-940-8888,경상남도 거창군청 안전총괄과,2022-04-28
