"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"경상남도 고성군 개천면 나선리 864-4",1,,경상남도 고성군 개천면 나선리 864-4,,,,,055-670-2504,경상남도 고성군청,2021-12-29
"경상남도 고성군 고성읍 신월리 546",1,,경상남도 고성군 고성읍 신월리 546-1,,,,,055-670-2504,경상남도 고성군청,2021-12-29
"경상남도 고성군 고성읍 신월리 573-7",1,,경상남도 고성군 고성읍 신월리 573-7,,,,,055-670-2504,경상남도 고성군청,2021-12-29
"경상남도 고성군 고성읍 신월리 574-1",1,,경상남도 고성군 고성읍 신월리 574-1,,,,,055-670-2504,경상남도 고성군청,2021-12-29
"경상남도 고성군 고성읍 신월리 574-4",1,,경상남도 고성군 고성읍 신월리 574-4,,,,,055-670-2504,경상남도 고성군청,2021-12-29
"경상남도 고성군 고성읍 신월리 575-1",1,,경상남도 고성군 고성읍 신월리 575-1,,,,,055-670-2504,경상남도 고성군청,2021-12-29
"경상남도 고성군 고성읍 신월리 582-1",1,,경상남도 고성군 고성읍 신월리 582-1,34.9522465013,128.3321462418,,,055-670-2504,경상남도 고성군청,2021-12-29
"경상남도 고성군 고성읍 신월리 59-1",1,,경상남도 고성군 고성읍 신월리 59-1,34.9493903040,128.3397626171,,,055-670-2504,경상남도 고성군청,2021-12-29
"경상남도 고성군 고성읍 신월리 59-15",1,,경상남도 고성군 고성읍 신월리 59-15,,,,,055-670-2504,경상남도 고성군청,2021-12-29
"경상남도 고성군 고성읍 신월리 59-20",1,,경상남도 고성군 고성읍 신월리 59-20,,,,,055-670-2504,경상남도 고성군청,2021-12-29
"경상남도 고성군 고성읍 신월리 59-23",1,,경상남도 고성군 고성읍 신월리 59-23,,,,,055-670-2504,경상남도 고성군청,2021-12-29
"경상남도 고성군 고성읍 신월리 600",1,,경상남도 고성군 고성읍 신월리 600,,,,,055-670-2504,경상남도 고성군청,2021-12-29
"경상남도 고성군 고성읍 신월리 605-1",1,,경상남도 고성군 고성읍 신월리 605-1,,,,,055-670-2504,경상남도 고성군청,2021-12-29
"경상남도 고성군 고성읍 신월리 614-1",1,,경상남도 고성군 고성읍 신월리 614-1,34.9581604668,128.3320186154,,,055-670-2504,경상남도 고성군청,2021-12-29
"경상남도 고성군 고성읍 신월리 619-10",1,,경상남도 고성군 고성읍 신월리 619-10,,,,,055-670-2504,경상남도 고성군청,2021-12-29
"경상남도 고성군 고성읍 신월리 619-17",1,,경상남도 고성군 고성읍 신월리 619-17,,,,,055-670-2504,경상남도 고성군청,2021-12-29
"경상남도 고성군 고성읍 신월리 619-9",1,,경상남도 고성군 고성읍 신월리 619-9,34.9573675953,128.3313357902,,,055-670-2504,경상남도 고성군청,2021-12-29
"경상남도 고성군 고성읍 신월리 624",1,,경상남도 고성군 고성읍 신월리 625-1,,,,,055-670-2504,경상남도 고성군청,2021-12-29
"경상남도 고성군 고성읍 신월리 639",1,,경상남도 고성군 고성읍 신월리 639,34.9576971002,128.3312053687,,,055-670-2504,경상남도 고성군청,2021-12-29
"경상남도 고성군 고성읍 신월리 64-1",1,,경상남도 고성군 고성읍 신월리 64-1,34.9499859044,128.3398917364,,,055-670-2504,경상남도 고성군청,2021-12-29
"경상남도 고성군 고성읍 신월리 646",1,,경상남도 고성군 고성읍 신월리 646-1,,,,,055-670-2504,경상남도 고성군청,2021-12-29
"경상남도 고성군 고성읍 신월리 653-1",1,,경상남도 고성군 고성읍 신월리 653-1,,,,,055-670-2504,경상남도 고성군청,2021-12-29
"경상남도 고성군 고성읍 신월리 656-1",1,,경상남도 고성군 고성읍 신월리 656-1,,,,,055-670-2504,경상남도 고성군청,2021-12-29
"경상남도 고성군 고성읍 신월리 750-19",1,,경상남도 고성군 고성읍 신월리 750-19,,,,,055-670-2504,경상남도 고성군청,2021-12-29
