"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"남변리001",1,,경상남도 남해군 남해읍 북변리 629,34.8383304041,127.8930699944,2011,한전주,055-860-3435,경상남도 남해군청,2022-03-29
"남변리002",1,,경상남도 남해군 남해읍 남변리 381,34.83751288,127.8939423925,2011,한전주,055-860-3435,경상남도 남해군청,2022-03-29
"남변리003",1,경상남도 남해군 남해읍 화전로 65-6 대원상회,경상남도 남해군 남해읍 서변리 5-1,34.83718834,127.8936796,2011,한전주,055-860-3435,경상남도 남해군청,2022-03-29
"남변리004",1,,경상남도 남해군 남해읍 남변리 389-1,34.83729756,127.8942706,2011,전용주,055-860-3435,경상남도 남해군청,2022-03-29
"남변리005",1,,경상남도 남해군 남해읍 북변리 97-1,34.8379008090,127.8950864,2016,한전주,055-860-3435,경상남도 남해군청,2022-03-29
"남변리006",1,,경상남도 남해군 남해읍 남변리 643,34.8364489503,127.9001460217,2011,전용주,055-860-3435,경상남도 남해군청,2022-03-29
"남변리007",1,,경상남도 남해군 남해읍 북변리 97-1,34.8379008090,127.8950683,2011,전용주,055-860-3435,경상남도 남해군청,2022-03-29
"남변리008",1,,경상남도 남해군 남해읍 북변리 89-12,34.8377201828,,2016,한전주,055-860-3435,경상남도 남해군청,2022-03-29
"남변리009",1,,경상남도 남해군 남해읍 북변리 619,34.8385800251,127.8959848,2011,한전주,055-860-3435,경상남도 남해군청,2022-03-29
"남변리010",1,경상남도 남해군 남해읍 화전로38번길 21-1 화랑갈비집,경상남도 남해군 남해읍 남변리 349-1,34.8369332260,127.895247,2011,전용주,055-860-3435,경상남도 남해군청,2022-03-29
"남변리011",1,,경상남도 남해군 남해읍 남변리 355-3,34.8368561,127.8952216,2015,전용주,055-860-3435,경상남도 남해군청,2022-03-29
"남변리012",1,,경상남도 남해군 남해읍 남변리 349-1,34.8369332260,127.8952668816,2011,전용주,055-860-3435,경상남도 남해군청,2022-03-29
"남변리014",1,경상남도 남해군 남해읍 화전로38번나길 3,경상남도 남해군 남해읍 남변리 454,34.8355984251,127.8960542319,2011,전용주,055-860-3435,경상남도 남해군청,2022-03-29
"남변리015",1,,경상남도 남해군 남해읍 서변리 498,34.8353165547,127.8946639566,2011,전용주,055-860-3435,경상남도 남해군청,2022-03-29
"남변리016",1,,경상남도 남해군 남해읍 북변리 89-12,34.8377201828,127.895855,2015,전용주,055-860-3435,경상남도 남해군청,2022-03-29
"남변리017",1,,경상남도 남해군 남해읍 남변리 229,34.8355415070,127.9026517432,2011,한전주,055-860-3435,경상남도 남해군청,2022-03-29
"남변리018",1,,경상남도 남해군 남해읍 남변리 338-15,34.8369889149,127.8960501,2011,한전주,055-860-3435,경상남도 남해군청,2022-03-29
"남변리019",1,,경상남도 남해군 남해읍 남변리 327-5,34.83562244,127.8968632,2011,전용주,055-860-3435,경상남도 남해군청,2022-03-29
"남변리020",1,,경상남도 남해군 남해읍 남변리 643-20,34.8355239420,127.8974059933,2011,한전주,055-860-3435,경상남도 남해군청,2022-03-29
"남변리021",1,경상남도 남해군 남해읍 화전로38번가길 15-1,경상남도 남해군 남해읍 북변리 257-1,34.83564993,127.8973989,2011,전용주,055-860-3435,경상남도 남해군청,2022-03-29
"남변리022",1,,경상남도 남해군 남해읍 남변리 654,34.8344734947,127.8967129919,2011,한전주,055-860-3435,경상남도 남해군청,2022-03-29
"남변리023",1,,경상남도 남해군 남해읍 남변리 264-1,34.8357769,127.8984328481,2011,한전주,055-860-3435,경상남도 남해군청,2022-03-29
"남변리024",1,,경상남도 남해군 남해읍 남변리 283-1,34.83619647,127.8987436,2011,한전주,055-860-3435,경상남도 남해군청,2022-03-29
"남변리025",1,,경상남도 남해군 남해읍 남변리 459-1,34.83537845,127.8961638,2011,한전주,055-860-3435,경상남도 남해군청,2022-03-29
"남변리026",1,,경상남도 남해군 남해읍 남변리 654,34.8344734947,127.8967129919,2011,한전주,055-860-3435,경상남도 남해군청,2022-03-29
