"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"흥룡리01",1,,경상남도 하동군 하동읍 흥룡리 984-1,,,,,055-880-2263,경상남도 하동군청 안전총괄과,2022-07-04
"흥룡리02",1,,경상남도 하동군 하동읍 흥룡리 997,,,,,055-880-2263,경상남도 하동군청 안전총괄과,2022-07-04
"흥룡리03",1,,경상남도 하동군 하동읍 흥룡리 930-2,,,,,055-880-2263,경상남도 하동군청 안전총괄과,2022-07-04
"흥룡리05",1,경상남도 하동군 하동읍 섬진강대로 2708-14,,,,,,055-880-2263,경상남도 하동군청 안전총괄과,2022-07-04
"흥룡리06",1,경상남도 하동군 하동읍 섬진강대로 2708-14,,,,,,055-880-2263,경상남도 하동군청 안전총괄과,2022-07-04
"흥룡리07",1,경상남도 하동군 하동읍 섬진강대로 2708-14,,,,,,055-880-2263,경상남도 하동군청 안전총괄과,2022-07-04
"흥룡리08",1,,경상남도 하동군 하동읍 흥룡리 913-1,,,,,055-880-2263,경상남도 하동군청 안전총괄과,2022-07-04
"흥룡리10",1,,경상남도 하동군 하동읍 흥룡리 834,,,,,055-880-2263,경상남도 하동군청 안전총괄과,2022-07-04
"흥룡리11",1,,경상남도 하동군 하동읍 흥룡리 839,,,,,055-880-2263,경상남도 하동군청 안전총괄과,2022-07-04
"흥룡리12",1,경상남도 하동군 하동읍 범바위길 30-15,,,,,,055-880-2263,경상남도 하동군청 안전총괄과,2022-07-04
"흥룡리13",1,,경상남도 하동군 하동읍 흥룡리 845,,,,,055-880-2263,경상남도 하동군청 안전총괄과,2022-07-04
"흥룡리14",1,,경상남도 하동군 하동읍 흥룡리 산 207,,,,,055-880-2263,경상남도 하동군청 안전총괄과,2022-07-04
"흥룡리15",1,경상남도 하동군 하동읍 범바위길 35,,,,,,055-880-2263,경상남도 하동군청 안전총괄과,2022-07-04
"흥룡리16",1,경상남도 하동군 하동읍 범바위길 41,,,,,,055-880-2263,경상남도 하동군청 안전총괄과,2022-07-04
"흥룡리17",1,경상남도 하동군 하동읍 범바위길 46,,,,,,055-880-2263,경상남도 하동군청 안전총괄과,2022-07-04
"흥룡리18",1,,경상남도 하동군 하동읍 흥룡리 805,,,,,055-880-2263,경상남도 하동군청 안전총괄과,2022-07-04
"흥룡리19",1,,경상남도 하동군 하동읍 흥룡리 777-1,,,,,055-880-2263,경상남도 하동군청 안전총괄과,2022-07-04
"흥룡리20",1,경상남도 하동군 하동읍 범바위길 5,,,,,,055-880-2263,경상남도 하동군청 안전총괄과,2022-07-04
"흥룡리22",1,,경상남도 하동군 하동읍 흥룡리 2768,,,,,055-880-2263,경상남도 하동군청 안전총괄과,2022-07-04
"흥룡리23",1,경상남도 하동군 하동읍 섬진강대로 2779,,,,,,055-880-2263,경상남도 하동군청 안전총괄과,2022-07-04
"흥룡리24",1,경상남도 하동군 하동읍 흥룡길 17,,,,,,055-880-2263,경상남도 하동군청 안전총괄과,2022-07-04
"흥룡리25",1,경상남도 하동군 하동읍 흥룡길 43-3,,,,,,055-880-2263,경상남도 하동군청 안전총괄과,2022-07-04
"흥룡리26",1,경상남도 하동군 하동읍 흥룡길 43-3,,,,,,055-880-2263,경상남도 하동군청 안전총괄과,2022-07-04
"흥룡리27",1,경상남도 하동군 하동읍 흥룡길 44-21,,,,,,055-880-2263,경상남도 하동군청 안전총괄과,2022-07-04
"흥룡리28",1,경상남도 하동군 하동읍 흥룡길 44-11,,,,,,055-880-2263,경상남도 하동군청 안전총괄과,2022-07-04
"흥룡리29",1,경상남도 하동군 하동읍 흥룡길 46-7,,,,,,055-880-2263,경상남도 하동군청 안전총괄과,2022-07-04
"흥룡리30",1,경상남도 하동군 하동읍 흥룡길 46-20,,,,,,055-880-2263,경상남도 하동군청 안전총괄과,2022-07-04
