"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"경상남도 함양군 함양읍 운림리 49-1",1,,경상남도 함양군 함양읍 운림리 49-1,35.51875666,127.7261295,1999,한전주,055-960-5999,경상남도 함양군청,2022-07-13
"경상남도 함양군 함양읍 용평리 965",1,,경상남도 함양군 함양읍 용평리 965,35.51822806,127.7264079970,2005,전용주,055-960-5999,경상남도 함양군청,2022-07-13
"경상남도 함양군 함양읍 용평리 795-6",1,,경상남도 함양군 함양읍 용평리 795-6,35.5181290427,127.7258584263,1999,한전주,055-960-5999,경상남도 함양군청,2022-07-13
"경상남도 함양군 함양읍 용평리 797-1",1,,경상남도 함양군 함양읍 용평리 797-1,35.5175911884,127.7258293,2003,한전주,055-960-5999,경상남도 함양군청,2022-07-13
"경상남도 함양군 함양읍 운림리 170-1",1,,경상남도 함양군 함양읍 운림리 170-1,35.51819705,127.7245756983,2011,한전주,055-960-5999,경상남도 함양군청,2022-07-13
"경상남도 함양군 함양읍 운림리 161-3",1,,경상남도 함양군 함양읍 운림리 161-3,35.51855208,127.7243479,1999,한전주,055-960-5999,경상남도 함양군청,2022-07-13
"경상남도 함양군 함양읍 운림리 77",1,,경상남도 함양군 함양읍 운림리 77,35.5190656571,127.7245593987,2021,한전주,055-960-5999,경상남도 함양군청,2022-07-13
"경상남도 함양군 함양읍 운림리 136-3",1,,경상남도 함양군 함양읍 운림리 136-3,35.51939007,127.7239945,2020,한전주,055-960-5999,경상남도 함양군청,2022-07-13
"경상남도 함양군 서하면 황산리 803-1",1,,경상남도 함양군 서하면 황산리 803-1,35.62109287,127.7539952372,1992,전용주,055-960-5999,경상남도 함양군청,2022-07-13
"경상남도 함양군 함양읍 용평리 786-3",1,,경상남도 함양군 함양읍 용평리 786-3,35.51829861,127.7256530658,2003,전용주,055-960-5999,경상남도 함양군청,2022-07-13
"경상남도 함양군 함양읍 운림리 162-2",1,,경상남도 함양군 함양읍 운림리 162-2,35.51856829,127.7243584861,1999,전용주,055-960-5999,경상남도 함양군청,2022-07-13
"경상남도 함양군 함양읍 운림리 155-1",1,,경상남도 함양군 함양읍 운림리 155-1,35.51817124,127.7237959,2005,전용주,055-960-5999,경상남도 함양군청,2022-07-13
"경상남도 함양군 서하면 황산리 1304",1,,경상남도 함양군 서하면 황산리 1304,35.62085982,127.7546111,2022,전용주,055-960-5999,경상남도 함양군청,2022-07-13
"경상남도 함양군 함양읍 운림리 39-3",1,,경상남도 함양군 함양읍 운림리 39-3,35.51957998,127.7258867,1994,한전주,055-960-5999,경상남도 함양군청,2022-07-13
"경상남도 함양군 함양읍 용평리 715-2",1,,경상남도 함양군 함양읍 용평리 715-2,35.5191140736,127.7267321324,1999,전용주,055-960-5999,경상남도 함양군청,2022-07-13
"경상남도 함양군 함양읍 용평리 940",1,,경상남도 함양군 함양읍 용평리 940,35.5210353731,127.7275002135,1993,전용주,055-960-5999,경상남도 함양군청,2022-07-13
"경상남도 함양군 함양읍 교산리 979-3",1,,경상남도 함양군 함양읍 교산리 979-3,35.52173489,127.7276685291,1999,한전주,055-960-5999,경상남도 함양군청,2022-07-13
"경상남도 함양군 함양읍 교산리 984",1,,경상남도 함양군 함양읍 교산리 984,35.5218660266,127.7270464451,2008,한전주,055-960-5999,경상남도 함양군청,2022-07-13
"경상남도 함양군 함양읍 교산리 1006-2",1,,경상남도 함양군 함양읍 교산리 1006-2,35.52205923,127.7270984,1999,한전주,055-960-5999,경상남도 함양군청,2022-07-13
"경상남도 함양군 함양읍 교산리 1022-4",1,,경상남도 함양군 함양읍 교산리 1022-4,35.52264319,127.7258960811,1999,전용주,055-960-5999,경상남도 함양군청,2022-07-13
"경상남도 함양군 함양읍 교산리 1021-8",1,,경상남도 함양군 함양읍 교산리 1021-8,35.52320799,127.7259786,2012,한전주,055-960-5999,경상남도 함양군청,2022-07-13
"경상남도 함양군 함양읍 교산리 1021-3",1,,경상남도 함양군 함양읍 교산리 1021-3,35.52323778,127.7253537032,1999,한전주,055-960-5999,경상남도 함양군청,2022-07-13
"경상남도 함양군 함양읍 교산리 962-2",1,,경상남도 함양군 함양읍 교산리 962-2,35.52334151,127.7246966197,2012,한전주,055-960-5999,경상남도 함양군청,2022-07-13
"경상남도 함양군 함양읍 운림리 304-1",1,,경상남도 함양군 함양읍 운림리 304-1,35.5217477973,127.7211882981,2008,한전주,055-960-5999,경상남도 함양군청,2022-07-13
"경상남도 함양군 함양읍 운림리 332-9",1,,경상남도 함양군 함양읍 운림리 332-9,35.52201759,127.7220537,1999,한전주,055-960-5999,경상남도 함양군청,2022-07-13
"경상남도 함양군 함양읍 운림리 289-1",1,,경상남도 함양군 함양읍 운림리 289-1,35.5212557732,127.7228724537,2020,한전주,055-960-5999,경상남도 함양군청,2022-07-13
"경상남도 함양군 함양읍 운림리 284",1,,경상남도 함양군 함양읍 운림리 284,35.5213349950,127.7222383,2014,전용주,055-960-5999,경상남도 함양군청,2022-07-13
"경상남도 함양군 함양읍 운림리 274-1",1,,경상남도 함양군 함양읍 운림리 274-1,35.52068163,127.7221709487,1999,한전주,055-960-5999,경상남도 함양군청,2022-07-13
"경상남도 함양군 함양읍 운림리 272-2",1,,경상남도 함양군 함양읍 운림리 272-2,35.5205066011,127.7228362419,1999,전용주,055-960-5999,경상남도 함양군청,2022-07-13
"경상남도 함양군 함양읍 운림리 111",1,,경상남도 함양군 함양읍 운림리 111,35.51991508,127.7234523276,2012,전용주,055-960-5999,경상남도 함양군청,2022-07-13
"경상남도 함양군 백전면 평정리 378-5",1,,경상남도 함양군 백전면 평정리 378-5,35.55191646,127.635435,2020,한전주,055-960-5999,경상남도 함양군청,2022-07-13
"경상남도 함양군 함양읍 교산리 882-4",1,,경상남도 함양군 함양읍 교산리 882-4,35.52502502,127.7270043,2009,전용주,055-960-5999,경상남도 함양군청,2022-07-13
"경상남도 함양군 함양읍 교산리 884",1,,경상남도 함양군 함양읍 교산리 884,35.5252215047,127.7275684223,1999,전용주,055-960-5999,경상남도 함양군청,2022-07-13
"경상남도 함양군 함양읍 교산리 883-1",1,,경상남도 함양군 함양읍 교산리 883-1,35.5251106109,127.7275811,,건축물,055-960-5999,경상남도 함양군청,2022-07-13
"경상남도 함양군 함양읍 교산리 323",1,,경상남도 함양군 함양읍 교산리 323,35.5258917974,127.7284206,2011,전용주,055-960-5999,경상남도 함양군청,2022-07-13
