"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"백천동1",1,,경상북도 경산시 백천동 111-7,35.80579951,128.7409316,2018,전용주,053-810-6127,경상북도 경산시 남부동,2022-06-15
"백천동2",1,,경상북도 경산시 백천동 113-3,35.80614273,128.7416887953,2018,전용주,053-810-6127,경상북도 경산시 남부동,2022-06-15
"백천동3",1,,경상북도 경산시 백천동 114-2,35.8062064262,128.7419584,2018,한전주,053-810-6127,경상북도 경산시 남부동,2022-06-15
"백천동4",1,,경상북도 경산시 백천동 115-19,35.8058357373,128.7422278571,2019,한전주,053-810-6127,경상북도 경산시 남부동,2022-06-15
"백천동5",1,,경상북도 경산시 백천동 115-19,35.8058357373,128.7422544,2019,한전주,053-810-6127,경상북도 경산시 남부동,2022-06-15
"백천동6",1,,경상북도 경산시 백천동 115-38,35.8045295083,128.7429288596,2018,한전주,053-810-6127,경상북도 경산시 남부동,2022-06-15
"백천동7",1,,경상북도 경산시 백천동 115-38,35.8045295083,128.7429288596,2018,한전주,053-810-6127,경상북도 경산시 남부동,2022-06-15
"백천동8",1,경상북도 경산시 경청로 1136-2,,35.8059802842,128.7405464,2018,,053-810-6127,경상북도 경산시 남부동,2022-06-15
"백천동9",1,,경상북도 경산시 백천동 120-1,35.80683141,128.7425465512,2018,전용주,053-810-6127,경상북도 경산시 남부동,2022-06-15
"백천동10",1,경상북도 경산시 백천길 73-12,,35.8008368119,128.7417624698,2018,한전주,053-810-6127,경상북도 경산시 남부동,2022-06-15
"백천동11",1,,경상북도 경산시 백천동 산 16-4,35.80605556,128.7439441276,2018,한전주,053-810-6127,경상북도 경산시 남부동,2022-06-15
"백천동12",1,,경상북도 경산시 백천동 산 23-2,35.8025557563,128.7413112,2018,한전주,053-810-6127,경상북도 경산시 남부동,2022-06-15
"백천동13",1,,경상북도 경산시 백천동 246-4,35.8012424797,128.7441663095,,한전주,053-810-6127,경상북도 경산시 남부동,2022-06-15
"백천동14",1,,경상북도 경산시 백천동 산 25,35.8010466824,128.7423843998,2018,한전주,053-810-6127,경상북도 경산시 남부동,2022-06-15
"백천동15",1,,경상북도 경산시 백천동 257-3,35.8001710859,128.7449820039,,한전주,053-810-6127,경상북도 경산시 남부동,2022-06-15
"백천동16",1,,경상북도 경산시 백천동 265-1,35.80063839,128.7442024487,,한전주,053-810-6127,경상북도 경산시 남부동,2022-06-15
"백천동17",1,,경상북도 경산시 백천동 산 27-1,35.80037571,128.7412250461,,한전주,053-810-6127,경상북도 경산시 남부동,2022-06-15
"백천동18",1,,경상북도 경산시 백천동 291-1,35.80115619,128.7431687,2018,한전주,053-810-6127,경상북도 경산시 남부동,2022-06-15
"백천동19",1,경상북도 경산시 백천길73-13,,35.8008756747,128.7423514619,2018,,053-810-6127,경상북도 경산시 남부동,2022-06-15
"백천동22",1,,경상북도 경산시 백천동 산 31-3,35.7966589467,128.7405507417,2008,한전주,053-810-6127,경상북도 경산시 남부동,2022-06-15
"백천동23",1,,경상북도 경산시 백천동 산 31-3,35.7966589467,128.7405507417,2008,한전주,053-810-6127,경상북도 경산시 남부동,2022-06-15
"백천동24",1,,경상북도 경산시 백천동 산 42-3,35.7995553676,128.7468800706,2018,한전주,053-810-6127,경상북도 경산시 남부동,2022-06-15
"백천동25",1,,경상북도 경산시 백천동 산 42-3,35.7995553676,128.7468800706,2018,한전주,053-810-6127,경상북도 경산시 남부동,2022-06-15
"백천동26",1,,경상북도 경산시 백천동 489-1,35.8002168472,128.7372961887,,한전주,053-810-6127,경상북도 경산시 남부동,2022-06-15
"백천동27",1,,경상북도 경산시 백천동 491-5,35.7998855285,128.7372568,2019,전용주,053-810-6127,경상북도 경산시 남부동,2022-06-15
"백천동28",1,,경상북도 경산시 백천동 491-5,35.7998855285,128.7372934419,2019,한전주,053-810-6127,경상북도 경산시 남부동,2022-06-15
"백천동29",1,,경상북도 경산시 백천동 507-2,35.7992882067,128.7359597,,한전주,053-810-6127,경상북도 경산시 남부동,2022-06-15
"백천동30",1,,경상북도 경산시 백천동 507-2,35.7992882067,128.7359299992,,한전주,053-810-6127,경상북도 경산시 남부동,2022-06-15
