보안등위치명,설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
고아읍,1,,경상북도 구미시 고아읍 문성리 1212,36.16377267,128.3455937,2022,전용주,054-480-5482,경상북도 구미시청,2022-05-31
고아읍,1,,경상북도 구미시 고아읍 오로리 754-11,36.22603496,128.3093569,2014,한전주,054-480-5482,경상북도 구미시청,2022-05-31
고아읍,1,,경상북도 구미시 고아읍 오로리 470-11,36.22444595,128.3106622,2018,전용주,054-480-5482,경상북도 구미시청,2022-05-31
고아읍,1,,경상북도 구미시 고아읍 오로리 산25-1,36.22394448,128.3109903,2018,전용주,054-480-5482,경상북도 구미시청,2022-05-31
고아읍,1,,경상북도 구미시 고아읍 황산리 663,36.2124382,128.2926644,2014,한전주,054-480-5482,경상북도 구미시청,2022-05-31
고아읍,1,,경상북도 구미시 고아읍 황산리 661,36.21255982,128.2920409,2014,한전주,054-480-5482,경상북도 구미시청,2022-05-31
고아읍,1,,경상북도 구미시 고아읍 황산리 661,36.21270755,128.291504,2014,한전주,054-480-5482,경상북도 구미시청,2022-05-31
고아읍,1,,경상북도 구미시 고아읍 황산리 730,36.21281635,128.2910248,2014,한전주,054-480-5482,경상북도 구미시청,2022-05-31
고아읍,1,,경상북도 구미시 고아읍 황산리 278,36.21264243,128.2910665,2014,한전주,054-480-5482,경상북도 구미시청,2022-05-31
고아읍,1,,경상북도 구미시 고아읍 황산리 731,36.21315055,128.2896987,2014,한전주,054-480-5482,경상북도 구미시청,2022-05-31
고아읍,1,,경상북도 구미시 고아읍 황산리 325,36.21275674,128.2896589,2014,한전주,054-480-5482,경상북도 구미시청,2022-05-31
고아읍,1,,경상북도 구미시 고아읍 황산리 320,36.21268509,128.2902443,2014,한전주,054-480-5482,경상북도 구미시청,2022-05-31
고아읍,1,,경상북도 구미시 고아읍 황산리 343,36.21222954,128.2904981,2014,한전주,054-480-5482,경상북도 구미시청,2022-05-31
고아읍,1,,경상북도 구미시 고아읍 황산리 1081,36.21238571,128.2895944,2014,한전주,054-480-5482,경상북도 구미시청,2022-05-31
고아읍,1,,경상북도 구미시 고아읍 황산리 368-1,36.21182885,128.2896325,2014,한전주,054-480-5482,경상북도 구미시청,2022-05-31
고아읍,1,,경상북도 구미시 고아읍 황산리 1070-2,36.21283495,128.2890903,2014,한전주,054-480-5482,경상북도 구미시청,2022-05-31
고아읍,1,,경상북도 구미시 고아읍 황산리 424,36.21291327,128.2887218,2014,한전주,054-480-5482,경상북도 구미시청,2022-05-31
고아읍,1,,경상북도 구미시 고아읍 황산리 409,36.21227593,128.2889115,2014,한전주,054-480-5482,경상북도 구미시청,2022-05-31
고아읍,1,,경상북도 구미시 고아읍 황산리 1070-2,36.21193158,128.2890893,2014,한전주,054-480-5482,경상북도 구미시청,2022-05-31
고아읍,1,,경상북도 구미시 고아읍 황산리 1070-2,36.21145593,128.2891177,2014,한전주,054-480-5482,경상북도 구미시청,2022-05-31
고아읍,1,,경상북도 구미시 고아읍 황산리 1081,36.21149519,128.2894464,2014,한전주,054-480-5482,경상북도 구미시청,2022-05-31
고아읍,1,,경상북도 구미시 고아읍 황산리 492,36.21323488,128.2879348,2014,한전주,054-480-5482,경상북도 구미시청,2022-05-31
고아읍,1,,경상북도 구미시 고아읍 황산리 429,36.21270821,128.2880985,2014,한전주,054-480-5482,경상북도 구미시청,2022-05-31
고아읍,1,,경상북도 구미시 고아읍 황산리 산67-10,36.21197052,128.2879836,2014,한전주,054-480-5482,경상북도 구미시청,2022-05-31
고아읍,1,,경상북도 구미시 고아읍 황산리 431,36.21246612,128.2879861,2014,한전주,054-480-5482,경상북도 구미시청,2022-05-31
고아읍,1,,경상북도 구미시 고아읍 황산리 1070-3,36.21175674,128.2871238,2014,한전주,054-480-5482,경상북도 구미시청,2022-05-31
고아읍,1,,경상북도 구미시 고아읍 황산리 1070-3,36.21237172,128.2871283,2014,한전주,054-480-5482,경상북도 구미시청,2022-05-31
고아읍,1,,경상북도 구미시 고아읍 황산리 485,36.21322303,128.2873619,2014,한전주,054-480-5482,경상북도 구미시청,2022-05-31
고아읍,1,,경상북도 구미시 고아읍 황산리 474-7,36.21305902,128.286692,2014,한전주,054-480-5482,경상북도 구미시청,2022-05-31
고아읍,1,,경상북도 구미시 고아읍 황산리 1070-3,36.21251398,128.286469,2014,한전주,054-480-5482,경상북도 구미시청,2022-05-31
고아읍,1,,경상북도 구미시 고아읍 오로리 470-1,36.22553152,128.3104829,2018,한전주,054-480-5482,경상북도 구미시청,2022-05-31
고아읍,1,,경상북도 구미시 고아읍 오로리 471-9,36.22496057,128.3103677,2018,전용주,054-480-5482,경상북도 구미시청,2022-05-31
고아읍,1,,경상북도 구미시 고아읍 오로리 469-4,36.22480478,128.310811,2018,전용주,054-480-5482,경상북도 구미시청,2022-05-31
고아읍,1,,경상북도 구미시 고아읍 오로리 산24-5,36.22427014,128.3110819,2018,전용주,054-480-5482,경상북도 구미시청,2022-05-31
고아읍,1,,경상북도 구미시 고아읍 오로리 690,36.22370954,128.3153599,2018,한전주,054-480-5482,경상북도 구미시청,2022-05-31
고아읍,1,,경상북도 구미시 고아읍 오로리 708,36.22271196,128.3138863,2018,한전주,054-480-5482,경상북도 구미시청,2022-05-31
