"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"동림사 앞",1,경상북도 군위군 군위읍 골안길 33,,,,,,054-380-6695,경상북도 군위군청,2021-10-26
"손*남",1,경상북도 군위군 군위읍 골안길 23,,,,,,054-380-6695,경상북도 군위군청,2021-10-26
"황*조",1,경상북도 군위군 군위읍 골안길 21,,,,,,054-380-6695,경상북도 군위군청,2021-10-26
"이*순 집앞",1,경상북도 군위군 군위읍 골안길 14,,,,,,054-380-6695,경상북도 군위군청,2021-10-26
"김*환 집앞",1,경상북도 군위군 군위읍 골안길 6-5,,,,,,054-380-6695,경상북도 군위군청,2021-10-26
"최*태",1,경상북도 군위군 군위읍 골안길 18-12,,,,,,054-380-6695,경상북도 군위군청,2021-10-26
"신*동",1,경상북도 군위군 군위읍 골안길 6-18,,,,,,054-380-6695,경상북도 군위군청,2021-10-26
"군민회관 옆",1,,경상북도 군위군 군위읍 동부리 98-6,,,,,054-380-6695,경상북도 군위군청,2021-10-26
"군민회관 옆",1,경상북도 군위군 군위읍 군청로 98-8,,,,,,054-380-6695,경상북도 군위군청,2021-10-26
"장*출 집앞",1,경상북도 군위군 군위읍 동서3길 41,,,,,,054-380-6695,경상북도 군위군청,2021-10-26
"김*철",1,경상북도 군위군 군위읍 동서3길 42,,,,,,054-380-6695,경상북도 군위군청,2021-10-26
"대건빌라",1,경상북도 군위군 군위읍 동서3길 27-9,,,,,,054-380-6695,경상북도 군위군청,2021-10-26
"대건빌라 뒤",1,경상북도 군위군 군위읍 동서3길 27-9,,,,,,054-380-6695,경상북도 군위군청,2021-10-26
"구 중고등학교 뒤",1,,경상북도 군위군 군위읍 동부리 35,,,,,054-380-6695,경상북도 군위군청,2021-10-26
"구 중고등학교 뒤",1,,경상북도 군위군 군위읍 동부1리 630,,,,,054-380-6695,경상북도 군위군청,2021-10-26
"후문",1,경상북도 군위군 군위읍 동서3길 32-15,,,,,,054-380-6695,경상북도 군위군청,2021-10-26
"향교 뒤",1,,경상북도 군위군 군위읍 동부1리 605-5,,,,,054-380-6695,경상북도 군위군청,2021-10-26
"천주교 후문",1,,경상북도 군위군 군위읍 동부1리 379-1,,,,,054-380-6695,경상북도 군위군청,2021-10-26
"성결교회 사택 뒤",1,경상북도 군위군 군위읍 동서6길 6,,,,,,054-380-6695,경상북도 군위군청,2021-10-26
"박*로",1,경상북도 군위군 군위읍 동서2길 17-9,,,,,,054-380-6695,경상북도 군위군청,2021-10-26
"바우청과",1,,경상북도 군위군 군위읍 동부1리 829-8,,,,,054-380-6695,경상북도 군위군청,2021-10-26
"동부빌라",1,,경상북도 군위군 군위읍 동부1리 1,,,,,054-380-6695,경상북도 군위군청,2021-10-26
