"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"감문면001",1,경상북도 김천시 문무1길 163,,,,,,054-420-6338,경상북도 김천시청,2022-05-31
"감문면002",1,경상북도 김천시 문무1길 146,,,,,,054-420-6338,경상북도 김천시청,2022-05-31
"감문면003",1,경상북도 김천시 문무1길 142,,,,,,054-420-6338,경상북도 김천시청,2022-05-31
"감문면004",1,경상북도 김천시 문무1길 128,,,,,,054-420-6338,경상북도 김천시청,2022-05-31
"감문면005",1,경상북도 김천시 문무1길 111-20,,,,,,054-420-6338,경상북도 김천시청,2022-05-31
"감문면006",1,경상북도 김천시 문무1길 122,,,,,,054-420-6338,경상북도 김천시청,2022-05-31
"감문면007",1,경상북도 김천시 감문면 문무리 458,,,,,,054-420-6338,경상북도 김천시청,2022-05-31
"감문면008",1,경상북도 김천시 문무3길 39,,,,,,054-420-6338,경상북도 김천시청,2022-05-31
"감문면009",1,경상북도 김천시 문무3길 14-3,,,,,,054-420-6338,경상북도 김천시청,2022-05-31
"감문면010",1,경상북도 김천시 문무3길 8,,,,,,054-420-6338,경상북도 김천시청,2022-05-31
"감문면011",1,경상북도 김천시 감문면 문무리 491-2,,,,,,054-420-6338,경상북도 김천시청,2022-05-31
"감문면012",1,경상북도 김천시 감문면 문무리 494-4,,,,,,054-420-6338,경상북도 김천시청,2022-05-31
"감문면013",1,경상북도 김천시 문무2길 30-5,,,,,,054-420-6338,경상북도 김천시청,2022-05-31
"감문면014",1,경상북도 김천시 문무2길 11-4,,,,,,054-420-6338,경상북도 김천시청,2022-05-31
"감문면015",1,경상북도 김천시 문무2길 1,,,,,,054-420-6338,경상북도 김천시청,2022-05-31
"감문면016",1,경상북도 김천시 문무2길 21-13,,,,,,054-420-6338,경상북도 김천시청,2022-05-31
"감문면017",1,경상북도 김천시 문화로 565,,,,,,054-420-6338,경상북도 김천시청,2022-05-31
