보안등위치명,설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
내성로 40-18 한전 뒤,1,,경상북도 봉화군 봉화읍 내성리 501,36.88616331,128.7420737,2016,한전주,054-679-6283,경상북도 봉화군청,2022-05-27
생기마2길 48-7,1,,경상북도 봉화군 봉화읍 삼계리 227-1,36.90424802,128.7306881,2016,전용주,054-679-6283,경상북도 봉화군청,2022-05-27
생기마1길 28-2 삼계서원 옆,1,,경상북도 봉화군 봉화읍 삼계리 174,36.90149362,128.7351414,2016,전용주,054-679-6283,경상북도 봉화군청,2022-05-27
유곡리 589-2 36번 국도변,1,,경상북도 봉화군 봉화읍 유곡리 395-86,36.90402975,128.7581261,2016,전용주,054-679-6283,경상북도 봉화군청,2022-05-27
충재길 238-266 박상오 정호삼 중간,1,,경상북도 봉화군 봉화읍 유곡리 1389,36.91864302,128.7555764,2016,전용주,054-679-6283,경상북도 봉화군청,2022-05-27
유곡리 332-25 마을 진입로,1,,경상북도 봉화군 봉화읍 유곡리 332-63,36.90608958,128.7695034,2016,전용주,054-679-6283,경상북도 봉화군청,2022-05-27
유곡리 339-5 마을안길,1,,경상북도 봉화군 봉화읍 유곡리 338-2,36.9042146,128.7678277,2016,전용주,054-679-6283,경상북도 봉화군청,2022-05-27
거촌리 569-8 학이골 진입로,1,,경상북도 봉화군 봉화읍 거촌리 942,36.8730959,128.7483456,2016,한전주,054-679-6283,경상북도 봉화군청,2022-05-27
거촌리 589-1 학동길 입구에서 200미터,1,,경상북도 봉화군 봉화읍 거촌리 591-1,36.87414353,128.7489415,2016,한전주,054-679-6283,경상북도 봉화군청,2022-05-27
범들로 332-36 이경우 부근,1,,경상북도 봉화군 봉화읍 석평리 1214-15,36.88165928,128.714842,2016,전용주,054-679-6283,경상북도 봉화군청,2022-05-27
한골길 39,1,,경상북도 봉화군 봉화읍 석평리 813-7,36.88064541,128.7169657,2016,전용주,054-679-6283,경상북도 봉화군청,2022-05-27
적덕리 224 재방 태양광가로등 근처,1,,경상북도 봉화군 봉화읍 적덕리 1029-1,36.87914549,128.6999549,2016,전용주,054-679-6283,경상북도 봉화군청,2022-05-27
적덕리 371 천주교 공동묘지 입구,1,,경상북도 봉화군 봉화읍 적덕리 372-1,36.88971962,128.7012984,2016,전용주,054-679-6283,경상북도 봉화군청,2022-05-27
