"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치년도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"성밖숲길45",1,,경상북도 성주군 성주읍 경산리437-2,35.91571829,128.2802108,,한전주,054-930-7525,성주읍,2020-07-10
"성주교차로065",1,,경상북도 성주군 성주읍 성산리 97,35.9194114,128.2980228,,한전주,054-930-7525,성주읍,2020-07-10
"성주읍",1,,경상북도 성주군 성주읍 대흥리113,35.92318801,128.2647924,,한전주,054-930-7525,성주읍,2020-07-10
"성주읍 1168",1,,경상북도 성주군 성주읍 대황리 277,35.90675444,128.2790972,,한전주,054-930-7525,성주읍,2020-07-10
"성주읍001",1,,경상북도 성주군 성주읍 경산리 285-4,35.91892006,128.2822898,,한전주,054-930-7525,성주읍,2020-07-10
"성주읍002",1,,경상북도 성주군 성주읍 경산리 285-4,35.91893948,128.2822917,,한전주,054-930-7525,성주읍,2020-07-10
"성주읍003",1,,경상북도 성주군 성주읍 경산리 286,35.91920872,128.2823446,,한전주,054-930-7525,성주읍,2020-07-10
"성주읍004",1,,경상북도 성주군 성주읍 경산리 204-1,35.91933295,128.2837318,,한전주,054-930-7525,성주읍,2020-07-10
"성주읍005",1,,경상북도 성주군 성주읍 경산리 216,35.9203073,128.2832851,,한전주,054-930-7525,성주읍,2020-07-10
"성주읍006",1,,경상북도 성주군 성주읍 경산리 198,35.92047006,128.2837059,,한전주,054-930-7525,성주읍,2020-07-10
"성주읍007",1,,경상북도 성주군 성주읍 경산리 228-3,35.92077414,128.2839844,,한전주,054-930-7525,성주읍,2020-07-10
"성주읍008",1,,경상북도 성주군 성주읍 경산리 228-5,35.92087883,128.2835034,,한전주,054-930-7525,성주읍,2020-07-10
"성주읍009",1,,경상북도 성주군 성주읍 경산리 238-2,35.9211961,128.2829465414,,한전주,054-930-7525,성주읍,2020-07-10
"성주읍010",1,,경상북도 성주군 성주읍 예산리 521,35.92163137,128.2825092,,한전주,054-930-7525,성주읍,2020-07-10
"성주읍011",1,,경상북도 성주군 성주읍 경산리 258-1,35.92146528,128.282225,,한전주,054-930-7525,성주읍,2020-07-10
"성주읍012",1,,경상북도 성주군 성주읍 백전리 399-1,35.92128177,128.2819379927,,한전주,054-930-7525,성주읍,2020-07-10
"성주읍013",1,,경상북도 성주군 성주읍 백전리 394-1,35.9215522,128.281221,,한전주,054-930-7525,성주읍,2020-07-10
"성주읍014",1,,경상북도 성주군 성주읍 경산리 247-4,35.92081727,128.282078,,한전주,054-930-7525,성주읍,2020-07-10
"성주읍015",1,,경상북도 성주군 성주읍 경산리 258-3,35.92088211,128.281772,,한전주,054-930-7525,성주읍,2020-07-10
"성주읍016",1,,경상북도 성주군 성주읍 경산리 244-6,35.920449,128.2827573,,한전주,054-930-7525,성주읍,2020-07-10
"성주읍017",1,,경상북도 성주군 성주읍 경산리 219-1,35.92060672,128.2828118,,한전주,054-930-7525,성주읍,2020-07-10
"성주읍018",1,,경상북도 성주군 성주읍 경산리 241,35.92090123,128.2828681,,한전주,054-930-7525,성주읍,2020-07-10
"성주읍019",1,,경상북도 성주군 성주읍 경산리 172-3,35.9192636,128.2847255,,한전주,054-930-7525,성주읍,2020-07-10
"성주읍020",1,,경상북도 성주군 성주읍 경산리 198,35.91980182,128.2845649,,한전주,054-930-7525,성주읍,2020-07-10
"성주읍021",1,,경상북도 성주군 성주읍 경산리 198-1,35.92004332,128.2845145,,한전주,054-930-7525,성주읍,2020-07-10
"성주읍022",1,,경상북도 성주군 성주읍 경산리 183,35.92029936,128.2852699,,한전주,054-930-7525,성주읍,2020-07-10
"성주읍023",1,,경상북도 성주군 성주읍 경산리 183,35.92027873,128.2848536,,한전주,054-930-7525,성주읍,2020-07-10
"성주읍024",1,,경상북도 성주군 성주읍 경산리 190-1,35.92037507,128.2845088,,한전주,054-930-7525,성주읍,2020-07-10
"성주읍025",1,,경상북도 성주군 성주읍 경산리 132-2,35.9204895,128.2846856,,한전주,054-930-7525,성주읍,2020-07-10
"성주읍026",1,,경상북도 성주군 성주읍 경산리 193,35.92075867,128.2841652,,한전주,054-930-7525,성주읍,2020-07-10
"성주읍028",1,,경상북도 성주군 성주읍 경산리 233,35.9217078,128.2840583,,한전주,054-930-7525,성주읍,2020-07-10
"성주읍029",1,,경상북도 성주군 성주읍 예산리 514-1,35.92228167,128.2839205,,한전주,054-930-7525,성주읍,2020-07-10
"성주읍030",1,,경상북도 성주군 성주읍 경산리 124-2,35.92080279,128.2844808,,한전주,054-930-7525,성주읍,2020-07-10
"성주읍031",1,,경상북도 성주군 성주읍 경산리 104-2,35.92108457,128.2853974,,한전주,054-930-7525,성주읍,2020-07-10
"성주읍032",1,,경상북도 성주군 성주읍 경산리 140,35.9205978,128.2857356,,한전주,054-930-7525,성주읍,2020-07-10
"성주읍033",1,,경상북도 성주군 성주읍 경산리 101-5,35.92098189,128.2857324,,한전주,054-930-7525,성주읍,2020-07-10
"성주읍034",1,,경상북도 성주군 성주읍 경산리 102-2,35.92127944,128.2858028,,한전주,054-930-7525,성주읍,2020-07-10
"성주읍035",1,,경상북도 성주군 성주읍 경산리 98-3,35.92038657,128.2861373,,한전주,054-930-7525,성주읍,2020-07-10
"성주읍036",1,,경상북도 성주군 성주읍 경산리 55-4,35.92081977,128.2865847,,한전주,054-930-7525,성주읍,2020-07-10
"성주읍037",1,,경상북도 성주군 성주읍 경산리 57-4,35.92117187,128.286816,,한전주,054-930-7525,성주읍,2020-07-10
"성주읍038",1,,경상북도 성주군 성주읍 경산리 57-7,35.921109,128.2865323,,한전주,054-930-7525,성주읍,2020-07-10
"성주읍039",1,,경상북도 성주군 성주읍 경산리 92-2,35.9218458,128.2866518,,한전주,054-930-7525,성주읍,2020-07-10
"성주읍040",1,,경상북도 성주군 성주읍 경산리 93-2,35.92199501,128.2863197,,한전주,054-930-7525,성주읍,2020-07-10
"성주읍041",1,,경상북도 성주군 성주읍 경산리 95-11,35.92204103,128.2860494,,한전주,054-930-7525,성주읍,2020-07-10
"성주읍042",1,,경상북도 성주군 성주읍 예산리 511-1,35.92186195,128.2858203,,한전주,054-930-7525,성주읍,2020-07-10
"성주읍043",1,,경상북도 성주군 성주읍 경산리 95-8,35.92163266,128.2859812,,한전주,054-930-7525,성주읍,2020-07-10
"성주읍044",1,,경상북도 성주군 성주읍 경산리 105,35.9215953,128.285842,,한전주,054-930-7525,성주읍,2020-07-10
"성주읍045",1,,경상북도 성주군 성주읍 경산리 93-1,35.92197327,128.2867768,,한전주,054-930-7525,성주읍,2020-07-10
"성주읍046",1,,경상북도 성주군 성주읍 예산리 351-12,35.9220244,128.2873505,,한전주,054-930-7525,성주읍,2020-07-10
"성주읍047",1,,경상북도 성주군 성주읍 예산리 357-10,35.92315485,128.287296,,한전주,054-930-7525,성주읍,2020-07-10
"성주읍048",1,,경상북도 성주군 성주읍 예산리 354-38,35.92296747,128.2866215,,한전주,054-930-7525,성주읍,2020-07-10
"성주읍049",1,,경상북도 성주군 성주읍 예산리 354-35,35.92289118,128.2862551,,한전주,054-930-7525,성주읍,2020-07-10
"성주읍050",1,,경상북도 성주군 성주읍 예산리 354-19,35.9224136,128.2866428,,한전주,054-930-7525,성주읍,2020-07-10
"성주읍051",1,,경상북도 성주군 성주읍 예산리 354-69,35.922324061,128.286097866,,한전주,054-930-7525,성주읍,2020-07-10
"성주읍052",1,,경상북도 성주군 성주읍 예산리 365,35.92432866,128.286496,,한전주,054-930-7525,성주읍,2020-07-10
"성주읍053",1,,경상북도 성주군 성주읍 예산리 468,35.92468652,128.2863797,,한전주,054-930-7525,성주읍,2020-07-10
"성주읍054",1,,경상북도 성주군 성주읍 예산리 468,35.92459599,128.2862006,,한전주,054-930-7525,성주읍,2020-07-10
"성주읍055",1,,경상북도 성주군 성주읍 예산리 466,35.9244976,128.2858414,,한전주,054-930-7525,성주읍,2020-07-10
"성주읍056",1,,경상북도 성주군 성주읍 예산리 462-3,35.92428059,128.2854815,,한전주,054-930-7525,성주읍,2020-07-10
"성주읍057",1,,경상북도 성주군 성주읍 예산리 467-2,35.92427546,128.2860853,,한전주,054-930-7525,성주읍,2020-07-10
"성주읍058",1,,경상북도 성주군 성주읍 예산리 462-1,35.92409334,128.2856049,,한전주,054-930-7525,성주읍,2020-07-10
"성주읍059",1,,경상북도 성주군 성주읍 예산리 462-1,35.92381822,128.2857364,,한전주,054-930-7525,성주읍,2020-07-10
"성주읍060",1,,경상북도 성주군 성주읍 예산리 487-2,35.92346206,128.2851753,,한전주,054-930-7525,성주읍,2020-07-10
"성주읍061",1,,경상북도 성주군 성주읍 예산리 494-3,35.92318196,128.285078,,한전주,054-930-7525,성주읍,2020-07-10
