"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"강남동0001",1,,경상북도 안동시 수상동 820-99,36.54567724,128.7052657,2015,전용주,054-823-0110,안동시청,2021-09-07
"강남동0002",1,,경상북도 안동시 수상동 820-99,36.54567724,128.7052657,2015,한전주,054-823-0110,안동시청,2021-09-07
"강남동0003",1,,경상북도 안동시 수상동 249-11,36.54552986,128.7058006,2015,한전주,054-823-0110,안동시청,2021-09-07
"강남동0004",1,,경상북도 안동시 수상동 249-12,36.54534855,128.7059776,2015,한전주,054-823-0110,안동시청,2021-09-07
"강남동0005",1,,경상북도 안동시 수상동 584-4,36.54482044,128.7053585,2015,전용주,054-823-0110,안동시청,2021-09-07
"강남동0006",1,,경상북도 안동시 수상동 820-109,36.54913878,128.7187695,2015,전용주,054-823-0110,안동시청,2021-09-07
"강남동0007",1,,경상북도 안동시 정하동 378-0,36.54967847,128.7219359,2015,전용주,054-823-0110,안동시청,2021-09-07
"강남동0008",1,,경상북도 안동시 수상동 224-5,36.54617977,128.7132126,2015,한전주,054-823-0110,안동시청,2021-09-07
"강남동0009",1,경상북도 안동시 강남로 84,경상북도 안동시 수상동 202-0,36.54617977,128.7132126,2015,한전주,054-823-0110,안동시청,2021-09-07
"강남동0010",1,경상북도 안동시 마지1길 35,경상북도 안동시 수상동 211-5,36.54530327,128.7135844,2015,한전주,054-823-0110,안동시청,2021-09-07
"강남동0011",1,,경상북도 안동시 강남동 213-2,36.54516074,128.7133038,2015,한전주,054-823-0110,안동시청,2021-09-07
"강남동0012",1,,경상북도 안동시 수상동 218-4,36.54442304,128.7130736,2015,전용주,054-823-0110,안동시청,2021-09-07
"강남동0013",1,경상북도 안동시 마지1길 46-4,경상북도 안동시 수상동 214-6,36.54477273,128.7133784,2015,전용주,054-823-0110,안동시청,2021-09-07
"강남동0014",1,경상북도 안동시 마지2길 8,경상북도 안동시 수상동 94-1,36.53840782,128.7151517,2015,전용주,054-823-0110,안동시청,2021-09-07
"강남동0015",1,경상북도 안동시 마지2길 19-0,경상북도 안동시 수상동 110-2,36.5388736,128.7156363,2015,전용주,054-823-0110,안동시청,2021-09-07
"강남동0016",1,,경상북도 안동시 수상동 69-1,36.53792653,128.7157505,2015,전용주,054-823-0110,안동시청,2021-09-07
"강남동0017",1,,경상북도 안동시 수상동 112-0,36.53781616,128.716118,2015,한전주,054-823-0110,안동시청,2021-09-07
