"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"경상북도 영덕군 강구면 강구면 삼사리 772",1,,경상북도 영덕군 강구면 강구면 삼사리 772,,,,,054-730-7235,경상북도 영덕군 강구면사무소,2021-09-15
"경상북도 영덕군 강구면 강구면 삼사리",1,,경상북도 영덕군 강구면 강구면 삼사리,,,,,054-730-7235,경상북도 영덕군 강구면사무소,2021-09-15
"경상북도 영덕군 강구면 강구면 삼사리 661-2",1,,경상북도 영덕군 강구면 강구면 삼사리 661-2,,,,,054-730-7235,경상북도 영덕군 강구면사무소,2021-09-15
"경상북도 영덕군 강구면 강구면 삼사리 629-2",1,,경상북도 영덕군 강구면 강구면 삼사리 629-2,,,,,054-730-7235,경상북도 영덕군 강구면사무소,2021-09-15
"경상북도 영덕군 강구면 강구면 삼사리 587-4",1,,경상북도 영덕군 강구면 강구면 삼사리 587-4,,,,,054-730-7235,경상북도 영덕군 강구면사무소,2021-09-15
"경상북도 영덕군 강구면 강구면 삼사리 586-4",1,,경상북도 영덕군 강구면 강구면 삼사리 586-4,,,,,054-730-7235,경상북도 영덕군 강구면사무소,2021-09-15
"경상북도 영덕군 강구면 강구면 삼사리 577",1,,경상북도 영덕군 강구면 강구면 삼사리 577,,,,,054-730-7235,경상북도 영덕군 강구면사무소,2021-09-15
"경상북도 영덕군 강구면 강구면 삼사리 761",1,,경상북도 영덕군 강구면 강구면 삼사리 761,,,,,054-730-7235,경상북도 영덕군 강구면사무소,2021-09-15
"경상북도 영덕군 강구면 강구면 삼사리 545",1,,경상북도 영덕군 강구면 강구면 삼사리 545,,,,,054-730-7235,경상북도 영덕군 강구면사무소,2021-09-15
"경상북도 영덕군 강구면 강구면 삼사리",1,,경상북도 영덕군 강구면 강구면 삼사리,,,,,054-730-7235,경상북도 영덕군 강구면사무소,2021-09-15
